Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes
Luke Parker,13.0,20.0,33.0,3.0,2.0,0.0,2.0,0.0,1.0,2.0,5.0,9.0,1.0,1.0,2.0,18.0,12.0,20.0,60.6,0.0,1.0,2.0,0.0,2.0,3.0,5.0,397.0,5.0,3.0,1.0,86.0,0,Home,2
Josh P. Kennedy,13.0,13.0,26.0,5.0,0.0,0.0,10.0,0.0,0.0,5.0,8.0,5.0,3.0,0.0,1.0,15.0,11.0,13.0,50.0,0.0,0.0,2.0,0.0,1.0,7.0,4.0,376.0,6.0,3.0,2.0,84.0,0,Home,1
Jake Lloyd,20.0,6.0,26.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,4.0,7.0,0.0,0.0,5.0,15.0,20.0,76.9,0.0,0.0,2.0,0.0,1.0,0.0,1.0,597.0,9.0,5.0,0.0,94.0,0,Home,0
Callum Mills,11.0,6.0,17.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,4.0,2.0,0.0,6.0,11.0,15.0,88.2,1.0,0.0,3.0,0.0,0.0,0.0,1.0,437.0,3.0,8.0,0.0,87.0,0,Home,0
Justin McInerney,6.0,11.0,17.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,7.0,11.0,10.0,58.8,0.0,0.0,2.0,0.0,0.0,1.0,2.0,156.0,4.0,5.0,0.0,91.0,0,Home,0
Dylan Stephens,13.0,3.0,16.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,4.0,13.0,10.0,62.5,0.0,1.0,1.0,1.0,0.0,2.0,3.0,318.0,5.0,1.0,0.0,92.0,0,Home,0
Harry Cunningham,11.0,3.0,14.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,11.0,11.0,78.6,0.0,0.0,1.0,0.0,0.0,0.0,2.0,268.0,0.0,4.0,0.0,82.0,0,Home,0
Oliver Florent,9.0,5.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,6.0,2.0,1.0,0.0,1.0,9.0,4.0,6.0,42.9,0.0,0.0,0.0,0.0,3.0,3.0,1.0,266.0,5.0,3.0,0.0,78.0,0,Home,0
Nick Blakey,11.0,3.0,14.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,5.0,2.0,2.0,1.0,0.0,7.0,7.0,9.0,64.3,0.0,0.0,1.0,0.0,2.0,3.0,4.0,296.0,1.0,1.0,0.0,79.0,0,Home,0
James Bell,5.0,9.0,14.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,5.0,2.0,8.0,6.0,12.0,85.7,0.0,0.0,0.0,0.0,0.0,2.0,3.0,105.0,1.0,1.0,0.0,89.0,0,Home,0
Ryan Clarke,7.0,6.0,13.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,5.0,9.0,11.0,84.6,0.0,0.0,1.0,0.0,0.0,2.0,3.0,203.0,2.0,2.0,0.0,94.0,0,Home,0
Tom Papley,10.0,2.0,12.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,6.0,6.0,7.0,58.3,0.0,1.0,0.0,0.0,0.0,1.0,4.0,252.0,3.0,0.0,0.0,90.0,0,Home,0
