Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes
Joel Selwood,12.0,16.0,28.0,4.0,1.0,0.0,3.0,0.0,0.0,4.0,8.0,3.0,1.0,2.0,1.0,17.0,13.0,19.0,67.9,0.0,0.0,3.0,0.0,2.0,6.0,5.0,364.0,4.0,4.0,0.0,81.0,1,Home,3
Patrick Dangerfield,14.0,10.0,24.0,3.0,1.0,2.0,3.0,0.0,0.0,5.0,5.0,2.0,2.0,6.0,1.0,14.0,10.0,13.0,54.2,0.0,1.0,2.0,0.0,3.0,2.0,6.0,337.0,4.0,6.0,2.0,91.0,1,Home,0
Sam Menegola,11.0,12.0,23.0,5.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,10.0,13.0,15.0,65.2,2.0,1.0,2.0,0.0,1.0,0.0,7.0,299.0,5.0,5.0,0.0,84.0,1,Home,0
Gary Ablett,9.0,12.0,21.0,2.0,2.0,1.0,3.0,0.0,2.0,6.0,1.0,3.0,1.0,1.0,1.0,7.0,14.0,16.0,76.2,0.0,1.0,0.0,0.0,1.0,0.0,7.0,409.0,2.0,2.0,2.0,88.0,1,Home,0
Mitchell Duncan,11.0,9.0,20.0,5.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,3.0,4.0,3.0,2.0,7.0,15.0,16.0,80.0,0.0,0.0,3.0,1.0,1.0,0.0,6.0,281.0,4.0,4.0,0.0,84.0,1,Home,0
Thomas Stewart,16.0,4.0,20.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,4.0,0.0,1.0,5.0,14.0,17.0,85.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,549.0,5.0,6.0,0.0,87.0,1,Home,0
Gryan Miers,15.0,5.0,20.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,17.0,13.0,65.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,366.0,4.0,1.0,1.0,83.0,1,Home,1
Brandan Parfitt,12.0,7.0,19.0,1.0,0.0,0.0,10.0,0.0,1.0,3.0,8.0,3.0,1.0,1.0,0.0,11.0,8.0,10.0,52.6,0.0,0.0,0.0,0.0,1.0,7.0,4.0,275.0,5.0,1.0,1.0,72.0,1,Home,2
Zach Tuohy,15.0,2.0,17.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,5.0,5.0,1.0,0.0,6.0,10.0,9.0,52.9,0.0,0.0,2.0,0.0,1.0,1.0,2.0,528.0,9.0,5.0,0.0,91.0,1,Home,0
Harry Taylor,12.0,3.0,15.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,12.0,10.0,66.7,0.0,0.0,5.0,0.0,0.0,0.0,0.0,220.0,1.0,6.0,0.0,87.0,1,Home,0
Cameron Guthrie,7.0,8.0,15.0,2.0,0.0,0.0,4.0,0.0,1.0,2.0,4.0,2.0,0.0,2.0,1.0,7.0,8.0,12.0,80.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,64.0,2.0,2.0,1.0,62.0,1,Home,0
Luke Dahlhaus,5.0,10.0,15.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,12.0,80.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,136.0,2.0,0.0,2.0,79.0,1,Home,0
Quinton Narkle,11.0,4.0,15.0,4.0,0.0,0.0,6.0,0.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,4.0,11.0,9.0,60.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,347.0,3.0,1.0,0.0,71.0,1,Home,0
Rhys Stanley,10.0,4.0,14.0,3.0,2.0,0.0,0.0,26.0,1.0,6.0,6.0,2.0,0.0,1.0,1.0,6.0,7.0,10.0,71.4,0.0,2.0,2.0,0.0,2.0,4.0,9.0,324.0,5.0,0.0,0.0,79.0,1,Home,0
Tom Atkins,5.0,8.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,7.0,7.0,10.0,76.9,0.0,1.0,2.0,0.0,0.0,1.0,6.0,176.0,2.0,2.0,0.0,73.0,1,Home,0
Mark Blicavs,7.0,5.0,12.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,5.0,9.0,12.0,100.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,106.0,1.0,8.0,0.0,90.0,1,Home,0
Mark O'Connor,7.0,5.0,12.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,4.0,8.0,11.0,91.7,0.0,0.0,7.0,0.0,0.0,1.0,2.0,166.0,2.0,4.0,0.0,88.0,1,Home,0
Tom Hawkins,6.0,5.0,11.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,3.0,0.0,1.0,0.0,6.0,4.0,8.0,72.7,1.0,0.0,2.0,0.0,0.0,2.0,9.0,77.0,3.0,1.0,1.0,91.0,1,Home,0
Esava Ratugolea,3.0,5.0,8.0,0.0,0.0,1.0,2.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,7.0,87.5,0.0,0.0,2.0,0.0,0.0,0.0,3.0,51.0,0.0,0.0,1.0,74.0,1,Home,0
Jack Henry,5.0,2.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,3.0,6.0,7.0,100.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,117.0,3.0,3.0,0.0,81.0,1,Home,0
Jed Bews,6.0,0.0,6.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,111.0,2.0,3.0,0.0,76.0,1,Home,0
Gary Rohan,2.0,3.0,5.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,5.0,100.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,21.0,1.0,1.0,1.0,88.0,1,Home,0
Tom Mitchell,9.0,13.0,22.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,1.0,4.0,2.0,0.0,7.0,15.0,16.0,72.7,0.0,0.0,0.0,0.0,2.0,2.0,2.0,297.0,4.0,0.0,0.0,82.0,0,Away,0
