Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes
Matt Rowell,11.0,15.0,26.0,1.0,2.0,0.0,7.0,0.0,1.0,3.0,5.0,2.0,6.0,2.0,0.0,14.0,12.0,21.0,80.8,0.0,0.0,1.0,1.0,2.0,3.0,6.0,321.0,3.0,3.0,1.0,75.0,1,Home,3
Lachlan Weller,13.0,11.0,24.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,5.0,5.0,0.0,1.0,0.0,9.0,13.0,14.0,58.3,1.0,0.0,1.0,1.0,2.0,3.0,4.0,372.0,7.0,4.0,0.0,82.0,1,Home,0
Touk Miller,12.0,10.0,22.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,9.0,15.0,12.0,54.5,0.0,0.0,3.0,0.0,0.0,1.0,5.0,248.0,4.0,4.0,1.0,75.0,1,Home,0
Brayden Fiorini,14.0,7.0,21.0,5.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,5.0,14.0,17.0,81.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,280.0,1.0,3.0,1.0,65.0,1,Home,0
Wil Powell,9.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,8.0,15.0,15.0,71.4,0.0,0.0,3.0,0.0,1.0,1.0,7.0,310.0,3.0,6.0,0.0,74.0,1,Home,0
Hugh Greenwood,15.0,5.0,20.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,7.0,7.0,5.0,1.0,2.0,14.0,5.0,11.0,55.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,401.0,5.0,5.0,2.0,72.0,1,Home,0
Noah Anderson,12.0,7.0,19.0,5.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,7.0,2.0,0.0,2.0,6.0,13.0,11.0,57.9,0.0,1.0,0.0,0.0,1.0,1.0,3.0,323.0,6.0,4.0,0.0,84.0,1,Home,0
Sam Day,8.0,10.0,18.0,5.0,2.0,0.0,2.0,5.0,3.0,5.0,0.0,1.0,0.0,1.0,0.0,4.0,12.0,14.0,77.8,0.0,1.0,3.0,0.0,0.0,0.0,8.0,227.0,2.0,1.0,0.0,82.0,1,Home,2
Jack Bowes,14.0,3.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,1.0,0.0,6.0,9.0,15.0,88.2,1.0,0.0,3.0,0.0,0.0,1.0,1.0,329.0,5.0,6.0,0.0,85.0,1,Home,0
Ben Ainsworth,7.0,9.0,16.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,7.0,9.0,10.0,62.5,0.0,1.0,0.0,0.0,0.0,0.0,7.0,251.0,3.0,2.0,0.0,83.0,1,Home,0
Connor Budarick,10.0,6.0,16.0,5.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,2.0,5.0,12.0,12.0,75.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,174.0,2.0,5.0,0.0,77.0,1,Home,0
Jarrod Witts,9.0,5.0,14.0,2.0,0.0,0.0,0.0,23.0,0.0,3.0,3.0,1.0,0.0,2.0,1.0,8.0,8.0,11.0,78.6,0.0,1.0,4.0,0.0,1.0,2.0,4.0,210.0,3.0,2.0,0.0,89.0,1,Home,0
Alex Sexton,12.0,2.0,14.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,1.0,2.0,4.0,10.0,4.0,28.6,0.0,0.0,3.0,0.0,0.0,0.0,6.0,254.0,4.0,0.0,0.0,85.0,1,Home,0
Jack Lukosius,11.0,2.0,13.0,6.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,4.0,5.0,0.0,1.0,2.0,10.0,9.0,69.2,0.0,0.0,0.0,1.0,0.0,1.0,4.0,355.0,3.0,5.0,0.0,88.0,1,Home,0
Pearce Hanley,11.0,1.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,6.0,6.0,7.0,58.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,433.0,2.0,7.0,0.0,77.0,1,Home,0
Sean Lemmens,6.0,6.0,12.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,1.0,0.0,8.0,5.0,10.0,83.3,1.0,0.0,2.0,0.0,0.0,0.0,7.0,231.0,3.0,0.0,0.0,69.0,1,Home,0
Darcy Macpherson,4.0,8.0,12.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,6.0,6.0,8.0,66.7,0.0,1.0,0.0,0.0,1.0,1.0,3.0,79.0,4.0,0.0,0.0,82.0,1,Home,0
Ben King,10.0,1.0,11.0,7.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,4.0,7.0,6.0,54.5,2.0,2.0,2.0,0.0,0.0,0.0,5.0,221.0,2.0,0.0,0.0,97.0,1,Home,0
Jarrod Harbrow,6.0,4.0,10.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,4.0,6.0,10.0,100.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,155.0,1.0,6.0,0.0,81.0,1,Home,0
Samuel Collins,5.0,2.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,5.0,6.0,85.7,0.0,0.0,10.0,0.0,0.0,0.0,0.0,122.0,1.0,3.0,0.0,100.0,1,Home,0
Charlie Ballard,4.0,2.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,5.0,83.3,1.0,0.0,11.0,0.0,0.0,0.0,3.0,33.0,1.0,3.0,0.0,92.0,1,Home,0
Nicholas Holman,4.0,2.0,6.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,6.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,69.0,0.0,1.0,1.0,85.0,1,Home,0
Andrew Gaff,20.0,9.0,29.0,2.0,0.0,0.0,3.0,0.0,0.0,5.0,2.0,2.0,3.0,2.0,0.0,8.0,17.0,24.0,82.8,0.0,0.0,3.0,0.0,0.0,2.0,3.0,582.0,7.0,10.0,0.0,83.0,0,Away,0
Luke Shuey,18.0,7.0,25.0,3.0,1.0,0.0,2.0,0.0,0.0,7.0,4.0,2.0,2.0,3.0,0.0,7.0,15.0,16.0,64.0,0.0,0.0,1.0,0.0,2.0,2.0,8.0,526.0,3.0,4.0,0.0,71.0,0,Away,1
Tim Kelly,13.0,11.0,24.0,1.0,0.0,0.0,8.0,0.0,0.0,2.0,5.0,4.0,2.0,1.0,0.0,12.0,12.0,11.0,45.8,0.0,0.0,1.0,0.0,3.0,2.0,3.0,300.0,7.0,5.0,1.0,83.0,0,Away,0
Elliot Yeo,12.0,9.0,21.0,1.0,0.0,0.0,13.0,0.0,1.0,3.0,10.0,6.0,1.0,1.0,2.0,16.0,5.0,12.0,57.1,0.0,0.0,2.0,0.0,4.0,6.0,2.0,286.0,3.0,0.0,3.0,87.0,0,Away,0
Dominic Sheed,10.0,9.0,19.0,5.0,0.0,1.0,1.0,0.0,1.0,2.0,4.0,3.0,2.0,0.0,2.0,8.0,13.0,13.0,68.4,0.0,2.0,3.0,0.0,1.0,3.0,5.0,205.0,5.0,0.0,0.0,85.0,0,Away,0
Jack Redden,9.0,9.0,18.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,2.0,5.0,3.0,2.0,3.0,5.0,13.0,13.0,72.2,0.0,0.0,0.0,0.0,1.0,1.0,4.0,251.0,6.0,1.0,0.0,90.0,0,Away,0
Shannon Hurn,11.0,5.0,16.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,6.0,0.0,2.0,3.0,6.0,15.0,93.8,0.0,0.0,2.0,0.0,0.0,0.0,1.0,311.0,3.0,11.0,0.0,84.0,0,Away,0
Lewis Jetta,11.0,5.0,16.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,3.0,13.0,10.0,62.5,0.0,0.0,2.0,2.0,0.0,0.0,1.0,319.0,6.0,3.0,0.0,85.0,0,Away,0
Liam Duggan,10.0,3.0,13.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,0.0,3.0,10.0,10.0,76.9,0.0,0.0,1.0,1.0,0.0,0.0,4.0,235.0,1.0,4.0,0.0,87.0,0,Away,0
Bradley Sheppard,7.0,5.0,12.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,4.0,8.0,11.0,91.7,1.0,0.0,4.0,0.0,0.0,0.0,1.0,183.0,3.0,4.0,0.0,94.0,0,Away,0
Jarrod Brander,8.0,4.0,12.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,10.0,9.0,75.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,205.0,1.0,2.0,0.0,81.0,0,Away,0
Liam Ryan,8.0,3.0,11.0,1.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,8.0,4.0,4.0,36.4,0.0,1.0,1.0,0.0,0.0,0.0,7.0,184.0,2.0,0.0,1.0,82.0,0,Away,0
Nicholas Naitanui,7.0,2.0,9.0,0.0,0.0,0.0,1.0,36.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,7.0,2.0,4.0,44.4,0.0,0.0,5.0,0.0,1.0,1.0,3.0,204.0,3.0,3.0,0.0,67.0,0,Away,0
Jack Darling,5.0,4.0,9.0,3.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,7.0,1.0,3.0,33.3,2.0,1.0,0.0,0.0,0.0,0.0,2.0,182.0,5.0,1.0,2.0,95.0,0,Away,0
Jeremy McGovern,7.0,2.0,9.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,4.0,5.0,7.0,77.8,1.0,0.0,7.0,0.0,0.0,0.0,0.0,161.0,0.0,5.0,0.0,82.0,0,Away,0
Tom Barrass,5.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,5.0,4.0,7.0,87.5,0.0,0.0,10.0,0.0,0.0,0.0,2.0,158.0,2.0,7.0,0.0,86.0,0,Away,0
Oscar Allen,7.0,1.0,8.0,4.0,2.0,0.0,3.0,7.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,3.0,4.0,6.0,75.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0,247.0,3.0,1.0,0.0,60.0,0,Away,0
Jack Petruccelle,5.0,3.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,5.0,3.0,3.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,158.0,2.0,1.0,0.0,72.0,0,Away,0
Jamie Cripps,3.0,4.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,6.0,5.0,71.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,112.0,4.0,0.0,1.0,85.0,0,Away,0
Joshua Kennedy,4.0,1.0,5.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,60.0,0.0,3.0,5.0,0.0,0.0,0.0,3.0,76.0,1.0,0.0,1.0,83.0,0,Away,0
Jackson Nelson,2.0,3.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,40.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,26.0,1.0,2.0,0.0,82.0,0,Away,0
Brendon Ah Chee,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,1.0,1.0,0.0,75.0,0,Away,0
