Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Lachie Whitfield,15.0,9.0,24.0,6.0,0.0,1.0,2.0,0.0,0.0,5.0,1.0,6.0,1.0,4.0,2.0,8.0,14.0,15.0,62.5,0.0,0.0,2.0,0.0,0.0,1.0,4.0,343.0,8.0,4.0,0.0,94.0,1,0
Zachary Williams,14.0,7.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,4.0,7.0,0.0,0.0,6.0,13.0,12.0,57.1,0.0,0.0,1.0,0.0,2.0,1.0,0.0,422.0,6.0,2.0,0.0,58.0,1,0
Joshua Kelly,11.0,10.0,21.0,3.0,1.0,0.0,6.0,0.0,2.0,4.0,3.0,2.0,1.0,0.0,0.0,4.0,14.0,17.0,81.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,429.0,5.0,0.0,0.0,89.0,1,0
Toby Greene,11.0,8.0,19.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,3.0,9.0,10.0,12.0,63.2,2.0,3.0,2.0,0.0,0.0,2.0,6.0,254.0,2.0,1.0,0.0,90.0,1,3
Tom Green,5.0,13.0,18.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,2.0,1.0,1.0,12.0,6.0,13.0,72.2,0.0,0.0,1.0,0.0,2.0,5.0,6.0,220.0,2.0,0.0,0.0,67.0,1,0
Aidan Corr,12.0,5.0,17.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,4.0,9.0,13.0,76.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,256.0,4.0,3.0,0.0,86.0,1,0
Heath Shaw,13.0,3.0,16.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,3.0,13.0,9.0,56.2,0.0,0.0,1.0,0.0,0.0,1.0,2.0,408.0,5.0,1.0,0.0,94.0,1,0
Nick Haynes,12.0,4.0,16.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,5.0,11.0,11.0,68.8,1.0,0.0,10.0,0.0,0.0,0.0,2.0,210.0,4.0,10.0,0.0,92.0,1,1
Callan Ward,6.0,8.0,14.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,4.0,1.0,2.0,1.0,0.0,7.0,6.0,11.0,78.6,0.0,0.0,0.0,0.0,1.0,3.0,3.0,154.0,3.0,3.0,0.0,70.0,1,0
Jacob Hopper,5.0,9.0,14.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,3.0,6.0,2.0,1.0,4.0,10.0,5.0,7.0,50.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,122.0,2.0,2.0,1.0,78.0,1,0
