Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Brad Crouch,15.0,13.0,28.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,6.0,4.0,2.0,1.0,1.0,9.0,19.0,21.0,75.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,369.0,8.0,3.0,3.0,85.0,0,0
Matt Crouch,10.0,17.0,27.0,4.0,0.0,0.0,5.0,0.0,0.0,3.0,4.0,3.0,1.0,0.0,2.0,11.0,16.0,18.0,66.7,0.0,0.0,0.0,0.0,0.0,4.0,2.0,194.0,3.0,0.0,1.0,81.0,0,0
Rory Laird,14.0,11.0,25.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,3.0,22.0,19.0,76.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,334.0,3.0,4.0,0.0,83.0,0,0
Brodie Smith,15.0,5.0,20.0,7.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,4.0,1.0,1.0,2.0,3.0,18.0,17.0,85.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,399.0,5.0,2.0,0.0,73.0,0,0
Tom Doedee,7.0,11.0,18.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,11.0,7.0,17.0,94.4,3.0,0.0,2.0,0.0,0.0,0.0,2.0,67.0,2.0,12.0,0.0,91.0,0,0
Tom Lynch,13.0,4.0,17.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,13.0,11.0,64.7,0.0,1.0,0.0,0.0,0.0,0.0,5.0,357.0,3.0,1.0,0.0,83.0,0,0
Rory Sloane,7.0,9.0,16.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,7.0,8.0,12.0,75.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,217.0,2.0,6.0,0.0,81.0,0,0
Reilly O'Brien,7.0,9.0,16.0,4.0,0.0,0.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,4.0,11.0,12.0,75.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,115.0,2.0,4.0,0.0,92.0,0,0
Ben Keays,11.0,3.0,14.0,2.0,0.0,0.0,4.0,0.0,0.0,4.0,5.0,1.0,4.0,1.0,1.0,7.0,7.0,12.0,85.7,0.0,0.0,1.0,0.0,1.0,4.0,4.0,366.0,3.0,0.0,0.0,83.0,0,0
Ben Crocker,12.0,2.0,14.0,8.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,4.0,2.0,1.0,0.0,4.0,9.0,8.0,57.1,2.0,1.0,0.0,0.0,0.0,0.0,5.0,266.0,5.0,1.0,0.0,79.0,0,0
