Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Andrew Brayshaw,15.0,13.0,28.0,8.0,2.0,0.0,5.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,1.0,6.0,21.0,21.0,75.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,299.0,1.0,6.0,0.0,73.0,0,0
Luke Ryan,20.0,5.0,25.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,8.0,0.0,1.0,6.0,17.0,22.0,88.0,0.0,0.0,4.0,4.0,0.0,2.0,4.0,526.0,3.0,6.0,0.0,88.0,0,0
Adam Cerra,15.0,9.0,24.0,5.0,0.0,2.0,4.0,0.0,0.0,6.0,7.0,0.0,4.0,2.0,0.0,11.0,12.0,17.0,70.8,0.0,0.0,1.0,1.0,2.0,5.0,3.0,496.0,2.0,3.0,1.0,77.0,0,0
David Mundy,11.0,10.0,21.0,4.0,0.0,0.0,4.0,0.0,1.0,3.0,6.0,1.0,1.0,1.0,0.0,8.0,12.0,16.0,76.2,1.0,0.0,1.0,0.0,1.0,5.0,2.0,243.0,3.0,1.0,0.0,73.0,0,0
Darcy Tucker,12.0,9.0,21.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,19.0,15.0,71.4,0.0,0.0,2.0,0.0,0.0,2.0,1.0,172.0,2.0,2.0,0.0,84.0,0,0
Nathan Fyfe,10.0,10.0,20.0,3.0,0.0,1.0,4.0,0.0,0.0,3.0,5.0,5.0,0.0,3.0,4.0,11.0,11.0,16.0,80.0,0.0,0.0,0.0,0.0,4.0,1.0,6.0,217.0,5.0,5.0,0.0,87.0,0,0
Sean Darcy,11.0,9.0,20.0,8.0,1.0,1.0,0.0,40.0,0.0,3.0,6.0,3.0,0.0,0.0,2.0,13.0,6.0,11.0,55.0,3.0,2.0,5.0,0.0,1.0,5.0,9.0,284.0,3.0,3.0,0.0,85.0,0,3
Caleb Serong,15.0,4.0,19.0,1.0,0.0,1.0,2.0,0.0,0.0,6.0,7.0,4.0,0.0,0.0,0.0,10.0,8.0,9.0,47.4,0.0,0.0,0.0,0.0,4.0,3.0,1.0,516.0,8.0,3.0,0.0,80.0,0,0
Nathan Wilson,14.0,3.0,17.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,3.0,6.0,1.0,0.0,3.0,11.0,13.0,76.5,0.0,0.0,3.0,1.0,0.0,1.0,3.0,503.0,6.0,3.0,0.0,81.0,0,0
Blake Acres,9.0,7.0,16.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,3.0,2.0,0.0,1.0,0.0,6.0,9.0,13.0,81.2,0.0,0.0,0.0,1.0,0.0,3.0,2.0,292.0,3.0,2.0,0.0,77.0,0,0
James Aish,9.0,5.0,14.0,6.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,3.0,1.0,2.0,5.0,9.0,11.0,78.6,0.0,0.0,3.0,0.0,0.0,0.0,2.0,303.0,1.0,7.0,0.0,84.0,0,0
Alex Pearce,8.0,6.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,1.0,7.0,7.0,12.0,85.7,1.0,0.0,10.0,0.0,0.0,0.0,1.0,101.0,3.0,7.0,0.0,97.0,0,0
Griffin Logue,5.0,6.0,11.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,8.0,9.0,81.8,0.0,0.0,2.0,0.0,0.0,0.0,2.0,79.0,1.0,5.0,0.0,87.0,0,0
