Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Touk Miller,19.0,15.0,34.0,2.0,0.0,1.0,10.0,0.0,0.0,6.0,6.0,8.0,2.0,4.0,1.0,17.0,17.0,22.0,64.7,0.0,0.0,2.0,0.0,3.0,3.0,2.0,454.0,8.0,3.0,1.0,83.0,0,0
David Swallow,17.0,9.0,26.0,9.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,8.0,18.0,23.0,88.5,2.0,0.0,2.0,0.0,0.0,0.0,4.0,171.0,1.0,3.0,0.0,82.0,0,0
Brayden Fiorini,15.0,8.0,23.0,11.0,0.0,0.0,6.0,0.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,6.0,18.0,16.0,69.6,0.0,0.0,2.0,0.0,2.0,1.0,6.0,325.0,3.0,3.0,0.0,76.0,0,0
Noah Anderson,14.0,9.0,23.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,7.0,3.0,1.0,1.0,10.0,16.0,12.0,52.2,0.0,0.0,3.0,0.0,0.0,1.0,2.0,402.0,9.0,5.0,0.0,82.0,0,0
Jack Lukosius,19.0,2.0,21.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,13.0,0.0,0.0,3.0,7.0,15.0,71.4,0.0,0.0,2.0,2.0,0.0,0.0,0.0,758.0,10.0,4.0,0.0,78.0,0,0
Matt Rowell,5.0,14.0,19.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0,5.0,2.0,2.0,3.0,2.0,12.0,7.0,16.0,84.2,0.0,0.0,0.0,0.0,3.0,2.0,2.0,33.0,3.0,5.0,1.0,68.0,0,0
Jy Farrar,9.0,10.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,4.0,15.0,17.0,89.5,0.0,0.0,7.0,5.0,0.0,0.0,0.0,147.0,1.0,6.0,0.0,84.0,0,0
Charlie Ballard,14.0,4.0,18.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,6.0,13.0,15.0,83.3,2.0,0.0,7.0,0.0,0.0,0.0,1.0,135.0,3.0,10.0,0.0,97.0,0,0
Samuel Collins,8.0,7.0,15.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,1.0,4.0,10.0,12.0,80.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,237.0,2.0,9.0,0.0,98.0,0,0
Alex Sexton,10.0,4.0,14.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,3.0,9.0,11.0,78.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,229.0,4.0,2.0,0.0,88.0,0,0
Sean Lemmens,11.0,3.0,14.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,1.0,4.0,10.0,7.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,353.0,6.0,5.0,0.0,89.0,0,0
Jack Bowes,10.0,3.0,13.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,2.0,0.0,2.0,2.0,10.0,10.0,76.9,0.0,0.0,2.0,0.0,0.0,2.0,4.0,191.0,3.0,1.0,0.0,83.0,0,0
Ben Ainsworth,8.0,3.0,11.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,5.0,7.0,6.0,54.5,0.0,0.0,1.0,0.0,0.0,1.0,2.0,182.0,4.0,1.0,1.0,82.0,0,0
Darcy Macpherson,4.0,6.0,10.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,1.0,5.0,5.0,6.0,60.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,13.0,3.0,3.0,1.0,74.0,0,0
Chris Burgess,4.0,6.0,10.0,3.0,1.0,0.0,3.0,6.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,5.0,5.0,8.0,80.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,84.0,1.0,1.0,0.0,85.0,0,0
Wil Powell,7.0,2.0,9.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,6.0,7.0,77.8,0.0,0.0,2.0,0.0,0.0,0.0,1.0,157.0,2.0,0.0,1.0,74.0,0,0
Josh Corbett,7.0,2.0,9.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,4.0,5.0,4.0,44.4,0.0,2.0,4.0,0.0,0.0,0.0,5.0,196.0,4.0,0.0,0.0,79.0,0,0
Jeremy Sharp,7.0,2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,10.0,5.0,55.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,272.0,3.0,2.0,0.0,92.0,0,0
Sam Flanders,6.0,2.0,8.0,4.0,1.0,0.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,92.0,0.0,0.0,0.0,78.0,0,0
