Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes
Scott Pendlebury,16.0,14.0,30.0,3.0,0.0,0.0,2.0,0.0,3.0,4.0,5.0,3.0,0.0,0.0,1.0,8.0,22.0,20.0,66.7,0.0,0.0,1.0,0.0,1.0,4.0,11.0,435.0,3.0,3.0,1.0,78.0,0,Home,0
Steele Sidebottom,18.0,12.0,30.0,3.0,0.0,0.0,12.0,0.0,0.0,6.0,9.0,8.0,1.0,1.0,2.0,17.0,14.0,15.0,50.0,0.0,0.0,5.0,0.0,4.0,5.0,5.0,374.0,10.0,3.0,2.0,87.0,0,Home,0
Jack Crisp,14.0,16.0,30.0,5.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,2.0,6.0,0.0,1.0,4.0,23.0,26.0,86.7,0.0,0.0,3.0,0.0,0.0,0.0,4.0,583.0,4.0,4.0,0.0,89.0,0,Home,0
Josh Daicos,9.0,17.0,26.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,7.0,6.0,1.0,4.0,2.0,11.0,15.0,17.0,65.4,1.0,0.0,0.0,1.0,3.0,4.0,4.0,209.0,6.0,3.0,0.0,80.0,0,Home,0
Darcy Cameron,15.0,7.0,22.0,10.0,3.0,1.0,1.0,9.0,0.0,3.0,3.0,1.0,0.0,2.0,1.0,12.0,9.0,15.0,68.2,4.0,3.0,2.0,0.0,0.0,3.0,7.0,400.0,3.0,2.0,1.0,91.0,0,Home,0
Isaac Quaynor,18.0,3.0,21.0,5.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,0.0,5.0,14.0,17.0,81.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,489.0,2.0,7.0,0.0,87.0,0,Home,0
Brodie Grundy,12.0,7.0,19.0,1.0,1.0,1.0,7.0,40.0,0.0,3.0,4.0,6.0,0.0,5.0,3.0,17.0,3.0,9.0,47.4,1.0,0.0,0.0,0.0,1.0,3.0,10.0,199.0,3.0,2.0,2.0,83.0,0,Home,0
Josh Thomas,11.0,7.0,18.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,1.0,0.0,0.0,9.0,9.0,7.0,38.9,0.0,0.0,1.0,0.0,3.0,0.0,1.0,218.0,4.0,2.0,0.0,69.0,0,Home,0
Will H-Elliott,14.0,4.0,18.0,9.0,1.0,1.0,3.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,0.0,6.0,13.0,9.0,50.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,366.0,2.0,3.0,0.0,90.0,0,Home,0
Brayden Maynard,12.0,6.0,18.0,3.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,5.0,2.0,2.0,2.0,5.0,10.0,11.0,61.1,0.0,0.0,2.0,0.0,0.0,0.0,2.0,400.0,6.0,3.0,0.0,81.0,0,Home,0
John Noble,9.0,8.0,17.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,4.0,14.0,14.0,82.4,0.0,0.0,2.0,1.0,0.0,0.0,1.0,170.0,2.0,2.0,0.0,75.0,0,Home,0
Jack Madgen,7.0,9.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0,1.0,6.0,10.0,11.0,68.8,0.0,0.0,5.0,0.0,0.0,1.0,1.0,203.0,3.0,6.0,0.0,83.0,0,Home,0
Callum Brown,4.0,10.0,14.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,10.0,9.0,64.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,101.0,3.0,2.0,2.0,71.0,0,Home,0
Nathan Murphy,6.0,8.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,4.0,9.0,10.0,71.4,0.0,0.0,2.0,0.0,1.0,0.0,0.0,193.0,2.0,3.0,0.0,79.0,0,Home,0
Jordan Roughead,8.0,4.0,12.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,4.0,8.0,9.0,75.0,1.0,0.0,10.0,0.0,0.0,1.0,1.0,111.0,3.0,3.0,0.0,96.0,0,Home,0
Darcy Moore,5.0,7.0,12.0,4.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,2.0,2.0,10.0,11.0,91.7,0.0,1.0,4.0,0.0,0.0,0.0,5.0,139.0,3.0,4.0,0.0,96.0,0,Home,0
