Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Travis Boak,11.0,17.0,28.0,3.0,0.0,0.0,3.0,0.0,1.0,4.0,6.0,4.0,1.0,0.0,0.0,10.0,17.0,18.0,64.3,0.0,2.0,0.0,0.0,4.0,2.0,7.0,364.0,5.0,2.0,0.0,83.0,1,3
Karl Amon,18.0,9.0,27.0,6.0,0.0,0.0,6.0,0.0,0.0,2.0,2.0,2.0,5.0,0.0,1.0,6.0,21.0,20.0,74.1,0.0,0.0,0.0,0.0,0.0,2.0,5.0,547.0,2.0,2.0,2.0,86.0,1,2
Robbie Gray,10.0,16.0,26.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,5.0,5.0,1.0,1.0,1.0,11.0,15.0,18.0,69.2,0.0,0.0,2.0,0.0,0.0,5.0,3.0,255.0,3.0,2.0,1.0,89.0,1,0
Oliver Wines,13.0,11.0,24.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,5.0,0.0,1.0,1.0,12.0,8.0,14.0,58.3,0.0,0.0,3.0,0.0,1.0,3.0,3.0,313.0,5.0,5.0,1.0,74.0,1,0
Darcy B-Jones,17.0,7.0,24.0,5.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,5.0,16.0,19.0,79.2,0.0,0.0,2.0,0.0,0.0,0.0,3.0,348.0,4.0,9.0,0.0,82.0,1,0
Connor Rozee,15.0,8.0,23.0,4.0,1.0,1.0,6.0,0.0,1.0,5.0,4.0,5.0,1.0,1.0,0.0,10.0,13.0,15.0,65.2,0.0,0.0,2.0,0.0,2.0,2.0,7.0,396.0,7.0,1.0,1.0,82.0,1,1
Ryan Burton,17.0,3.0,20.0,6.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,4.0,3.0,2.0,3.0,7.0,12.0,16.0,80.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,345.0,4.0,6.0,0.0,79.0,1,0
Dan Houston,13.0,6.0,19.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,5.0,1.0,0.0,9.0,9.0,13.0,68.4,0.0,0.0,3.0,1.0,0.0,2.0,1.0,210.0,2.0,7.0,0.0,51.0,1,0
Kane Farrell,14.0,5.0,19.0,4.0,1.0,1.0,4.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,1.0,6.0,13.0,13.0,68.4,1.0,1.0,0.0,0.0,1.0,2.0,8.0,465.0,3.0,3.0,0.0,73.0,1,0
Hamish Hartlett,10.0,8.0,18.0,1.0,0.0,0.0,6.0,0.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,7.0,11.0,13.0,72.2,0.0,0.0,1.0,0.0,0.0,1.0,4.0,189.0,3.0,7.0,0.0,77.0,1,0
Scott Lycett,10.0,8.0,18.0,3.0,0.0,0.0,6.0,34.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,8.0,9.0,13.0,72.2,0.0,0.0,8.0,0.0,0.0,2.0,5.0,253.0,5.0,7.0,0.0,91.0,1,0
Orazio Fantasia,15.0,3.0,18.0,6.0,1.0,5.0,2.0,0.0,1.0,8.0,1.0,2.0,0.0,2.0,1.0,7.0,11.0,7.0,38.9,0.0,3.0,0.0,1.0,0.0,1.0,9.0,489.0,5.0,3.0,1.0,84.0,1,0
Tom Clurey,13.0,4.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,2.0,8.0,9.0,15.0,88.2,2.0,0.0,11.0,0.0,0.0,0.0,1.0,173.0,3.0,10.0,0.0,97.0,1,0
Sam P-Pepper,8.0,9.0,17.0,1.0,0.0,0.0,7.0,0.0,0.0,5.0,2.0,2.0,1.0,0.0,0.0,6.0,8.0,8.0,47.1,0.0,0.0,2.0,0.0,1.0,1.0,3.0,222.0,3.0,0.0,0.0,71.0,1,0
