Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Jack Steven,23.0,15.0,38.0,8.0,0.0,1.0,4.0,0.0,0.0,5.0,7.0,7.0,3.0,2.0,3.0,10.0,28.0,23.0,0.0,0.0,1.0,0.0,3.0,4.0,4.0,659.0,6.0,2.0,1.0,78.0,0,Home,2,8.0,8.0,3.0,4.0,15.0
Leigh Montagna,12.0,16.0,28.0,5.0,1.0,0.0,7.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,7.0,22.0,27.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,259.0,3.0,4.0,0.0,87.0,0,Home,0,5.0,4.0,7.0,4.0,1.0
Dylan Roberton,20.0,8.0,28.0,12.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0,22.0,23.0,1.0,0.0,2.0,5.0,0.0,0.0,6.0,331.0,4.0,7.0,0.0,85.0,0,Home,0,11.0,12.0,1.0,6.0,5.0
Jimmy Webster,15.0,12.0,27.0,9.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,7.0,0.0,0.0,5.0,20.0,22.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,281.0,4.0,3.0,0.0,90.0,0,Home,0,9.0,9.0,2.0,3.0,5.0
Jarryn Geary,11.0,14.0,25.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,1.0,2.0,8.0,16.0,22.0,1.0,0.0,1.0,3.0,0.0,0.0,4.0,272.0,2.0,9.0,0.0,84.0,0,Home,0,4.0,5.0,0.0,3.0,3.0
Farren Ray,12.0,12.0,24.0,5.0,0.0,0.0,4.0,1.0,0.0,2.0,3.0,4.0,1.0,1.0,1.0,10.0,14.0,19.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,193.0,6.0,6.0,0.0,91.0,0,Home,0,5.0,5.0,4.0,3.0,5.0
David Armitage,12.0,12.0,24.0,7.0,0.0,1.0,9.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,1.0,5.0,20.0,17.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,287.0,2.0,2.0,2.0,80.0,0,Home,0,6.0,7.0,7.0,4.0,7.0
Nick Riewoldt,17.0,5.0,22.0,12.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,4.0,18.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,319.0,4.0,0.0,0.0,91.0,0,Home,0,11.0,11.0,1.0,7.0,7.0
Jack Billings,13.0,8.0,21.0,7.0,0.0,0.0,4.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,5.0,16.0,17.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,338.0,1.0,2.0,0.0,81.0,0,Home,0,7.0,6.0,4.0,3.0,4.0
Adam Schneider,12.0,8.0,20.0,7.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,2.0,1.0,0.0,1.0,3.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,368.0,5.0,1.0,0.0,75.0,0,Home,0,7.0,7.0,2.0,5.0,5.0
Sebastian Ross,12.0,7.0,19.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,4.0,2.0,0.0,2.0,6.0,13.0,13.0,0.0,1.0,2.0,0.0,1.0,3.0,4.0,214.0,4.0,1.0,0.0,77.0,0,Home,0,5.0,4.0,0.0,4.0,6.0
Jack Lonie,6.0,12.0,18.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,3.0,2.0,0.0,1.0,0.0,10.0,8.0,12.0,0.0,0.0,1.0,0.0,2.0,1.0,8.0,138.0,2.0,3.0,0.0,84.0,0,Home,0,3.0,3.0,2.0,7.0,6.0
Josh Bruce,8.0,7.0,15.0,8.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,6.0,10.0,10.0,2.0,5.0,2.0,0.0,1.0,0.0,9.0,122.0,4.0,2.0,0.0,94.0,0,Home,0,6.0,3.0,1.0,8.0,5.0
Cameron Shenton,7.0,7.0,14.0,6.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,9.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,169.0,1.0,6.0,0.0,88.0,0,Home,0,5.0,5.0,2.0,3.0,2.0
Blake Acres,9.0,5.0,14.0,4.0,0.0,0.0,2.0,3.0,1.0,4.0,1.0,2.0,1.0,0.0,1.0,4.0,11.0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,272.0,3.0,2.0,1.0,77.0,0,Home,0,3.0,4.0,1.0,2.0,2.0
Jack Newnes,9.0,4.0,13.0,3.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,1.0,5.0,8.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,202.0,5.0,3.0,0.0,89.0,0,Home,0,2.0,3.0,3.0,2.0,4.0
Sean Dempster,8.0,4.0,12.0,8.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,10.0,12.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,252.0,2.0,4.0,0.0,93.0,0,Home,0,7.0,8.0,2.0,3.0,0.0
Jack Sinclair,6.0,6.0,12.0,4.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,4.0,8.0,11.0,0.0,3.0,0.0,1.0,0.0,1.0,3.0,193.0,1.0,2.0,1.0,78.0,0,Home,0,4.0,1.0,1.0,3.0,1.0
Shane Savage,4.0,7.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,7.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,140.0,1.0,0.0,0.0,45.0,0,Home,0,2.0,1.0,0.0,2.0,0.0
Luke Delaney,5.0,6.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,4.0,6.0,8.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,95.0,0,Home,0,4.0,5.0,0.0,1.0,3.0
Billy Longer,3.0,5.0,8.0,2.0,1.0,0.0,2.0,26.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,5.0,2.0,7.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,52.0,0.0,0.0,0.0,89.0,0,Home,0,2.0,2.0,2.0,2.0,1.0
Tom Hickey,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,-6.0,0.0,0.0,0.0,49.0,0,Home,0,1.0,1.0,0.0,3.0,1.0
