Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Jack Steven,17.0,20.0,37.0,9.0,0.0,0.0,12.0,0.0,4.0,4.0,10.0,3.0,1.0,3.0,1.0,14.0,24.0,29.0,0.0,1.0,1.0,1.0,3.0,7.0,7.0,353.0,4.0,1.0,1.0,80.0,0,Home,1,9.0,8.0,11.0,3.0,8.0
Leigh Montagna,20.0,13.0,33.0,6.0,0.0,2.0,4.0,0.0,1.0,8.0,4.0,0.0,4.0,1.0,0.0,10.0,22.0,25.0,0.0,1.0,0.0,0.0,0.0,4.0,10.0,672.0,4.0,5.0,0.0,82.0,0,Home,0,6.0,5.0,4.0,9.0,8.0
David Armitage,10.0,22.0,32.0,5.0,0.0,0.0,4.0,0.0,1.0,2.0,7.0,4.0,4.0,1.0,2.0,16.0,15.0,25.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,277.0,3.0,2.0,0.0,82.0,0,Home,0,5.0,5.0,4.0,3.0,7.0
Adam Schneider,12.0,13.0,25.0,6.0,1.0,0.0,7.0,0.0,1.0,4.0,5.0,3.0,2.0,1.0,0.0,9.0,19.0,16.0,0.0,1.0,0.0,0.0,1.0,4.0,6.0,439.0,4.0,1.0,1.0,78.0,0,Home,0,6.0,5.0,6.0,5.0,9.0
Jack Billings,12.0,11.0,23.0,3.0,0.0,1.0,4.0,0.0,1.0,4.0,1.0,2.0,2.0,1.0,0.0,9.0,15.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,342.0,7.0,2.0,0.0,85.0,0,Home,0,3.0,2.0,4.0,2.0,7.0
Maverick Weller,10.0,12.0,22.0,3.0,2.0,0.0,5.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,1.0,6.0,17.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,326.0,7.0,2.0,1.0,88.0,0,Home,0,3.0,3.0,4.0,3.0,10.0
Shane Savage,10.0,10.0,20.0,7.0,1.0,0.0,5.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,3.0,17.0,16.0,1.0,0.0,3.0,3.0,1.0,0.0,3.0,346.0,4.0,3.0,0.0,91.0,0,Home,0,6.0,7.0,5.0,3.0,4.0
Dylan Roberton,12.0,8.0,20.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,6.0,10.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,349.0,3.0,6.0,0.0,86.0,0,Home,0,5.0,5.0,0.0,4.0,4.0
Jack Newnes,12.0,8.0,20.0,5.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,4.0,0.0,0.0,4.0,16.0,16.0,0.0,0.0,4.0,5.0,0.0,1.0,6.0,455.0,3.0,5.0,0.0,92.0,0,Home,0,5.0,5.0,1.0,5.0,4.0
Luke Dunstan,8.0,9.0,17.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,5.0,3.0,2.0,0.0,0.0,8.0,10.0,12.0,1.0,0.0,4.0,1.0,2.0,3.0,1.0,207.0,5.0,2.0,0.0,76.0,0,Home,0,1.0,2.0,3.0,1.0,5.0
Jack Sinclair,5.0,10.0,15.0,3.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,4.0,9.0,12.0,2.0,3.0,1.0,0.0,0.0,1.0,7.0,226.0,2.0,2.0,1.0,86.0,0,Home,0,1.0,0.0,2.0,7.0,3.0
Daniel McKenzie,6.0,8.0,14.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,5.0,10.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,162.0,3.0,6.0,0.0,81.0,0,Home,0,2.0,2.0,4.0,2.0,3.0
Sean Dempster,10.0,3.0,13.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,4.0,8.0,8.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,96.0,3.0,5.0,0.0,100.0,0,Home,0,5.0,6.0,5.0,0.0,5.0
Jimmy Webster,8.0,5.0,13.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,5.0,9.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,76.0,1.0,4.0,0.0,44.0,0,Home,0,5.0,5.0,3.0,1.0,3.0
Cameron Shenton,4.0,9.0,13.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,4.0,6.0,7.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,110.0,2.0,7.0,0.0,88.0,0,Home,0,6.0,6.0,1.0,0.0,1.0
Eli Templeton,6.0,5.0,11.0,5.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,10.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,157.0,2.0,1.0,2.0,83.0,0,Home,0,5.0,4.0,1.0,4.0,3.0
Blake Acres,5.0,5.0,10.0,2.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,8.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,134.0,2.0,0.0,0.0,44.0,0,Home,0,2.0,2.0,2.0,1.0,2.0
Tim Membrey,4.0,4.0,8.0,4.0,1.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,66.0,1.0,0.0,3.0,94.0,0,Home,0,3.0,3.0,2.0,3.0,0.0
Josh Bruce,6.0,1.0,7.0,4.0,2.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,1.0,2.0,4.0,0.0,0.0,0.0,7.0,166.0,0.0,1.0,1.0,97.0,0,Home,0,3.0,2.0,3.0,6.0,1.0
Sam Fisher,5.0,1.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,70.0,0.0,2.0,0.0,64.0,0,Home,0,2.0,2.0,1.0,0.0,1.0
Tom Hickey,1.0,4.0,5.0,1.0,0.0,0.0,5.0,5.0,1.0,2.0,0.0,5.0,0.0,1.0,3.0,2.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,37.0,4.0,0.0,1.0,87.0,0,Home,0,1.0,0.0,4.0,1.0,2.0
Billy Longer,3.0,1.0,4.0,0.0,0.0,0.0,5.0,28.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,102.0,1.0,1.0,0.0,92.0,0,Home,0,0.0,0.0,5.0,0.0,1.0
