Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Sam Kerridge,17.0,13.0,30.0,16.0,1.0,0.0,2.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,8.0,22.0,22.0,2.0,2.0,0.0,3.0,0.0,0.0,5.0,423.0,3.0,4.0,1.0,88.0,1,Home,2,14.0,14.0,1.0,4.0,8.0
Edward Curnow,16.0,12.0,28.0,3.0,1.0,0.0,12.0,0.0,2.0,4.0,4.0,4.0,4.0,2.0,0.0,12.0,16.0,19.0,0.0,2.0,2.0,0.0,1.0,3.0,7.0,337.0,6.0,4.0,4.0,87.0,1,Home,1,3.0,1.0,8.0,5.0,9.0
Patrick Cripps,10.0,16.0,26.0,4.0,2.0,0.0,2.0,2.0,1.0,1.0,6.0,10.0,0.0,3.0,5.0,16.0,8.0,17.0,0.0,0.0,1.0,1.0,2.0,4.0,9.0,160.0,0.0,5.0,0.0,78.0,1,Home,0,4.0,4.0,2.0,8.0,9.0
Kade Simpson,15.0,9.0,24.0,9.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,2.0,22.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,366.0,1.0,3.0,0.0,92.0,1,Home,0,9.0,9.0,3.0,3.0,3.0
Jacob Weitering,16.0,8.0,24.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,7.0,16.0,19.0,3.0,0.0,4.0,0.0,0.0,1.0,4.0,254.0,2.0,10.0,0.0,90.0,1,Home,0,11.0,14.0,3.0,4.0,5.0
Zach Tuohy,15.0,8.0,23.0,4.0,1.0,0.0,3.0,0.0,0.0,5.0,0.0,1.0,2.0,1.0,1.0,4.0,18.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,451.0,4.0,4.0,1.0,86.0,1,Home,0,4.0,4.0,2.0,6.0,4.0
Sam Docherty,12.0,8.0,20.0,8.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0,6.0,0.0,1.0,1.0,20.0,15.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,394.0,7.0,7.0,0.0,93.0,1,Home,0,8.0,8.0,3.0,7.0,5.0
Dennis Armfield,11.0,8.0,19.0,5.0,3.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,5.0,10.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,206.0,2.0,5.0,1.0,86.0,1,Home,0,5.0,2.0,1.0,6.0,3.0
Daniel Gorringe,7.0,11.0,18.0,7.0,1.0,1.0,3.0,12.0,2.0,3.0,2.0,3.0,0.0,2.0,1.0,9.0,11.0,11.0,3.0,2.0,2.0,0.0,2.0,0.0,7.0,127.0,3.0,2.0,1.0,65.0,1,Home,0,4.0,5.0,2.0,5.0,7.0
Ciaran Byrne,9.0,9.0,18.0,4.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,18.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,257.0,3.0,2.0,0.0,83.0,1,Home,0,4.0,4.0,2.0,1.0,4.0
Andrew Walker,8.0,8.0,16.0,3.0,0.0,3.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,6.0,10.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,200.0,1.0,3.0,1.0,84.0,1,Home,0,3.0,2.0,3.0,7.0,5.0
Lachlan Plowman,5.0,11.0,16.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,5.0,11.0,14.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,126.0,1.0,4.0,0.0,91.0,1,Home,0,3.0,3.0,1.0,2.0,2.0
Nicholas Graham,6.0,10.0,16.0,6.0,0.0,0.0,7.0,1.0,0.0,2.0,3.0,4.0,2.0,0.0,2.0,5.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,108.0,2.0,0.0,2.0,79.0,1,Home,0,6.0,6.0,5.0,2.0,3.0
Dale Thomas,7.0,8.0,15.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,5.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,180.0,2.0,1.0,0.0,85.0,1,Home,0,3.0,3.0,3.0,5.0,1.0
Matthew Wright,10.0,5.0,15.0,4.0,2.0,0.0,3.0,0.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,5.0,12.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,227.0,2.0,1.0,0.0,76.0,1,Home,0,4.0,4.0,3.0,4.0,2.0
Simon White,7.0,8.0,15.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,2.0,6.0,9.0,13.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0,144.0,1.0,5.0,0.0,81.0,1,Home,0,3.0,3.0,2.0,5.0,2.0
Jed Lamb,9.0,4.0,13.0,4.0,3.0,0.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,12.0,8.0,0.0,3.0,4.0,0.0,0.0,0.0,8.0,233.0,0.0,0.0,1.0,83.0,1,Home,0,4.0,1.0,2.0,7.0,5.0
Bryce Gibbs,7.0,5.0,12.0,1.0,0.0,1.0,6.0,0.0,0.0,2.0,3.0,3.0,1.0,2.0,1.0,4.0,7.0,6.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,112.0,2.0,2.0,0.0,77.0,1,Home,0,1.0,1.0,6.0,3.0,6.0
Andrejs Everitt,7.0,4.0,11.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,7.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,164.0,5.0,1.0,0.0,85.0,1,Home,0,4.0,3.0,0.0,4.0,6.0
Sam Rowe,4.0,3.0,7.0,3.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,5.0,7.0,0.0,1.0,7.0,0.0,1.0,1.0,5.0,111.0,0.0,1.0,0.0,83.0,1,Home,0,3.0,2.0,0.0,5.0,0.0
Levi Casboult,5.0,2.0,7.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,5.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,73.0,3.0,1.0,2.0,92.0,1,Home,0,4.0,4.0,1.0,3.0,2.0
Matthew Kreuzer,2.0,0.0,2.0,0.0,0.0,0.0,3.0,12.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,37.0,1,Home,0,0.0,0.0,2.0,0.0,2.0
Tom Rockliff,21.0,27.0,48.0,8.0,1.0,0.0,9.0,0.0,1.0,4.0,13.0,3.0,3.0,1.0,0.0,18.0,30.0,36.0,0.0,0.0,0.0,0.0,7.0,6.0,13.0,604.0,8.0,5.0,0.0,80.0,0,Away,3,8.0,8.0,9.0,12.0,12.0
Mitch Robinson,11.0,14.0,25.0,4.0,0.0,0.0,9.0,1.0,1.0,3.0,7.0,5.0,4.0,3.0,2.0,15.0,11.0,14.0,0.0,0.0,2.0,0.0,2.0,5.0,9.0,327.0,5.0,3.0,1.0,79.0,0,Away,0,4.0,4.0,8.0,8.0,11.0
Dayne Zorko,16.0,9.0,25.0,4.0,0.0,4.0,6.0,0.0,1.0,5.0,2.0,5.0,2.0,1.0,1.0,6.0,18.0,13.0,0.0,2.0,0.0,1.0,1.0,1.0,6.0,454.0,5.0,3.0,0.0,85.0,0,Away,0,4.0,2.0,6.0,5.0,12.0
Jarrad Jansen,8.0,13.0,21.0,2.0,1.0,0.0,5.0,0.0,0.0,3.0,4.0,3.0,1.0,1.0,1.0,13.0,8.0,16.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,194.0,2.0,3.0,0.0,78.0,0,Away,0,2.0,2.0,5.0,5.0,5.0
Ryan Bastinac,12.0,8.0,20.0,6.0,0.0,0.0,7.0,0.0,0.0,3.0,5.0,1.0,3.0,2.0,0.0,5.0,14.0,17.0,0.0,0.0,0.0,2.0,1.0,4.0,3.0,434.0,5.0,0.0,0.0,80.0,0,Away,0,6.0,6.0,7.0,3.0,3.0
Ryan Harwood,12.0,8.0,20.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,7.0,14.0,16.0,0.0,0.0,2.0,0.0,1.0,1.0,5.0,117.0,1.0,8.0,0.0,80.0,0,Away,0,6.0,6.0,2.0,5.0,4.0
Pearce Hanley,9.0,9.0,18.0,3.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,1.0,4.0,13.0,14.0,0.0,1.0,2.0,0.0,0.0,2.0,4.0,218.0,1.0,2.0,0.0,83.0,0,Away,0,3.0,2.0,2.0,4.0,4.0
