Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Dion Prestia,26.0,13.0,39.0,1.0,0.0,0.0,11.0,0.0,1.0,4.0,8.0,6.0,4.0,1.0,1.0,16.0,20.0,18.0,1.0,0.0,3.0,0.0,2.0,6.0,4.0,671.0,9.0,4.0,2.0,84.0,0,Home,0,0.0,1.0,9.0,3.0,21.0
Matthew Rosa,17.0,16.0,33.0,3.0,1.0,1.0,5.0,0.0,0.0,6.0,9.0,7.0,1.0,0.0,1.0,18.0,16.0,20.0,1.0,1.0,3.0,0.0,0.0,9.0,4.0,410.0,8.0,4.0,1.0,84.0,0,Home,0,2.0,2.0,4.0,4.0,13.0
Touk Miller,13.0,19.0,32.0,4.0,0.0,1.0,5.0,0.0,2.0,6.0,2.0,5.0,1.0,0.0,1.0,18.0,13.0,18.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,253.0,9.0,6.0,2.0,82.0,0,Home,0,4.0,4.0,3.0,1.0,14.0
Michael Rischitelli,19.0,11.0,30.0,2.0,0.0,0.0,5.0,0.0,1.0,7.0,9.0,5.0,5.0,0.0,0.0,19.0,16.0,18.0,0.0,0.0,4.0,0.0,1.0,8.0,3.0,612.0,5.0,1.0,1.0,80.0,0,Home,0,2.0,2.0,4.0,2.0,12.0
Gary Ablett,17.0,9.0,26.0,1.0,0.0,1.0,13.0,0.0,0.0,4.0,8.0,2.0,4.0,2.0,1.0,14.0,11.0,17.0,0.0,0.0,6.0,0.0,3.0,5.0,3.0,477.0,2.0,2.0,1.0,80.0,0,Home,0,1.0,1.0,12.0,3.0,9.0
Jarrod Harbrow,19.0,5.0,24.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,4.0,5.0,0.0,1.0,9.0,8.0,13.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,431.0,5.0,13.0,0.0,84.0,0,Home,0,4.0,5.0,3.0,0.0,11.0
Callum Ah Chee,6.0,14.0,20.0,3.0,0.0,0.0,8.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,11.0,10.0,15.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,201.0,2.0,6.0,3.0,81.0,0,Home,0,3.0,3.0,5.0,0.0,5.0
Aaron Hall,12.0,7.0,19.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,5.0,14.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,300.0,4.0,2.0,0.0,86.0,0,Home,0,0.0,0.0,2.0,2.0,7.0
Tom Nicholls,6.0,11.0,17.0,0.0,0.0,0.0,11.0,21.0,0.0,0.0,5.0,4.0,1.0,2.0,1.0,10.0,6.0,9.0,0.0,0.0,10.0,0.0,1.0,4.0,1.0,72.0,2.0,0.0,1.0,87.0,0,Home,0,0.0,0.0,10.0,1.0,8.0
Nick Malceski,15.0,1.0,16.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,4.0,13.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,368.0,4.0,6.0,1.0,73.0,0,Home,0,5.0,3.0,3.0,1.0,10.0
