Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Dion Prestia,14.0,17.0,31.0,5.0,0.0,0.0,8.0,0.0,1.0,6.0,7.0,4.0,2.0,3.0,2.0,14.0,16.0,22.0,0.0,0.0,0.0,1.0,1.0,6.0,11.0,459.0,3.0,5.0,2.0,88.0,1,Home,0,5.0,5.0,6.0,10.0,9.0
Aaron Hall,20.0,9.0,29.0,3.0,0.0,1.0,6.0,0.0,1.0,8.0,7.0,7.0,0.0,1.0,2.0,13.0,17.0,18.0,0.0,0.0,2.0,2.0,5.0,2.0,10.0,532.0,7.0,3.0,1.0,77.0,1,Home,0,3.0,3.0,5.0,9.0,11.0
Jack Martin,14.0,15.0,29.0,9.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,5.0,0.0,0.0,7.0,22.0,23.0,1.0,0.0,3.0,3.0,0.0,0.0,6.0,392.0,2.0,6.0,0.0,79.0,1,Home,0,8.0,9.0,4.0,6.0,6.0
Jarrod Harbrow,16.0,11.0,27.0,12.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,4.0,8.0,0.0,1.0,7.0,19.0,22.0,1.0,0.0,2.0,2.0,0.0,1.0,4.0,362.0,3.0,9.0,0.0,87.0,1,Home,2,11.0,12.0,4.0,4.0,5.0
Touk Miller,12.0,15.0,27.0,6.0,1.0,0.0,11.0,0.0,1.0,3.0,3.0,4.0,2.0,4.0,1.0,14.0,14.0,19.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,328.0,4.0,2.0,2.0,80.0,1,Home,1,6.0,6.0,9.0,8.0,8.0
Matt Shaw,11.0,9.0,20.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,4.0,1.0,0.0,7.0,13.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,273.0,2.0,4.0,0.0,88.0,1,Home,0,3.0,3.0,2.0,3.0,5.0
Peter Wright,13.0,7.0,20.0,12.0,5.0,1.0,1.0,6.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,8.0,12.0,18.0,4.0,6.0,2.0,0.0,1.0,0.0,11.0,231.0,2.0,1.0,1.0,95.0,1,Home,3,8.0,6.0,0.0,8.0,2.0
Nick Malceski,11.0,8.0,19.0,6.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,4.0,2.0,0.0,2.0,3.0,15.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,191.0,4.0,2.0,0.0,78.0,1,Home,0,6.0,6.0,4.0,2.0,5.0
Gary Ablett,10.0,8.0,18.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,10.0,4.0,3.0,2.0,1.0,15.0,4.0,9.0,0.0,0.0,1.0,0.0,5.0,5.0,5.0,191.0,5.0,1.0,0.0,71.0,1,Home,0,0.0,0.0,3.0,5.0,9.0
Steven May,11.0,7.0,18.0,9.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,16.0,15.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,247.0,2.0,4.0,0.0,98.0,1,Home,0,9.0,9.0,1.0,3.0,3.0
Brandon Matera,11.0,6.0,17.0,5.0,3.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,7.0,12.0,13.0,0.0,1.0,3.0,1.0,0.0,1.0,6.0,178.0,1.0,1.0,0.0,87.0,1,Home,0,5.0,4.0,1.0,5.0,4.0
Alex Sexton,10.0,7.0,17.0,2.0,2.0,0.0,1.0,0.0,1.0,4.0,1.0,2.0,0.0,1.0,1.0,5.0,11.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,391.0,3.0,2.0,0.0,90.0,1,Home,0,2.0,1.0,1.0,4.0,4.0
Tom Nicholls,5.0,11.0,16.0,2.0,0.0,0.0,7.0,31.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,11.0,4.0,9.0,1.0,0.0,3.0,0.0,0.0,3.0,9.0,77.0,2.0,4.0,0.0,91.0,1,Home,0,1.0,2.0,7.0,9.0,7.0
Kade Kolodjashnij,4.0,12.0,16.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,52.0,0.0,1.0,0.0,90.0,1,Home,0,3.0,3.0,2.0,4.0,1.0
Sam Day,8.0,6.0,14.0,5.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,5.0,3.0,1.0,2.0,6.0,9.0,10.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,224.0,3.0,6.0,1.0,92.0,1,Home,0,4.0,5.0,0.0,3.0,4.0
Callum Ah Chee,8.0,6.0,14.0,3.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,2.0,4.0,9.0,8.0,0.0,1.0,1.0,0.0,0.0,1.0,9.0,256.0,5.0,0.0,0.0,76.0,1,Home,0,3.0,2.0,2.0,7.0,6.0
Ryan Davis,10.0,2.0,12.0,1.0,2.0,2.0,5.0,0.0,1.0,3.0,2.0,2.0,0.0,2.0,1.0,9.0,3.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,251.0,2.0,1.0,2.0,82.0,1,Home,0,1.0,1.0,3.0,5.0,4.0
Tom Lynch,8.0,4.0,12.0,7.0,5.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,6.0,6.0,10.0,3.0,5.0,0.0,0.0,0.0,0.0,9.0,215.0,1.0,1.0,1.0,98.0,1,Home,0,4.0,2.0,1.0,7.0,2.0
Rory Thompson,8.0,4.0,12.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,10.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,156.0,2.0,2.0,0.0,96.0,1,Home,0,8.0,8.0,1.0,2.0,2.0
Jarrod Garlett,7.0,3.0,10.0,5.0,1.0,1.0,8.0,0.0,0.0,2.0,1.0,4.0,0.0,2.0,1.0,6.0,6.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0,159.0,4.0,3.0,2.0,76.0,1,Home,0,5.0,4.0,6.0,6.0,4.0
Jesse Joyce,6.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,7.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,184.0,1.0,0.0,0.0,76.0,1,Home,0,2.0,2.0,0.0,2.0,1.0
Michael Rischitelli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,Home,0,0.0,0.0,0.0,0.0,0.0
Tom Rockliff,7.0,21.0,28.0,1.0,0.0,0.0,10.0,0.0,1.0,3.0,3.0,4.0,0.0,1.0,2.0,12.0,16.0,17.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,239.0,2.0,0.0,3.0,83.0,0,Away,0,1.0,1.0,7.0,5.0,11.0
Rhys Mathieson,10.0,14.0,24.0,1.0,0.0,0.0,4.0,0.0,0.0,7.0,5.0,4.0,0.0,2.0,3.0,10.0,13.0,16.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,273.0,4.0,0.0,2.0,67.0,0,Away,0,1.0,1.0,2.0,5.0,8.0
Pearce Hanley,12.0,11.0,23.0,5.0,0.0,1.0,4.0,2.0,1.0,3.0,7.0,6.0,1.0,0.0,3.0,9.0,14.0,16.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,346.0,5.0,1.0,0.0,80.0,0,Away,0,5.0,5.0,4.0,5.0,7.0
Mitch Robinson,9.0,12.0,21.0,5.0,0.0,0.0,8.0,1.0,1.0,4.0,4.0,4.0,0.0,2.0,3.0,6.0,16.0,16.0,0.0,1.0,2.0,0.0,3.0,1.0,6.0,317.0,4.0,0.0,1.0,84.0,0,Away,0,5.0,4.0,7.0,5.0,5.0
Sam Mayes,16.0,5.0,21.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,6.0,3.0,2.0,1.0,4.0,18.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,615.0,8.0,5.0,0.0,80.0,0,Away,0,3.0,3.0,4.0,5.0,7.0
Stefan Martin,13.0,6.0,19.0,5.0,0.0,1.0,2.0,30.0,1.0,7.0,3.0,4.0,3.0,1.0,2.0,8.0,10.0,10.0,0.0,0.0,3.0,0.0,3.0,0.0,4.0,399.0,4.0,1.0,1.0,90.0,0,Away,0,5.0,5.0,1.0,3.0,9.0
Dayne Zorko,8.0,11.0,19.0,1.0,1.0,0.0,8.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0,7.0,10.0,14.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,295.0,3.0,5.0,0.0,84.0,0,Away,0,1.0,1.0,8.0,4.0,5.0
Ryan Lester,8.0,10.0,18.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,9.0,8.0,13.0,2.0,1.0,5.0,0.0,1.0,2.0,3.0,224.0,4.0,6.0,0.0,85.0,0,Away,0,2.0,3.0,2.0,3.0,5.0
