Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Riley Bonner,21.0,10.0,31.0,6.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,3.0,5.0,0.0,1.0,9.0,22.0,25.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,689.0,4.0,7.0,0.0,85.0,1,Home,0,6.0,6.0,1.0,7.0,6.0
Jared Polec,15.0,14.0,29.0,4.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,3.0,1.0,0.0,7.0,21.0,23.0,0.0,0.0,1.0,0.0,1.0,1.0,10.0,167.0,3.0,7.0,0.0,77.0,1,Home,0,4.0,4.0,2.0,10.0,6.0
Brad Ebert,13.0,15.0,28.0,5.0,0.0,1.0,7.0,0.0,1.0,7.0,2.0,7.0,1.0,0.0,3.0,9.0,19.0,21.0,0.0,0.0,3.0,0.0,1.0,1.0,9.0,300.0,5.0,1.0,0.0,85.0,1,Home,0,5.0,5.0,7.0,8.0,7.0
Oliver Wines,13.0,15.0,28.0,3.0,0.0,0.0,5.0,1.0,1.0,2.0,9.0,3.0,2.0,2.0,0.0,11.0,17.0,18.0,0.0,0.0,2.0,0.0,1.0,8.0,4.0,301.0,5.0,3.0,0.0,75.0,1,Home,0,3.0,3.0,5.0,3.0,10.0
Darcy B-Jones,13.0,15.0,28.0,3.0,0.0,0.0,3.0,0.0,1.0,5.0,10.0,3.0,1.0,1.0,2.0,15.0,14.0,21.0,0.0,0.0,1.0,2.0,1.0,9.0,6.0,397.0,3.0,2.0,0.0,89.0,1,Home,0,3.0,3.0,3.0,5.0,7.0
Travis Boak,12.0,14.0,26.0,5.0,1.0,1.0,3.0,0.0,1.0,5.0,1.0,4.0,0.0,1.0,0.0,9.0,18.0,19.0,0.0,3.0,1.0,0.0,1.0,0.0,8.0,251.0,4.0,2.0,0.0,83.0,1,Home,0,5.0,2.0,3.0,7.0,7.0
Justin Westhoff,15.0,10.0,25.0,9.0,0.0,0.0,9.0,5.0,0.0,1.0,4.0,5.0,2.0,2.0,1.0,13.0,16.0,17.0,0.0,0.0,11.0,0.0,2.0,2.0,7.0,224.0,5.0,7.0,0.0,87.0,1,Home,3,9.0,9.0,9.0,7.0,8.0
Hamish Hartlett,19.0,4.0,23.0,7.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,4.0,4.0,1.0,1.0,9.0,14.0,17.0,1.0,0.0,6.0,0.0,1.0,1.0,7.0,620.0,2.0,7.0,0.0,86.0,1,Home,0,6.0,7.0,2.0,7.0,6.0
Chad Wingard,13.0,10.0,23.0,7.0,2.0,1.0,0.0,0.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,7.0,16.0,19.0,1.0,3.0,1.0,3.0,2.0,1.0,15.0,441.0,4.0,0.0,0.0,91.0,1,Home,0,6.0,4.0,0.0,13.0,4.0
Dom Barry,12.0,10.0,22.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,4.0,0.0,0.0,1.0,5.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,348.0,4.0,3.0,0.0,86.0,1,Home,0,5.0,5.0,1.0,8.0,7.0
