Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Bryce Gibbs,21.0,15.0,36.0,5.0,0.0,0.0,9.0,0.0,1.0,4.0,9.0,3.0,4.0,1.0,1.0,15.0,19.0,24.0,0.0,0.0,1.0,1.0,3.0,6.0,8.0,522.0,5.0,2.0,1.0,79.0,0,Home,2,5.0,5.0,8.0,7.0,12.0
Matt Crouch,13.0,23.0,36.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,7.0,3.0,0.0,2.0,0.0,18.0,17.0,23.0,0.0,0.0,1.0,0.0,3.0,4.0,5.0,359.0,5.0,6.0,0.0,77.0,0,Home,0,3.0,3.0,5.0,5.0,13.0
Rory Laird,17.0,13.0,30.0,6.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,4.0,6.0,1.0,1.0,14.0,16.0,22.0,0.0,0.0,1.0,2.0,0.0,3.0,4.0,472.0,9.0,9.0,0.0,90.0,0,Home,0,6.0,6.0,3.0,3.0,8.0
Sam Gibson,14.0,11.0,25.0,5.0,0.0,1.0,3.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,10.0,16.0,14.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,355.0,4.0,1.0,0.0,80.0,0,Home,0,5.0,4.0,3.0,6.0,11.0
Hugh Greenwood,9.0,11.0,20.0,3.0,0.0,2.0,7.0,0.0,0.0,4.0,4.0,0.0,1.0,2.0,0.0,17.0,3.0,14.0,2.0,0.0,1.0,0.0,1.0,3.0,6.0,240.0,3.0,5.0,1.0,74.0,0,Home,0,1.0,3.0,6.0,6.0,6.0
Richard Douglas,11.0,8.0,19.0,0.0,2.0,4.0,3.0,0.0,1.0,7.0,2.0,3.0,0.0,4.0,3.0,11.0,9.0,10.0,0.0,0.0,3.0,0.0,0.0,2.0,13.0,361.0,2.0,1.0,1.0,71.0,0,Home,0,0.0,0.0,2.0,12.0,9.0
Cameron E-Yolmen,6.0,12.0,18.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,8.0,1.0,0.0,1.0,0.0,13.0,5.0,13.0,0.0,0.0,4.0,0.0,3.0,5.0,3.0,123.0,1.0,0.0,0.0,75.0,0,Home,0,1.0,1.0,3.0,3.0,5.0
Tom Doedee,9.0,9.0,18.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,4.0,1.0,1.0,8.0,10.0,11.0,0.0,0.0,8.0,0.0,0.0,2.0,1.0,303.0,8.0,6.0,0.0,92.0,0,Home,0,1.0,1.0,3.0,1.0,7.0
Paul Seedsman,7.0,9.0,16.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,3.0,1.0,2.0,1.0,0.0,11.0,7.0,12.0,1.0,0.0,5.0,1.0,1.0,2.0,4.0,318.0,1.0,5.0,0.0,83.0,0,Home,0,0.0,1.0,2.0,4.0,4.0
Eddie Betts,8.0,7.0,15.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,10.0,4.0,9.0,0.0,1.0,1.0,0.0,0.0,1.0,10.0,192.0,2.0,1.0,0.0,87.0,0,Home,0,1.0,0.0,0.0,8.0,6.0
