Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Steele Sidebottom,14.0,17.0,31.0,6.0,0.0,1.0,4.0,0.0,0.0,1.0,8.0,1.0,3.0,0.0,0.0,12.0,20.0,25.0,0.0,1.0,6.0,2.0,3.0,5.0,5.0,302.0,3.0,3.0,0.0,86.0,1,Home,0,6.0,5.0,4.0,5.0,6.0
Scott Pendlebury,12.0,17.0,29.0,3.0,1.0,0.0,5.0,0.0,1.0,6.0,4.0,3.0,2.0,2.0,2.0,9.0,20.0,25.0,0.0,0.0,5.0,0.0,1.0,3.0,9.0,455.0,3.0,4.0,0.0,84.0,1,Home,3,3.0,3.0,5.0,8.0,4.0
Tom Phillips,18.0,10.0,28.0,8.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,3.0,25.0,21.0,0.0,1.0,0.0,2.0,0.0,1.0,8.0,501.0,6.0,4.0,0.0,86.0,1,Home,0,8.0,7.0,2.0,8.0,7.0
Taylor Adams,12.0,12.0,24.0,5.0,0.0,0.0,3.0,0.0,0.0,4.0,4.0,5.0,0.0,2.0,3.0,13.0,12.0,16.0,0.0,0.0,3.0,0.0,2.0,2.0,4.0,192.0,3.0,4.0,0.0,80.0,1,Home,0,5.0,5.0,3.0,4.0,8.0
Jack Crisp,16.0,6.0,22.0,8.0,0.0,0.0,4.0,0.0,5.0,6.0,0.0,2.0,2.0,1.0,1.0,6.0,18.0,18.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,426.0,3.0,4.0,0.0,85.0,1,Home,0,7.0,8.0,4.0,3.0,4.0
Jeremy Howe,13.0,8.0,21.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,2.0,0.0,10.0,11.0,19.0,2.0,0.0,5.0,0.0,0.0,0.0,4.0,381.0,3.0,13.0,0.0,93.0,1,Home,0,7.0,9.0,0.0,4.0,2.0
Matthew Scharenberg,13.0,8.0,21.0,6.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,1.0,5.0,16.0,19.0,1.0,0.0,6.0,0.0,0.0,0.0,4.0,238.0,3.0,9.0,0.0,90.0,1,Home,0,5.0,6.0,3.0,4.0,2.0
Tom Langdon,12.0,9.0,21.0,5.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,5.0,2.0,1.0,3.0,7.0,13.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,351.0,5.0,7.0,0.0,85.0,1,Home,0,5.0,5.0,4.0,2.0,4.0
Brayden Maynard,12.0,9.0,21.0,5.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,5.0,16.0,16.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,204.0,2.0,6.0,0.0,83.0,1,Home,0,4.0,5.0,3.0,2.0,5.0
Brodie Grundy,7.0,13.0,20.0,6.0,0.0,1.0,1.0,34.0,1.0,3.0,5.0,1.0,1.0,2.0,1.0,10.0,9.0,17.0,3.0,0.0,2.0,0.0,0.0,5.0,7.0,201.0,1.0,4.0,0.0,88.0,1,Home,0,3.0,6.0,1.0,6.0,3.0
Adam Treloar,9.0,10.0,19.0,0.0,1.0,0.0,4.0,0.0,1.0,4.0,3.0,2.0,0.0,0.0,1.0,4.0,13.0,15.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,356.0,2.0,2.0,1.0,68.0,1,Home,0,0.0,0.0,3.0,3.0,4.0
