Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Sebastian Ross,20.0,12.0,32.0,8.0,0.0,0.0,6.0,0.0,1.0,6.0,3.0,6.0,1.0,3.0,1.0,12.0,21.0,23.0,0.0,0.0,3.0,1.0,0.0,3.0,4.0,640.0,8.0,4.0,0.0,81.0,0,Home,0,8.0,8.0,6.0,3.0,9.0
Luke Dunstan,15.0,15.0,30.0,5.0,0.0,0.0,3.0,0.0,1.0,4.0,6.0,3.0,3.0,0.0,0.0,10.0,18.0,25.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,283.0,2.0,2.0,1.0,78.0,0,Home,0,5.0,5.0,2.0,4.0,5.0
Shane Savage,21.0,8.0,29.0,6.0,0.0,2.0,4.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,1.0,5.0,25.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,460.0,4.0,6.0,0.0,86.0,0,Home,0,6.0,6.0,4.0,6.0,5.0
Jack Steven,15.0,13.0,28.0,5.0,0.0,0.0,4.0,0.0,0.0,2.0,6.0,3.0,3.0,0.0,1.0,10.0,18.0,14.0,0.0,3.0,0.0,1.0,2.0,4.0,6.0,374.0,3.0,1.0,0.0,78.0,0,Home,0,5.0,2.0,4.0,6.0,14.0
Jack Newnes,17.0,8.0,25.0,8.0,0.0,2.0,1.0,0.0,0.0,5.0,2.0,2.0,3.0,0.0,1.0,6.0,19.0,17.0,0.0,1.0,2.0,1.0,0.0,2.0,6.0,406.0,2.0,2.0,0.0,83.0,0,Home,0,8.0,7.0,1.0,6.0,8.0
Jack Sinclair,13.0,10.0,23.0,5.0,1.0,0.0,4.0,0.0,1.0,9.0,2.0,4.0,0.0,1.0,2.0,9.0,14.0,15.0,1.0,0.0,1.0,1.0,2.0,0.0,6.0,444.0,6.0,5.0,0.0,85.0,0,Home,0,4.0,5.0,4.0,5.0,8.0
Jimmy Webster,15.0,5.0,20.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,9.0,2.0,0.0,8.0,12.0,17.0,0.0,0.0,3.0,2.0,2.0,0.0,2.0,452.0,1.0,7.0,0.0,86.0,0,Home,0,1.0,1.0,3.0,2.0,3.0
Blake Acres,10.0,9.0,19.0,2.0,1.0,3.0,4.0,1.0,0.0,1.0,2.0,3.0,0.0,3.0,2.0,10.0,10.0,14.0,0.0,0.0,3.0,0.0,0.0,2.0,8.0,289.0,5.0,1.0,2.0,88.0,0,Home,0,2.0,2.0,2.0,8.0,5.0
Nicholas Coffield,12.0,6.0,18.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,16.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,254.0,1.0,4.0,0.0,69.0,0,Home,0,6.0,5.0,0.0,5.0,2.0
Jack Billings,4.0,13.0,17.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,60.0,2.0,2.0,0.0,81.0,0,Home,0,4.0,4.0,2.0,4.0,5.0
