Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Dayne Beams,11.0,17.0,28.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,6.0,2.0,3.0,1.0,10.0,19.0,19.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,357.0,6.0,0.0,0.0,90.0,0,Home,0,4.0,4.0,2.0,5.0,9.0
Alex Witherden,17.0,10.0,27.0,14.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,3.0,2.0,1.0,1.0,4.0,21.0,23.0,0.0,0.0,4.0,1.0,0.0,1.0,4.0,442.0,3.0,8.0,0.0,90.0,0,Home,1,14.0,14.0,3.0,4.0,4.0
Tom Cutler,19.0,7.0,26.0,5.0,0.0,0.0,5.0,0.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,20.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,436.0,3.0,4.0,0.0,88.0,0,Home,0,5.0,5.0,5.0,2.0,3.0
Hugh McCluggage,11.0,15.0,26.0,5.0,0.0,0.0,5.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,8.0,18.0,20.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,240.0,4.0,4.0,1.0,83.0,0,Home,0,5.0,5.0,4.0,3.0,6.0
Jarrod Berry,12.0,13.0,25.0,9.0,0.0,1.0,8.0,0.0,2.0,4.0,4.0,4.0,5.0,0.0,1.0,5.0,22.0,15.0,0.0,1.0,1.0,0.0,2.0,2.0,7.0,325.0,6.0,1.0,1.0,83.0,0,Home,0,9.0,8.0,7.0,5.0,10.0
Mitch Robinson,13.0,11.0,24.0,7.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,8.0,14.0,18.0,1.0,0.0,3.0,0.0,1.0,1.0,5.0,291.0,3.0,7.0,0.0,88.0,0,Home,0,6.0,7.0,4.0,5.0,6.0
Nicholas Robertson,16.0,5.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,8.0,3.0,0.0,8.0,13.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,449.0,7.0,10.0,0.0,80.0,0,Home,0,7.0,7.0,0.0,2.0,6.0
Lewis Taylor,14.0,6.0,20.0,6.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,17.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,381.0,3.0,0.0,1.0,78.0,0,Home,0,6.0,5.0,1.0,6.0,8.0
Luke Hodge,12.0,7.0,19.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,5.0,11.0,17.0,2.0,0.0,7.0,0.0,0.0,1.0,1.0,212.0,1.0,8.0,0.0,82.0,0,Home,0,4.0,6.0,2.0,1.0,2.0
Stefan Martin,13.0,6.0,19.0,6.0,0.0,1.0,1.0,30.0,0.0,5.0,6.0,4.0,1.0,1.0,2.0,7.0,11.0,13.0,1.0,0.0,3.0,0.0,2.0,4.0,5.0,373.0,4.0,3.0,1.0,94.0,0,Home,0,5.0,6.0,0.0,5.0,6.0
