Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Travis Boak,16.0,16.0,32.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,4.0,3.0,4.0,0.0,18.0,14.0,21.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,447.0,6.0,4.0,0.0,80.0,0,Home,0,2.0,2.0,1.0,6.0,11.0
Robbie Gray,12.0,20.0,32.0,3.0,1.0,1.0,4.0,0.0,0.0,4.0,5.0,4.0,2.0,4.0,0.0,17.0,14.0,21.0,0.0,0.0,1.0,0.0,1.0,4.0,7.0,262.0,5.0,6.0,0.0,88.0,0,Home,0,3.0,3.0,4.0,7.0,11.0
Oliver Wines,19.0,13.0,32.0,5.0,0.0,1.0,8.0,0.0,0.0,4.0,7.0,5.0,1.0,0.0,0.0,12.0,14.0,14.0,0.0,1.0,0.0,0.0,2.0,5.0,2.0,385.0,7.0,4.0,4.0,77.0,0,Home,0,5.0,4.0,4.0,2.0,18.0
Darcy B-Jones,24.0,6.0,30.0,6.0,0.0,0.0,3.0,0.0,0.0,5.0,2.0,1.0,3.0,0.0,0.0,9.0,17.0,23.0,0.0,0.0,3.0,0.0,0.0,2.0,5.0,453.0,3.0,12.0,0.0,87.0,0,Home,0,6.0,6.0,3.0,5.0,7.0
Tom Rockliff,16.0,13.0,29.0,2.0,0.0,0.0,3.0,0.0,1.0,4.0,5.0,6.0,3.0,2.0,1.0,12.0,17.0,10.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,477.0,11.0,1.0,1.0,77.0,0,Home,0,2.0,1.0,2.0,3.0,19.0
Hamish Hartlett,15.0,4.0,19.0,3.0,0.0,0.0,7.0,0.0,0.0,3.0,1.0,0.0,3.0,3.0,0.0,4.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,381.0,3.0,8.0,0.0,82.0,0,Home,0,3.0,3.0,7.0,3.0,5.0
Sam Gray,12.0,7.0,19.0,4.0,2.0,1.0,5.0,0.0,0.0,2.0,0.0,3.0,1.0,4.0,0.0,10.0,8.0,11.0,1.0,2.0,2.0,0.0,0.0,0.0,5.0,307.0,5.0,4.0,1.0,86.0,0,Home,0,3.0,2.0,4.0,5.0,8.0
Thomas Jonas,12.0,6.0,18.0,8.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,6.0,0.0,2.0,3.0,13.0,14.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,297.0,5.0,5.0,0.0,94.0,0,Home,0,8.0,8.0,2.0,1.0,4.0
Karl Amon,13.0,5.0,18.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,3.0,3.0,2.0,1.0,1.0,7.0,9.0,10.0,0.0,1.0,1.0,0.0,1.0,2.0,5.0,310.0,5.0,3.0,0.0,86.0,0,Home,0,2.0,1.0,2.0,5.0,8.0
Sam P-Pepper,7.0,11.0,18.0,1.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,7.0,11.0,11.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,218.0,2.0,1.0,2.0,83.0,0,Home,0,1.0,1.0,0.0,6.0,7.0
Riley Bonner,12.0,4.0,16.0,5.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,4.0,6.0,0.0,2.0,5.0,11.0,12.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,372.0,5.0,6.0,0.0,87.0,0,Home,0,5.0,5.0,3.0,4.0,4.0
Justin Westhoff,11.0,4.0,15.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,2.0,4.0,12.0,10.0,0.0,0.0,11.0,0.0,1.0,1.0,4.0,335.0,2.0,3.0,2.0,87.0,0,Home,0,4.0,4.0,1.0,4.0,5.0
Steven Motlop,8.0,5.0,13.0,7.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,11.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,171.0,1.0,2.0,0.0,82.0,0,Home,0,6.0,7.0,3.0,2.0,2.0
Connor Rozee,6.0,7.0,13.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,6.0,7.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,138.0,0.0,4.0,1.0,82.0,0,Home,0,1.0,1.0,6.0,4.0,8.0
Charlie Dixon,7.0,5.0,12.0,3.0,1.0,2.0,0.0,3.0,0.0,1.0,1.0,8.0,0.0,1.0,4.0,10.0,2.0,5.0,2.0,1.0,1.0,0.0,0.0,1.0,5.0,117.0,5.0,1.0,0.0,94.0,0,Home,0,1.0,2.0,0.0,5.0,7.0
Ryan Burton,8.0,4.0,12.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,184.0,4.0,4.0,0.0,41.0,0,Home,0,1.0,1.0,2.0,1.0,4.0
Dougal Howard,8.0,3.0,11.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,3.0,3.0,2.0,1.0,7.0,4.0,3.0,1.0,0.0,7.0,0.0,0.0,3.0,2.0,157.0,4.0,4.0,0.0,80.0,0,Home,0,1.0,2.0,1.0,2.0,8.0
Scott Lycett,6.0,4.0,10.0,1.0,0.0,0.0,6.0,32.0,0.0,1.0,4.0,6.0,1.0,4.0,5.0,7.0,5.0,9.0,0.0,0.0,6.0,0.0,2.0,2.0,5.0,179.0,2.0,1.0,0.0,86.0,0,Home,0,1.0,1.0,6.0,5.0,1.0
Cameron Sutcliffe,6.0,4.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,4.0,0.0,3.0,1.0,5.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,132.0,2.0,2.0,0.0,78.0,0,Home,0,0.0,0.0,4.0,1.0,5.0
Tom Clurey,5.0,5.0,10.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,4.0,5.0,6.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,174.0,1.0,3.0,0.0,96.0,0,Home,0,2.0,3.0,2.0,0.0,4.0
Zak Butters,5.0,5.0,10.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,3.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,108.0,1.0,2.0,1.0,77.0,0,Home,0,1.0,1.0,3.0,4.0,2.0
