Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Dustin Martin,15.0,15.0,30.0,3.0,1.0,0.0,1.0,0.0,1.0,8.0,5.0,4.0,0.0,0.0,0.0,9.0,20.0,24.0,0.0,0.0,0.0,3.0,3.0,2.0,6.0,581.0,6.0,2.0,1.0,86.0,1,Home,3,3.0,3.0,0.0,5.0,6.0
Dion Prestia,16.0,14.0,30.0,6.0,1.0,1.0,4.0,0.0,0.0,5.0,6.0,7.0,7.0,2.0,3.0,13.0,17.0,19.0,0.0,0.0,0.0,0.0,3.0,3.0,9.0,532.0,7.0,5.0,0.0,83.0,1,Home,2,6.0,6.0,4.0,9.0,11.0
Bachar Houli,10.0,18.0,28.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,7.0,21.0,27.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,254.0,1.0,4.0,0.0,79.0,1,Home,0,4.0,4.0,1.0,4.0,1.0
Brandon Ellis,13.0,14.0,27.0,5.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,1.0,0.0,2.0,7.0,23.0,19.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,389.0,6.0,5.0,0.0,84.0,1,Home,0,5.0,5.0,0.0,6.0,8.0
Trent Cotchin,12.0,10.0,22.0,2.0,0.0,0.0,6.0,0.0,0.0,3.0,5.0,4.0,0.0,2.0,1.0,9.0,13.0,15.0,0.0,0.0,1.0,0.0,4.0,1.0,4.0,377.0,4.0,3.0,0.0,76.0,1,Home,0,2.0,2.0,6.0,4.0,7.0
Kane Lambert,9.0,13.0,22.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,5.0,2.0,1.0,1.0,9.0,15.0,15.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,290.0,5.0,3.0,0.0,82.0,1,Home,0,3.0,3.0,4.0,4.0,7.0
Shai Bolton,6.0,16.0,22.0,3.0,0.0,0.0,3.0,0.0,1.0,4.0,1.0,3.0,1.0,0.0,0.0,9.0,12.0,19.0,1.0,0.0,1.0,1.0,0.0,1.0,6.0,190.0,2.0,2.0,1.0,85.0,1,Home,0,2.0,3.0,2.0,5.0,3.0
Nick Vlastuin,12.0,9.0,21.0,8.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,7.0,0.0,1.0,5.0,15.0,17.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,424.0,7.0,6.0,0.0,90.0,1,Home,0,8.0,8.0,2.0,1.0,4.0
Liam Baker,6.0,14.0,20.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,2.0,10.0,12.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,253.0,3.0,9.0,0.0,76.0,1,Home,0,1.0,1.0,3.0,4.0,5.0
Shane Edwards,6.0,13.0,19.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,3.0,8.0,13.0,16.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,221.0,4.0,8.0,0.0,82.0,1,Home,0,4.0,5.0,1.0,1.0,3.0
