Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Luke Shuey,16.0,12.0,28.0,2.0,2.0,0.0,5.0,0.0,0.0,7.0,5.0,5.0,2.0,2.0,1.0,8.0,19.0,20.0,0.0,0.0,1.0,0.0,4.0,1.0,6.0,429.0,7.0,3.0,1.0,81.0,1,Home,3,2.0,2.0,4.0,6.0,8.0
Dominic Sheed,19.0,9.0,28.0,9.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,4.0,1.0,1.0,7.0,21.0,21.0,0.0,1.0,0.0,1.0,2.0,2.0,8.0,434.0,4.0,1.0,0.0,83.0,1,Home,1,9.0,8.0,0.0,8.0,7.0
Elliot Yeo,12.0,11.0,23.0,3.0,1.0,0.0,5.0,0.0,0.0,1.0,7.0,10.0,2.0,1.0,7.0,15.0,9.0,14.0,2.0,0.0,2.0,0.0,3.0,4.0,7.0,275.0,5.0,2.0,0.0,84.0,1,Home,0,1.0,3.0,5.0,7.0,9.0
Chris Masten,16.0,5.0,21.0,10.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,3.0,4.0,1.0,0.0,3.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,424.0,5.0,1.0,0.0,88.0,1,Home,0,10.0,10.0,3.0,4.0,5.0
Liam Duggan,13.0,8.0,21.0,11.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,2.0,2.0,19.0,20.0,0.0,0.0,6.0,3.0,0.0,0.0,5.0,313.0,1.0,3.0,0.0,76.0,1,Home,0,11.0,11.0,0.0,4.0,1.0
Shannon Hurn,16.0,4.0,20.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,4.0,11.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,340.0,2.0,8.0,0.0,92.0,1,Home,0,7.0,8.0,1.0,5.0,2.0
Bradley Sheppard,14.0,6.0,20.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,4.0,6.0,0.0,0.0,5.0,15.0,16.0,0.0,0.0,4.0,0.0,0.0,3.0,4.0,380.0,7.0,4.0,0.0,89.0,1,Home,0,7.0,7.0,4.0,4.0,4.0
Jack Redden,13.0,6.0,19.0,8.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,2.0,4.0,1.0,0.0,4.0,15.0,15.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,250.0,2.0,1.0,0.0,77.0,1,Home,0,8.0,8.0,3.0,1.0,4.0
Jeremy McGovern,15.0,3.0,18.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,8.0,10.0,18.0,4.0,0.0,5.0,2.0,0.0,0.0,5.0,287.0,0.0,10.0,0.0,84.0,1,Home,0,7.0,11.0,1.0,5.0,0.0
Tom Hickey,11.0,7.0,18.0,8.0,1.0,0.0,2.0,20.0,0.0,5.0,2.0,2.0,0.0,0.0,1.0,12.0,7.0,13.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,194.0,2.0,5.0,0.0,70.0,1,Home,0,3.0,7.0,2.0,4.0,5.0
Tom Cole,14.0,4.0,18.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,5.0,13.0,17.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0,178.0,0.0,4.0,0.0,87.0,1,Home,0,9.0,9.0,3.0,5.0,1.0
Tom Barrass,14.0,3.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,7.0,9.0,14.0,2.0,0.0,10.0,0.0,0.0,0.0,3.0,220.0,2.0,8.0,0.0,85.0,1,Home,0,4.0,6.0,0.0,3.0,3.0
Lewis Jetta,13.0,3.0,16.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,6.0,3.0,0.0,2.0,5.0,11.0,12.0,0.0,0.0,3.0,2.0,0.0,1.0,5.0,304.0,3.0,4.0,0.0,85.0,1,Home,0,6.0,6.0,0.0,4.0,4.0
Mark Hutchings,9.0,6.0,15.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,3.0,3.0,5.0,1.0,2.0,6.0,10.0,12.0,0.0,1.0,3.0,0.0,1.0,2.0,3.0,360.0,1.0,2.0,0.0,89.0,1,Home,0,2.0,1.0,3.0,3.0,3.0
Josh Smith,7.0,6.0,13.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,87.0,0.0,1.0,0.0,80.0,1,Home,0,7.0,5.0,0.0,4.0,2.0
Daniel Venables,7.0,6.0,13.0,5.0,0.0,0.0,2.0,0.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,5.0,8.0,8.0,0.0,0.0,2.0,0.0,0.0,3.0,7.0,115.0,3.0,1.0,0.0,76.0,1,Home,0,5.0,5.0,2.0,6.0,5.0
Jack Petruccelle,9.0,4.0,13.0,9.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,1.0,2.0,12.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,322.0,2.0,1.0,0.0,83.0,1,Home,0,9.0,9.0,2.0,4.0,3.0
Jack Darling,10.0,2.0,12.0,6.0,4.0,1.0,3.0,0.0,1.0,2.0,0.0,5.0,0.0,2.0,5.0,7.0,5.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,184.0,4.0,2.0,2.0,92.0,1,Home,0,5.0,4.0,1.0,7.0,3.0
Joshua Kennedy,8.0,3.0,11.0,8.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,10.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,268.0,4.0,1.0,1.0,66.0,1,Home,0,8.0,4.0,0.0,7.0,5.0
Liam Ryan,6.0,4.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,186.0,3.0,0.0,0.0,86.0,1,Home,0,1.0,1.0,1.0,0.0,5.0
Nathan Vardy,5.0,4.0,9.0,5.0,0.0,0.0,1.0,13.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,9.0,2.0,0.0,1.0,0.0,1.0,0.0,7.0,112.0,0.0,2.0,0.0,84.0,1,Home,0,3.0,5.0,1.0,5.0,0.0
Oscar Allen,7.0,0.0,7.0,5.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,5.0,2.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,208.0,0.0,1.0,0.0,66.0,1,Home,0,2.0,2.0,0.0,4.0,1.0
Lachie Whitfield,26.0,7.0,33.0,13.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,3.0,2.0,0.0,7.0,27.0,28.0,0.0,0.0,1.0,1.0,1.0,4.0,5.0,674.0,6.0,2.0,0.0,91.0,0,Away,2,13.0,13.0,0.0,5.0,5.0
Zachary Williams,14.0,11.0,25.0,5.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,5.0,18.0,21.0,0.0,0.0,1.0,0.0,1.0,1.0,8.0,248.0,3.0,5.0,0.0,72.0,0,Away,0,5.0,5.0,1.0,8.0,4.0
Adam Kennedy,17.0,6.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,5.0,18.0,20.0,1.0,0.0,3.0,2.0,0.0,0.0,4.0,459.0,3.0,4.0,0.0,84.0,0,Away,0,9.0,10.0,0.0,4.0,3.0
Jacob Hopper,12.0,10.0,22.0,5.0,0.0,0.0,2.0,0.0,0.0,4.0,8.0,2.0,1.0,1.0,0.0,10.0,12.0,15.0,0.0,1.0,2.0,0.0,2.0,6.0,4.0,394.0,5.0,2.0,0.0,75.0,0,Away,0,5.0,4.0,2.0,4.0,7.0
Matthew De Boer,9.0,11.0,20.0,7.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,1.0,1.0,7.0,13.0,17.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,107.0,1.0,2.0,0.0,82.0,0,Away,0,7.0,7.0,1.0,2.0,3.0
Stephen Coniglio,9.0,11.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,5.0,0.0,0.0,1.0,7.0,11.0,12.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,287.0,4.0,1.0,0.0,86.0,0,Away,0,0.0,0.0,1.0,3.0,8.0
Adam Tomlinson,13.0,7.0,20.0,6.0,0.0,0.0,4.0,2.0,0.0,5.0,8.0,3.0,3.0,3.0,0.0,10.0,9.0,16.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,325.0,4.0,3.0,0.0,86.0,0,Away,0,6.0,6.0,4.0,3.0,4.0
Tim Taranto,12.0,8.0,20.0,3.0,0.0,1.0,5.0,0.0,1.0,5.0,4.0,3.0,2.0,0.0,1.0,9.0,12.0,12.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,378.0,5.0,2.0,0.0,88.0,0,Away,0,3.0,3.0,5.0,2.0,8.0
Jeremy Finlayson,16.0,3.0,19.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,8.0,1.0,1.0,3.0,13.0,17.0,1.0,0.0,4.0,1.0,0.0,0.0,3.0,409.0,2.0,5.0,0.0,87.0,0,Away,0,6.0,7.0,2.0,3.0,2.0
