Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Jarrod Berry,16.0,9.0,25.0,6.0,0.0,0.0,2.0,0.0,1.0,8.0,3.0,4.0,0.0,1.0,1.0,9.0,15.0,17.0,0.0,0.0,2.0,0.0,2.0,1.0,6.0,431.0,7.0,8.0,0.0,77.0,1,Home,0,6.0,6.0,2.0,5.0,8.0
Mitch Robinson,18.0,6.0,24.0,8.0,2.0,1.0,6.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,0.0,8.0,16.0,16.0,2.0,1.0,6.0,0.0,1.0,1.0,10.0,652.0,5.0,4.0,0.0,86.0,1,Home,2,6.0,7.0,6.0,10.0,8.0
Stefan Martin,11.0,10.0,21.0,5.0,0.0,1.0,1.0,32.0,0.0,2.0,6.0,3.0,2.0,1.0,1.0,15.0,6.0,12.0,2.0,1.0,3.0,0.0,1.0,5.0,8.0,142.0,1.0,3.0,0.0,83.0,1,Home,0,3.0,4.0,1.0,8.0,9.0
Lachie Neale,12.0,8.0,20.0,1.0,1.0,0.0,8.0,0.0,1.0,5.0,6.0,2.0,3.0,1.0,1.0,11.0,9.0,14.0,0.0,0.0,2.0,1.0,2.0,4.0,8.0,387.0,2.0,2.0,1.0,87.0,1,Home,0,1.0,1.0,7.0,7.0,6.0
Noah Answerth,12.0,6.0,18.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,3.0,0.0,0.0,8.0,9.0,13.0,1.0,0.0,2.0,0.0,0.0,3.0,3.0,333.0,3.0,7.0,0.0,82.0,1,Home,0,5.0,6.0,1.0,3.0,5.0
Daniel Rich,17.0,0.0,17.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,9.0,1.0,1.0,5.0,8.0,14.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,442.0,3.0,4.0,0.0,83.0,1,Home,0,3.0,3.0,2.0,0.0,3.0
Allen Christensen,10.0,6.0,16.0,5.0,2.0,1.0,5.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,10.0,5.0,11.0,2.0,2.0,1.0,0.0,0.0,1.0,8.0,333.0,3.0,2.0,4.0,77.0,1,Home,0,3.0,3.0,1.0,7.0,5.0
Jarryd Lyons,11.0,5.0,16.0,2.0,0.0,0.0,12.0,0.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,10.0,7.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,220.0,4.0,3.0,1.0,86.0,1,Home,0,2.0,2.0,11.0,0.0,6.0
Hugh McCluggage,9.0,7.0,16.0,4.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,2.0,7.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,211.0,1.0,3.0,1.0,83.0,1,Home,0,4.0,4.0,1.0,2.0,3.0
Alex Witherden,10.0,6.0,16.0,6.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,5.0,1.0,0.0,7.0,8.0,11.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,145.0,7.0,7.0,0.0,75.0,1,Home,0,5.0,6.0,3.0,3.0,5.0
Eric Hipwood,12.0,3.0,15.0,10.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,11.0,11.0,2.0,6.0,3.0,0.0,0.0,0.0,8.0,245.0,0.0,0.0,0.0,86.0,1,Home,0,8.0,4.0,1.0,8.0,4.0
Luke Hodge,12.0,2.0,14.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,1.0,2.0,8.0,14.0,1.0,0.0,3.0,1.0,0.0,1.0,4.0,294.0,2.0,1.0,0.0,82.0,1,Home,0,4.0,5.0,1.0,4.0,0.0
Darcy Gardiner,13.0,1.0,14.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,1.0,5.0,7.0,11.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,322.0,5.0,8.0,0.0,90.0,1,Home,0,5.0,5.0,3.0,2.0,3.0
Charlie Cameron,13.0,0.0,13.0,7.0,4.0,0.0,3.0,0.0,2.0,7.0,1.0,4.0,0.0,1.0,2.0,3.0,12.0,12.0,0.0,3.0,2.0,0.0,0.0,1.0,11.0,379.0,4.0,2.0,2.0,90.0,1,Home,0,7.0,4.0,1.0,9.0,1.0
Harris Andrews,8.0,4.0,12.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,10.0,4.0,6.0,1.0,0.0,11.0,0.0,0.0,0.0,2.0,185.0,4.0,11.0,0.0,97.0,1,Home,0,2.0,3.0,1.0,2.0,6.0
Dayne Zorko,10.0,1.0,11.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,4.0,6.0,9.0,0.0,0.0,2.0,1.0,1.0,0.0,5.0,267.0,2.0,2.0,2.0,49.0,1,Home,0,3.0,3.0,1.0,5.0,2.0
Daniel McStay,4.0,7.0,11.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,9.0,0.0,1.0,5.0,0.0,0.0,0.0,3.0,127.0,2.0,1.0,1.0,76.0,1,Home,0,4.0,3.0,0.0,3.0,2.0
Zac Bailey,4.0,6.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,7.0,3.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,50.0,2.0,3.0,0.0,84.0,1,Home,0,0.0,0.0,2.0,3.0,2.0
Lincoln McCarthy,5.0,4.0,9.0,3.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,5.0,5.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,77.0,4.0,2.0,1.0,79.0,1,Home,0,3.0,1.0,3.0,2.0,6.0
Oscar McInerney,4.0,5.0,9.0,4.0,1.0,0.0,6.0,19.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,7.0,2.0,6.0,3.0,1.0,5.0,0.0,0.0,0.0,2.0,123.0,1.0,2.0,2.0,73.0,1,Home,0,1.0,3.0,4.0,2.0,3.0
Cameron Rayner,6.0,2.0,8.0,4.0,1.0,2.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,5.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,5.0,151.0,2.0,0.0,2.0,84.0,1,Home,0,3.0,2.0,2.0,5.0,4.0
Marcus Adams,3.0,3.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,5.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,58.0,1.0,4.0,0.0,90.0,1,Home,0,0.0,2.0,1.0,0.0,1.0
Jackson Macrae,21.0,24.0,45.0,4.0,0.0,0.0,7.0,0.0,1.0,8.0,12.0,6.0,2.0,3.0,1.0,21.0,24.0,32.0,0.0,0.0,2.0,0.0,7.0,5.0,9.0,574.0,6.0,5.0,1.0,88.0,0,Away,1,4.0,4.0,6.0,8.0,13.0
Marcus Bontempelli,17.0,18.0,35.0,5.0,1.0,1.0,7.0,0.0,2.0,5.0,5.0,1.0,5.0,2.0,0.0,14.0,21.0,27.0,1.0,1.0,2.0,0.0,1.0,4.0,12.0,716.0,4.0,3.0,3.0,85.0,0,Away,3,4.0,4.0,4.0,10.0,8.0
Josh Dunkley,14.0,17.0,31.0,2.0,0.0,0.0,9.0,0.0,0.0,9.0,7.0,3.0,3.0,1.0,2.0,15.0,16.0,21.0,0.0,0.0,2.0,0.0,2.0,5.0,10.0,405.0,7.0,6.0,0.0,80.0,0,Away,0,2.0,2.0,9.0,10.0,10.0
Bailey Smith,13.0,14.0,27.0,2.0,0.0,1.0,1.0,0.0,3.0,6.0,4.0,2.0,2.0,0.0,1.0,5.0,21.0,19.0,0.0,0.0,1.0,0.0,1.0,3.0,9.0,313.0,6.0,0.0,0.0,75.0,0,Away,0,2.0,2.0,1.0,6.0,8.0
Caleb Daniel,15.0,7.0,22.0,5.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,2.0,5.0,1.0,0.0,4.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,464.0,7.0,4.0,0.0,77.0,0,Away,0,5.0,5.0,4.0,4.0,7.0
Jason Johannisen,16.0,4.0,20.0,4.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,2.0,7.0,0.0,0.0,4.0,12.0,14.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,458.0,4.0,5.0,0.0,86.0,0,Away,0,4.0,3.0,1.0,4.0,6.0
Patrick Lipinski,9.0,10.0,19.0,4.0,1.0,0.0,5.0,0.0,0.0,4.0,3.0,3.0,2.0,1.0,1.0,8.0,12.0,13.0,0.0,1.0,1.0,0.0,1.0,2.0,6.0,288.0,3.0,2.0,1.0,72.0,0,Away,0,4.0,3.0,4.0,6.0,6.0
Matthew Suckling,13.0,5.0,18.0,5.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,1.0,4.0,9.0,13.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,322.0,5.0,4.0,0.0,75.0,0,Away,0,5.0,4.0,2.0,6.0,5.0
Thomas Liberatore,7.0,11.0,18.0,2.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,5.0,13.0,11.0,1.0,0.0,2.0,0.0,1.0,3.0,7.0,156.0,3.0,0.0,1.0,82.0,0,Away,0,1.0,2.0,3.0,7.0,7.0
Hayden Crozier,12.0,6.0,18.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,5.0,13.0,14.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,119.0,3.0,10.0,0.0,80.0,0,Away,0,10.0,11.0,2.0,0.0,4.0
Lachlan Hunter,12.0,6.0,18.0,6.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,15.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,399.0,5.0,0.0,1.0,86.0,0,Away,0,6.0,6.0,2.0,5.0,5.0
Toby McLean,7.0,7.0,14.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,4.0,11.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,92.0,3.0,0.0,2.0,77.0,0,Away,0,4.0,4.0,1.0,4.0,3.0
