Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Andrew Brayshaw,12.0,12.0,24.0,5.0,0.0,0.0,8.0,0.0,0.0,3.0,3.0,5.0,1.0,1.0,3.0,7.0,18.0,19.0,0.0,0.0,3.0,0.0,1.0,2.0,3.0,358.0,2.0,1.0,2.0,80.0,0,Home,0,5.0,5.0,6.0,3.0,5.0
Adam Cerra,14.0,10.0,24.0,5.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,6.0,18.0,18.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,309.0,5.0,4.0,0.0,84.0,0,Home,0,5.0,5.0,5.0,5.0,6.0
David Mundy,8.0,12.0,20.0,2.0,2.0,0.0,8.0,0.0,0.0,3.0,5.0,1.0,1.0,1.0,0.0,6.0,13.0,16.0,0.0,1.0,0.0,0.0,3.0,2.0,5.0,222.0,1.0,0.0,2.0,78.0,0,Home,0,2.0,1.0,6.0,5.0,4.0
Michael Walters,7.0,11.0,18.0,2.0,0.0,1.0,3.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,11.0,7.0,10.0,0.0,1.0,3.0,0.0,2.0,1.0,5.0,183.0,4.0,3.0,2.0,89.0,0,Home,0,2.0,1.0,1.0,4.0,8.0
Nathan Wilson,10.0,8.0,18.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,4.0,13.0,13.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,458.0,3.0,5.0,0.0,81.0,0,Home,0,3.0,3.0,0.0,3.0,5.0
Taylin Duman,10.0,6.0,16.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,4.0,4.0,1.0,1.0,7.0,9.0,13.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,380.0,4.0,7.0,0.0,82.0,0,Home,0,3.0,3.0,2.0,2.0,3.0
Caleb Serong,6.0,9.0,15.0,2.0,0.0,0.0,2.0,0.0,1.0,4.0,1.0,2.0,1.0,0.0,1.0,4.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,216.0,3.0,1.0,1.0,73.0,0,Home,0,2.0,2.0,1.0,2.0,4.0
Brett Bewley,8.0,6.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,5.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,235.0,5.0,1.0,0.0,74.0,0,Home,0,2.0,2.0,0.0,3.0,5.0
Ethan Hughes,7.0,6.0,13.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,4.0,8.0,13.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,129.0,0.0,7.0,0.0,79.0,0,Home,0,3.0,3.0,3.0,2.0,0.0
Luke Ryan,10.0,2.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,3.0,1.0,7.0,10.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,330.0,2.0,3.0,0.0,81.0,0,Home,0,2.0,2.0,0.0,0.0,2.0
Nathan Fyfe,6.0,5.0,11.0,2.0,0.0,0.0,4.0,0.0,1.0,2.0,4.0,0.0,2.0,4.0,0.0,10.0,3.0,7.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,90.0,1.0,2.0,1.0,83.0,0,Home,0,2.0,2.0,3.0,1.0,4.0
Reece Conca,8.0,3.0,11.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,8.0,8.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,138.0,2.0,3.0,0.0,89.0,0,Home,0,6.0,7.0,2.0,2.0,3.0
Sean Darcy,2.0,9.0,11.0,1.0,0.0,1.0,0.0,24.0,0.0,0.0,2.0,5.0,0.0,0.0,3.0,9.0,1.0,5.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,46.0,1.0,0.0,0.0,81.0,0,Home,0,0.0,0.0,0.0,2.0,6.0
Lachlan Schultz,6.0,4.0,10.0,3.0,0.0,1.0,4.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,180.0,4.0,1.0,2.0,84.0,0,Home,0,3.0,3.0,2.0,2.0,5.0
Stephen Hill,4.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,145.0,2.0,0.0,0.0,75.0,0,Home,0,1.0,1.0,0.0,1.0,2.0
James Aish,4.0,4.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,2.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,200.0,3.0,0.0,0.0,80.0,0,Home,0,0.0,0.0,3.0,0.0,3.0
