Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Steele Sidebottom,17.0,14.0,31.0,5.0,1.0,0.0,6.0,0.0,1.0,1.0,3.0,1.0,3.0,2.0,0.0,11.0,18.0,20.0,1.0,0.0,3.0,0.0,0.0,3.0,6.0,203.0,4.0,3.0,1.0,84.0,1,Home,3,4.0,5.0,5.0,5.0,11.0
Scott Pendlebury,12.0,14.0,26.0,7.0,0.0,0.0,3.0,0.0,1.0,5.0,2.0,6.0,1.0,0.0,0.0,6.0,21.0,17.0,0.0,0.0,2.0,0.0,1.0,1.0,5.0,295.0,5.0,4.0,0.0,86.0,1,Home,2,7.0,7.0,3.0,4.0,9.0
Jack Crisp,12.0,12.0,24.0,6.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,1.0,0.0,7.0,17.0,21.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0,319.0,3.0,6.0,0.0,84.0,1,Home,0,6.0,6.0,0.0,4.0,3.0
Brayden Maynard,17.0,6.0,23.0,7.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,2.0,3.0,2.0,1.0,3.0,20.0,20.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,432.0,4.0,6.0,0.0,84.0,1,Home,0,6.0,7.0,6.0,3.0,3.0
Brodie Grundy,5.0,15.0,20.0,5.0,0.0,0.0,4.0,31.0,0.0,3.0,3.0,6.0,0.0,4.0,4.0,12.0,7.0,12.0,2.0,0.0,1.0,0.0,0.0,3.0,5.0,86.0,5.0,0.0,1.0,78.0,1,Home,1,3.0,5.0,3.0,5.0,8.0
Taylor Adams,12.0,7.0,19.0,1.0,2.0,0.0,4.0,0.0,0.0,4.0,6.0,5.0,0.0,3.0,3.0,12.0,9.0,12.0,0.0,0.0,2.0,0.0,2.0,4.0,5.0,324.0,4.0,3.0,1.0,73.0,1,Home,0,1.0,1.0,3.0,5.0,7.0
Jeremy Howe,16.0,2.0,18.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,9.0,0.0,1.0,2.0,12.0,16.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,437.0,4.0,2.0,0.0,92.0,1,Home,0,3.0,4.0,0.0,1.0,2.0
Josh Daicos,7.0,10.0,17.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0,11.0,14.0,1.0,0.0,1.0,0.0,1.0,2.0,5.0,159.0,1.0,2.0,0.0,78.0,1,Home,0,4.0,5.0,3.0,5.0,3.0
Jordan De Goey,9.0,7.0,16.0,4.0,1.0,1.0,4.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,2.0,5.0,10.0,13.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,245.0,5.0,3.0,3.0,84.0,1,Home,0,4.0,4.0,1.0,5.0,3.0
Rupert Wills,5.0,11.0,16.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,7.0,9.0,14.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,24.0,2.0,1.0,1.0,64.0,1,Home,0,2.0,2.0,3.0,5.0,2.0
Will H-Elliott,12.0,3.0,15.0,8.0,0.0,0.0,2.0,0.0,1.0,4.0,1.0,2.0,0.0,1.0,1.0,2.0,12.0,13.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,232.0,1.0,2.0,0.0,90.0,1,Home,0,8.0,8.0,2.0,3.0,2.0
Darcy Moore,5.0,10.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,9.0,7.0,12.0,2.0,0.0,7.0,0.0,0.0,1.0,2.0,106.0,2.0,9.0,0.0,93.0,1,Home,0,4.0,6.0,0.0,2.0,3.0
Tyler Brown,6.0,9.0,15.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,12.0,13.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,165.0,3.0,3.0,1.0,73.0,1,Home,0,2.0,2.0,2.0,2.0,2.0
Callum Brown,7.0,7.0,14.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,4.0,12.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,163.0,3.0,1.0,0.0,72.0,1,Home,0,3.0,2.0,0.0,5.0,4.0
John Noble,9.0,5.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,13.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,232.0,2.0,3.0,0.0,80.0,1,Home,0,5.0,5.0,0.0,3.0,1.0
Christopher Mayne,5.0,8.0,13.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,10.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,83.0,1.0,3.0,0.0,71.0,1,Home,0,4.0,4.0,1.0,2.0,1.0
Jamie Elliott,9.0,4.0,13.0,4.0,2.0,3.0,3.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,4.0,8.0,8.0,1.0,2.0,3.0,0.0,1.0,2.0,7.0,224.0,1.0,1.0,1.0,78.0,1,Home,0,3.0,2.0,2.0,6.0,5.0
Tom Phillips,6.0,5.0,11.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,4.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,142.0,4.0,2.0,1.0,78.0,1,Home,0,5.0,4.0,2.0,2.0,5.0
Jordan Roughead,9.0,1.0,10.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,9.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,105.0,0.0,2.0,0.0,96.0,1,Home,0,7.0,7.0,2.0,2.0,1.0
Brody Mihocek,7.0,2.0,9.0,6.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,5.0,6.0,1.0,2.0,2.0,0.0,0.0,0.0,4.0,180.0,1.0,5.0,0.0,90.0,1,Home,0,5.0,4.0,2.0,4.0,3.0
Jaidyn Stephenson,5.0,1.0,6.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,131.0,2.0,2.0,0.0,81.0,1,Home,0,3.0,1.0,0.0,2.0,2.0
Darcy Cameron,2.0,0.0,2.0,2.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,39.0,1.0,0.0,0.0,90.0,1,Home,0,1.0,2.0,5.0,1.0,0.0
Bradley Hill,18.0,7.0,25.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,6.0,2.0,0.0,2.0,4.0,20.0,21.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,330.0,6.0,0.0,0.0,91.0,0,Away,0,7.0,7.0,2.0,3.0,4.0
Jade Gresham,13.0,9.0,22.0,5.0,0.0,1.0,1.0,0.0,1.0,2.0,7.0,6.0,0.0,1.0,2.0,10.0,13.0,12.0,0.0,1.0,1.0,2.0,2.0,5.0,3.0,306.0,6.0,0.0,0.0,86.0,0,Away,0,5.0,4.0,1.0,2.0,10.0
