Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Patrick Dangerfield,23.0,9.0,32.0,3.0,0.0,1.0,4.0,0.0,1.0,4.0,10.0,3.0,3.0,0.0,1.0,14.0,14.0,17.0,0.0,0.0,6.0,0.0,3.0,7.0,5.0,603.0,5.0,7.0,0.0,84.0,0,Home,0,3.0,3.0,4.0,4.0,15.0
Cameron Guthrie,16.0,12.0,28.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,8.0,3.0,4.0,0.0,0.0,11.0,14.0,18.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,356.0,6.0,1.0,1.0,76.0,0,Home,0,7.0,6.0,1.0,2.0,10.0
Gary Ablett,10.0,9.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,4.0,2.0,0.0,2.0,12.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,372.0,2.0,3.0,0.0,85.0,0,Home,0,1.0,1.0,0.0,2.0,9.0
Sam Menegola,9.0,10.0,19.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,9.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,228.0,4.0,4.0,0.0,93.0,0,Home,0,3.0,3.0,1.0,1.0,7.0
Zach Tuohy,15.0,2.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,0.0,1.0,5.0,8.0,12.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,539.0,5.0,4.0,0.0,84.0,0,Home,0,1.0,1.0,0.0,3.0,5.0
Jack Steven,11.0,5.0,16.0,3.0,0.0,0.0,6.0,0.0,0.0,2.0,4.0,6.0,1.0,2.0,4.0,5.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,303.0,8.0,0.0,4.0,76.0,0,Home,0,3.0,3.0,2.0,0.0,5.0
Luke Dahlhaus,5.0,9.0,14.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,137.0,0.0,1.0,0.0,75.0,0,Home,0,2.0,2.0,1.0,1.0,4.0
Gryan Miers,8.0,6.0,14.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,3.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,160.0,4.0,2.0,0.0,95.0,0,Home,0,3.0,3.0,2.0,1.0,5.0
Sam Simpson,9.0,3.0,12.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,4.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,176.0,3.0,2.0,0.0,78.0,0,Home,0,3.0,3.0,3.0,1.0,3.0
Brandan Parfitt,7.0,5.0,12.0,1.0,0.0,1.0,7.0,0.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,5.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,182.0,1.0,4.0,0.0,73.0,0,Home,0,1.0,1.0,7.0,2.0,5.0
Jordan Clark,7.0,5.0,12.0,4.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,10.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,227.0,2.0,0.0,0.0,55.0,0,Home,0,4.0,3.0,2.0,3.0,4.0
Tom Hawkins,8.0,3.0,11.0,3.0,0.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,0.0,0.0,2.0,7.0,5.0,7.0,1.0,1.0,3.0,0.0,0.0,2.0,4.0,150.0,3.0,0.0,1.0,100.0,0,Home,0,2.0,2.0,1.0,2.0,4.0
Mark O'Connor,7.0,4.0,11.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,4.0,3.0,7.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,152.0,6.0,5.0,0.0,100.0,0,Home,0,5.0,5.0,4.0,1.0,3.0
Jake Kolodjashnij,6.0,4.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,6.0,7.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,102.0,0.0,5.0,0.0,84.0,0,Home,0,4.0,5.0,0.0,0.0,3.0
