Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Luke Parker,16.0,11.0,27.0,4.0,0.0,0.0,8.0,0.0,1.0,4.0,7.0,4.0,4.0,2.0,2.0,13.0,13.0,18.0,1.0,1.0,2.0,0.0,6.0,1.0,3.0,488.0,7.0,5.0,2.0,88.0,0,Home,2,3.0,3.0,6.0,2.0,9.0
Jake Lloyd,15.0,9.0,24.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,5.0,1.0,0.0,9.0,9.0,21.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,414.0,3.0,11.0,0.0,85.0,0,Home,0,3.0,3.0,1.0,2.0,3.0
Harry Cunningham,13.0,8.0,21.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,7.0,2.0,1.0,6.0,12.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,418.0,7.0,5.0,0.0,84.0,0,Home,0,1.0,1.0,2.0,2.0,5.0
Callum Mills,11.0,10.0,21.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,6.0,4.0,2.0,3.0,10.0,7.0,15.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,359.0,3.0,6.0,0.0,95.0,0,Home,0,3.0,3.0,2.0,2.0,6.0
George Hewett,3.0,15.0,18.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,2.0,0.0,1.0,1.0,13.0,5.0,13.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,47.0,4.0,1.0,0.0,85.0,0,Home,0,1.0,1.0,4.0,2.0,5.0
Ryan Clarke,11.0,6.0,17.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,1.0,1.0,6.0,11.0,10.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,286.0,4.0,4.0,0.0,95.0,0,Home,0,3.0,3.0,0.0,2.0,7.0
Jordan Dawson,11.0,5.0,16.0,3.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,7.0,8.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,341.0,1.0,4.0,1.0,87.0,0,Home,0,3.0,3.0,2.0,7.0,6.0
Ryley Stoddart,12.0,4.0,16.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,1.0,3.0,0.0,4.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,341.0,7.0,6.0,0.0,65.0,0,Home,0,2.0,2.0,1.0,2.0,9.0
Dane Rampe,9.0,6.0,15.0,3.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,8.0,2.0,1.0,6.0,9.0,12.0,0.0,0.0,10.0,1.0,0.0,0.0,2.0,420.0,4.0,6.0,0.0,100.0,0,Home,0,3.0,3.0,4.0,2.0,3.0
James Rowbottom,9.0,6.0,15.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,7.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,262.0,1.0,3.0,0.0,83.0,0,Home,0,1.0,1.0,2.0,1.0,3.0
Will Hayward,6.0,6.0,12.0,3.0,2.0,0.0,5.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,10.0,3.0,10.0,2.0,0.0,4.0,0.0,0.0,1.0,4.0,125.0,2.0,2.0,1.0,85.0,0,Home,0,1.0,3.0,4.0,3.0,2.0
Dylan Stephens,8.0,3.0,11.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,3.0,9.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,199.0,5.0,4.0,0.0,85.0,0,Home,0,3.0,3.0,1.0,2.0,6.0
Tom Papley,9.0,1.0,10.0,3.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,9.0,4.0,7.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,234.0,4.0,0.0,2.0,94.0,0,Home,0,2.0,2.0,0.0,3.0,3.0
Oliver Florent,6.0,3.0,9.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,7.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,232.0,4.0,0.0,0.0,75.0,0,Home,0,0.0,1.0,4.0,2.0,4.0
Tom McCartin,5.0,4.0,9.0,4.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,3.0,5.0,5.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,101.0,4.0,0.0,1.0,75.0,0,Home,0,2.0,2.0,1.0,2.0,4.0
Elijah Taylor,6.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,6.0,2.0,4.0,1.0,0.0,3.0,0.0,0.0,1.0,3.0,103.0,3.0,1.0,0.0,76.0,0,Home,0,0.0,1.0,0.0,3.0,5.0
Callum Sinclair,4.0,4.0,8.0,2.0,0.0,0.0,7.0,16.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,5.0,2.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,98.0,0.0,3.0,0.0,85.0,0,Home,0,2.0,2.0,7.0,2.0,2.0
Robbie Fox,4.0,4.0,8.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,7.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,91.0,2.0,2.0,0.0,92.0,0,Home,0,1.0,1.0,6.0,3.0,2.0
Aliir Aliir,5.0,2.0,7.0,5.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,5.0,2.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,118.0,2.0,0.0,0.0,88.0,0,Home,0,2.0,3.0,0.0,5.0,0.0
Chad Warner,5.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,4.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,177.0,2.0,2.0,1.0,76.0,0,Home,0,1.0,1.0,0.0,2.0,3.0
Colin O'Riordan,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,51.0,1.0,1.0,0.0,26.0,0,Home,0,0.0,0.0,0.0,0.0,1.0
Nick Blakey,3.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,117.0,2.0,2.0,1.0,76.0,0,Home,0,1.0,1.0,2.0,0.0,1.0
Hugh Greenwood,14.0,9.0,23.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,9.0,0.0,2.0,1.0,0.0,18.0,6.0,13.0,0.0,0.0,5.0,0.0,4.0,5.0,6.0,270.0,3.0,3.0,0.0,81.0,1,Away,3,0.0,0.0,12.0,6.0,10.0
David Swallow,9.0,13.0,22.0,5.0,1.0,2.0,6.0,0.0,1.0,4.0,7.0,3.0,0.0,1.0,1.0,13.0,9.0,13.0,0.0,2.0,0.0,0.0,2.0,5.0,7.0,206.0,5.0,4.0,1.0,77.0,1,Away,1,5.0,3.0,5.0,6.0,9.0
Brandon Ellis,17.0,4.0,21.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,4.0,2.0,2.0,2.0,7.0,14.0,13.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,566.0,7.0,6.0,0.0,83.0,1,Away,0,5.0,6.0,1.0,3.0,8.0
Touk Miller,9.0,11.0,20.0,2.0,0.0,0.0,3.0,0.0,0.0,4.0,6.0,2.0,1.0,2.0,1.0,12.0,9.0,15.0,0.0,0.0,1.0,0.0,3.0,3.0,7.0,334.0,1.0,3.0,0.0,82.0,1,Away,0,2.0,2.0,3.0,7.0,5.0
Jarrod Harbrow,15.0,3.0,18.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,5.0,0.0,1.0,3.0,14.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,255.0,4.0,5.0,0.0,79.0,1,Away,0,4.0,4.0,1.0,2.0,6.0
Jack Bowes,11.0,6.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,6.0,12.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,306.0,3.0,9.0,0.0,85.0,1,Away,0,6.0,5.0,0.0,4.0,6.0
Jack Lukosius,10.0,7.0,17.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,2.0,5.0,8.0,12.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,310.0,3.0,5.0,0.0,87.0,1,Away,0,2.0,1.0,0.0,2.0,5.0
Izak Rankine,12.0,4.0,16.0,3.0,2.0,2.0,4.0,0.0,1.0,5.0,2.0,5.0,1.0,1.0,4.0,7.0,8.0,10.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,300.0,8.0,1.0,2.0,83.0,1,Away,0,2.0,3.0,2.0,7.0,6.0
Lachlan Weller,7.0,8.0,15.0,0.0,2.0,0.0,7.0,0.0,0.0,3.0,4.0,2.0,1.0,0.0,1.0,6.0,9.0,11.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,308.0,2.0,1.0,0.0,79.0,1,Away,0,0.0,0.0,7.0,4.0,4.0
Ben Ainsworth,8.0,7.0,15.0,3.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,1.0,7.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,182.0,4.0,2.0,1.0,81.0,1,Away,0,3.0,3.0,2.0,6.0,6.0
Noah Anderson,12.0,3.0,15.0,5.0,1.0,1.0,3.0,0.0,0.0,3.0,2.0,1.0,1.0,3.0,1.0,6.0,9.0,10.0,0.0,1.0,0.0,1.0,0.0,2.0,7.0,369.0,1.0,3.0,0.0,74.0,1,Away,0,5.0,4.0,3.0,7.0,5.0
Jarrod Witts,6.0,8.0,14.0,5.0,0.0,0.0,2.0,36.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,8.0,4.0,7.0,2.0,0.0,5.0,0.0,0.0,2.0,6.0,145.0,4.0,4.0,0.0,87.0,1,Away,0,3.0,5.0,2.0,6.0,7.0
Pearce Hanley,11.0,2.0,13.0,5.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,4.0,11.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,486.0,3.0,4.0,0.0,64.0,1,Away,0,5.0,4.0,0.0,5.0,6.0
Charlie Ballard,9.0,3.0,12.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,3.0,11.0,11.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,264.0,3.0,7.0,0.0,91.0,1,Away,0,4.0,4.0,1.0,1.0,1.0
Alex Sexton,6.0,5.0,11.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,2.0,6.0,5.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,126.0,2.0,0.0,0.0,79.0,1,Away,0,3.0,2.0,0.0,3.0,4.0
Darcy Macpherson,5.0,5.0,10.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,3.0,6.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,62.0,4.0,2.0,0.0,83.0,1,Away,0,1.0,1.0,3.0,2.0,5.0
Samuel Collins,6.0,2.0,8.0,3.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,0.0,4.0,4.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,187.0,2.0,5.0,0.0,100.0,1,Away,0,2.0,3.0,5.0,0.0,1.0
Connor Budarick,6.0,2.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,3.0,5.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,188.0,2.0,5.0,0.0,86.0,1,Away,0,3.0,3.0,1.0,1.0,3.0
Sam Day,5.0,2.0,7.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,0.0,3.0,0.0,1.0,2.0,3.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,168.0,2.0,2.0,1.0,74.0,1,Away,0,2.0,1.0,1.0,3.0,3.0
Nicholas Holman,4.0,3.0,7.0,1.0,1.0,0.0,2.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,3.0,3.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,137.0,5.0,1.0,1.0,83.0,1,Away,0,1.0,1.0,1.0,1.0,3.0
Wil Powell,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,3.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,46.0,0.0,3.0,0.0,73.0,1,Away,0,0.0,0.0,0.0,0.0,0.0
Ben King,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,68.0,0.0,0.0,0.0,89.0,1,Away,0,0.0,0.0,0.0,3.0,1.0
