Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Joel Selwood,13.0,26.0,39.0,4.0,0.0,1.0,7.0,0.0,1.0,4.0,10.0,3.0,1.0,2.0,0.0,17.0,23.0,32.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,315.0,3.0,3.0,2.0,77.0,1,Home,3,4.0,4.0,5.0,5.0,7.0
Quinton Narkle,14.0,20.0,34.0,8.0,0.0,1.0,2.0,0.0,1.0,6.0,5.0,4.0,1.0,1.0,1.0,15.0,21.0,26.0,0.0,3.0,1.0,0.0,0.0,5.0,6.0,434.0,6.0,3.0,1.0,69.0,1,Home,2,8.0,5.0,1.0,5.0,8.0
Sam Menegola,15.0,16.0,31.0,5.0,0.0,1.0,1.0,0.0,0.0,5.0,4.0,7.0,2.0,0.0,1.0,8.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,407.0,9.0,1.0,0.0,78.0,1,Home,0,5.0,5.0,1.0,6.0,12.0
Cameron Guthrie,15.0,14.0,29.0,4.0,0.0,1.0,5.0,0.0,1.0,5.0,4.0,5.0,2.0,2.0,1.0,14.0,14.0,15.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,249.0,3.0,2.0,1.0,59.0,1,Home,0,4.0,3.0,4.0,3.0,14.0
Shaun Higgins,13.0,12.0,25.0,6.0,1.0,1.0,8.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,6.0,21.0,21.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,283.0,4.0,1.0,1.0,80.0,1,Home,1,6.0,6.0,7.0,4.0,4.0
Zach Tuohy,17.0,8.0,25.0,5.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,5.0,0.0,1.0,6.0,16.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,581.0,3.0,3.0,0.0,88.0,1,Home,0,4.0,5.0,0.0,3.0,4.0
Thomas Stewart,19.0,6.0,25.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,6.0,0.0,1.0,7.0,15.0,17.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,413.0,5.0,8.0,0.0,85.0,1,Home,0,6.0,7.0,1.0,0.0,8.0
Lachlan Henderson,18.0,6.0,24.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,8.0,16.0,21.0,1.0,0.0,7.0,0.0,0.0,0.0,2.0,270.0,3.0,10.0,0.0,100.0,1,Home,0,10.0,11.0,1.0,2.0,3.0
Isaac Smith,10.0,11.0,21.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,5.0,14.0,17.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,176.0,4.0,3.0,0.0,80.0,1,Home,0,3.0,3.0,0.0,3.0,4.0
Brandan Parfitt,7.0,14.0,21.0,2.0,0.0,0.0,10.0,0.0,0.0,3.0,7.0,0.0,1.0,2.0,0.0,9.0,11.0,18.0,0.0,0.0,3.0,0.0,2.0,5.0,3.0,168.0,2.0,2.0,0.0,73.0,1,Home,0,2.0,2.0,10.0,3.0,3.0
Jack Henry,8.0,11.0,19.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,8.0,10.0,16.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,141.0,1.0,10.0,0.0,93.0,1,Home,0,4.0,6.0,1.0,1.0,3.0
Mark Blicavs,8.0,10.0,18.0,6.0,1.0,0.0,7.0,34.0,0.0,1.0,6.0,2.0,1.0,2.0,1.0,10.0,9.0,14.0,1.0,1.0,4.0,0.0,0.0,6.0,4.0,196.0,1.0,1.0,0.0,84.0,1,Home,0,5.0,5.0,7.0,4.0,4.0
Jed Bews,12.0,5.0,17.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,4.0,13.0,13.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,359.0,3.0,0.0,0.0,83.0,1,Home,0,4.0,4.0,2.0,2.0,4.0
Mitchell Duncan,9.0,6.0,15.0,3.0,2.0,0.0,1.0,0.0,0.0,5.0,2.0,2.0,0.0,1.0,1.0,5.0,12.0,11.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,261.0,2.0,2.0,0.0,40.0,1,Home,0,3.0,3.0,1.0,4.0,4.0
