Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Jayden Short,20.0,7.0,27.0,7.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,2.0,6.0,1.0,1.0,2.0,20.0,22.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,644.0,6.0,5.0,0.0,88.0,1,Home,0,7.0,7.0,1.0,3.0,5.0
Kane Lambert,10.0,13.0,23.0,4.0,0.0,0.0,4.0,0.0,1.0,7.0,2.0,3.0,0.0,1.0,2.0,8.0,16.0,16.0,0.0,0.0,2.0,0.0,1.0,1.0,8.0,281.0,4.0,0.0,2.0,80.0,1,Home,0,4.0,4.0,2.0,7.0,7.0
Trent Cotchin,11.0,11.0,22.0,4.0,0.0,0.0,5.0,0.0,0.0,2.0,3.0,3.0,2.0,0.0,1.0,6.0,17.0,14.0,0.0,0.0,2.0,0.0,2.0,1.0,5.0,230.0,2.0,3.0,0.0,78.0,1,Home,0,4.0,4.0,5.0,5.0,8.0
Toby Nankervis,10.0,12.0,22.0,4.0,0.0,0.0,4.0,25.0,0.0,4.0,7.0,8.0,3.0,4.0,3.0,18.0,4.0,14.0,1.0,0.0,3.0,0.0,4.0,3.0,6.0,195.0,2.0,10.0,1.0,70.0,1,Home,0,3.0,4.0,3.0,6.0,8.0
Shai Bolton,9.0,13.0,22.0,5.0,1.0,1.0,4.0,0.0,2.0,4.0,4.0,3.0,0.0,2.0,3.0,8.0,16.0,18.0,1.0,2.0,0.0,1.0,3.0,1.0,8.0,324.0,3.0,0.0,2.0,82.0,1,Home,0,4.0,3.0,2.0,6.0,4.0
Daniel Rioli,7.0,12.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,7.0,12.0,18.0,0.0,0.0,3.0,0.0,2.0,1.0,3.0,170.0,1.0,7.0,0.0,75.0,1,Home,0,4.0,4.0,0.0,3.0,1.0
Jack Graham,11.0,8.0,19.0,3.0,2.0,0.0,7.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,1.0,8.0,11.0,15.0,0.0,1.0,0.0,0.0,1.0,2.0,6.0,469.0,3.0,0.0,2.0,84.0,1,Home,0,3.0,2.0,5.0,6.0,4.0
Liam Baker,14.0,4.0,18.0,5.0,0.0,0.0,3.0,0.0,1.0,3.0,3.0,4.0,1.0,0.0,2.0,7.0,10.0,12.0,0.0,0.0,3.0,0.0,3.0,0.0,5.0,278.0,2.0,2.0,0.0,85.0,1,Home,0,5.0,5.0,3.0,4.0,6.0
Jack Ross,8.0,8.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,12.0,12.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,332.0,2.0,1.0,0.0,61.0,1,Home,0,3.0,2.0,0.0,5.0,4.0
Rhyan Mansell,9.0,7.0,16.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,4.0,3.0,0.0,8.0,8.0,15.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,277.0,2.0,9.0,0.0,80.0,1,Home,0,3.0,3.0,2.0,4.0,1.0
Dustin Martin,11.0,4.0,15.0,1.0,1.0,0.0,1.0,0.0,2.0,6.0,2.0,2.0,0.0,0.0,1.0,3.0,12.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,344.0,2.0,2.0,0.0,62.0,1,Home,0,1.0,0.0,1.0,4.0,6.0
David Astbury,8.0,7.0,15.0,6.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,8.0,6.0,12.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,166.0,2.0,9.0,0.0,96.0,1,Home,0,4.0,6.0,2.0,1.0,3.0
Jack Riewoldt,13.0,1.0,14.0,7.0,6.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,7.0,5.0,8.0,3.0,7.0,1.0,1.0,0.0,1.0,9.0,275.0,3.0,1.0,1.0,96.0,1,Home,3,4.0,0.0,2.0,9.0,6.0
Matthew Parker,10.0,2.0,12.0,4.0,0.0,0.0,7.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,2.0,3.0,8.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,355.0,2.0,1.0,0.0,84.0,1,Home,0,3.0,3.0,7.0,5.0,6.0
Dylan Grimes,5.0,6.0,11.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,7.0,5.0,8.0,2.0,0.0,6.0,0.0,0.0,0.0,4.0,200.0,3.0,8.0,0.0,91.0,1,Home,0,1.0,3.0,1.0,4.0,3.0
Sydney Stack,7.0,4.0,11.0,5.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,3.0,4.0,1.0,1.0,2.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,263.0,1.0,1.0,0.0,70.0,1,Home,0,5.0,5.0,2.0,4.0,2.0
Mabior Chol,8.0,2.0,10.0,4.0,4.0,0.0,1.0,12.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,6.0,3.0,9.0,2.0,2.0,2.0,0.0,0.0,4.0,6.0,286.0,0.0,2.0,0.0,56.0,1,Home,1,2.0,2.0,1.0,6.0,1.0
Tom Lynch,4.0,5.0,9.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,5.0,0.0,1.0,1.0,7.0,4.0,6.0,1.0,1.0,5.0,0.0,0.0,3.0,8.0,119.0,3.0,0.0,0.0,94.0,1,Home,0,2.0,2.0,1.0,8.0,3.0
Jason Castagna,5.0,4.0,9.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,5.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,155.0,1.0,0.0,1.0,85.0,1,Home,0,1.0,1.0,3.0,2.0,5.0
Kamdyn Mcintosh,7.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,225.0,1.0,2.0,0.0,16.0,1,Home,0,0.0,0.0,0.0,1.0,3.0
Marlion Pickett,6.0,2.0,8.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,3.0,3.0,5.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,161.0,5.0,1.0,2.0,85.0,1,Home,0,3.0,3.0,1.0,1.0,3.0
Ryan Garthwaite,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,-10.0,2.0,4.0,0.0,100.0,1,Home,0,0.0,0.0,0.0,0.0,3.0
Jake Aarts,7.0,0.0,7.0,3.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,2.0,1.0,1.0,0.0,2.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,207.0,4.0,0.0,1.0,84.0,1,Home,0,3.0,3.0,1.0,1.0,4.0
Hugh McCluggage,18.0,12.0,30.0,5.0,1.0,0.0,1.0,0.0,2.0,2.0,4.0,4.0,5.0,4.0,0.0,14.0,15.0,19.0,1.0,1.0,1.0,0.0,1.0,3.0,7.0,462.0,7.0,3.0,1.0,79.0,0,Away,2,4.0,4.0,0.0,5.0,11.0
Jarryd Lyons,11.0,16.0,27.0,4.0,0.0,0.0,6.0,0.0,1.0,3.0,9.0,2.0,1.0,2.0,0.0,16.0,11.0,22.0,0.0,0.0,1.0,0.0,3.0,6.0,6.0,179.0,0.0,5.0,0.0,85.0,0,Away,0,4.0,4.0,6.0,5.0,5.0
Mitch Robinson,19.0,7.0,26.0,8.0,0.0,0.0,3.0,0.0,1.0,6.0,5.0,5.0,3.0,1.0,1.0,6.0,21.0,19.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,544.0,4.0,2.0,0.0,83.0,0,Away,0,8.0,8.0,3.0,4.0,7.0
Lachie Neale,12.0,14.0,26.0,4.0,0.0,0.0,3.0,0.0,2.0,5.0,7.0,3.0,2.0,1.0,1.0,13.0,14.0,18.0,0.0,1.0,0.0,0.0,2.0,5.0,11.0,313.0,2.0,3.0,0.0,84.0,0,Away,0,4.0,3.0,3.0,9.0,8.0
Dayne Zorko,21.0,3.0,24.0,7.0,0.0,3.0,3.0,0.0,0.0,5.0,5.0,4.0,1.0,0.0,0.0,6.0,17.0,11.0,0.0,2.0,0.0,1.0,2.0,3.0,6.0,593.0,6.0,2.0,0.0,85.0,0,Away,0,7.0,5.0,3.0,6.0,13.0
Daniel Rich,19.0,4.0,23.0,3.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,4.0,6.0,1.0,2.0,8.0,12.0,18.0,1.0,0.0,4.0,0.0,0.0,3.0,4.0,546.0,8.0,5.0,0.0,80.0,0,Away,0,2.0,3.0,4.0,3.0,5.0
Grant Birchall,12.0,5.0,17.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,7.0,0.0,0.0,5.0,9.0,14.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,346.0,3.0,4.0,0.0,84.0,0,Away,0,6.0,6.0,2.0,1.0,3.0
Brandon Starcevich,11.0,6.0,17.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,4.0,1.0,2.0,5.0,9.0,12.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,381.0,1.0,3.0,0.0,91.0,0,Away,0,5.0,5.0,1.0,1.0,5.0
Zac Bailey,13.0,3.0,16.0,4.0,2.0,2.0,0.0,0.0,1.0,5.0,2.0,7.0,1.0,0.0,3.0,5.0,11.0,10.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,403.0,4.0,0.0,0.0,80.0,0,Away,0,4.0,3.0,0.0,7.0,6.0
Jack Payne,12.0,4.0,16.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,11.0,8.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,299.0,7.0,7.0,0.0,82.0,0,Away,0,7.0,9.0,5.0,1.0,8.0
Harris Andrews,10.0,5.0,15.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,7.0,7.0,13.0,2.0,0.0,10.0,0.0,0.0,0.0,2.0,189.0,1.0,9.0,0.0,94.0,0,Away,0,6.0,8.0,1.0,2.0,2.0
