Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Clayton Oliver,19.0,19.0,38.0,4.0,0.0,1.0,5.0,0.0,0.0,8.0,8.0,7.0,1.0,1.0,1.0,25.0,14.0,22.0,0.0,0.0,3.0,0.0,2.0,6.0,6.0,431.0,11.0,6.0,0.0,88.0,0,Home,1,4.0,4.0,5.0,6.0,16.0
Christian Petracca,18.0,13.0,31.0,4.0,1.0,0.0,7.0,0.0,0.0,1.0,6.0,7.0,2.0,0.0,0.0,17.0,14.0,11.0,1.0,1.0,1.0,0.0,2.0,4.0,3.0,390.0,6.0,3.0,1.0,98.0,0,Home,0,3.0,3.0,6.0,3.0,20.0
Alex N-Bullen,16.0,9.0,25.0,2.0,0.0,1.0,7.0,0.0,0.0,6.0,7.0,8.0,2.0,2.0,1.0,17.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,331.0,7.0,2.0,3.0,70.0,0,Home,0,2.0,2.0,4.0,4.0,13.0
Jayden Hunt,16.0,7.0,23.0,7.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,5.0,3.0,0.0,1.0,8.0,15.0,14.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,611.0,5.0,9.0,0.0,83.0,0,Home,0,7.0,7.0,1.0,5.0,9.0
Christian Salem,11.0,9.0,20.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,6.0,4.0,0.0,2.0,5.0,14.0,15.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,243.0,4.0,6.0,0.0,87.0,0,Home,0,2.0,2.0,3.0,1.0,5.0
Jake Lever,8.0,12.0,20.0,5.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,11.0,10.0,14.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,363.0,2.0,15.0,0.0,95.0,0,Home,0,5.0,5.0,2.0,1.0,6.0
Jack Viney,13.0,6.0,19.0,3.0,1.0,1.0,9.0,0.0,2.0,4.0,1.0,5.0,2.0,0.0,3.0,7.0,11.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,371.0,3.0,2.0,3.0,78.0,0,Home,0,3.0,3.0,6.0,5.0,6.0
Angus Brayshaw,12.0,7.0,19.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,2.0,8.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,221.0,4.0,4.0,0.0,83.0,0,Home,0,2.0,2.0,5.0,1.0,8.0
Max Gawn,16.0,2.0,18.0,2.0,0.0,0.0,2.0,56.0,1.0,4.0,6.0,3.0,3.0,0.0,1.0,14.0,6.0,7.0,0.0,0.0,3.0,0.0,3.0,3.0,4.0,281.0,2.0,2.0,0.0,89.0,0,Home,0,2.0,2.0,2.0,3.0,11.0
James Harmes,6.0,9.0,15.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,6.0,2.0,0.0,4.0,6.0,11.0,11.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,115.0,2.0,0.0,2.0,82.0,0,Home,0,2.0,2.0,6.0,2.0,4.0
Ed Langdon,9.0,6.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,7.0,8.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,252.0,5.0,5.0,0.0,100.0,0,Home,0,1.0,1.0,0.0,0.0,6.0
Tom McDonald,9.0,5.0,14.0,4.0,1.0,0.0,2.0,2.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,7.0,5.0,9.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,253.0,4.0,0.0,0.0,83.0,0,Home,0,2.0,3.0,2.0,3.0,5.0
Michael Hibberd,6.0,8.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,5.0,10.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,167.0,2.0,4.0,0.0,82.0,0,Home,0,4.0,4.0,0.0,1.0,3.0
Steven May,12.0,2.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,5.0,4.0,2.0,2.0,4.0,3.0,11.0,1.0,0.0,13.0,0.0,0.0,1.0,0.0,339.0,4.0,5.0,0.0,97.0,0,Home,0,0.0,1.0,1.0,0.0,3.0
James Jordon,3.0,11.0,14.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,6.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56.0,2.0,4.0,0.0,64.0,0,Home,0,1.0,1.0,2.0,1.0,5.0
Trent Rivers,11.0,3.0,14.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,6.0,9.0,10.0,1.0,0.0,3.0,0.0,1.0,0.0,3.0,313.0,1.0,6.0,0.0,65.0,0,Home,0,0.0,1.0,2.0,3.0,4.0
Kysaiah Pickett,9.0,4.0,13.0,2.0,2.0,2.0,8.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,3.0,4.0,8.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,252.0,2.0,0.0,2.0,74.0,0,Home,0,2.0,0.0,6.0,4.0,8.0
Bayley Fritsch,8.0,4.0,12.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,6.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,189.0,3.0,2.0,2.0,81.0,0,Home,0,1.0,0.0,0.0,5.0,6.0
Ben Brown,10.0,1.0,11.0,6.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,5.0,6.0,5.0,1.0,4.0,3.0,0.0,0.0,0.0,6.0,303.0,3.0,0.0,1.0,82.0,0,Home,0,5.0,2.0,1.0,6.0,6.0
Luke Jackson,2.0,7.0,9.0,4.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,7.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,59.0,1.0,2.0,0.0,66.0,0,Home,0,4.0,4.0,2.0,1.0,1.0
Charlie Spargo,6.0,2.0,8.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,101.0,2.0,4.0,2.0,63.0,0,Home,0,1.0,1.0,4.0,2.0,3.0
Harrison Petty,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,9.0,0.0,3.0,0.0,90.0,0,Home,0,1.0,1.0,1.0,1.0,0.0
Jackson Macrae,19.0,19.0,38.0,5.0,0.0,0.0,7.0,0.0,1.0,8.0,9.0,4.0,3.0,0.0,0.0,16.0,22.0,27.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,532.0,11.0,3.0,2.0,87.0,1,Away,2,5.0,5.0,5.0,8.0,11.0
Caleb Daniel,17.0,17.0,34.0,6.0,1.0,0.0,4.0,0.0,1.0,2.0,5.0,4.0,3.0,3.0,0.0,16.0,18.0,26.0,0.0,0.0,4.0,1.0,0.0,5.0,6.0,415.0,6.0,9.0,1.0,88.0,1,Away,0,6.0,6.0,3.0,5.0,8.0
Marcus Bontempelli,24.0,7.0,31.0,3.0,2.0,0.0,6.0,0.0,1.0,10.0,10.0,9.0,2.0,1.0,3.0,13.0,21.0,19.0,0.0,0.0,3.0,0.0,4.0,6.0,8.0,755.0,11.0,4.0,0.0,86.0,1,Away,3,3.0,3.0,6.0,7.0,12.0
Thomas Liberatore,12.0,15.0,27.0,2.0,0.0,1.0,4.0,0.0,2.0,2.0,6.0,7.0,2.0,3.0,0.0,19.0,9.0,16.0,0.0,0.0,4.0,0.0,1.0,5.0,6.0,329.0,4.0,3.0,1.0,87.0,1,Away,0,2.0,2.0,3.0,4.0,11.0
Lachlan Hunter,14.0,12.0,26.0,4.0,0.0,0.0,5.0,0.0,0.0,2.0,3.0,4.0,2.0,2.0,0.0,9.0,14.0,19.0,0.0,0.0,3.0,3.0,0.0,3.0,5.0,447.0,4.0,6.0,1.0,86.0,1,Away,0,4.0,4.0,4.0,5.0,7.0
Bailey Smith,18.0,8.0,26.0,4.0,1.0,1.0,9.0,0.0,1.0,8.0,4.0,3.0,1.0,0.0,0.0,10.0,16.0,17.0,0.0,0.0,3.0,0.0,1.0,3.0,6.0,592.0,10.0,3.0,1.0,87.0,1,Away,0,4.0,4.0,8.0,5.0,9.0
