Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Joshua Kelly,17.0,14.0,31.0,3.0,0.0,0.0,4.0,0.0,0.0,6.0,4.0,3.0,3.0,1.0,1.0,7.0,22.0,23.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,433.0,10.0,3.0,1.0,84.0,0,Home,0,3.0,3.0,3.0,3.0,8.0
Jacob Hopper,11.0,18.0,29.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,5.0,4.0,1.0,1.0,9.0,21.0,18.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,335.0,3.0,3.0,0.0,73.0,0,Home,0,2.0,2.0,2.0,2.0,11.0
Nick Haynes,17.0,11.0,28.0,10.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,4.0,0.0,0.0,7.0,21.0,23.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,559.0,6.0,7.0,0.0,88.0,0,Home,0,8.0,10.0,2.0,3.0,5.0
Lachie Whitfield,15.0,10.0,25.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,8.0,2.0,0.0,5.0,17.0,18.0,0.0,0.0,5.0,1.0,0.0,1.0,5.0,451.0,8.0,5.0,0.0,92.0,0,Home,0,3.0,3.0,1.0,4.0,7.0
Harry Perryman,13.0,7.0,20.0,8.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,6.0,14.0,18.0,2.0,1.0,3.0,0.0,1.0,0.0,6.0,261.0,2.0,4.0,0.0,81.0,0,Home,0,6.0,7.0,2.0,5.0,2.0
James Peatling,14.0,5.0,19.0,7.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,3.0,6.0,3.0,2.0,8.0,12.0,13.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,367.0,6.0,9.0,0.0,70.0,0,Home,0,7.0,7.0,3.0,5.0,6.0
Callan Ward,10.0,8.0,18.0,4.0,1.0,0.0,1.0,0.0,1.0,4.0,4.0,1.0,1.0,3.0,1.0,7.0,11.0,16.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,307.0,3.0,2.0,0.0,78.0,0,Home,0,4.0,4.0,1.0,4.0,2.0
Isaac Cumming,11.0,6.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,12.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,267.0,0.0,5.0,0.0,81.0,0,Home,0,4.0,4.0,0.0,3.0,1.0
Toby Greene,9.0,6.0,15.0,4.0,2.0,4.0,1.0,0.0,1.0,2.0,0.0,6.0,0.0,1.0,4.0,8.0,8.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,242.0,7.0,0.0,1.0,90.0,0,Home,0,4.0,0.0,0.0,7.0,8.0
Daniel Lloyd,12.0,3.0,15.0,3.0,3.0,0.0,0.0,0.0,1.0,7.0,0.0,3.0,1.0,0.0,1.0,7.0,9.0,10.0,0.0,1.0,3.0,0.0,0.0,0.0,7.0,482.0,3.0,1.0,0.0,85.0,0,Home,0,3.0,2.0,0.0,6.0,5.0
Tim Taranto,6.0,9.0,15.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,4.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,118.0,5.0,1.0,0.0,80.0,0,Home,0,4.0,4.0,0.0,5.0,3.0
Lachlan Ash,6.0,9.0,15.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,8.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,54.0,3.0,3.0,0.0,81.0,0,Home,0,2.0,2.0,3.0,1.0,7.0
Sam Taylor,6.0,8.0,14.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,8.0,6.0,12.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,142.0,2.0,9.0,0.0,97.0,0,Home,0,4.0,6.0,2.0,0.0,2.0
Xavier O'Halloran,8.0,6.0,14.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,9.0,7.0,13.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,296.0,3.0,8.0,0.0,82.0,0,Home,0,1.0,2.0,1.0,2.0,1.0
Jesse Hogan,7.0,6.0,13.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,10.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,128.0,3.0,0.0,0.0,82.0,0,Home,0,4.0,2.0,0.0,5.0,5.0
