Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Cameron Guthrie,20.0,23.0,43.0,11.0,0.0,1.0,3.0,0.0,0.0,6.0,10.0,2.0,2.0,1.0,0.0,15.0,27.0,35.0,1.0,0.0,3.0,0.0,3.0,7.0,7.0,161.0,3.0,1.0,0.0,77.0,1,Home,3,10.0,11.0,3.0,7.0,8.0
Mitchell Duncan,21.0,16.0,37.0,10.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,4.0,4.0,1.0,0.0,8.0,28.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,566.0,5.0,2.0,0.0,81.0,1,Home,0,10.0,10.0,1.0,6.0,12.0
Mark O'Connor,12.0,14.0,26.0,7.0,0.0,0.0,8.0,0.0,0.0,5.0,8.0,6.0,2.0,2.0,3.0,11.0,16.0,21.0,0.0,0.0,4.0,0.0,2.0,6.0,2.0,253.0,4.0,5.0,4.0,86.0,1,Home,1,7.0,7.0,4.0,2.0,5.0
Thomas Stewart,21.0,4.0,25.0,12.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,2.0,22.0,21.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,514.0,2.0,4.0,0.0,82.0,1,Home,0,12.0,12.0,0.0,3.0,4.0
Joel Selwood,11.0,10.0,21.0,3.0,0.0,0.0,7.0,0.0,3.0,5.0,3.0,3.0,1.0,3.0,2.0,8.0,14.0,16.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,174.0,1.0,1.0,1.0,80.0,1,Home,0,3.0,3.0,6.0,3.0,5.0
Gryan Miers,12.0,6.0,18.0,7.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,6.0,14.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,322.0,2.0,2.0,0.0,88.0,1,Home,0,7.0,6.0,1.0,5.0,6.0
Zach Tuohy,10.0,7.0,17.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,1.0,3.0,11.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,252.0,3.0,4.0,0.0,90.0,1,Home,0,5.0,5.0,0.0,3.0,4.0
Brandan Parfitt,11.0,6.0,17.0,4.0,1.0,0.0,4.0,0.0,0.0,3.0,2.0,4.0,2.0,0.0,2.0,5.0,11.0,11.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,251.0,3.0,2.0,0.0,80.0,1,Home,0,4.0,4.0,4.0,3.0,6.0
Tom Atkins,11.0,6.0,17.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,8.0,10.0,13.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,234.0,3.0,3.0,0.0,90.0,1,Home,0,1.0,2.0,4.0,2.0,4.0
Max Holmes,10.0,6.0,16.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,5.0,12.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,272.0,3.0,3.0,0.0,72.0,1,Home,0,4.0,4.0,1.0,4.0,6.0
Lachlan Henderson,9.0,6.0,15.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,3.0,6.0,7.0,13.0,1.0,0.0,6.0,0.0,0.0,0.0,3.0,273.0,1.0,10.0,0.0,100.0,1,Home,0,4.0,5.0,3.0,3.0,2.0
Rhys Stanley,7.0,8.0,15.0,3.0,0.0,0.0,1.0,8.0,0.0,1.0,1.0,5.0,0.0,2.0,1.0,9.0,5.0,6.0,1.0,1.0,4.0,0.0,1.0,0.0,2.0,115.0,3.0,3.0,0.0,81.0,1,Home,0,2.0,2.0,1.0,2.0,9.0
Isaac Smith,11.0,4.0,15.0,6.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,295.0,2.0,0.0,0.0,90.0,1,Home,0,6.0,6.0,4.0,1.0,3.0
Jordan Clark,7.0,8.0,15.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,9.0,14.0,0.0,0.0,1.0,5.0,0.0,1.0,4.0,181.0,0.0,1.0,1.0,75.0,1,Home,0,2.0,2.0,1.0,4.0,1.0
Tom Hawkins,10.0,4.0,14.0,9.0,2.0,4.0,1.0,5.0,1.0,2.0,0.0,4.0,0.0,1.0,2.0,7.0,8.0,7.0,3.0,6.0,2.0,0.0,0.0,0.0,8.0,273.0,3.0,0.0,1.0,96.0,1,Home,0,6.0,3.0,0.0,7.0,7.0
Charlie Constable,7.0,7.0,14.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,62.0,3.0,0.0,0.0,42.0,1,Home,0,5.0,5.0,0.0,2.0,3.0
Jake Kolodjashnij,11.0,2.0,13.0,8.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,3.0,11.0,11.0,1.0,0.0,7.0,1.0,0.0,0.0,2.0,226.0,1.0,2.0,0.0,95.0,1,Home,0,7.0,8.0,2.0,2.0,2.0
