Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Jack Ziebell,27.0,6.0,33.0,11.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,1.0,5.0,18.0,31.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,582.0,4.0,8.0,0.0,88.0,0,Home,0,10.0,11.0,4.0,2.0,2.0
Aaron Hall,15.0,8.0,23.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,4.0,18.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,373.0,8.0,5.0,0.0,85.0,0,Home,0,9.0,8.0,2.0,4.0,5.0
Ben Cunnington,9.0,13.0,22.0,3.0,0.0,1.0,5.0,0.0,0.0,3.0,9.0,6.0,0.0,0.0,4.0,18.0,7.0,17.0,0.0,0.0,2.0,0.0,7.0,2.0,6.0,189.0,4.0,3.0,0.0,81.0,0,Home,0,3.0,3.0,5.0,6.0,5.0
Jy Simpkin,15.0,7.0,22.0,9.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,7.0,14.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,205.0,3.0,7.0,0.0,87.0,0,Home,0,9.0,9.0,2.0,5.0,4.0
Jaidyn Stephenson,15.0,4.0,19.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,8.0,10.0,12.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,287.0,5.0,3.0,0.0,86.0,0,Home,0,4.0,2.0,1.0,3.0,7.0
Shaun Atley,12.0,5.0,17.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,1.0,2.0,0.0,85.0,0,Home,0,8.0,9.0,2.0,0.0,2.0
Joshua Walker,11.0,6.0,17.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,1.0,8.0,10.0,13.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,270.0,5.0,9.0,0.0,96.0,0,Home,0,7.0,10.0,1.0,0.0,4.0
Cameron Zurhaar,14.0,3.0,17.0,9.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,1.0,16.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,251.0,4.0,1.0,0.0,85.0,0,Home,0,9.0,8.0,4.0,1.0,4.0
Luke D-Uniacke,11.0,6.0,17.0,4.0,0.0,0.0,5.0,0.0,1.0,7.0,2.0,4.0,2.0,0.0,3.0,5.0,16.0,10.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,360.0,10.0,0.0,2.0,89.0,0,Home,0,4.0,4.0,3.0,2.0,7.0
Lachie Young,9.0,7.0,16.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,2.0,4.0,12.0,12.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,53.0,5.0,3.0,0.0,76.0,0,Home,0,6.0,7.0,5.0,1.0,4.0
Todd Goldstein,8.0,7.0,15.0,5.0,0.0,0.0,2.0,23.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,7.0,10.0,12.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,130.0,3.0,6.0,0.0,97.0,0,Home,0,5.0,5.0,2.0,2.0,3.0
Tom Powell,7.0,7.0,14.0,7.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,160.0,3.0,1.0,1.0,82.0,0,Home,0,7.0,7.0,2.0,3.0,2.0
Kayne Turner,7.0,6.0,13.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,4.0,9.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,249.0,3.0,2.0,0.0,80.0,0,Home,0,4.0,3.0,0.0,3.0,6.0
Bailey Scott,9.0,4.0,13.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,284.0,2.0,0.0,0.0,82.0,0,Home,0,6.0,6.0,1.0,4.0,0.0
Jed Anderson,7.0,5.0,12.0,5.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,1.0,3.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,224.0,2.0,0.0,0.0,43.0,0,Home,0,5.0,5.0,4.0,2.0,4.0
Tarryn Thomas,9.0,3.0,12.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,4.0,8.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,242.0,4.0,5.0,2.0,82.0,0,Home,0,4.0,4.0,0.0,2.0,7.0
Jack Mahony,4.0,7.0,11.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,83.0,0.0,2.0,0.0,77.0,0,Home,0,2.0,2.0,2.0,3.0,1.0
Will Phillips,4.0,5.0,9.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,1.0,2.0,0.0,71.0,0,Home,0,2.0,2.0,2.0,0.0,2.0
Nick Larkey,6.0,2.0,8.0,2.0,1.0,1.0,2.0,11.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,3.0,6.0,6.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,58.0,2.0,0.0,1.0,88.0,0,Home,0,2.0,1.0,1.0,3.0,2.0
Jared Polec,6.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,78.0,1.0,1.0,0.0,24.0,0,Home,0,2.0,2.0,0.0,1.0,0.0
Ben McKay,1.0,6.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,3.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,31.0,1.0,4.0,0.0,95.0,0,Home,0,2.0,2.0,1.0,1.0,1.0
Charlie Lazzaro,4.0,3.0,7.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,6.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,138.0,4.0,2.0,0.0,70.0,0,Home,0,3.0,2.0,1.0,3.0,3.0
Kyron Hayden,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,34.0,1.0,2.0,0.0,50.0,0,Home,0,3.0,2.0,2.0,1.0,1.0
