Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Cameron Guthrie,11.0,24.0,35.0,5.0,0.0,0.0,3.0,0.0,0.0,3.0,10.0,0.0,1.0,2.0,0.0,16.0,19.0,30.0,0.0,0.0,1.0,0.0,4.0,6.0,5.0,123.0,3.0,5.0,0.0,75.0,1,Home,0,5.0,5.0,3.0,5.0,5.0
Joel Selwood,13.0,16.0,29.0,4.0,0.0,0.0,2.0,0.0,2.0,4.0,6.0,2.0,1.0,2.0,0.0,13.0,18.0,23.0,1.0,0.0,4.0,0.0,3.0,3.0,8.0,381.0,3.0,4.0,0.0,77.0,1,Home,0,3.0,4.0,2.0,6.0,6.0
Thomas Stewart,18.0,9.0,27.0,8.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,10.0,16.0,22.0,0.0,0.0,5.0,0.0,0.0,2.0,5.0,335.0,4.0,7.0,0.0,86.0,1,Home,0,8.0,8.0,2.0,4.0,5.0
Mitchell Duncan,20.0,6.0,26.0,13.0,4.0,1.0,2.0,0.0,0.0,3.0,4.0,2.0,3.0,2.0,0.0,7.0,20.0,21.0,0.0,3.0,1.0,0.0,1.0,3.0,12.0,516.0,3.0,2.0,0.0,84.0,1,Home,2,13.0,10.0,2.0,12.0,5.0
Isaac Smith,16.0,7.0,23.0,7.0,0.0,0.0,6.0,0.0,0.0,5.0,2.0,8.0,6.0,0.0,1.0,3.0,20.0,14.0,0.0,0.0,1.0,3.0,0.0,2.0,7.0,492.0,9.0,0.0,1.0,82.0,1,Home,0,7.0,7.0,5.0,7.0,9.0
Tom Atkins,14.0,8.0,22.0,9.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,2.0,8.0,18.0,15.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,283.0,4.0,4.0,0.0,89.0,1,Home,0,9.0,9.0,6.0,4.0,7.0
Sam Menegola,11.0,9.0,20.0,3.0,1.0,0.0,2.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,7.0,13.0,14.0,0.0,0.0,2.0,0.0,1.0,2.0,5.0,271.0,4.0,0.0,0.0,84.0,1,Home,0,3.0,3.0,2.0,5.0,6.0
Lachlan Henderson,13.0,6.0,19.0,11.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,5.0,14.0,18.0,1.0,1.0,5.0,0.0,0.0,0.0,5.0,325.0,1.0,6.0,0.0,100.0,1,Home,3,10.0,10.0,0.0,5.0,1.0
Jack Henry,15.0,4.0,19.0,10.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,8.0,11.0,18.0,4.0,0.0,2.0,0.0,0.0,0.0,7.0,249.0,1.0,8.0,0.0,84.0,1,Home,1,6.0,10.0,2.0,7.0,1.0
Jed Bews,12.0,5.0,17.0,6.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,4.0,1.0,2.0,0.0,4.0,13.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,407.0,4.0,2.0,0.0,83.0,1,Home,0,6.0,6.0,1.0,5.0,6.0
Gryan Miers,11.0,6.0,17.0,5.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,7.0,10.0,10.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,321.0,2.0,4.0,1.0,85.0,1,Home,0,5.0,5.0,0.0,8.0,7.0
Brandan Parfitt,8.0,8.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,4.0,1.0,1.0,3.0,8.0,10.0,9.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,312.0,1.0,2.0,0.0,65.0,1,Home,0,0.0,0.0,4.0,4.0,7.0
Rhys Stanley,9.0,6.0,15.0,4.0,1.0,0.0,3.0,22.0,0.0,2.0,4.0,1.0,0.0,2.0,0.0,6.0,8.0,12.0,1.0,1.0,5.0,0.0,1.0,3.0,9.0,158.0,1.0,1.0,0.0,83.0,1,Home,0,3.0,3.0,3.0,9.0,3.0
Luke Dahlhaus,7.0,8.0,15.0,2.0,0.0,1.0,3.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,4.0,10.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,121.0,2.0,1.0,2.0,78.0,1,Home,0,2.0,1.0,1.0,5.0,4.0
Mark O'Connor,11.0,4.0,15.0,4.0,1.0,0.0,7.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,5.0,11.0,11.0,0.0,1.0,3.0,0.0,2.0,0.0,4.0,316.0,3.0,3.0,0.0,71.0,1,Home,0,4.0,3.0,7.0,4.0,4.0
Tom Hawkins,10.0,4.0,14.0,4.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,5.0,0.0,0.0,2.0,7.0,7.0,12.0,2.0,3.0,3.0,0.0,0.0,1.0,11.0,96.0,3.0,0.0,1.0,96.0,1,Home,0,2.0,1.0,0.0,8.0,2.0
Gary Rohan,10.0,3.0,13.0,6.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,5.0,7.0,10.0,3.0,3.0,2.0,0.0,0.0,0.0,7.0,305.0,4.0,1.0,1.0,84.0,1,Home,0,3.0,3.0,0.0,7.0,3.0
Mark Blicavs,8.0,4.0,12.0,5.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,7.0,6.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,102.0,2.0,7.0,0.0,95.0,1,Home,0,5.0,5.0,3.0,1.0,3.0
Zach Tuohy,6.0,5.0,11.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,5.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,206.0,2.0,2.0,0.0,76.0,1,Home,0,2.0,2.0,4.0,1.0,3.0
Jeremy Cameron,8.0,1.0,9.0,6.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,6.0,4.0,6.0,2.0,4.0,1.0,0.0,0.0,0.0,6.0,284.0,3.0,0.0,0.0,69.0,1,Home,0,4.0,2.0,0.0,5.0,3.0
Jake Kolodjashnij,3.0,6.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,3.0,2.0,9.0,6.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,66.0,2.0,0.0,0.0,63.0,1,Home,0,1.0,1.0,1.0,1.0,3.0
Bradley Close,5.0,4.0,9.0,2.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,5.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,139.0,2.0,2.0,2.0,75.0,1,Home,0,1.0,2.0,1.0,3.0,4.0
Jordan Clark,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,81.0,0.0,1.0,0.0,17.0,1,Home,0,3.0,3.0,0.0,2.0,0.0
Andrew Gaff,18.0,9.0,27.0,7.0,0.0,0.0,2.0,0.0,0.0,4.0,7.0,5.0,1.0,1.0,3.0,9.0,18.0,19.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,484.0,6.0,4.0,0.0,84.0,0,Away,0,7.0,7.0,2.0,3.0,8.0
Jack Redden,9.0,11.0,20.0,1.0,0.0,0.0,5.0,0.0,0.0,5.0,3.0,2.0,2.0,1.0,2.0,10.0,12.0,12.0,0.0,0.0,5.0,0.0,0.0,3.0,2.0,270.0,2.0,2.0,0.0,84.0,0,Away,0,1.0,1.0,5.0,2.0,8.0
Alex Witherden,15.0,3.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,0.0,0.0,2.0,11.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,423.0,5.0,5.0,0.0,78.0,0,Away,0,8.0,8.0,0.0,2.0,6.0
Tim Kelly,8.0,8.0,16.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,7.0,9.0,11.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,244.0,2.0,2.0,0.0,83.0,0,Away,0,1.0,1.0,3.0,3.0,5.0
Xavier O'Neill,8.0,6.0,14.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,4.0,1.0,2.0,1.0,8.0,7.0,9.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,225.0,4.0,2.0,0.0,71.0,0,Away,0,2.0,2.0,2.0,0.0,5.0
Nicholas Naitanui,10.0,3.0,13.0,0.0,0.0,0.0,3.0,25.0,0.0,4.0,7.0,3.0,1.0,0.0,1.0,12.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,5.0,1.0,212.0,5.0,3.0,0.0,62.0,0,Away,0,0.0,0.0,3.0,1.0,9.0
Bradley Sheppard,8.0,5.0,13.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,9.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,227.0,4.0,5.0,0.0,91.0,0,Away,0,2.0,2.0,2.0,0.0,5.0
Dominic Sheed,8.0,5.0,13.0,3.0,0.0,1.0,4.0,0.0,0.0,4.0,2.0,6.0,0.0,2.0,5.0,8.0,6.0,6.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,219.0,2.0,2.0,0.0,82.0,0,Away,0,3.0,3.0,4.0,2.0,7.0
Jackson Nelson,9.0,4.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,1.0,4.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,258.0,2.0,2.0,0.0,89.0,0,Away,0,2.0,2.0,0.0,0.0,6.0
Jack Darling,9.0,3.0,12.0,8.0,1.0,2.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,5.0,221.0,2.0,1.0,3.0,100.0,0,Away,0,4.0,5.0,1.0,4.0,5.0
Jarrod Brander,6.0,6.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,3.0,9.0,11.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,254.0,1.0,1.0,0.0,81.0,0,Away,0,1.0,1.0,0.0,1.0,1.0
Jamie Cripps,7.0,3.0,10.0,1.0,0.0,2.0,5.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,2.0,8.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,187.0,3.0,1.0,2.0,77.0,0,Away,0,1.0,1.0,3.0,5.0,6.0
Liam Duggan,6.0,4.0,10.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,1.0,6.0,4.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,40.0,3.0,7.0,0.0,88.0,0,Away,0,3.0,3.0,2.0,1.0,3.0
Tom Barrass,5.0,4.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,8.0,8.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,139.0,3.0,5.0,0.0,89.0,0,Away,0,3.0,3.0,0.0,1.0,1.0
Tom Cole,7.0,2.0,9.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,79.0,3.0,4.0,0.0,87.0,0,Away,0,4.0,4.0,2.0,0.0,2.0
Zac Langdon,6.0,3.0,9.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,2.0,6.0,5.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,115.0,5.0,2.0,1.0,76.0,0,Away,0,4.0,2.0,1.0,1.0,5.0
Josh Rotham,6.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,3.0,1.0,6.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,199.0,3.0,3.0,0.0,86.0,0,Away,0,0.0,0.0,0.0,1.0,1.0
Oscar Allen,8.0,0.0,8.0,3.0,2.0,2.0,3.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,6.0,2.0,4.0,3.0,2.0,1.0,0.0,0.0,1.0,5.0,246.0,2.0,0.0,1.0,85.0,0,Away,0,0.0,1.0,2.0,4.0,4.0
Jeremy McGovern,5.0,2.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,3.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,54.0,0.0,4.0,0.0,30.0,0,Away,0,3.0,4.0,0.0,1.0,1.0
Jake Waterman,4.0,2.0,6.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,2.0,0.0,3.0,81.0,0,Away,0,2.0,2.0,1.0,0.0,3.0
Jamaine Jones,4.0,2.0,6.0,2.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,118.0,1.0,4.0,1.0,75.0,0,Away,0,2.0,2.0,4.0,2.0,1.0
Nathan Vardy,3.0,1.0,4.0,2.0,1.0,0.0,3.0,18.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,85.0,0.0,2.0,0.0,72.0,0,Away,0,1.0,1.0,3.0,2.0,1.0
Brayden Ainsworth,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,48.0,0,Away,0,1.0,1.0,0.0,1.0,1.0
