Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Josh Daicos,11.0,16.0,27.0,4.0,1.0,1.0,5.0,0.0,0.0,2.0,4.0,2.0,2.0,1.0,2.0,8.0,19.0,20.0,0.0,0.0,1.0,2.0,2.0,2.0,8.0,229.0,3.0,5.0,2.0,72.0,0,Home,0,4.0,4.0,3.0,8.0,7.0
Scott Pendlebury,15.0,11.0,26.0,5.0,0.0,0.0,4.0,0.0,2.0,5.0,6.0,3.0,0.0,0.0,0.0,12.0,14.0,18.0,0.0,0.0,2.0,0.0,0.0,6.0,5.0,371.0,5.0,3.0,0.0,83.0,0,Home,0,5.0,5.0,4.0,3.0,8.0
Brody Mihocek,20.0,4.0,24.0,12.0,4.0,2.0,1.0,0.0,0.0,8.0,0.0,3.0,0.0,2.0,0.0,7.0,14.0,12.0,1.0,5.0,3.0,0.0,0.0,0.0,8.0,552.0,6.0,2.0,0.0,91.0,0,Home,0,11.0,7.0,1.0,8.0,12.0
Steele Sidebottom,12.0,9.0,21.0,6.0,0.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,6.0,16.0,18.0,0.0,0.0,1.0,5.0,0.0,2.0,5.0,283.0,3.0,2.0,0.0,81.0,0,Home,0,6.0,6.0,2.0,3.0,3.0
Brodie Grundy,10.0,11.0,21.0,3.0,1.0,0.0,4.0,37.0,0.0,1.0,5.0,2.0,0.0,2.0,1.0,15.0,8.0,16.0,2.0,0.0,2.0,0.0,3.0,2.0,7.0,219.0,4.0,5.0,0.0,85.0,0,Home,0,1.0,3.0,4.0,7.0,5.0
Isaac Quaynor,15.0,6.0,21.0,4.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,5.0,5.0,0.0,0.0,7.0,14.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,474.0,9.0,5.0,0.0,83.0,0,Home,0,3.0,4.0,1.0,3.0,11.0
John Noble,18.0,2.0,20.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,1.0,0.0,2.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,438.0,3.0,2.0,0.0,78.0,0,Home,0,4.0,4.0,0.0,3.0,4.0
Christopher Mayne,11.0,6.0,17.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,8.0,8.0,15.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,238.0,2.0,9.0,0.0,83.0,0,Home,0,3.0,4.0,2.0,1.0,2.0
Will H-Elliott,6.0,11.0,17.0,6.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,80.0,2.0,2.0,0.0,92.0,0,Home,0,6.0,6.0,3.0,2.0,2.0
Jack Crisp,13.0,4.0,17.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,4.0,5.0,0.0,1.0,6.0,13.0,12.0,1.0,0.0,7.0,0.0,0.0,3.0,3.0,343.0,5.0,5.0,0.0,89.0,0,Home,0,4.0,5.0,3.0,3.0,5.0
Jordan De Goey,8.0,8.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,6.0,2.0,1.0,2.0,0.0,8.0,8.0,10.0,0.0,0.0,2.0,0.0,2.0,4.0,4.0,235.0,4.0,2.0,1.0,91.0,0,Home,0,0.0,0.0,0.0,4.0,6.0
Brayden Maynard,11.0,5.0,16.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,1.0,3.0,9.0,16.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,322.0,1.0,5.0,0.0,87.0,0,Home,0,4.0,4.0,1.0,1.0,0.0
Josh Thomas,6.0,9.0,15.0,1.0,0.0,0.0,7.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,9.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,128.0,3.0,2.0,1.0,71.0,0,Home,0,1.0,1.0,6.0,1.0,9.0
Darcy Cameron,11.0,4.0,15.0,6.0,0.0,2.0,2.0,13.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,10.0,5.0,9.0,4.0,2.0,0.0,0.0,1.0,2.0,5.0,249.0,2.0,2.0,1.0,80.0,0,Home,0,2.0,4.0,1.0,5.0,6.0
Nathan Murphy,10.0,5.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,13.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,241.0,4.0,2.0,0.0,73.0,0,Home,0,6.0,7.0,0.0,2.0,4.0
Caleb Poulter,7.0,8.0,15.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,3.0,1.0,2.0,5.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,270.0,4.0,3.0,0.0,76.0,0,Home,0,5.0,5.0,1.0,1.0,3.0
Jordan Roughead,10.0,4.0,14.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,7.0,7.0,11.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,288.0,2.0,6.0,0.0,96.0,0,Home,0,4.0,5.0,1.0,0.0,3.0
Callum Brown,6.0,8.0,14.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,9.0,11.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,157.0,1.0,0.0,0.0,78.0,0,Home,0,3.0,3.0,3.0,1.0,3.0
Mark Keane,9.0,4.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,5.0,7.0,11.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,223.0,1.0,7.0,0.0,87.0,0,Home,0,4.0,7.0,0.0,3.0,2.0
