Player,Kicks BTP,Kicks OTP,Handballs BTP,Handballs OTP,Disposals BTP,Disposals OTP,Marks BTP,Marks OTP,Goals BTP,Goals OTP,Behinds BTP,Behinds OTP,Tackles BTP,Tackles OTP,Hitouts BTP,Hitouts OTP,Goal Assists BTP,Goal Assists OTP,Inside 50s BTP,Inside 50s OTP,Clearances BTP,Clearances OTP,Clangers BTP,Clangers OTP,Rebound 50s BTP,Rebound 50s OTP,Frees For BTP,Frees For OTP,Frees Agains BTP,Frees Agains OTP,Contested Possessions BTP,Contested Possessions OTP,Uncontested Possessions BTP,Uncontested Possessions OTP,Effective Disposals BTP,Effective Disposals OTP,Contested Marks BTP,Contested Marks OTP,Marks Inside 50 BTP,Marks Inside 50 OTP,One Percenters BTP,One Percenters OTP,Bounces BTP,Bounces OTP,Centre Clearances BTP,Centre Clearances OTP,Stoppage Clearances BTP,Stoppage Clearances OTP,Score Involvements BTP,Score Involvements OTP,Metres Gained BTP,Metres Gained OTP,Turnovers BTP,Turnovers OTP,Intercepts BTP,Intercepts OTP,Tackles Inside 50 BTP,Tackles Inside 50 OTP,Time On Ground % BTP,Time On Ground % OTP,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTP,Uncontested Marks OTP,Marks Outside 50 BTP,Marks Outside 50 OTP,Tackles Outside 50 BTP,Tackles Outside 50 OTP,Behind Assists BTP,Behind Assists OTP,Ineffective Disposals BTP,Ineffective Disposals OTP
Nathan Jones,0.036939313984168866,0.08284023668639054,0.054945054945054944,0.11029411764705882,0.04447852760736196,0.09508196721311475,0.011904761904761904,0.02857142857142857,0.0,0.0,0.0,0.0,0.041666666666666664,0.08196721311475409,0.0,0.0,0.0,0.0,0.061224489795918366,0.13333333333333333,0.09090909090909091,0.1891891891891892,0.037037037037037035,0.06521739130434782,0.015873015873015872,0.03333333333333333,0.0625,0.16666666666666666,0.0,0.0,0.05042016806722689,0.10256410256410256,0.045,0.09944751381215469,0.04056795131845842,0.08733624454148471,0.0,0.0,0.0,0.0,0.028169014084507043,0.04878048780487805,0.0,0.0,0.07407407407407407,0.14285714285714285,0.08,0.17391304347826086,0.020833333333333332,0.06557377049180328,0.038637194008038,0.08221574344023323,0.06363636363636363,0.11290322580645161,0.03636363636363636,0.08333333333333333,0.0,0.0,0.022216051096917523,0.04441976679622432,0,Home,0,0.013071895424836602,0.03333333333333333,0.013888888888888888,0.03278688524590164,0.04950495049504951,0.09433962264150944,0.023121387283236993,0.07272727272727272,0.05660377358490566,0.11842105263157894
Bernie Vince,0.04221635883905013,0.09467455621301775,0.03663003663003663,0.07352941176470588,0.03987730061349693,0.08524590163934426,0.017857142857142856,0.04285714285714286,0.0,0.0,0.0,0.0,0.041666666666666664,0.08196721311475409,0.0,0.0,0.0,0.0,0.061224489795918366,0.13333333333333333,0.07792207792207792,0.16216216216216217,0.024691358024691357,0.043478260869565216,0.047619047619047616,0.1,0.0,0.0,0.0625,0.1,0.046218487394957986,0.09401709401709402,0.0375,0.08287292817679558,0.04056795131845842,0.08733624454148471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.07142857142857142,0.12,0.2608695652173913,0.026041666666666668,0.08196721311475409,0.04850200949945196,0.1032069970845481,0.05454545454545454,0.0967741935483871,0.00909090909090909,0.020833333333333332,0.05263157894736842,0.125,0.024437656206609277,0.04886174347584675,0,Home,0,0.0196078431372549,0.05,0.020833333333333332,0.04918032786885246,0.039603960396039604,0.07547169811320754,0.028901734104046242,0.09090909090909091,0.03773584905660377,0.07894736842105263
Dom Tyson,0.036939313984168866,0.08284023668639054,0.04395604395604396,0.08823529411764706,0.03987730061349693,0.08524590163934426,0.02976190476190476,0.07142857142857142,0.04,0.1111111111111111,0.0,0.0,0.025,0.04918032786885246,0.0,0.0,0.0,0.0,0.04081632653061224,0.08888888888888889,0.06493506493506493,0.13513513513513514,0.04938271604938271,0.08695652173913043,0.047619047619047616,0.1,0.0,0.0,0.0,0.0,0.037815126050420166,0.07692307692307693,0.0425,0.09392265193370165,0.030425963488843813,0.06550218340611354,0.0,0.0,0.041666666666666664,0.1111111111111111,0.0,0.0,0.0,0.0,0.037037037037037035,0.07142857142857142,0.08,0.17391304347826086,0.026041666666666668,0.08196721311475409,0.04822798684691268,0.10262390670553936,0.05454545454545454,0.0967741935483871,0.01818181818181818,0.041666666666666664,0.0,0.0,0.021105248542071648,0.0421987784564131,0,Home,0,0.032679738562091505,0.08333333333333333,0.027777777777777776,0.06557377049180328,0.0297029702970297,0.05660377358490566,0.028901734104046242,0.09090909090909091,0.06918238993710692,0.14473684210526316
Jack Watts,0.026385224274406333,0.05917159763313609,0.04395604395604396,0.08823529411764706,0.03374233128834356,0.07213114754098361,0.041666666666666664,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.16666666666666666,0.030612244897959183,0.06666666666666667,0.0,0.0,0.012345679012345678,0.021739130434782608,0.06349206349206349,0.13333333333333333,0.0,0.0,0.03125,0.05,0.029411764705882353,0.05982905982905983,0.035,0.07734806629834254,0.038539553752535496,0.08296943231441048,0.06666666666666667,0.1,0.0,0.0,0.014084507042253521,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.09836065573770492,0.028315674095725246,0.06025267249757046,0.01818181818181818,0.03225806451612903,0.01818181818181818,0.041666666666666664,0.0,0.0,0.022216051096917523,0.04441976679622432,0,Home,0,0.0392156862745098,0.1,0.04861111111111111,0.11475409836065574,0.0,0.0,0.028901734104046242,0.09090909090909091,0.018867924528301886,0.039473684210526314
Daniel Cross,0.023746701846965697,0.05325443786982249,0.040293040293040296,0.08088235294117647,0.03067484662576687,0.06557377049180328,0.02976190476190476,0.07142857142857142,0.0,0.0,0.0,0.0,0.041666666666666664,0.08196721311475409,0.010101010101010102,0.025,0.0,0.0,0.0,0.0,0.025974025974025976,0.05405405405405406,0.024691358024691357,0.043478260869565216,0.0,0.0,0.03125,0.08333333333333333,0.0,0.0,0.04201680672268908,0.08547008547008547,0.03,0.06629834254143646,0.02434077079107505,0.05240174672489083,0.13333333333333333,0.2,0.0,0.0,0.07042253521126761,0.12195121951219512,0.0,0.0,0.0,0.0,0.04,0.08695652173913043,0.010416666666666666,0.03278688524590164,0.02566678845451224,0.054616132167152574,0.03636363636363636,0.06451612903225806,0.07272727272727272,0.16666666666666666,0.0,0.0,0.026659261316301027,0.053303720155469185,0,Home,0,0.0196078431372549,0.05,0.034722222222222224,0.08196721311475409,0.04950495049504951,0.09433962264150944,0.011560693641618497,0.03636363636363636,0.050314465408805034,0.10526315789473684
Jack Viney,0.023746701846965697,0.05325443786982249,0.03663003663003663,0.07352941176470588,0.029141104294478526,0.06229508196721312,0.011904761904761904,0.02857142857142857,0.04,0.1111111111111111,0.0,0.0,0.06666666666666667,0.13114754098360656,0.0,0.0,0.0,0.0,0.02040816326530612,0.044444444444444446,0.06493506493506493,0.13513513513513514,0.024691358024691357,0.043478260869565216,0.06349206349206349,0.13333333333333333,0.03125,0.08333333333333333,0.03125,0.05,0.046218487394957986,0.09401709401709402,0.02,0.04419889502762431,0.028397565922920892,0.0611353711790393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.14285714285714285,0.06,0.13043478260869565,0.015625,0.04918032786885246,0.03242601388381439,0.06899902818270165,0.02727272727272727,0.04838709677419355,0.00909090909090909,0.020833333333333332,0.0,0.0,0.021660649819494584,0.043309272626318715,0,Home,0,0.013071895424836602,0.03333333333333333,0.013888888888888888,0.03278688524590164,0.07920792079207921,0.1509433962264151,0.017341040462427744,0.05454545454545454,0.031446540880503145,0.06578947368421052
Alex N-Bullen,0.021108179419525065,0.047337278106508875,0.029304029304029304,0.058823529411764705,0.024539877300613498,0.05245901639344262,0.017857142857142856,0.04285714285714286,0.08,0.2222222222222222,0.0,0.0,0.008333333333333333,0.01639344262295082,0.0,0.0,0.0,0.0,0.04081632653061224,0.08888888888888889,0.0,0.0,0.012345679012345678,0.021739130434782608,0.015873015873015872,0.03333333333333333,0.0,0.0,0.0,0.0,0.02100840336134454,0.042735042735042736,0.025,0.055248618784530384,0.030425963488843813,0.06550218340611354,0.0,0.0,0.041666666666666664,0.1111111111111111,0.014084507042253521,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.03278688524590164,0.028132992327365727,0.05986394557823129,0.02727272727272727,0.04838709677419355,0.02727272727272727,0.0625,0.0,0.0,0.021660649819494584,0.043309272626318715,0,Home,0,0.0196078431372549,0.05,0.013888888888888888,0.03278688524590164,0.009900990099009901,0.018867924528301886,0.011560693641618497,0.03636363636363636,0.006289308176100629,0.013157894736842105
Jesse Hogan,0.0316622691292876,0.07100591715976332,0.01098901098901099,0.022058823529411766,0.023006134969325152,0.04918032786885246,0.041666666666666664,0.1,0.04,0.1111111111111111,0.11764705882352941,0.5,0.0,0.0,0.0,0.0,0.10526315789473684,0.3333333333333333,0.030612244897959183,0.06666666666666667,0.0,0.0,0.024691358024691357,0.043478260869565216,0.0,0.0,0.0625,0.16666666666666666,0.0,0.0,0.037815126050420166,0.07692307692307693,0.015,0.03314917127071823,0.018255578093306288,0.039301310043668124,0.26666666666666666,0.4,0.125,0.3333333333333333,0.04225352112676056,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,0.0,0.026041666666666668,0.08196721311475409,0.028315674095725246,0.06025267249757046,0.01818181818181818,0.03225806451612903,0.01818181818181818,0.041666666666666664,0.0,0.0,0.022771452374340462,0.04553026096612993,0,Home,0,0.0196078431372549,0.05,0.027777777777777776,0.06557377049180328,0.0,0.0,0.017341040462427744,0.05454545454545454,0.03773584905660377,0.07894736842105263
Rohan Bail,0.026385224274406333,0.05917159763313609,0.01098901098901099,0.022058823529411766,0.019938650306748466,0.04262295081967213,0.023809523809523808,0.05714285714285714,0.0,0.0,0.0,0.0,0.016666666666666666,0.03278688524590164,0.0,0.0,0.05263157894736842,0.16666666666666666,0.04081632653061224,0.08888888888888889,0.012987012987012988,0.02702702702702703,0.037037037037037035,0.06521739130434782,0.015873015873015872,0.03333333333333333,0.03125,0.08333333333333333,0.03125,0.05,0.01680672268907563,0.03418803418803419,0.0225,0.049723756906077346,0.02028397565922921,0.043668122270742356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.043478260869565216,0.015625,0.04918032786885246,0.025027402265253927,0.0532555879494655,0.02727272727272727,0.04838709677419355,0.01818181818181818,0.041666666666666664,0.0,0.0,0.02360455429047487,0.04719600222098834,0,Home,0,0.026143790849673203,0.06666666666666667,0.027777777777777776,0.06557377049180328,0.019801980198019802,0.03773584905660377,0.011560693641618497,0.03636363636363636,0.018867924528301886,0.039473684210526314
Jeff Garlett,0.029023746701846966,0.0650887573964497,0.007326007326007326,0.014705882352941176,0.019938650306748466,0.04262295081967213,0.017857142857142856,0.04285714285714286,0.04,0.1111111111111111,0.11764705882352941,0.5,0.08333333333333333,0.16393442622950818,0.0,0.0,0.05263157894736842,0.16666666666666666,0.05102040816326531,0.1111111111111111,0.012987012987012988,0.02702702702702703,0.037037037037037035,0.06521739130434782,0.015873015873015872,0.03333333333333333,0.0,0.0,0.0625,0.1,0.025210084033613446,0.05128205128205128,0.0175,0.03867403314917127,0.02028397565922921,0.043668122270742356,0.0,0.0,0.041666666666666664,0.1111111111111111,0.014084507042253521,0.024390243902439025,0.15384615384615385,0.4,0.037037037037037035,0.07142857142857142,0.0,0.0,0.03125,0.09836065573770492,0.037723785166240406,0.08027210884353742,0.03636363636363636,0.06451612903225806,0.02727272727272727,0.0625,0.3157894736842105,0.75,0.02582615940016662,0.051637978900610775,0,Home,0,0.0196078431372549,0.05,0.013888888888888888,0.03278688524590164,0.039603960396039604,0.07547169811320754,0.028901734104046242,0.09090909090909091,0.018867924528301886,0.039473684210526314
