Player,Kicks BTP,Kicks OTP,Handballs BTP,Handballs OTP,Disposals BTP,Disposals OTP,Marks BTP,Marks OTP,Goals BTP,Goals OTP,Behinds BTP,Behinds OTP,Tackles BTP,Tackles OTP,Hitouts BTP,Hitouts OTP,Goal Assists BTP,Goal Assists OTP,Inside 50s BTP,Inside 50s OTP,Clearances BTP,Clearances OTP,Clangers BTP,Clangers OTP,Rebound 50s BTP,Rebound 50s OTP,Frees For BTP,Frees For OTP,Frees Agains BTP,Frees Agains OTP,Contested Possessions BTP,Contested Possessions OTP,Uncontested Possessions BTP,Uncontested Possessions OTP,Effective Disposals BTP,Effective Disposals OTP,Contested Marks BTP,Contested Marks OTP,Marks Inside 50 BTP,Marks Inside 50 OTP,One Percenters BTP,One Percenters OTP,Bounces BTP,Bounces OTP,Centre Clearances BTP,Centre Clearances OTP,Stoppage Clearances BTP,Stoppage Clearances OTP,Score Involvements BTP,Score Involvements OTP,Metres Gained BTP,Metres Gained OTP,Turnovers BTP,Turnovers OTP,Intercepts BTP,Intercepts OTP,Tackles Inside 50 BTP,Tackles Inside 50 OTP,Time On Ground % BTP,Time On Ground % OTP,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTP,Uncontested Marks OTP,Marks Outside 50 BTP,Marks Outside 50 OTP,Tackles Outside 50 BTP,Tackles Outside 50 OTP,Behind Assists BTP,Behind Assists OTP,Ineffective Disposals BTP,Ineffective Disposals OTP
Bachar Houli,0.049217002237136466,0.0859375,0.023255813953488372,0.03825136612021858,0.03877005347593583,0.06605922551252848,0.04484304932735426,0.07633587786259542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.13333333333333333,0.049019607843137254,0.08064516129032258,0.0,0.0,0.011764705882352941,0.021739130434782608,0.09090909090909091,0.20689655172413793,0.0,0.0,0.0,0.0,0.014652014652014652,0.026143790849673203,0.049484536082474224,0.08333333333333333,0.04070796460176991,0.06824925816023739,0.043478260869565216,0.06666666666666667,0.0,0.0,0.02,0.041666666666666664,0.10526315789473684,0.26666666666666666,0.0,0.0,0.0,0.0,0.031578947368421054,0.05,0.04820348630380648,0.08531402487014009,0.027777777777777776,0.057692307692307696,0.037037037037037035,0.07142857142857142,0.0,0.0,0.023320377568017768,0.04658901830282862,1,Home,0,0.045,0.07758620689655173,0.050505050505050504,0.08849557522123894,0.0,0.0,0.023391812865497075,0.0380952380952381,0.03278688524590164,0.058823529411764705
Dustin Martin,0.0447427293064877,0.078125,0.029900332225913623,0.04918032786885246,0.03877005347593583,0.06605922551252848,0.03139013452914798,0.05343511450381679,0.1,0.13636363636363635,0.08333333333333333,0.16666666666666666,0.06666666666666667,0.2,0.0,0.0,0.05263157894736842,0.06666666666666667,0.049019607843137254,0.08064516129032258,0.07407407407407407,0.13043478260869565,0.03529411764705882,0.06521739130434782,0.015151515151515152,0.034482758620689655,0.02564102564102564,0.058823529411764705,0.02564102564102564,0.045454545454545456,0.040293040293040296,0.0718954248366013,0.03917525773195876,0.06597222222222222,0.03893805309734513,0.06528189910979229,0.08695652173913043,0.13333333333333333,0.04,0.05555555555555555,0.01,0.020833333333333332,0.05263157894736842,0.13333333333333333,0.03225806451612903,0.05555555555555555,0.1,0.1724137931034483,0.04736842105263158,0.075,0.04562433297758805,0.08074925232173776,0.018518518518518517,0.038461538461538464,0.0,0.0,0.08333333333333333,0.125,0.020266518600777345,0.040488075429839156,1,Home,3,0.025,0.04310344827586207,0.030303030303030304,0.05309734513274336,0.0641025641025641,0.22727272727272727,0.04678362573099415,0.0761904761904762,0.03825136612021858,0.06862745098039216
Brandon Ellis,0.040268456375838924,0.0703125,0.036544850498338874,0.060109289617486336,0.03877005347593583,0.06605922551252848,0.03587443946188341,0.061068702290076333,0.03333333333333333,0.045454545454545456,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.049019607843137254,0.08064516129032258,0.037037037037037035,0.06521739130434782,0.03529411764705882,0.06521739130434782,0.030303030303030304,0.06896551724137931,0.0,0.0,0.02564102564102564,0.045454545454545456,0.029304029304029304,0.05228758169934641,0.04536082474226804,0.0763888888888889,0.03716814159292035,0.06231454005934718,0.0,0.0,0.04,0.05555555555555555,0.01,0.020833333333333332,0.02631578947368421,0.06666666666666667,0.0,0.0,0.06,0.10344827586206896,0.02631578947368421,0.041666666666666664,0.048025613660619,0.08499921297025027,0.05555555555555555,0.11538461538461539,0.018518518518518517,0.03571428571428571,0.0,0.0,0.024708495280399777,0.04936217415418746,1,Home,0,0.04,0.06896551724137931,0.03535353535353535,0.061946902654867256,0.0,0.0,0.029239766081871343,0.047619047619047616,0.04371584699453552,0.0784313725490196
Trent Cotchin,0.042505592841163314,0.07421875,0.029900332225913623,0.04918032786885246,0.0374331550802139,0.06378132118451026,0.026905829596412557,0.04580152671755725,0.0,0.0,0.0,0.0,0.011111111111111112,0.03333333333333333,0.0,0.0,0.0,0.0,0.058823529411764705,0.0967741935483871,0.1111111111111111,0.1956521739130435,0.03529411764705882,0.06521739130434782,0.030303030303030304,0.06896551724137931,0.07692307692307693,0.17647058823529413,0.0,0.0,0.05128205128205128,0.0915032679738562,0.0288659793814433,0.04861111111111111,0.024778761061946902,0.04154302670623145,0.043478260869565216,0.06666666666666667,0.08,0.1111111111111111,0.0,0.0,0.0,0.0,0.16129032258064516,0.2777777777777778,0.08,0.13793103448275862,0.031578947368421054,0.05,0.039398790466026325,0.06973083582559421,0.037037037037037035,0.07692307692307693,0.018518518518518517,0.03571428571428571,0.08333333333333333,0.125,0.02359800111049417,0.04714364947310039,1,Home,2,0.025,0.04310344827586207,0.020202020202020204,0.035398230088495575,0.0,0.0,0.03508771929824561,0.05714285714285714,0.07650273224043716,0.13725490196078433
Kane Lambert,0.029082774049217,0.05078125,0.046511627906976744,0.07650273224043716,0.03609625668449198,0.06150341685649203,0.017937219730941704,0.030534351145038167,0.06666666666666667,0.09090909090909091,0.0,0.0,0.011111111111111112,0.03333333333333333,0.0,0.0,0.10526315789473684,0.13333333333333333,0.058823529411764705,0.0967741935483871,0.06172839506172839,0.10869565217391304,0.03529411764705882,0.06521739130434782,0.030303030303030304,0.06896551724137931,0.0,0.0,0.0,0.0,0.03296703296703297,0.058823529411764705,0.03711340206185567,0.0625,0.03716814159292035,0.06231454005934718,0.043478260869565216,0.06666666666666667,0.04,0.05555555555555555,0.01,0.020833333333333332,0.0,0.0,0.03225806451612903,0.05555555555555555,0.08,0.13793103448275862,0.042105263157894736,0.06666666666666667,0.030949839914621132,0.05477727058082796,0.018518518518518517,0.038461538461538464,0.0,0.0,0.08333333333333333,0.125,0.022487506940588563,0.04492512479201331,1,Home,0,0.015,0.02586206896551724,0.015151515151515152,0.02654867256637168,0.0,0.0,0.03508771929824561,0.05714285714285714,0.03278688524590164,0.058823529411764705
Shaun Grigg,0.035794183445190156,0.0625,0.026578073089700997,0.04371584699453552,0.03208556149732621,0.05466970387243736,0.017937219730941704,0.030534351145038167,0.03333333333333333,0.045454545454545456,0.08333333333333333,0.16666666666666666,0.022222222222222223,0.06666666666666667,0.022988505747126436,0.037037037037037035,0.05263157894736842,0.06666666666666667,0.049019607843137254,0.08064516129032258,0.037037037037037035,0.06521739130434782,0.011764705882352941,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.014652014652014652,0.026143790849673203,0.03917525773195876,0.06597222222222222,0.033628318584070796,0.05637982195845697,0.0,0.0,0.0,0.0,0.01,0.020833333333333332,0.0,0.0,0.0967741935483871,0.16666666666666666,0.0,0.0,0.04736842105263158,0.075,0.05069370330843116,0.08972139146859752,0.027777777777777776,0.057692307692307696,0.018518518518518517,0.03571428571428571,0.16666666666666666,0.25,0.023320377568017768,0.04658901830282862,1,Home,0,0.02,0.034482758620689655,0.020202020202020204,0.035398230088495575,0.0,0.0,0.04678362573099415,0.0761904761904762,0.0273224043715847,0.049019607843137254
Alex Rance,0.024608501118568233,0.04296875,0.04318936877076412,0.07103825136612021,0.03208556149732621,0.05466970387243736,0.04035874439461883,0.06870229007633588,0.0,0.0,0.0,0.0,0.011111111111111112,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.021739130434782608,0.03529411764705882,0.06521739130434782,0.06060606060606061,0.13793103448275862,0.05128205128205128,0.11764705882352941,0.05128205128205128,0.09090909090909091,0.03296703296703297,0.058823529411764705,0.0288659793814433,0.04861111111111111,0.03185840707964602,0.05341246290801187,0.043478260869565216,0.06666666666666667,0.0,0.0,0.07,0.14583333333333334,0.13157894736842105,0.3333333333333333,0.0,0.0,0.02,0.034482758620689655,0.021052631578947368,0.03333333333333333,0.02632515119174671,0.04659216118369274,0.009259259259259259,0.019230769230769232,0.09259259259259259,0.17857142857142858,0.0,0.0,0.0277623542476402,0.05546311702717693,1,Home,0,0.04,0.06896551724137931,0.045454545454545456,0.07964601769911504,0.01282051282051282,0.045454545454545456,0.023391812865497075,0.0380952380952381,0.03278688524590164,0.058823529411764705
Ben Lennon,0.035794183445190156,0.0625,0.019933554817275746,0.03278688524590164,0.029411764705882353,0.05011389521640091,0.04035874439461883,0.06870229007633588,0.0,0.0,0.08333333333333333,0.16666666666666666,0.011111111111111112,0.03333333333333333,0.0,0.0,0.10526315789473684,0.13333333333333333,0.049019607843137254,0.08064516129032258,0.0,0.0,0.03529411764705882,0.06521739130434782,0.0,0.0,0.02564102564102564,0.058823529411764705,0.05128205128205128,0.09090909090909091,0.018315018315018316,0.032679738562091505,0.03505154639175258,0.059027777777777776,0.024778761061946902,0.04154302670623145,0.043478260869565216,0.06666666666666667,0.0,0.0,0.01,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.03684210526315789,0.058333333333333334,0.030416221985058698,0.05383283488115851,0.05555555555555555,0.11538461538461539,0.018518518518518517,0.03571428571428571,0.0,0.0,0.024153248195446973,0.048252911813643926,1,Home,0,0.04,0.06896551724137931,0.045454545454545456,0.07964601769911504,0.01282051282051282,0.045454545454545456,0.029239766081871343,0.047619047619047616,0.04371584699453552,0.0784313725490196
Brett Deledio,0.03131991051454139,0.0546875,0.023255813953488372,0.03825136612021858,0.02807486631016043,0.04783599088838269,0.02242152466367713,0.03816793893129771,0.1,0.13636363636363635,0.08333333333333333,0.16666666666666666,0.022222222222222223,0.06666666666666667,0.0,0.0,0.05263157894736842,0.06666666666666667,0.0392156862745098,0.06451612903225806,0.037037037037037035,0.06521739130434782,0.023529411764705882,0.043478260869565216,0.0,0.0,0.0,0.0,0.02564102564102564,0.045454545454545456,0.03663003663003663,0.06535947712418301,0.020618556701030927,0.034722222222222224,0.021238938053097345,0.03560830860534125,0.0,0.0,0.12,0.16666666666666666,0.02,0.041666666666666664,0.02631578947368421,0.06666666666666667,0.03225806451612903,0.05555555555555555,0.04,0.06896551724137931,0.042105263157894736,0.06666666666666667,0.03690857346140164,0.06532346922713679,0.018518518518518517,0.038461538461538464,0.018518518518518517,0.03571428571428571,0.16666666666666666,0.25,0.02387562465297057,0.04769828064337216,1,Home,0,0.025,0.04310344827586207,0.010101010101010102,0.017699115044247787,0.0,0.0,0.04093567251461988,0.06666666666666667,0.04918032786885246,0.08823529411764706
Jake Batchelor,0.024608501118568233,0.04296875,0.03322259136212625,0.0546448087431694,0.02807486631016043,0.04783599088838269,0.03139013452914798,0.05343511450381679,0.0,0.0,0.0,0.0,0.022222222222222223,0.06666666666666667,0.0,0.0,0.05263157894736842,0.06666666666666667,0.029411764705882353,0.04838709677419355,0.0,0.0,0.023529411764705882,0.043478260869565216,0.045454545454545456,0.10344827586206896,0.02564102564102564,0.058823529411764705,0.02564102564102564,0.045454545454545456,0.007326007326007326,0.013071895424836602,0.03917525773195876,0.06597222222222222,0.03185840707964602,0.05341246290801187,0.0,0.0,0.0,0.0,0.04,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.016666666666666666,0.030949839914621132,0.05477727058082796,0.018518518518518517,0.038461538461538464,0.018518518518518517,0.03571428571428571,0.0,0.0,0.02220988339811216,0.044370493621741544,1,Home,0,0.035,0.0603448275862069,0.03535353535353535,0.061946902654867256,0.02564102564102564,0.09090909090909091,0.005847953216374269,0.009523809523809525,0.01639344262295082,0.029411764705882353
