Player,Kicks BTP,Kicks OTP,Handballs BTP,Handballs OTP,Disposals BTP,Disposals OTP,Marks BTP,Marks OTP,Goals BTP,Goals OTP,Behinds BTP,Behinds OTP,Tackles BTP,Tackles OTP,Hitouts BTP,Hitouts OTP,Goal Assists BTP,Goal Assists OTP,Inside 50s BTP,Inside 50s OTP,Clearances BTP,Clearances OTP,Clangers BTP,Clangers OTP,Rebound 50s BTP,Rebound 50s OTP,Frees For BTP,Frees For OTP,Frees Agains BTP,Frees Agains OTP,Contested Possessions BTP,Contested Possessions OTP,Uncontested Possessions BTP,Uncontested Possessions OTP,Effective Disposals BTP,Effective Disposals OTP,Contested Marks BTP,Contested Marks OTP,Marks Inside 50 BTP,Marks Inside 50 OTP,One Percenters BTP,One Percenters OTP,Bounces BTP,Bounces OTP,Centre Clearances BTP,Centre Clearances OTP,Stoppage Clearances BTP,Stoppage Clearances OTP,Score Involvements BTP,Score Involvements OTP,Metres Gained BTP,Metres Gained OTP,Turnovers BTP,Turnovers OTP,Intercepts BTP,Intercepts OTP,Tackles Inside 50 BTP,Tackles Inside 50 OTP,Time On Ground % BTP,Time On Ground % OTP,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTP,Uncontested Marks OTP,Marks Outside 50 BTP,Marks Outside 50 OTP,Tackles Outside 50 BTP,Tackles Outside 50 OTP,Behind Assists BTP,Behind Assists OTP,Ineffective Disposals BTP,Ineffective Disposals OTP
Adam Treloar,0.03723404255319149,0.06666666666666667,0.04281345565749235,0.07777777777777778,0.03982930298719772,0.07179487179487179,0.02976190476190476,0.05,0.1111111111111111,0.15,0.0,0.0,0.05223880597014925,0.0875,0.0,0.0,0.05,0.06666666666666667,0.045454545454545456,0.06756756756756757,0.075,0.15384615384615385,0.01098901098901099,0.02631578947368421,0.0379746835443038,0.10714285714285714,0.029411764705882353,0.0625,0.029411764705882353,0.05555555555555555,0.0299625468164794,0.05925925925925926,0.04176334106728538,0.07228915662650602,0.04474708171206226,0.0777027027027027,0.0,0.0,0.03333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.12,0.21428571428571427,0.05555555555555555,0.125,0.06521739130434782,0.09375,0.046322999279019464,0.07890696960393,0.008064516129032258,0.017543859649122806,0.008064516129032258,0.014925373134328358,0.15384615384615385,0.15384615384615385,0.022512506948304613,0.04502501389660923,1,Home,2,0.03424657534246575,0.056179775280898875,0.028985507246376812,0.05263157894736842,0.04132231404958678,0.07462686567164178,0.06707317073170732,0.09734513274336283,0.026455026455026454,0.05319148936170213
Rhys Palmer,0.0425531914893617,0.0761904761904762,0.027522935779816515,0.05,0.03556187766714083,0.0641025641025641,0.05357142857142857,0.09,0.0,0.0,0.10526315789473684,0.18181818181818182,0.014925373134328358,0.025,0.0,0.0,0.05,0.06666666666666667,0.05454545454545454,0.08108108108108109,0.025,0.05128205128205128,0.01098901098901099,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.033707865168539325,0.06666666666666667,0.037122969837587005,0.0642570281124498,0.03501945525291829,0.060810810810810814,0.045454545454545456,0.09090909090909091,0.03333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.08333333333333333,0.05434782608695652,0.078125,0.033795962509012255,0.05756831439975438,0.03225806451612903,0.07017543859649122,0.024193548387096774,0.04477611940298507,0.07692307692307693,0.07692307692307693,0.02556976097832129,0.05113952195664258,1,Home,0,0.0547945205479452,0.0898876404494382,0.057971014492753624,0.10526315789473684,0.008264462809917356,0.014925373134328358,0.054878048780487805,0.07964601769911504,0.037037037037037035,0.07446808510638298
Devon Smith,0.03723404255319149,0.06666666666666667,0.03363914373088685,0.06111111111111111,0.03556187766714083,0.0641025641025641,0.011904761904761904,0.02,0.0,0.0,0.0,0.0,0.04477611940298507,0.075,0.0,0.0,0.1,0.13333333333333333,0.07272727272727272,0.10810810810810811,0.025,0.05128205128205128,0.01098901098901099,0.02631578947368421,0.02531645569620253,0.07142857142857142,0.058823529411764705,0.125,0.029411764705882353,0.05555555555555555,0.04119850187265917,0.08148148148148149,0.03248259860788863,0.05622489959839357,0.0311284046692607,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.13793103448275862,0.21052631578947367,0.04,0.07142857142857142,0.018518518518518517,0.041666666666666664,0.03260869565217391,0.046875,0.04947728911319394,0.08428001228124041,0.03225806451612903,0.07017543859649122,0.04838709677419355,0.08955223880597014,0.07692307692307693,0.07692307692307693,0.024458032240133407,0.048916064480266815,1,Home,0,0.0136986301369863,0.02247191011235955,0.014492753623188406,0.02631578947368421,0.04132231404958678,0.07462686567164178,0.024390243902439025,0.035398230088495575,0.047619047619047616,0.09574468085106383
Callan Ward,0.023936170212765957,0.04285714285714286,0.04281345565749235,0.07777777777777778,0.032716927453769556,0.05897435897435897,0.017857142857142856,0.03,0.0,0.0,0.05263157894736842,0.09090909090909091,0.05223880597014925,0.0875,0.0,0.0,0.0,0.0,0.01818181818181818,0.02702702702702703,0.075,0.15384615384615385,0.03296703296703297,0.07894736842105263,0.012658227848101266,0.03571428571428571,0.058823529411764705,0.125,0.029411764705882353,0.05555555555555555,0.04119850187265917,0.08148148148148149,0.030162412993039442,0.05220883534136546,0.023346303501945526,0.04054054054054054,0.0,0.0,0.03333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.12,0.21428571428571427,0.05555555555555555,0.125,0.021739130434782608,0.03125,0.028478731074260993,0.048510899600859685,0.04032258064516129,0.08771929824561403,0.016129032258064516,0.029850746268656716,0.0,0.0,0.023902167871039465,0.04780433574207893,1,Home,0,0.02054794520547945,0.033707865168539325,0.014492753623188406,0.02631578947368421,0.05785123966942149,0.1044776119402985,0.024390243902439025,0.035398230088495575,0.0582010582010582,0.11702127659574468
Adam Kennedy,0.034574468085106384,0.06190476190476191,0.027522935779816515,0.05,0.031294452347083924,0.05641025641025641,0.047619047619047616,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06666666666666667,0.01818181818181818,0.02702702702702703,0.0125,0.02564102564102564,0.0,0.0,0.0379746835443038,0.10714285714285714,0.058823529411764705,0.125,0.0,0.0,0.0149812734082397,0.02962962962962963,0.03944315545243619,0.06827309236947791,0.04085603112840467,0.07094594594594594,0.0,0.0,0.0,0.0,0.04225352112676056,0.0967741935483871,0.13793103448275862,0.21052631578947367,0.0,0.0,0.018518518518518517,0.041666666666666664,0.02717391304347826,0.0390625,0.022981254506128333,0.03914645379183297,0.016129032258064516,0.03508771929824561,0.04838709677419355,0.08955223880597014,0.0,0.0,0.023346303501945526,0.04669260700389105,1,Home,0,0.0547945205479452,0.0898876404494382,0.057971014492753624,0.10526315789473684,0.0,0.0,0.024390243902439025,0.035398230088495575,0.005291005291005291,0.010638297872340425
Tomas Bugg,0.02925531914893617,0.05238095238095238,0.03363914373088685,0.06111111111111111,0.031294452347083924,0.05641025641025641,0.023809523809523808,0.04,0.07407407407407407,0.1,0.05263157894736842,0.09090909090909091,0.014925373134328358,0.025,0.0,0.0,0.0,0.0,0.03636363636363636,0.05405405405405406,0.05,0.10256410256410256,0.02197802197802198,0.05263157894736842,0.012658227848101266,0.03571428571428571,0.029411764705882353,0.0625,0.0,0.0,0.0299625468164794,0.05925925925925926,0.03248259860788863,0.05622489959839357,0.0311284046692607,0.05405405405405406,0.0,0.0,0.03333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.04,0.07142857142857142,0.037037037037037035,0.08333333333333333,0.03260869565217391,0.046875,0.025684931506849314,0.04375191894381333,0.016129032258064516,0.03508771929824561,0.008064516129032258,0.014925373134328358,0.0,0.0,0.024735964424680377,0.049471928849360754,1,Home,1,0.0273972602739726,0.0449438202247191,0.021739130434782608,0.039473684210526314,0.01652892561983471,0.029850746268656716,0.036585365853658534,0.05309734513274336,0.031746031746031744,0.06382978723404255
Lachie Whitfield,0.031914893617021274,0.05714285714285714,0.03058103975535168,0.05555555555555555,0.031294452347083924,0.05641025641025641,0.03571428571428571,0.06,0.037037037037037035,0.05,0.0,0.0,0.03731343283582089,0.0625,0.0,0.0,0.0,0.0,0.02727272727272727,0.04054054054054054,0.0375,0.07692307692307693,0.054945054945054944,0.13157894736842105,0.012658227848101266,0.03571428571428571,0.0,0.0,0.0,0.0,0.026217228464419477,0.05185185185185185,0.03248259860788863,0.05622489959839357,0.029182879377431907,0.05067567567567568,0.0,0.0,0.06666666666666667,0.08333333333333333,0.04225352112676056,0.0967741935483871,0.0,0.0,0.04,0.07142857142857142,0.037037037037037035,0.08333333333333333,0.03260869565217391,0.046875,0.029740447007930784,0.05066011667178385,0.04032258064516129,0.08771929824561403,0.024193548387096774,0.04477611940298507,0.15384615384615385,0.15384615384615385,0.02556976097832129,0.05113952195664258,1,Home,0,0.0410958904109589,0.06741573033707865,0.028985507246376812,0.05263157894736842,0.024793388429752067,0.04477611940298507,0.036585365853658534,0.05309734513274336,0.037037037037037035,0.07446808510638298
Heath Shaw,0.04521276595744681,0.08095238095238096,0.012232415902140673,0.022222222222222223,0.029871977240398292,0.05384615384615385,0.02976190476190476,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06666666666666667,0.02727272727272727,0.04054054054054054,0.0,0.0,0.0,0.0,0.06329113924050633,0.17857142857142858,0.0,0.0,0.0,0.0,0.02247191011235955,0.044444444444444446,0.025522041763341066,0.04417670682730924,0.03501945525291829,0.060810810810810814,0.045454545454545456,0.09090909090909091,0.0,0.0,0.028169014084507043,0.06451612903225806,0.06896551724137931,0.10526315789473684,0.0,0.0,0.0,0.0,0.03804347826086957,0.0546875,0.04028478731074261,0.06862143076450722,0.016129032258064516,0.03508771929824561,0.08064516129032258,0.14925373134328357,0.0,0.0,0.02584769316286826,0.05169538632573652,1,Home,0,0.0273972602739726,0.0449438202247191,0.036231884057971016,0.06578947368421052,0.0,0.0,0.036585365853658534,0.05309734513274336,0.015873015873015872,0.031914893617021274
Adam Tomlinson,0.023936170212765957,0.04285714285714286,0.03363914373088685,0.06111111111111111,0.02844950213371266,0.05128205128205128,0.03571428571428571,0.06,0.037037037037037035,0.05,0.0,0.0,0.022388059701492536,0.0375,0.021505376344086023,0.047619047619047616,0.1,0.13333333333333333,0.02727272727272727,0.04054054054054054,0.0125,0.02564102564102564,0.02197802197802198,0.05263157894736842,0.012658227848101266,0.03571428571428571,0.0,0.0,0.029411764705882353,0.05555555555555555,0.0299625468164794,0.05925925925925926,0.027842227378190254,0.04819277108433735,0.033073929961089495,0.057432432432432436,0.045454545454545456,0.09090909090909091,0.06666666666666667,0.08333333333333333,0.014084507042253521,0.03225806451612903,0.0,0.0,0.0,0.0,0.018518518518518517,0.041666666666666664,0.03260869565217391,0.046875,0.019736842105263157,0.03361989560945656,0.016129032258064516,0.03508771929824561,0.04032258064516129,0.07462686567164178,0.07692307692307693,0.07692307692307693,0.024180100055586438,0.048360200111172875,1,Home,0,0.03424657534246575,0.056179775280898875,0.028985507246376812,0.05263157894736842,0.01652892561983471,0.029850746268656716,0.024390243902439025,0.035398230088495575,0.015873015873015872,0.031914893617021274
Lachlan Plowman,0.007978723404255319,0.014285714285714285,0.05198776758409786,0.09444444444444444,0.02844950213371266,0.05128205128205128,0.011904761904761904,0.02,0.0,0.0,0.0,0.0,0.022388059701492536,0.0375,0.0,0.0,0.0,0.0,0.00909090909090909,0.013513513513513514,0.0125,0.02564102564102564,0.0,0.0,0.02531645569620253,0.07142857142857142,0.0,0.0,0.0,0.0,0.0299625468164794,0.05925925925925926,0.027842227378190254,0.04819277108433735,0.033073929961089495,0.057432432432432436,0.0,0.0,0.0,0.0,0.056338028169014086,0.12903225806451613,0.034482758620689655,0.05263157894736842,0.0,0.0,0.018518518518518517,0.041666666666666664,0.021739130434782608,0.03125,0.015681326604181686,0.02671169788148603,0.008064516129032258,0.017543859649122806,0.06451612903225806,0.11940298507462686,0.0,0.0,0.024735964424680377,0.049471928849360754,1,Home,0,0.0136986301369863,0.02247191011235955,0.014492753623188406,0.02631578947368421,0.024793388429752067,0.04477611940298507,0.024390243902439025,0.035398230088495575,0.015873015873015872,0.031914893617021274
Nathan Wilson,0.031914893617021274,0.05714285714285714,0.01834862385321101,0.03333333333333333,0.025604551920341393,0.046153846153846156,0.02976190476190476,0.05,0.0,0.0,0.05263157894736842,0.09090909090909091,0.014925373134328358,0.025,0.0,0.0,0.05,0.06666666666666667,0.06363636363636363,0.0945945945945946,0.0125,0.02564102564102564,0.01098901098901099,0.02631578947368421,0.02531645569620253,0.07142857142857142,0.0,0.0,0.029411764705882353,0.05555555555555555,0.011235955056179775,0.022222222222222223,0.03248259860788863,0.05622489959839357,0.029182879377431907,0.05067567567567568,0.0,0.0,0.0,0.0,0.04225352112676056,0.0967741935483871,0.10344827586206896,0.15789473684210525,0.0,0.0,0.018518518518518517,0.041666666666666664,0.03260869565217391,0.046875,0.05362292718096611,0.09134172551427694,0.008064516129032258,0.017543859649122806,0.008064516129032258,0.014925373134328358,0.0,0.0,0.023068371317398556,0.04613674263479711,1,Home,0,0.03424657534246575,0.056179775280898875,0.036231884057971016,0.06578947368421052,0.01652892561983471,0.029850746268656716,0.03048780487804878,0.04424778761061947,0.015873015873015872,0.031914893617021274
Zachary Williams,0.023936170212765957,0.04285714285714286,0.027522935779816515,0.05,0.025604551920341393,0.046153846153846156,0.03571428571428571,0.06,0.0,0.0,0.0,0.0,0.04477611940298507,0.075,0.0,0.0,0.0,0.0,0.00909090909090909,0.013513513513513514,0.0,0.0,0.0,0.0,0.012658227848101266,0.03571428571428571,0.0,0.0,0.0,0.0,0.0149812734082397,0.02962962962962963,0.03248259860788863,0.05622489959839357,0.03501945525291829,0.060810810810810814,0.045454545454545456,0.09090909090909091,0.0,0.0,0.014084507042253521,0.03225806451612903,0.06896551724137931,0.10526315789473684,0.0,0.0,0.0,0.0,0.021739130434782608,0.03125,0.018385003604902667,0.03131716303346638,0.0,0.0,0.056451612903225805,0.1044776119402985,0.07692307692307693,0.07692307692307693,0.02195664257921067,0.04391328515842134,1,Home,0,0.03424657534246575,0.056179775280898875,0.043478260869565216,0.07894736842105263,0.04132231404958678,0.07462686567164178,0.024390243902439025,0.035398230088495575,0.0,0.0
Joshua Kelly,0.023936170212765957,0.04285714285714286,0.027522935779816515,0.05,0.025604551920341393,0.046153846153846156,0.011904761904761904,0.02,0.07407407407407407,0.1,0.0,0.0,0.05223880597014925,0.0875,0.0,0.0,0.05,0.06666666666666667,0.045454545454545456,0.06756756756756757,0.0125,0.02564102564102564,0.02197802197802198,0.05263157894736842,0.0,0.0,0.029411764705882353,0.0625,0.029411764705882353,0.05555555555555555,0.02247191011235955,0.044444444444444446,0.030162412993039442,0.05220883534136546,0.023346303501945526,0.04054054054054054,0.0,0.0,0.03333333333333333,0.041666666666666664,0.0,0.0,0.034482758620689655,0.05263157894736842,0.0,0.0,0.018518518518518517,0.041666666666666664,0.03804347826086957,0.0546875,0.03343547224224946,0.05695425237949033,0.03225806451612903,0.07017543859649122,0.008064516129032258,0.014925373134328358,0.15384615384615385,0.15384615384615385,0.022234574763757644,0.04446914952751529,1,Home,0,0.0136986301369863,0.02247191011235955,0.007246376811594203,0.013157894736842105,0.04132231404958678,0.07462686567164178,0.036585365853658534,0.05309734513274336,0.031746031746031744,0.06382978723404255
Jeremy Cameron,0.0398936170212766,0.07142857142857142,0.0061162079510703364,0.011111111111111112,0.02418207681365576,0.04358974358974359,0.07142857142857142,0.12,0.25925925925925924,0.35,0.15789473684210525,0.2727272727272727,0.029850746268656716,0.05,0.0,0.0,0.0,0.0,0.03636363636363636,0.05405405405405406,0.0,0.0,0.03296703296703297,0.07894736842105263,0.0,0.0,0.08823529411764706,0.1875,0.058823529411764705,0.1111111111111111,0.018726591760299626,0.037037037037037035,0.027842227378190254,0.04819277108433735,0.023346303501945526,0.04054054054054054,0.045454545454545456,0.09090909090909091,0.26666666666666666,0.3333333333333333,0.014084507042253521,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.06521739130434782,0.09375,0.04406993511175198,0.07506908197727971,0.024193548387096774,0.05263157894736842,0.016129032258064516,0.029850746268656716,0.15384615384615385,0.15384615384615385,0.02556976097832129,0.05113952195664258,1,Home,3,0.07534246575342465,0.12359550561797752,0.028985507246376812,0.05263157894736842,0.01652892561983471,0.029850746268656716,0.07317073170731707,0.10619469026548672,0.026455026455026454,0.05319148936170213
Toby Greene,0.013297872340425532,0.023809523809523808,0.03363914373088685,0.06111111111111111,0.02275960170697013,0.041025641025641026,0.011904761904761904,0.02,0.037037037037037035,0.05,0.0,0.0,0.05223880597014925,0.0875,0.010752688172043012,0.023809523809523808,0.05,0.06666666666666667,0.00909090909090909,0.013513513513513514,0.0375,0.07692307692307693,0.01098901098901099,0.02631578947368421,0.02531645569620253,0.07142857142857142,0.0,0.0,0.029411764705882353,0.05555555555555555,0.026217228464419477,0.05185185185185185,0.02088167053364269,0.03614457831325301,0.027237354085603113,0.0472972972972973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.07142857142857142,0.037037037037037035,0.08333333333333333,0.021739130434782608,0.03125,0.012256669069935111,0.020878108688977586,0.0,0.0,0.0,0.0,0.0,0.0,0.011951083935519732,0.023902167871039465,1,Home,0,0.0136986301369863,0.02247191011235955,0.014492753623188406,0.02631578947368421,0.05785123966942149,0.1044776119402985,0.018292682926829267,0.02654867256637168,0.010582010582010581,0.02127659574468085
Stephen Coniglio,0.018617021276595744,0.03333333333333333,0.021406727828746176,0.03888888888888889,0.01991465149359886,0.035897435897435895,0.005952380952380952,0.01,0.0,0.0,0.05263157894736842,0.09090909090909091,0.022388059701492536,0.0375,0.021505376344086023,0.047619047619047616,0.0,0.0,0.01818181818181818,0.02702702702702703,0.0125,0.02564102564102564,0.02197802197802198,0.05263157894736842,0.012658227848101266,0.03571428571428571,0.0,0.0,0.029411764705882353,0.05555555555555555,0.011235955056179775,0.022222222222222223,0.025522041763341066,0.04417670682730924,0.011673151750972763,0.02027027027027027,0.0,0.0,0.03333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.041666666666666664,0.010869565217391304,0.015625,0.010814708002883922,0.0184218606079214,0.03225806451612903,0.07017543859649122,0.008064516129032258,0.014925373134328358,0.0,0.0,0.019733185102834908,0.039466370205669815,1,Home,0,0.00684931506849315,0.011235955056179775,0.0,0.0,0.024793388429752067,0.04477611940298507,0.012195121951219513,0.017699115044247787,0.042328042328042326,0.0851063829787234
Ryan Griffen,0.018617021276595744,0.03333333333333333,0.01834862385321101,0.03333333333333333,0.01849217638691323,0.03333333333333333,0.005952380952380952,0.01,0.037037037037037035,0.05,0.0,0.0,0.014925373134328358,0.025,0.0,0.0,0.0,0.0,0.045454545454545456,0.06756756756756757,0.05,0.10256410256410256,0.054945054945054944,0.13157894736842105,0.0,0.0,0.0,0.0,0.058823529411764705,0.1111111111111111,0.02247191011235955,0.044444444444444446,0.018561484918793503,0.0321285140562249,0.017509727626459144,0.030405405405405407,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.10526315789473684,0.04,0.07142857142857142,0.05555555555555555,0.125,0.010869565217391304,0.015625,0.031182408074981974,0.05311636475284004,0.03225806451612903,0.07017543859649122,0.0,0.0,0.0,0.0,0.011951083935519732,0.023902167871039465,1,Home,0,0.00684931506849315,0.011235955056179775,0.007246376811594203,0.013157894736842105,0.01652892561983471,0.029850746268656716,0.012195121951219513,0.017699115044247787,0.021164021164021163,0.0425531914893617
Tom Downie,0.007978723404255319,0.014285714285714285,0.024464831804281346,0.044444444444444446,0.015647226173541962,0.028205128205128206,0.03571428571428571,0.06,0.0,0.0,0.0,0.0,0.029850746268656716,0.05,0.3978494623655914,0.8809523809523809,0.05,0.06666666666666667,0.0,0.0,0.0375,0.07692307692307693,0.02197802197802198,0.05263157894736842,0.012658227848101266,0.03571428571428571,0.0,0.0,0.029411764705882353,0.05555555555555555,0.026217228464419477,0.05185185185185185,0.009280742459396751,0.01606425702811245,0.017509727626459144,0.030405405405405407,0.13636363636363635,0.2727272727272727,0.03333333333333333,0.041666666666666664,0.056338028169014086,0.12903225806451613,0.0,0.0,0.12,0.21428571428571427,0.0,0.0,0.03804347826086957,0.0546875,0.003424657534246575,0.005833589192508443,0.008064516129032258,0.017543859649122806,0.016129032258064516,0.029850746268656716,0.07692307692307693,0.07692307692307693,0.022512506948304613,0.04502501389660923,1,Home,0,0.02054794520547945,0.033707865168539325,0.036231884057971016,0.06578947368421052,0.024793388429752067,0.04477611940298507,0.036585365853658534,0.05309734513274336,0.010582010582010581,0.02127659574468085
