Player,Kicks BTP,Kicks OTP,Handballs BTP,Handballs OTP,Disposals BTP,Disposals OTP,Marks BTP,Marks OTP,Goals BTP,Goals OTP,Behinds BTP,Behinds OTP,Tackles BTP,Tackles OTP,Hitouts BTP,Hitouts OTP,Goal Assists BTP,Goal Assists OTP,Inside 50s BTP,Inside 50s OTP,Clearances BTP,Clearances OTP,Clangers BTP,Clangers OTP,Rebound 50s BTP,Rebound 50s OTP,Frees For BTP,Frees For OTP,Frees Agains BTP,Frees Agains OTP,Contested Possessions BTP,Contested Possessions OTP,Uncontested Possessions BTP,Uncontested Possessions OTP,Effective Disposals BTP,Effective Disposals OTP,Contested Marks BTP,Contested Marks OTP,Marks Inside 50 BTP,Marks Inside 50 OTP,One Percenters BTP,One Percenters OTP,Bounces BTP,Bounces OTP,Centre Clearances BTP,Centre Clearances OTP,Stoppage Clearances BTP,Stoppage Clearances OTP,Score Involvements BTP,Score Involvements OTP,Metres Gained BTP,Metres Gained OTP,Turnovers BTP,Turnovers OTP,Intercepts BTP,Intercepts OTP,Tackles Inside 50 BTP,Tackles Inside 50 OTP,Time On Ground % BTP,Time On Ground % OTP,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTP,Uncontested Marks OTP,Marks Outside 50 BTP,Marks Outside 50 OTP,Tackles Outside 50 BTP,Tackles Outside 50 OTP,Behind Assists BTP,Behind Assists OTP,Ineffective Disposals BTP,Ineffective Disposals OTP
Jack Steven,0.03787878787878788,0.07142857142857142,0.04843304843304843,0.096045197740113,0.0428380187416332,0.082687338501292,0.02577319587628866,0.04504504504504504,0.04,0.06666666666666667,0.0,0.0,0.05263157894736842,0.0891089108910891,0.0,0.0,0.058823529411764705,0.14285714285714285,0.05154639175257732,0.1111111111111111,0.08,0.1935483870967742,0.027777777777777776,0.0625,0.030303030303030304,0.04878048780487805,0.06666666666666667,0.125,0.03333333333333333,0.07142857142857142,0.052830188679245285,0.11023622047244094,0.03925619834710744,0.07251908396946564,0.04631217838765009,0.08681672025723473,0.0,0.0,0.05555555555555555,0.06666666666666667,0.0,0.0,0.0,0.0,0.038461538461538464,0.125,0.10204081632653061,0.21739130434782608,0.045,0.072,0.03936514566148063,0.07321810060205865,0.04201680672268908,0.09259259259259259,0.03333333333333333,0.06060606060606061,0.045454545454545456,0.1111111111111111,0.02360455429047487,0.04716981132075472,1,Home,3,0.030120481927710843,0.053763440860215055,0.022727272727272728,0.041666666666666664,0.05511811023622047,0.08433734939759036,0.04371584699453552,0.06779661016949153,0.03048780487804878,0.06578947368421052
Dylan Roberton,0.030303030303030304,0.05714285714285714,0.04843304843304843,0.096045197740113,0.038821954484605084,0.07493540051679587,0.030927835051546393,0.05405405405405406,0.0,0.0,0.0,0.0,0.005847953216374269,0.009900990099009901,0.0,0.0,0.0,0.0,0.010309278350515464,0.022222222222222223,0.013333333333333334,0.03225806451612903,0.0,0.0,0.16666666666666666,0.2682926829268293,0.06666666666666667,0.125,0.0,0.0,0.03773584905660377,0.07874015748031496,0.03925619834710744,0.07251908396946564,0.0411663807890223,0.07717041800643087,0.03571428571428571,0.05555555555555555,0.0,0.0,0.022988505747126436,0.047619047619047616,0.0,0.0,0.0,0.0,0.02040816326530612,0.043478260869565216,0.03,0.048,0.027461626814242458,0.05107787919984463,0.025210084033613446,0.05555555555555555,0.058333333333333334,0.10606060606060606,0.0,0.0,0.02249375173562899,0.04495005549389567,1,Home,0,0.030120481927710843,0.053763440860215055,0.03409090909090909,0.0625,0.007874015748031496,0.012048192771084338,0.03278688524590164,0.05084745762711865,0.03048780487804878,0.06578947368421052
David Armitage,0.04040404040404041,0.0761904761904762,0.03418803418803419,0.06779661016949153,0.03748326639892905,0.07235142118863049,0.015463917525773196,0.02702702702702703,0.04,0.06666666666666667,0.0,0.0,0.09941520467836257,0.16831683168316833,0.0,0.0,0.058823529411764705,0.14285714285714285,0.030927835051546393,0.06666666666666667,0.09333333333333334,0.22580645161290322,0.027777777777777776,0.0625,0.030303030303030304,0.04878048780487805,0.1,0.1875,0.0,0.0,0.052830188679245285,0.11023622047244094,0.028925619834710745,0.05343511450381679,0.036020583190394515,0.06752411575562701,0.03571428571428571,0.05555555555555555,0.0,0.0,0.011494252873563218,0.023809523809523808,0.1,0.16666666666666666,0.07692307692307693,0.25,0.10204081632653061,0.21739130434782608,0.045,0.072,0.045421321917093034,0.08448242377160614,0.04201680672268908,0.09259259259259259,0.041666666666666664,0.07575757575757576,0.09090909090909091,0.2222222222222222,0.02249375173562899,0.04495005549389567,1,Home,2,0.012048192771084338,0.021505376344086023,0.017045454545454544,0.03125,0.10236220472440945,0.1566265060240964,0.04371584699453552,0.06779661016949153,0.042682926829268296,0.09210526315789473
Leigh Montagna,0.03787878787878788,0.07142857142857142,0.02849002849002849,0.05649717514124294,0.03346720214190094,0.06459948320413436,0.05670103092783505,0.0990990990990991,0.0,0.0,0.0,0.0,0.04093567251461988,0.06930693069306931,0.0,0.0,0.0,0.0,0.020618556701030927,0.044444444444444446,0.0,0.0,0.041666666666666664,0.09375,0.07575757575757576,0.12195121951219512,0.0,0.0,0.03333333333333333,0.07142857142857142,0.007547169811320755,0.015748031496062992,0.047520661157024795,0.08778625954198473,0.03773584905660377,0.0707395498392283,0.0,0.0,0.0,0.0,0.011494252873563218,0.023809523809523808,0.1,0.16666666666666666,0.0,0.0,0.0,0.0,0.04,0.064,0.04615223974104626,0.08584191105068946,0.025210084033613446,0.05555555555555555,0.016666666666666666,0.030303030303030304,0.0,0.0,0.02527075812274368,0.050499445061043285,1,Home,0,0.06626506024096386,0.11827956989247312,0.0625,0.11458333333333333,0.05511811023622047,0.08433734939759036,0.04371584699453552,0.06779661016949153,0.018292682926829267,0.039473684210526314
Nick Riewoldt,0.04292929292929293,0.08095238095238096,0.019943019943019943,0.03954802259887006,0.0321285140562249,0.06201550387596899,0.05670103092783505,0.0990990990990991,0.08,0.13333333333333333,0.15384615384615385,0.2857142857142857,0.03508771929824561,0.0594059405940594,0.010526315789473684,0.02127659574468085,0.0,0.0,0.041237113402061855,0.08888888888888889,0.0,0.0,0.013888888888888888,0.03125,0.015151515151515152,0.024390243902439025,0.06666666666666667,0.125,0.03333333333333333,0.07142857142857142,0.018867924528301886,0.03937007874015748,0.0371900826446281,0.06870229007633588,0.03430531732418525,0.06430868167202572,0.10714285714285714,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.022988505747126436,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.03685914169364102,0.06855700135948728,0.025210084033613446,0.05555555555555555,0.025,0.045454545454545456,0.06818181818181818,0.16666666666666666,0.02638156067758956,0.05271920088790233,1,Home,1,0.04819277108433735,0.08602150537634409,0.05113636363636364,0.09375,0.023622047244094488,0.03614457831325301,0.0546448087431694,0.0847457627118644,0.024390243902439025,0.05263157894736842
Sebastian Ross,0.030303030303030304,0.05714285714285714,0.03418803418803419,0.06779661016949153,0.0321285140562249,0.06201550387596899,0.005154639175257732,0.009009009009009009,0.0,0.0,0.0,0.0,0.029239766081871343,0.04950495049504951,0.010526315789473684,0.02127659574468085,0.058823529411764705,0.14285714285714285,0.07216494845360824,0.15555555555555556,0.06666666666666667,0.16129032258064516,0.05555555555555555,0.125,0.0,0.0,0.03333333333333333,0.0625,0.03333333333333333,0.07142857142857142,0.03773584905660377,0.07874015748031496,0.030991735537190084,0.05725190839694656,0.036020583190394515,0.06752411575562701,0.0,0.0,0.0,0.0,0.011494252873563218,0.023809523809523808,0.0,0.0,0.15384615384615385,0.5,0.02040816326530612,0.043478260869565216,0.025,0.04,0.03706797535762765,0.06894542629636823,0.058823529411764705,0.12962962962962962,0.03333333333333333,0.06060606060606061,0.022727272727272728,0.05555555555555555,0.02360455429047487,0.04716981132075472,1,Home,0,0.006024096385542169,0.010752688172043012,0.005681818181818182,0.010416666666666666,0.031496062992125984,0.04819277108433735,0.02185792349726776,0.03389830508474576,0.018292682926829267,0.039473684210526314
Shane Savage,0.030303030303030304,0.05714285714285714,0.02849002849002849,0.05649717514124294,0.029451137884872823,0.056847545219638244,0.02577319587628866,0.04504504504504504,0.0,0.0,0.0,0.0,0.023391812865497075,0.039603960396039604,0.0,0.0,0.0,0.0,0.030927835051546393,0.06666666666666667,0.0,0.0,0.013888888888888888,0.03125,0.045454545454545456,0.07317073170731707,0.03333333333333333,0.0625,0.03333333333333333,0.07142857142857142,0.011320754716981131,0.023622047244094488,0.0371900826446281,0.06870229007633588,0.036020583190394515,0.06752411575562701,0.0,0.0,0.0,0.0,0.034482758620689655,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.064,0.04469040409313981,0.08312293649252282,0.008403361344537815,0.018518518518518517,0.041666666666666664,0.07575757575757576,0.0,0.0,0.022771452374340462,0.04550499445061043,1,Home,0,0.030120481927710843,0.053763440860215055,0.028409090909090908,0.052083333333333336,0.031496062992125984,0.04819277108433735,0.04371584699453552,0.06779661016949153,0.006097560975609756,0.013157894736842105
Jack Newnes,0.03282828282828283,0.06190476190476191,0.017094017094017096,0.03389830508474576,0.025435073627844713,0.04909560723514212,0.04639175257731959,0.08108108108108109,0.04,0.06666666666666667,0.0,0.0,0.03508771929824561,0.0594059405940594,0.010526315789473684,0.02127659574468085,0.0,0.0,0.041237113402061855,0.08888888888888889,0.02666666666666667,0.06451612903225806,0.027777777777777776,0.0625,0.030303030303030304,0.04878048780487805,0.0,0.0,0.03333333333333333,0.07142857142857142,0.018867924528301886,0.03937007874015748,0.028925619834710745,0.05343511450381679,0.02058319039451115,0.03858520900321544,0.07142857142857142,0.1111111111111111,0.05555555555555555,0.06666666666666667,0.011494252873563218,0.023809523809523808,0.0,0.0,0.0,0.0,0.04081632653061224,0.08695652173913043,0.03,0.048,0.029027879294142217,0.05399106622645174,0.025210084033613446,0.05555555555555555,0.025,0.045454545454545456,0.022727272727272728,0.05555555555555555,0.024437656206609277,0.048834628190899,1,Home,0,0.04216867469879518,0.07526881720430108,0.045454545454545456,0.08333333333333333,0.03937007874015748,0.060240963855421686,0.03278688524590164,0.05084745762711865,0.042682926829268296,0.09210526315789473
Jarryn Geary,0.025252525252525252,0.047619047619047616,0.022792022792022793,0.04519774011299435,0.024096385542168676,0.046511627906976744,0.015463917525773196,0.02702702702702703,0.0,0.0,0.0,0.0,0.017543859649122806,0.0297029702970297,0.0,0.0,0.11764705882352941,0.2857142857142857,0.010309278350515464,0.022222222222222223,0.0,0.0,0.027777777777777776,0.0625,0.06060606060606061,0.0975609756097561,0.0,0.0,0.0,0.0,0.018867924528301886,0.03937007874015748,0.026859504132231406,0.04961832061068702,0.022298456260720412,0.04180064308681672,0.07142857142857142,0.1111111111111111,0.05555555555555555,0.06666666666666667,0.022988505747126436,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.04,0.016497859454944138,0.030685570013594874,0.03361344537815126,0.07407407407407407,0.03333333333333333,0.06060606060606061,0.0,0.0,0.024993057484032213,0.049944506104328525,1,Home,0,0.006024096385542169,0.010752688172043012,0.011363636363636364,0.020833333333333332,0.023622047244094488,0.03614457831325301,0.01639344262295082,0.025423728813559324,0.03048780487804878,0.06578947368421052
Sam Gilbert,0.012626262626262626,0.023809523809523808,0.03133903133903134,0.062146892655367235,0.0214190093708166,0.041343669250646,0.020618556701030927,0.036036036036036036,0.0,0.0,0.0,0.0,0.03508771929824561,0.0594059405940594,0.021052631578947368,0.0425531914893617,0.0,0.0,0.020618556701030927,0.044444444444444446,0.013333333333333334,0.03225806451612903,0.013888888888888888,0.03125,0.0,0.0,0.03333333333333333,0.0625,0.0,0.0,0.033962264150943396,0.07086614173228346,0.014462809917355372,0.026717557251908396,0.018867924528301886,0.03536977491961415,0.03571428571428571,0.05555555555555555,0.0,0.0,0.011494252873563218,0.023809523809523808,0.0,0.0,0.0,0.0,0.02040816326530612,0.043478260869565216,0.025,0.04,0.012843270335178032,0.02388813361817829,0.008403361344537815,0.018518518518518517,0.025,0.045454545454545456,0.0,0.0,0.021660649819494584,0.04328523862375139,1,Home,0,0.018072289156626505,0.03225806451612903,0.022727272727272728,0.041666666666666664,0.047244094488188976,0.07228915662650602,0.0273224043715847,0.0423728813559322,0.03048780487804878,0.06578947368421052
