Player,Kicks BTP,Kicks OTP,Handballs BTP,Handballs OTP,Disposals BTP,Disposals OTP,Marks BTP,Marks OTP,Goals BTP,Goals OTP,Behinds BTP,Behinds OTP,Tackles BTP,Tackles OTP,Hitouts BTP,Hitouts OTP,Goal Assists BTP,Goal Assists OTP,Inside 50s BTP,Inside 50s OTP,Clearances BTP,Clearances OTP,Clangers BTP,Clangers OTP,Rebound 50s BTP,Rebound 50s OTP,Frees For BTP,Frees For OTP,Frees Agains BTP,Frees Agains OTP,Contested Possessions BTP,Contested Possessions OTP,Uncontested Possessions BTP,Uncontested Possessions OTP,Effective Disposals BTP,Effective Disposals OTP,Contested Marks BTP,Contested Marks OTP,Marks Inside 50 BTP,Marks Inside 50 OTP,One Percenters BTP,One Percenters OTP,Bounces BTP,Bounces OTP,Centre Clearances BTP,Centre Clearances OTP,Stoppage Clearances BTP,Stoppage Clearances OTP,Score Involvements BTP,Score Involvements OTP,Metres Gained BTP,Metres Gained OTP,Turnovers BTP,Turnovers OTP,Intercepts BTP,Intercepts OTP,Tackles Inside 50 BTP,Tackles Inside 50 OTP,Time On Ground % BTP,Time On Ground % OTP,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTP,Uncontested Marks OTP,Marks Outside 50 BTP,Marks Outside 50 OTP,Tackles Outside 50 BTP,Tackles Outside 50 OTP,Behind Assists BTP,Behind Assists OTP,Ineffective Disposals BTP,Ineffective Disposals OTP
Patrick Dangerfield,0.05583756345177665,0.11398963730569948,0.0379746835443038,0.08333333333333333,0.04788732394366197,0.10089020771513353,0.04195804195804196,0.0821917808219178,0.041666666666666664,0.1111111111111111,0.09090909090909091,0.25,0.026490066225165563,0.05333333333333334,0.0,0.0,0.0,0.0,0.10526315789473684,0.19230769230769232,0.10144927536231885,0.20588235294117646,0.01834862385321101,0.03508771929824561,0.03225806451612903,0.09090909090909091,0.1702127659574468,0.3333333333333333,0.0,0.0,0.05161290322580645,0.10457516339869281,0.04773869346733668,0.10326086956521739,0.04554455445544554,0.09787234042553192,0.1111111111111111,0.16666666666666666,0.04,0.08333333333333333,0.010416666666666666,0.020833333333333332,0.0,0.0,0.19230769230769232,0.3125,0.046511627906976744,0.1111111111111111,0.03205128205128205,0.08928571428571429,0.07107540173053152,0.1529255319148936,0.04790419161676647,0.09302325581395349,0.041666666666666664,0.08536585365853659,0.043478260869565216,0.05263157894736842,0.0233268536517634,0.04669260700389105,0,Home,1,0.032,0.06557377049180328,0.0423728813559322,0.08196721311475409,0.0234375,0.05357142857142857,0.035211267605633804,0.09803921568627451,0.05365853658536585,0.10784313725490197
Andrew Mackie,0.048223350253807105,0.09844559585492228,0.028481012658227847,0.0625,0.03943661971830986,0.0830860534124629,0.03496503496503497,0.0684931506849315,0.0,0.0,0.0,0.0,0.039735099337748346,0.08,0.0,0.0,0.0,0.0,0.021052631578947368,0.038461538461538464,0.014492753623188406,0.029411764705882353,0.03669724770642202,0.07017543859649122,0.08064516129032258,0.22727272727272727,0.0425531914893617,0.08333333333333333,0.02127659574468085,0.043478260869565216,0.03870967741935484,0.0784313725490196,0.04020100502512563,0.08695652173913043,0.04356435643564356,0.09361702127659574,0.0,0.0,0.0,0.0,0.010416666666666666,0.020833333333333332,0.0,0.0,0.0,0.0,0.023255813953488372,0.05555555555555555,0.019230769230769232,0.05357142857142857,0.04220377891576903,0.09080547112462006,0.03592814371257485,0.06976744186046512,0.06547619047619048,0.13414634146341464,0.0,0.0,0.024159955567897805,0.048360200111172875,0,Home,0,0.04,0.08196721311475409,0.0423728813559322,0.08196721311475409,0.046875,0.10714285714285714,0.02112676056338028,0.058823529411764705,0.02926829268292683,0.058823529411764705
Mitchell Duncan,0.03299492385786802,0.06735751295336788,0.03481012658227848,0.0763888888888889,0.03380281690140845,0.0712166172106825,0.02097902097902098,0.0410958904109589,0.0,0.0,0.0,0.0,0.046357615894039736,0.09333333333333334,0.0,0.0,0.21428571428571427,0.6,0.08421052631578947,0.15384615384615385,0.043478260869565216,0.08823529411764706,0.009174311926605505,0.017543859649122806,0.03225806451612903,0.09090909090909091,0.02127659574468085,0.041666666666666664,0.02127659574468085,0.043478260869565216,0.02258064516129032,0.0457516339869281,0.03768844221105527,0.08152173913043478,0.03564356435643564,0.07659574468085106,0.0,0.0,0.0,0.0,0.010416666666666666,0.020833333333333332,0.0,0.0,0.038461538461538464,0.0625,0.046511627906976744,0.1111111111111111,0.03205128205128205,0.08928571428571429,0.04441108952851845,0.0955547112462006,0.017964071856287425,0.03488372093023256,0.017857142857142856,0.036585365853658534,0.08695652173913043,0.10526315789473684,0.021660649819494584,0.0433574207893274,0,Home,0,0.024,0.04918032786885246,0.025423728813559324,0.04918032786885246,0.0390625,0.08928571428571429,0.014084507042253521,0.0392156862745098,0.02926829268292683,0.058823529411764705
Joel Selwood,0.04060913705583756,0.08290155440414508,0.022151898734177215,0.04861111111111111,0.0323943661971831,0.06824925816023739,0.027972027972027972,0.0547945205479452,0.0,0.0,0.09090909090909091,0.25,0.039735099337748346,0.08,0.0,0.0,0.0,0.0,0.042105263157894736,0.07692307692307693,0.14492753623188406,0.29411764705882354,0.027522935779816515,0.05263157894736842,0.016129032258064516,0.045454545454545456,0.0425531914893617,0.08333333333333333,0.0425531914893617,0.08695652173913043,0.04516129032258064,0.0915032679738562,0.02512562814070352,0.05434782608695652,0.0297029702970297,0.06382978723404255,0.0,0.0,0.04,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.0,0.0,0.2692307692307692,0.4375,0.06976744186046512,0.16666666666666666,0.02564102564102564,0.07142857142857142,0.0334628288892813,0.07199848024316109,0.017964071856287425,0.03488372093023256,0.005952380952380952,0.012195121951219513,0.043478260869565216,0.05263157894736842,0.0233268536517634,0.04669260700389105,0,Home,0,0.032,0.06557377049180328,0.025423728813559324,0.04918032786885246,0.0390625,0.08928571428571429,0.028169014084507043,0.0784313725490196,0.03902439024390244,0.0784313725490196
Corey Enright,0.027918781725888325,0.05699481865284974,0.02531645569620253,0.05555555555555555,0.02676056338028169,0.05637982195845697,0.03496503496503497,0.0684931506849315,0.041666666666666664,0.1111111111111111,0.09090909090909091,0.25,0.013245033112582781,0.02666666666666667,0.0,0.0,0.07142857142857142,0.2,0.031578947368421054,0.057692307692307696,0.014492753623188406,0.029411764705882353,0.027522935779816515,0.05263157894736842,0.016129032258064516,0.045454545454545456,0.02127659574468085,0.041666666666666664,0.0425531914893617,0.08695652173913043,0.016129032258064516,0.032679738562091505,0.035175879396984924,0.07608695652173914,0.0297029702970297,0.06382978723404255,0.0,0.0,0.04,0.08333333333333333,0.052083333333333336,0.10416666666666667,0.0,0.0,0.0,0.0,0.023255813953488372,0.05555555555555555,0.019230769230769232,0.05357142857142857,0.02666431220201307,0.05737082066869301,0.023952095808383235,0.046511627906976744,0.02976190476190476,0.06097560975609756,0.0,0.0,0.02304915301305193,0.04613674263479711,0,Home,0,0.04,0.08196721311475409,0.03389830508474576,0.06557377049180328,0.015625,0.03571428571428571,0.014084507042253521,0.0392156862745098,0.01951219512195122,0.0392156862745098
Steven Motlop,0.025380710659898477,0.05181347150259067,0.022151898734177215,0.04861111111111111,0.023943661971830985,0.050445103857566766,0.02097902097902098,0.0410958904109589,0.0,0.0,0.0,0.0,0.026490066225165563,0.05333333333333334,0.0,0.0,0.0,0.0,0.042105263157894736,0.07692307692307693,0.014492753623188406,0.029411764705882353,0.045871559633027525,0.08771929824561403,0.016129032258064516,0.045454545454545456,0.0,0.0,0.02127659574468085,0.043478260869565216,0.012903225806451613,0.026143790849673203,0.032663316582914576,0.07065217391304347,0.019801980198019802,0.0425531914893617,0.0,0.0,0.0,0.0,0.010416666666666666,0.020833333333333332,0.0,0.0,0.0,0.0,0.023255813953488372,0.05555555555555555,0.01282051282051282,0.03571428571428571,0.027988698569662723,0.06022036474164134,0.041916167664670656,0.08139534883720931,0.011904761904761904,0.024390243902439025,0.13043478260869565,0.15789473684210525,0.0233268536517634,0.04669260700389105,0,Home,0,0.024,0.04918032786885246,0.025423728813559324,0.04918032786885246,0.0078125,0.017857142857142856,0.014084507042253521,0.0392156862745098,0.03414634146341464,0.06862745098039216
Jimmy Bartel,0.025380710659898477,0.05181347150259067,0.0189873417721519,0.041666666666666664,0.022535211267605635,0.04747774480712166,0.02097902097902098,0.0410958904109589,0.0,0.0,0.09090909090909091,0.25,0.033112582781456956,0.06666666666666667,0.0,0.0,0.0,0.0,0.021052631578947368,0.038461538461538464,0.014492753623188406,0.029411764705882353,0.045871559633027525,0.08771929824561403,0.016129032258064516,0.045454545454545456,0.0,0.0,0.02127659574468085,0.043478260869565216,0.03225806451612903,0.06535947712418301,0.010050251256281407,0.021739130434782608,0.015841584158415842,0.03404255319148936,0.05555555555555555,0.08333333333333333,0.04,0.08333333333333333,0.020833333333333332,0.041666666666666664,0.0,0.0,0.038461538461538464,0.0625,0.0,0.0,0.01282051282051282,0.03571428571428571,0.021984813702984284,0.04730243161094225,0.03592814371257485,0.06976744186046512,0.03571428571428571,0.07317073170731707,0.08695652173913043,0.10526315789473684,0.024715356845320745,0.049471928849360754,0,Home,0,0.016,0.03278688524590164,0.01694915254237288,0.03278688524590164,0.0234375,0.05357142857142857,0.014084507042253521,0.0392156862745098,0.03902439024390244,0.0784313725490196
Harry Taylor,0.02284263959390863,0.046632124352331605,0.0189873417721519,0.041666666666666664,0.02112676056338028,0.04451038575667656,0.04195804195804196,0.0821917808219178,0.0,0.0,0.0,0.0,0.013245033112582781,0.02666666666666667,0.0,0.0,0.07142857142857142,0.2,0.010526315789473684,0.019230769230769232,0.0,0.0,0.01834862385321101,0.03508771929824561,0.03225806451612903,0.09090909090909091,0.02127659574468085,0.041666666666666664,0.0,0.0,0.025806451612903226,0.05228758169934641,0.01507537688442211,0.03260869565217391,0.02574257425742574,0.05531914893617021,0.05555555555555555,0.08333333333333333,0.0,0.0,0.0625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.00641025641025641,0.017857142857142856,0.01942433339219495,0.04179331306990881,0.017964071856287425,0.03488372093023256,0.047619047619047616,0.0975609756097561,0.0,0.0,0.027770063871146902,0.055586436909394105,0,Home,0,0.04,0.08196721311475409,0.05084745762711865,0.09836065573770492,0.015625,0.03571428571428571,0.0,0.0,0.00975609756097561,0.0196078431372549
Cameron Guthrie,0.017766497461928935,0.03626943005181347,0.02531645569620253,0.05555555555555555,0.02112676056338028,0.04451038575667656,0.02097902097902098,0.0410958904109589,0.0,0.0,0.0,0.0,0.006622516556291391,0.013333333333333334,0.014705882352941176,0.030303030303030304,0.0,0.0,0.010526315789473684,0.019230769230769232,0.014492753623188406,0.029411764705882353,0.009174311926605505,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.00967741935483871,0.0196078431372549,0.03015075376884422,0.06521739130434782,0.019801980198019802,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.023255813953488372,0.05555555555555555,0.02564102564102564,0.07142857142857142,0.004061451527458944,0.008738601823708206,0.017964071856287425,0.03488372093023256,0.0,0.0,0.0,0.0,0.019439044709802834,0.038910505836575876,0,Home,0,0.024,0.04918032786885246,0.025423728813559324,0.04918032786885246,0.0078125,0.017857142857142856,0.028169014084507043,0.0784313725490196,0.024390243902439025,0.049019607843137254
Mark Blicavs,0.015228426395939087,0.031088082901554404,0.028481012658227847,0.0625,0.02112676056338028,0.04451038575667656,0.006993006993006993,0.0136986301369863,0.0,0.0,0.0,0.0,0.026490066225165563,0.05333333333333334,0.16176470588235295,0.3333333333333333,0.0,0.0,0.0,0.0,0.043478260869565216,0.08823529411764706,0.027522935779816515,0.05263157894736842,0.016129032258064516,0.045454545454545456,0.0,0.0,0.0425531914893617,0.08695652173913043,0.035483870967741936,0.0718954248366013,0.01256281407035176,0.02717391304347826,0.019801980198019802,0.0425531914893617,0.05555555555555555,0.08333333333333333,0.0,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0,0.0,0.0,0.06976744186046512,0.16666666666666666,0.01282051282051282,0.03571428571428571,0.0019424333392194949,0.004179331306990881,0.017964071856287425,0.03488372093023256,0.011904761904761904,0.024390243902439025,0.043478260869565216,0.05263157894736842,0.024715356845320745,0.049471928849360754,0,Home,0,0.0,0.0,0.00847457627118644,0.01639344262295082,0.0234375,0.05357142857142857,0.014084507042253521,0.0392156862745098,0.024390243902439025,0.049019607843137254
