Player,Kicks BTP,Kicks OTP,Handballs BTP,Handballs OTP,Disposals BTP,Disposals OTP,Marks BTP,Marks OTP,Goals BTP,Goals OTP,Behinds BTP,Behinds OTP,Tackles BTP,Tackles OTP,Hitouts BTP,Hitouts OTP,Goal Assists BTP,Goal Assists OTP,Inside 50s BTP,Inside 50s OTP,Clearances BTP,Clearances OTP,Clangers BTP,Clangers OTP,Rebound 50s BTP,Rebound 50s OTP,Frees For BTP,Frees For OTP,Frees Agains BTP,Frees Agains OTP,Contested Possessions BTP,Contested Possessions OTP,Uncontested Possessions BTP,Uncontested Possessions OTP,Effective Disposals BTP,Effective Disposals OTP,Contested Marks BTP,Contested Marks OTP,Marks Inside 50 BTP,Marks Inside 50 OTP,One Percenters BTP,One Percenters OTP,Bounces BTP,Bounces OTP,Centre Clearances BTP,Centre Clearances OTP,Stoppage Clearances BTP,Stoppage Clearances OTP,Score Involvements BTP,Score Involvements OTP,Metres Gained BTP,Metres Gained OTP,Turnovers BTP,Turnovers OTP,Intercepts BTP,Intercepts OTP,Tackles Inside 50 BTP,Tackles Inside 50 OTP,Time On Ground % BTP,Time On Ground % OTP,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTP,Uncontested Marks OTP,Marks Outside 50 BTP,Marks Outside 50 OTP,Tackles Outside 50 BTP,Tackles Outside 50 OTP,Behind Assists BTP,Behind Assists OTP,Ineffective Disposals BTP,Ineffective Disposals OTP
Patrick Dangerfield,0.03587443946188341,0.07174887892376682,0.06349206349206349,0.10471204188481675,0.04730617608409987,0.08695652173913043,0.01875,0.036585365853658534,0.0,0.0,0.05263157894736842,0.1111111111111111,0.03870967741935484,0.07142857142857142,0.0,0.0,0.0,0.0,0.039603960396039604,0.07272727272727272,0.07407407407407407,0.15384615384615385,0.03508771929824561,0.06896551724137931,0.028985507246376812,0.06451612903225806,0.06060606060606061,0.13333333333333333,0.06060606060606061,0.1111111111111111,0.05345911949685535,0.10119047619047619,0.04326923076923077,0.07692307692307693,0.0437375745526839,0.07665505226480836,0.05,0.09090909090909091,0.0,0.0,0.01834862385321101,0.02857142857142857,0.0,0.0,0.1111111111111111,0.25,0.06349206349206349,0.12903225806451613,0.04,0.06796116504854369,0.04600994354091177,0.08907014681892333,0.03289473684210526,0.0684931506849315,0.03289473684210526,0.06329113924050633,0.0,0.0,0.023346303501945526,0.04669260700389105,1,Home,1,0.014285714285714285,0.028169014084507043,0.02097902097902098,0.04225352112676056,0.04411764705882353,0.08450704225352113,0.04294478527607362,0.07446808510638298,0.05426356589147287,0.11023622047244094
Jimmy Bartel,0.033632286995515695,0.06726457399103139,0.06031746031746032,0.09947643979057591,0.04467805519053877,0.0821256038647343,0.01875,0.036585365853658534,0.0,0.0,0.0,0.0,0.03225806451612903,0.05952380952380952,0.0,0.0,0.08333333333333333,0.1111111111111111,0.07920792079207921,0.14545454545454545,0.1111111111111111,0.23076923076923078,0.03508771929824561,0.06896551724137931,0.014492753623188406,0.03225806451612903,0.12121212121212122,0.26666666666666666,0.0,0.0,0.05345911949685535,0.10119047619047619,0.036057692307692304,0.0641025641025641,0.04970178926441352,0.08710801393728224,0.0,0.0,0.0,0.0,0.01834862385321101,0.02857142857142857,0.0,0.0,0.0,0.0,0.14285714285714285,0.2903225806451613,0.05714285714285714,0.0970873786407767,0.038257352321564,0.07406199021207178,0.03289473684210526,0.0684931506849315,0.039473684210526314,0.0759493670886076,0.0,0.0,0.023902167871039465,0.04780433574207893,1,Home,0,0.02142857142857143,0.04225352112676056,0.02097902097902098,0.04225352112676056,0.03676470588235294,0.07042253521126761,0.05521472392638037,0.09574468085106383,0.03488372093023256,0.07086614173228346
Joel Selwood,0.042600896860986545,0.08520179372197309,0.047619047619047616,0.07853403141361257,0.04467805519053877,0.0821256038647343,0.01875,0.036585365853658534,0.0,0.0,0.0,0.0,0.025806451612903226,0.047619047619047616,0.0,0.0,0.0,0.0,0.0594059405940594,0.10909090909090909,0.06172839506172839,0.1282051282051282,0.05263157894736842,0.10344827586206896,0.014492753623188406,0.03225806451612903,0.09090909090909091,0.2,0.09090909090909091,0.16666666666666666,0.05660377358490566,0.10714285714285714,0.038461538461538464,0.06837606837606838,0.04771371769383698,0.08362369337979095,0.0,0.0,0.0,0.0,0.01834862385321101,0.02857142857142857,0.0,0.0,0.16666666666666666,0.375,0.031746031746031744,0.06451612903225806,0.04,0.06796116504854369,0.04617847813263672,0.08939641109298532,0.06578947368421052,0.136986301369863,0.03289473684210526,0.06329113924050633,0.0,0.0,0.02195664257921067,0.04391328515842134,1,Home,2,0.02142857142857143,0.04225352112676056,0.02097902097902098,0.04225352112676056,0.029411764705882353,0.056338028169014086,0.04294478527607362,0.07446808510638298,0.03875968992248062,0.07874015748031496
Corey Enright,0.04708520179372197,0.09417040358744394,0.031746031746031744,0.05235602094240838,0.040735873850197106,0.0748792270531401,0.0375,0.07317073170731707,0.0,0.0,0.0,0.0,0.012903225806451613,0.023809523809523808,0.0,0.0,0.0,0.0,0.009900990099009901,0.01818181818181818,0.037037037037037035,0.07692307692307693,0.043859649122807015,0.08620689655172414,0.11594202898550725,0.25806451612903225,0.0,0.0,0.030303030303030304,0.05555555555555555,0.031446540880503145,0.05952380952380952,0.04326923076923077,0.07692307692307693,0.04970178926441352,0.08710801393728224,0.0,0.0,0.0,0.0,0.03669724770642202,0.05714285714285714,0.0,0.0,0.0,0.0,0.047619047619047616,0.0967741935483871,0.06285714285714286,0.10679611650485436,0.05603775174854639,0.10848287112561175,0.046052631578947366,0.0958904109589041,0.08552631578947369,0.16455696202531644,0.0,0.0,0.023902167871039465,0.04780433574207893,1,Home,3,0.04285714285714286,0.08450704225352113,0.04195804195804196,0.08450704225352113,0.014705882352941176,0.028169014084507043,0.06748466257668712,0.11702127659574468,0.023255813953488372,0.047244094488188976
Sam Menegola,0.026905829596412557,0.053811659192825115,0.044444444444444446,0.07329842931937172,0.03416557161629435,0.06280193236714976,0.03125,0.06097560975609756,0.0,0.0,0.0,0.0,0.03225806451612903,0.05952380952380952,0.0,0.0,0.08333333333333333,0.1111111111111111,0.0594059405940594,0.10909090909090909,0.06172839506172839,0.1282051282051282,0.017543859649122806,0.034482758620689655,0.0,0.0,0.030303030303030304,0.06666666666666667,0.0,0.0,0.0440251572327044,0.08333333333333333,0.028846153846153848,0.05128205128205128,0.033797216699801194,0.059233449477351915,0.05,0.09090909090909091,0.0,0.0,0.009174311926605505,0.014285714285714285,0.0,0.0,0.0,0.0,0.07936507936507936,0.16129032258064516,0.04,0.06796116504854369,0.022667902587005982,0.043882544861337684,0.013157894736842105,0.0273972602739726,0.039473684210526314,0.0759493670886076,0.0,0.0,0.018621456364647026,0.03724291272929405,1,Home,0,0.02857142857142857,0.056338028169014086,0.03496503496503497,0.07042253521126761,0.03676470588235294,0.07042253521126761,0.03680981595092025,0.06382978723404255,0.03488372093023256,0.07086614173228346
Cameron Guthrie,0.020179372197309416,0.04035874439461883,0.050793650793650794,0.08376963350785341,0.0328515111695138,0.06038647342995169,0.00625,0.012195121951219513,0.05263157894736842,0.08333333333333333,0.05263157894736842,0.1111111111111111,0.04516129032258064,0.08333333333333333,0.0,0.0,0.0,0.0,0.019801980198019802,0.03636363636363636,0.024691358024691357,0.05128205128205128,0.02631578947368421,0.05172413793103448,0.014492753623188406,0.03225806451612903,0.0,0.0,0.030303030303030304,0.05555555555555555,0.03459119496855346,0.06547619047619048,0.028846153846153848,0.05128205128205128,0.02186878727634195,0.03832752613240418,0.0,0.0,0.0,0.0,0.009174311926605505,0.014285714285714285,0.0,0.0,0.05555555555555555,0.125,0.015873015873015872,0.03225806451612903,0.022857142857142857,0.038834951456310676,0.018875874273194572,0.0365415986949429,0.02631578947368421,0.0547945205479452,0.013157894736842105,0.02531645569620253,0.10526315789473684,0.15384615384615385,0.02056698165647582,0.04113396331295164,1,Home,0,0.007142857142857143,0.014084507042253521,0.006993006993006993,0.014084507042253521,0.03676470588235294,0.07042253521126761,0.024539877300613498,0.0425531914893617,0.05426356589147287,0.11023622047244094
Steven Motlop,0.03811659192825112,0.07623318385650224,0.022222222222222223,0.03664921465968586,0.03153745072273324,0.057971014492753624,0.0125,0.024390243902439025,0.0,0.0,0.10526315789473684,0.2222222222222222,0.04516129032258064,0.08333333333333333,0.0,0.0,0.08333333333333333,0.1111111111111111,0.04950495049504951,0.09090909090909091,0.012345679012345678,0.02564102564102564,0.06140350877192982,0.1206896551724138,0.014492753623188406,0.03225806451612903,0.0,0.0,0.030303030303030304,0.05555555555555555,0.0220125786163522,0.041666666666666664,0.036057692307692304,0.0641025641025641,0.02584493041749503,0.04529616724738676,0.0,0.0,0.0,0.0,0.009174311926605505,0.014285714285714285,0.0,0.0,0.0,0.0,0.015873015873015872,0.03225806451612903,0.02857142857142857,0.04854368932038835,0.03362265104912783,0.06508972267536704,0.05263157894736842,0.1095890410958904,0.019736842105263157,0.0379746835443038,0.05263157894736842,0.07692307692307693,0.023902167871039465,0.04780433574207893,1,Home,0,0.014285714285714285,0.028169014084507043,0.013986013986013986,0.028169014084507043,0.04411764705882353,0.08450704225352113,0.024539877300613498,0.0425531914893617,0.04263565891472868,0.08661417322834646
Mitchell Duncan,0.026905829596412557,0.053811659192825115,0.02857142857142857,0.04712041884816754,0.02759526938239159,0.050724637681159424,0.01875,0.036585365853658534,0.0,0.0,0.0,0.0,0.03225806451612903,0.05952380952380952,0.011494252873563218,0.02564102564102564,0.0,0.0,0.0297029702970297,0.05454545454545454,0.012345679012345678,0.02564102564102564,0.03508771929824561,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.025157232704402517,0.047619047619047616,0.03125,0.05555555555555555,0.02385685884691849,0.041811846689895474,0.0,0.0,0.0,0.0,0.027522935779816515,0.04285714285714286,0.5,1.0,0.0,0.0,0.015873015873015872,0.03225806451612903,0.017142857142857144,0.02912621359223301,0.030167691918766327,0.058401305057096245,0.02631578947368421,0.0547945205479452,0.02631578947368421,0.05063291139240506,0.0,0.0,0.022234574763757644,0.04446914952751529,1,Home,0,0.02142857142857143,0.04225352112676056,0.02097902097902098,0.04225352112676056,0.03676470588235294,0.07042253521126761,0.018404907975460124,0.031914893617021274,0.03488372093023256,0.07086614173228346
Mark Blicavs,0.01569506726457399,0.03139013452914798,0.044444444444444446,0.07329842931937172,0.02759526938239159,0.050724637681159424,0.03125,0.06097560975609756,0.0,0.0,0.0,0.0,0.025806451612903226,0.047619047619047616,0.13793103448275862,0.3076923076923077,0.0,0.0,0.009900990099009901,0.01818181818181818,0.037037037037037035,0.07692307692307693,0.03508771929824561,0.06896551724137931,0.043478260869565216,0.0967741935483871,0.0,0.0,0.06060606060606061,0.1111111111111111,0.03773584905660377,0.07142857142857142,0.021634615384615384,0.038461538461538464,0.033797216699801194,0.059233449477351915,0.05,0.09090909090909091,0.0,0.0,0.027522935779816515,0.04285714285714286,0.0,0.0,0.0,0.0,0.047619047619047616,0.0967741935483871,0.022857142857142857,0.038834951456310676,0.014662509480070784,0.02838499184339315,0.006578947368421052,0.0136986301369863,0.019736842105263157,0.0379746835443038,0.05263157894736842,0.07692307692307693,0.02028904947192885,0.0405780989438577,1,Home,0,0.02857142857142857,0.056338028169014086,0.03496503496503497,0.07042253521126761,0.022058823529411766,0.04225352112676056,0.024539877300613498,0.0425531914893617,0.015503875968992248,0.031496062992125984
Daniel Menzel,0.02242152466367713,0.04484304932735426,0.022222222222222223,0.03664921465968586,0.022339027595269383,0.04106280193236715,0.03125,0.06097560975609756,0.21052631578947367,0.3333333333333333,0.05263157894736842,0.1111111111111111,0.01935483870967742,0.03571428571428571,0.0,0.0,0.0,0.0,0.0297029702970297,0.05454545454545454,0.0,0.0,0.02631578947368421,0.05172413793103448,0.014492753623188406,0.03225806451612903,0.030303030303030304,0.06666666666666667,0.0,0.0,0.02830188679245283,0.05357142857142857,0.021634615384615384,0.038461538461538464,0.02385685884691849,0.041811846689895474,0.1,0.18181818181818182,0.058823529411764705,0.09090909090909091,0.01834862385321101,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.03428571428571429,0.05825242718446602,0.02115109126148142,0.04094616639477977,0.019736842105263157,0.0410958904109589,0.006578947368421052,0.012658227848101266,0.10526315789473684,0.15384615384615385,0.023902167871039465,0.04780433574207893,1,Home,0,0.02142857142857143,0.04225352112676056,0.027972027972027972,0.056338028169014086,0.007352941176470588,0.014084507042253521,0.03680981595092025,0.06382978723404255,0.01937984496124031,0.03937007874015748
