Player,Kicks BTP,Kicks OTP,Handballs BTP,Handballs OTP,Disposals BTP,Disposals OTP,Marks BTP,Marks OTP,Goals BTP,Goals OTP,Behinds BTP,Behinds OTP,Tackles BTP,Tackles OTP,Hitouts BTP,Hitouts OTP,Goal Assists BTP,Goal Assists OTP,Inside 50s BTP,Inside 50s OTP,Clearances BTP,Clearances OTP,Clangers BTP,Clangers OTP,Rebound 50s BTP,Rebound 50s OTP,Frees For BTP,Frees For OTP,Frees Agains BTP,Frees Agains OTP,Contested Possessions BTP,Contested Possessions OTP,Uncontested Possessions BTP,Uncontested Possessions OTP,Effective Disposals BTP,Effective Disposals OTP,Contested Marks BTP,Contested Marks OTP,Marks Inside 50 BTP,Marks Inside 50 OTP,One Percenters BTP,One Percenters OTP,Bounces BTP,Bounces OTP,Centre Clearances BTP,Centre Clearances OTP,Stoppage Clearances BTP,Stoppage Clearances OTP,Score Involvements BTP,Score Involvements OTP,Metres Gained BTP,Metres Gained OTP,Turnovers BTP,Turnovers OTP,Intercepts BTP,Intercepts OTP,Tackles Inside 50 BTP,Tackles Inside 50 OTP,Time On Ground % BTP,Time On Ground % OTP,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTP,Uncontested Marks OTP,Marks Outside 50 BTP,Marks Outside 50 OTP,Tackles Outside 50 BTP,Tackles Outside 50 OTP,Behind Assists BTP,Behind Assists OTP,Ineffective Disposals BTP,Ineffective Disposals OTP
Tom Rockliff,0.064,0.13259668508287292,0.060240963855421686,0.13157894736842105,0.0625,0.13220338983050847,0.03759398496240601,0.07352941176470588,0.07142857142857142,0.13333333333333333,0.0,0.0,0.0821917808219178,0.1518987341772152,0.0,0.0,0.0625,0.1111111111111111,0.043859649122807015,0.10869565217391304,0.0759493670886076,0.16666666666666666,0.0449438202247191,0.08888888888888889,0.07792207792207792,0.12244897959183673,0.0,0.0,0.022727272727272728,0.043478260869565216,0.042105263157894736,0.08759124087591241,0.07228915662650602,0.15286624203821655,0.051224944320712694,0.11004784688995216,0.0,0.0,0.0,0.0,0.009900990099009901,0.017241379310344827,0.07407407407407407,0.3333333333333333,0.041666666666666664,0.07692307692307693,0.09090909090909091,0.21739130434782608,0.05238095238095238,0.12222222222222222,0.056938510124465914,0.1186604723190089,0.031496062992125984,0.06060606060606061,0.015503875968992248,0.03278688524590164,0.03125,0.08333333333333333,0.021660649819494584,0.043333333333333335,1,Home,3,0.046296296296296294,0.08928571428571429,0.047619047619047616,0.09259259259259259,0.09649122807017543,0.16417910447761194,0.05154639175257732,0.12345679012345678,0.09142857142857143,0.18604651162790697
Dayne Zorko,0.056,0.11602209944751381,0.024096385542168676,0.05263157894736842,0.04326923076923077,0.09152542372881356,0.05263157894736842,0.10294117647058823,0.10714285714285714,0.2,0.0,0.0,0.0273972602739726,0.05063291139240506,0.0,0.0,0.25,0.4444444444444444,0.10526315789473684,0.2608695652173913,0.0379746835443038,0.08333333333333333,0.056179775280898875,0.1111111111111111,0.025974025974025976,0.04081632653061224,0.022727272727272728,0.047619047619047616,0.045454545454545456,0.08695652173913043,0.042105263157894736,0.08759124087591241,0.0391566265060241,0.08280254777070063,0.04899777282850779,0.10526315789473684,0.0,0.0,0.03571428571428571,0.07142857142857142,0.009900990099009901,0.017241379310344827,0.037037037037037035,0.16666666666666666,0.08333333333333333,0.15384615384615385,0.01818181818181818,0.043478260869565216,0.047619047619047616,0.1111111111111111,0.07328627159576444,0.1527293844367015,0.023622047244094488,0.045454545454545456,0.07751937984496124,0.16393442622950818,0.03125,0.08333333333333333,0.022216051096917523,0.044444444444444446,1,Home,2,0.06481481481481481,0.125,0.05714285714285714,0.1111111111111111,0.02631578947368421,0.04477611940298507,0.030927835051546393,0.07407407407407407,0.02857142857142857,0.05813953488372093
Mitch Robinson,0.042666666666666665,0.08839779005524862,0.024096385542168676,0.05263157894736842,0.035256410256410256,0.07457627118644068,0.015037593984962405,0.029411764705882353,0.0,0.0,0.0,0.0,0.07534246575342465,0.13924050632911392,0.011764705882352941,0.02631578947368421,0.0,0.0,0.07894736842105263,0.1956521739130435,0.0379746835443038,0.08333333333333333,0.011235955056179775,0.022222222222222223,0.06493506493506493,0.10204081632653061,0.022727272727272728,0.047619047619047616,0.022727272727272728,0.043478260869565216,0.0456140350877193,0.0948905109489051,0.02710843373493976,0.05732484076433121,0.035634743875278395,0.07655502392344497,0.04,0.08333333333333333,0.0,0.0,0.039603960396039604,0.06896551724137931,0.0,0.0,0.08333333333333333,0.15384615384615385,0.01818181818181818,0.043478260869565216,0.023809523809523808,0.05555555555555555,0.05433772989039569,0.1132404181184669,0.03937007874015748,0.07575757575757576,0.03875968992248062,0.08196721311475409,0.03125,0.08333333333333333,0.021382949180783116,0.042777777777777776,1,Home,0,0.009259259259259259,0.017857142857142856,0.01904761904761905,0.037037037037037035,0.08771929824561403,0.14925373134328357,0.02577319587628866,0.06172839506172839,0.03428571428571429,0.06976744186046512
Ryan Bastinac,0.032,0.06629834254143646,0.040160642570281124,0.08771929824561403,0.035256410256410256,0.07457627118644068,0.03007518796992481,0.058823529411764705,0.0,0.0,0.05,0.16666666666666666,0.02054794520547945,0.0379746835443038,0.011764705882352941,0.02631578947368421,0.0625,0.1111111111111111,0.02631578947368421,0.06521739130434782,0.0759493670886076,0.16666666666666666,0.033707865168539325,0.06666666666666667,0.05194805194805195,0.08163265306122448,0.06818181818181818,0.14285714285714285,0.045454545454545456,0.08695652173913043,0.04912280701754386,0.10218978102189781,0.030120481927710843,0.06369426751592357,0.028953229398663696,0.06220095693779904,0.04,0.08333333333333333,0.0,0.0,0.009900990099009901,0.017241379310344827,0.037037037037037035,0.16666666666666666,0.08333333333333333,0.15384615384615385,0.07272727272727272,0.17391304347826086,0.023809523809523808,0.05555555555555555,0.032323982909158465,0.06736353077816493,0.047244094488188976,0.09090909090909091,0.023255813953488372,0.04918032786885246,0.0,0.0,0.02304915301305193,0.04611111111111111,1,Home,0,0.027777777777777776,0.05357142857142857,0.0380952380952381,0.07407407407407407,0.02631578947368421,0.04477611940298507,0.020618556701030927,0.04938271604938271,0.05142857142857143,0.10465116279069768
Tom Cutler,0.032,0.06629834254143646,0.024096385542168676,0.05263157894736842,0.028846153846153848,0.061016949152542375,0.03007518796992481,0.058823529411764705,0.03571428571428571,0.06666666666666667,0.0,0.0,0.02054794520547945,0.0379746835443038,0.0,0.0,0.0,0.0,0.02631578947368421,0.06521739130434782,0.012658227848101266,0.027777777777777776,0.02247191011235955,0.044444444444444446,0.06493506493506493,0.10204081632653061,0.0,0.0,0.022727272727272728,0.043478260869565216,0.014035087719298246,0.029197080291970802,0.03614457831325301,0.07643312101910828,0.026726057906458798,0.05741626794258373,0.0,0.0,0.0,0.0,0.009900990099009901,0.017241379310344827,0.037037037037037035,0.16666666666666666,0.041666666666666664,0.07692307692307693,0.0,0.0,0.014285714285714285,0.03333333333333333,0.04031209362808843,0.08401084010840108,0.031496062992125984,0.06060606060606061,0.015503875968992248,0.03278688524590164,0.0,0.0,0.021382949180783116,0.042777777777777776,1,Home,0,0.037037037037037035,0.07142857142857142,0.0380952380952381,0.07407407407407407,0.02631578947368421,0.04477611940298507,0.015463917525773196,0.037037037037037035,0.03428571428571429,0.06976744186046512
Rhys Mathieson,0.024,0.049723756906077346,0.028112449799196786,0.06140350877192982,0.02564102564102564,0.05423728813559322,0.015037593984962405,0.029411764705882353,0.0,0.0,0.0,0.0,0.03424657534246575,0.06329113924050633,0.0,0.0,0.0,0.0,0.017543859649122806,0.043478260869565216,0.05063291139240506,0.1111111111111111,0.0449438202247191,0.08888888888888889,0.03896103896103896,0.061224489795918366,0.022727272727272728,0.047619047619047616,0.045454545454545456,0.08695652173913043,0.03508771929824561,0.072992700729927,0.018072289156626505,0.03821656050955414,0.0200445434298441,0.0430622009569378,0.04,0.08333333333333333,0.03571428571428571,0.07142857142857142,0.0,0.0,0.0,0.0,0.041666666666666664,0.07692307692307693,0.05454545454545454,0.13043478260869565,0.014285714285714285,0.03333333333333333,0.022106631989596878,0.04607046070460705,0.05511811023622047,0.10606060606060606,0.007751937984496124,0.01639344262295082,0.03125,0.08333333333333333,0.019161344071091362,0.03833333333333333,1,Home,0,0.009259259259259259,0.017857142857142856,0.009523809523809525,0.018518518518518517,0.03508771929824561,0.05970149253731343,0.015463917525773196,0.037037037037037035,0.04,0.08139534883720931
Pearce Hanley,0.018666666666666668,0.03867403314917127,0.024096385542168676,0.05263157894736842,0.020833333333333332,0.04406779661016949,0.03007518796992481,0.058823529411764705,0.03571428571428571,0.06666666666666667,0.0,0.0,0.0410958904109589,0.0759493670886076,0.03529411764705882,0.07894736842105263,0.0625,0.1111111111111111,0.017543859649122806,0.043478260869565216,0.0379746835443038,0.08333333333333333,0.011235955056179775,0.022222222222222223,0.012987012987012988,0.02040816326530612,0.045454545454545456,0.09523809523809523,0.022727272727272728,0.043478260869565216,0.02456140350877193,0.051094890510948905,0.024096385542168676,0.050955414012738856,0.022271714922048998,0.04784688995215311,0.04,0.08333333333333333,0.07142857142857142,0.14285714285714285,0.009900990099009901,0.017241379310344827,0.0,0.0,0.041666666666666664,0.07692307692307693,0.03636363636363636,0.08695652173913043,0.023809523809523808,0.05555555555555555,0.0184841166635705,0.03852109949670925,0.023622047244094488,0.045454545454545456,0.007751937984496124,0.01639344262295082,0.0625,0.16666666666666666,0.02360455429047487,0.04722222222222222,1,Home,0,0.027777777777777776,0.05357142857142857,0.01904761904761905,0.037037037037037035,0.03508771929824561,0.05970149253731343,0.020618556701030927,0.04938271604938271,0.017142857142857144,0.03488372093023256
Daniel Rich,0.024,0.049723756906077346,0.01606425702811245,0.03508771929824561,0.020833333333333332,0.04406779661016949,0.022556390977443608,0.04411764705882353,0.03571428571428571,0.06666666666666667,0.05,0.16666666666666666,0.00684931506849315,0.012658227848101266,0.0,0.0,0.0,0.0,0.017543859649122806,0.043478260869565216,0.02531645569620253,0.05555555555555555,0.02247191011235955,0.044444444444444446,0.03896103896103896,0.061224489795918366,0.0,0.0,0.0,0.0,0.014035087719298246,0.029197080291970802,0.02710843373493976,0.05732484076433121,0.017817371937639197,0.03827751196172249,0.0,0.0,0.0,0.0,0.019801980198019802,0.034482758620689655,0.0,0.0,0.0,0.0,0.03636363636363636,0.08695652173913043,0.023809523809523808,0.05555555555555555,0.023035482073193385,0.048006194347657766,0.03937007874015748,0.07575757575757576,0.015503875968992248,0.03278688524590164,0.0,0.0,0.022771452374340462,0.04555555555555556,1,Home,0,0.027777777777777776,0.05357142857142857,0.02857142857142857,0.05555555555555555,0.008771929824561403,0.014925373134328358,0.02577319587628866,0.06172839506172839,0.02857142857142857,0.05813953488372093
Sam Mayes,0.02666666666666667,0.055248618784530384,0.012048192771084338,0.02631578947368421,0.020833333333333332,0.04406779661016949,0.045112781954887216,0.08823529411764706,0.0,0.0,0.0,0.0,0.0136986301369863,0.02531645569620253,0.0,0.0,0.0,0.0,0.008771929824561403,0.021739130434782608,0.0,0.0,0.011235955056179775,0.022222222222222223,0.06493506493506493,0.10204081632653061,0.022727272727272728,0.047619047619047616,0.0,0.0,0.007017543859649123,0.014598540145985401,0.030120481927710843,0.06369426751592357,0.024498886414253896,0.05263157894736842,0.0,0.0,0.0,0.0,0.009900990099009901,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.03333333333333333,0.027308192457737322,0.056910569105691054,0.023622047244094488,0.045454545454545456,0.031007751937984496,0.06557377049180328,0.0,0.0,0.021938350458206055,0.04388888888888889,1,Home,0,0.05555555555555555,0.10714285714285714,0.05714285714285714,0.1111111111111111,0.017543859649122806,0.029850746268656716,0.015463917525773196,0.037037037037037035,0.011428571428571429,0.023255813953488372
Jarrad Jansen,0.010666666666666666,0.022099447513812154,0.0321285140562249,0.07017543859649122,0.019230769230769232,0.04067796610169491,0.03007518796992481,0.058823529411764705,0.0,0.0,0.0,0.0,0.0136986301369863,0.02531645569620253,0.0,0.0,0.0,0.0,0.008771929824561403,0.021739130434782608,0.02531645569620253,0.05555555555555555,0.0449438202247191,0.08888888888888889,0.012987012987012988,0.02040816326530612,0.045454545454545456,0.09523809523809523,0.045454545454545456,0.08695652173913043,0.028070175438596492,0.058394160583941604,0.015060240963855422,0.03184713375796178,0.015590200445434299,0.03349282296650718,0.0,0.0,0.03571428571428571,0.07142857142857142,0.009900990099009901,0.017241379310344827,0.0,0.0,0.08333333333333333,0.15384615384615385,0.0,0.0,0.014285714285714285,0.03333333333333333,0.014118521270666914,0.029423151374370887,0.06299212598425197,0.12121212121212122,0.03875968992248062,0.08196721311475409,0.0,0.0,0.018605942793668426,0.03722222222222222,1,Home,0,0.037037037037037035,0.07142857142857142,0.02857142857142857,0.05555555555555555,0.017543859649122806,0.029850746268656716,0.015463917525773196,0.037037037037037035,0.02857142857142857,0.05813953488372093
