Player,Kicks BTP,Kicks OTP,Handballs BTP,Handballs OTP,Disposals BTP,Disposals OTP,Marks BTP,Marks OTP,Goals BTP,Goals OTP,Behinds BTP,Behinds OTP,Tackles BTP,Tackles OTP,Hitouts BTP,Hitouts OTP,Goal Assists BTP,Goal Assists OTP,Inside 50s BTP,Inside 50s OTP,Clearances BTP,Clearances OTP,Clangers BTP,Clangers OTP,Rebound 50s BTP,Rebound 50s OTP,Frees For BTP,Frees For OTP,Frees Agains BTP,Frees Agains OTP,Contested Possessions BTP,Contested Possessions OTP,Uncontested Possessions BTP,Uncontested Possessions OTP,Effective Disposals BTP,Effective Disposals OTP,Contested Marks BTP,Contested Marks OTP,Marks Inside 50 BTP,Marks Inside 50 OTP,One Percenters BTP,One Percenters OTP,Bounces BTP,Bounces OTP,Centre Clearances BTP,Centre Clearances OTP,Stoppage Clearances BTP,Stoppage Clearances OTP,Score Involvements BTP,Score Involvements OTP,Metres Gained BTP,Metres Gained OTP,Turnovers BTP,Turnovers OTP,Intercepts BTP,Intercepts OTP,Tackles Inside 50 BTP,Tackles Inside 50 OTP,Time On Ground % BTP,Time On Ground % OTP,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTP,Uncontested Marks OTP,Marks Outside 50 BTP,Marks Outside 50 OTP,Tackles Outside 50 BTP,Tackles Outside 50 OTP,Behind Assists BTP,Behind Assists OTP,Ineffective Disposals BTP,Ineffective Disposals OTP
Dom Tyson,0.0196078431372549,0.043010752688172046,0.061381074168797956,0.12834224598930483,0.04005006257822278,0.08579088471849866,0.016666666666666666,0.03225806451612903,0.0,0.0,0.0,0.0,0.023391812865497075,0.04597701149425287,0.010869565217391304,0.02,0.0,0.0,0.01834862385321101,0.041666666666666664,0.04054054054054054,0.08571428571428572,0.01020408163265306,0.021739130434782608,0.01282051282051282,0.023255813953488372,0.0,0.0,0.0,0.0,0.04285714285714286,0.096,0.03861003861003861,0.08097165991902834,0.03747870528109029,0.08088235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.13043478260869565,0.012244897959183673,0.02857142857142857,0.01595699291748443,0.03269802413009267,0.008403361344537815,0.01694915254237288,0.008403361344537815,0.016666666666666666,0.0,0.0,0.020538440188731612,0.041088284286507494,0,Home,0,0.018518518518518517,0.03529411764705882,0.01910828025477707,0.036585365853658534,0.026490066225165563,0.05,0.013452914798206279,0.031914893617021274,0.04716981132075472,0.09900990099009901
Tom McDonald,0.031862745098039214,0.06989247311827956,0.030690537084398978,0.06417112299465241,0.03128911138923655,0.06702412868632708,0.06111111111111111,0.11827956989247312,0.034482758620689655,0.08333333333333333,0.0,0.0,0.011695906432748537,0.022988505747126436,0.010869565217391304,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.043478260869565216,0.1282051282051282,0.23255813953488372,0.0,0.0,0.0,0.0,0.014285714285714285,0.032,0.03474903474903475,0.0728744939271255,0.03747870528109029,0.08088235294117647,0.0,0.0,0.0,0.0,0.06896551724137931,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0163265306122449,0.0380952380952381,0.03549790937793327,0.07273998950865536,0.025210084033613446,0.05084745762711865,0.10084033613445378,0.2,0.0,0.0,0.02719955592561754,0.05441421432537479,0,Home,0,0.06790123456790123,0.12941176470588237,0.07006369426751592,0.13414634146341464,0.013245033112582781,0.025,0.017937219730941704,0.0425531914893617,0.014150943396226415,0.0297029702970297
Jack Viney,0.024509803921568627,0.053763440860215055,0.03836317135549872,0.08021390374331551,0.03128911138923655,0.06702412868632708,0.022222222222222223,0.043010752688172046,0.034482758620689655,0.08333333333333333,0.0,0.0,0.0935672514619883,0.1839080459770115,0.0,0.0,0.0,0.0,0.01834862385321101,0.041666666666666664,0.08108108108108109,0.17142857142857143,0.04081632653061224,0.08695652173913043,0.0,0.0,0.07142857142857142,0.16666666666666666,0.10714285714285714,0.1875,0.039285714285714285,0.088,0.032818532818532815,0.06882591093117409,0.03236797274275979,0.06985294117647059,0.0,0.0,0.043478260869565216,0.09090909090909091,0.011494252873563218,0.027777777777777776,0.0,0.0,0.17391304347826086,0.3333333333333333,0.0392156862745098,0.08695652173913043,0.0326530612244898,0.0761904761904762,0.022612850925846917,0.046336772162965556,0.03361344537815126,0.06779661016949153,0.0,0.0,0.05,0.14285714285714285,0.022203719122953096,0.04441976679622432,0,Home,0,0.024691358024691357,0.047058823529411764,0.01910828025477707,0.036585365853658534,0.09933774834437085,0.1875,0.03587443946188341,0.0851063829787234,0.02830188679245283,0.0594059405940594
Billy Stretch,0.024509803921568627,0.053763440860215055,0.03836317135549872,0.08021390374331551,0.03128911138923655,0.06702412868632708,0.03333333333333333,0.06451612903225806,0.0,0.0,0.0,0.0,0.011695906432748537,0.022988505747126436,0.0,0.0,0.0,0.0,0.01834862385321101,0.041666666666666664,0.02702702702702703,0.05714285714285714,0.01020408163265306,0.021739130434782608,0.01282051282051282,0.023255813953488372,0.03571428571428571,0.08333333333333333,0.0,0.0,0.03571428571428571,0.08,0.02702702702702703,0.05668016194331984,0.034071550255536626,0.07352941176470588,0.05555555555555555,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.08333333333333333,0.0196078431372549,0.043478260869565216,0.024489795918367346,0.05714285714285714,0.022612850925846917,0.046336772162965556,0.025210084033613446,0.05084745762711865,0.03361344537815126,0.06666666666666667,0.0,0.0,0.0202608936996947,0.04053303720155469,0,Home,0,0.030864197530864196,0.058823529411764705,0.03821656050955414,0.07317073170731707,0.013245033112582781,0.025,0.026905829596412557,0.06382978723404255,0.02358490566037736,0.04950495049504951
Bernie Vince,0.04411764705882353,0.0967741935483871,0.015345268542199489,0.03208556149732621,0.030037546933667083,0.064343163538874,0.027777777777777776,0.053763440860215055,0.0,0.0,0.0,0.0,0.04093567251461988,0.08045977011494253,0.0,0.0,0.045454545454545456,0.09090909090909091,0.027522935779816515,0.0625,0.06756756756756757,0.14285714285714285,0.030612244897959183,0.06521739130434782,0.10256410256410256,0.18604651162790697,0.0,0.0,0.03571428571428571,0.0625,0.017857142857142856,0.04,0.03088803088803089,0.06477732793522267,0.03236797274275979,0.06985294117647059,0.0,0.0,0.0,0.0,0.011494252873563218,0.027777777777777776,0.0,0.0,0.0,0.0,0.09803921568627451,0.21739130434782608,0.02040816326530612,0.047619047619047616,0.04642034303268197,0.09512152474208778,0.025210084033613446,0.05084745762711865,0.03361344537815126,0.06666666666666667,0.0,0.0,0.023591451568137665,0.04719600222098834,0,Home,0,0.030864197530864196,0.058823529411764705,0.03184713375796178,0.06097560975609756,0.046357615894039736,0.0875,0.017937219730941704,0.0425531914893617,0.02358490566037736,0.04950495049504951
Nathan Jones,0.022058823529411766,0.04838709677419355,0.030690537084398978,0.06417112299465241,0.026282853566958697,0.05630026809651475,0.011111111111111112,0.021505376344086023,0.0,0.0,0.0,0.0,0.04678362573099415,0.09195402298850575,0.0,0.0,0.09090909090909091,0.18181818181818182,0.045871559633027525,0.10416666666666667,0.05405405405405406,0.11428571428571428,0.02040816326530612,0.043478260869565216,0.01282051282051282,0.023255813953488372,0.03571428571428571,0.08333333333333333,0.07142857142857142,0.125,0.02142857142857143,0.048,0.02702702702702703,0.05668016194331984,0.030664395229982964,0.0661764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.25,0.0196078431372549,0.043478260869565216,0.024489795918367346,0.05714285714285714,0.03302329550302927,0.06766917293233082,0.04201680672268908,0.0847457627118644,0.008403361344537815,0.016666666666666666,0.0,0.0,0.02192617263391618,0.04386451971127152,0,Home,0,0.012345679012345678,0.023529411764705882,0.012738853503184714,0.024390243902439025,0.052980132450331126,0.1,0.017937219730941704,0.0425531914893617,0.014150943396226415,0.0297029702970297
Christian Petracca,0.024509803921568627,0.053763440860215055,0.02557544757033248,0.053475935828877004,0.025031289111389236,0.05361930294906166,0.022222222222222223,0.043010752688172046,0.034482758620689655,0.08333333333333333,0.0,0.0,0.011695906432748537,0.022988505747126436,0.0,0.0,0.0,0.0,0.06422018348623854,0.14583333333333334,0.05405405405405406,0.11428571428571428,0.04081632653061224,0.08695652173913043,0.02564102564102564,0.046511627906976744,0.07142857142857142,0.16666666666666666,0.0,0.0,0.03214285714285714,0.072,0.023166023166023165,0.048582995951417005,0.022146507666098807,0.04779411764705882,0.0,0.0,0.0,0.0,0.011494252873563218,0.027777777777777776,0.0,0.0,0.043478260869565216,0.08333333333333333,0.058823529411764705,0.13043478260869565,0.0326530612244898,0.0761904761904762,0.034729925761583756,0.07116628781255464,0.05042016806722689,0.1016949152542373,0.01680672268907563,0.03333333333333333,0.0,0.0,0.020815986677768527,0.0416435313714603,0,Home,0,0.024691358024691357,0.047058823529411764,0.025477707006369428,0.04878048780487805,0.013245033112582781,0.025,0.03587443946188341,0.0851063829787234,0.0330188679245283,0.06930693069306931
Neville Jetta,0.0196078431372549,0.043010752688172046,0.02557544757033248,0.053475935828877004,0.02252816020025031,0.04825737265415549,0.022222222222222223,0.043010752688172046,0.0,0.0,0.0,0.0,0.017543859649122806,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.021739130434782608,0.0641025641025641,0.11627906976744186,0.07142857142857142,0.16666666666666666,0.0,0.0,0.03571428571428571,0.08,0.015444015444015444,0.032388663967611336,0.022146507666098807,0.04779411764705882,0.0,0.0,0.0,0.0,0.08045977011494253,0.19444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0163265306122449,0.0380952380952381,0.0243194811844014,0.04983388704318937,0.025210084033613446,0.05084745762711865,0.06722689075630252,0.13333333333333333,0.0,0.0,0.02470163752428532,0.049416990560799554,0,Home,0,0.024691358024691357,0.047058823529411764,0.025477707006369428,0.04878048780487805,0.019867549668874173,0.0375,0.017937219730941704,0.0425531914893617,0.02358490566037736,0.04950495049504951
Ben Kennedy,0.0196078431372549,0.043010752688172046,0.02557544757033248,0.053475935828877004,0.02252816020025031,0.04825737265415549,0.027777777777777776,0.053763440860215055,0.06896551724137931,0.16666666666666666,0.06666666666666667,0.125,0.023391812865497075,0.04597701149425287,0.0,0.0,0.0,0.0,0.027522935779816515,0.0625,0.0,0.0,0.02040816326530612,0.043478260869565216,0.01282051282051282,0.023255813953488372,0.03571428571428571,0.08333333333333333,0.03571428571428571,0.0625,0.014285714285714285,0.032,0.02702702702702703,0.05668016194331984,0.022146507666098807,0.04779411764705882,0.0,0.0,0.043478260869565216,0.09090909090909091,0.0,0.0,0.3333333333333333,0.4,0.0,0.0,0.0,0.0,0.02857142857142857,0.06666666666666667,0.03123133373154706,0.06399720230809582,0.03361344537815126,0.06779661016949153,0.01680672268907563,0.03333333333333333,0.1,0.2857142857142857,0.023036358590063834,0.04608550805108273,0,Home,0,0.030864197530864196,0.058823529411764705,0.025477707006369428,0.04878048780487805,0.013245033112582781,0.025,0.03139013452914798,0.07446808510638298,0.02358490566037736,0.04950495049504951
Jesse Hogan,0.024509803921568627,0.053763440860215055,0.017902813299232736,0.0374331550802139,0.02127659574468085,0.045576407506702415,0.05,0.0967741935483871,0.034482758620689655,0.08333333333333333,0.2,0.375,0.0,0.0,0.0,0.0,0.13636363636363635,0.2727272727272727,0.027522935779816515,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.08,0.013513513513513514,0.02834008097165992,0.017035775127768313,0.03676470588235294,0.2777777777777778,0.625,0.21739130434782608,0.45454545454545453,0.022988505747126436,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.036734693877551024,0.08571428571428572,0.017663623176038912,0.03619513901031649,0.01680672268907563,0.03389830508474576,0.008403361344537815,0.016666666666666666,0.0,0.0,0.02719955592561754,0.05441421432537479,0,Home,0,0.024691358024691357,0.047058823529411764,0.025477707006369428,0.04878048780487805,0.0,0.0,0.026905829596412557,0.06382978723404255,0.0330188679245283,0.06930693069306931
