Player,Kicks BTP,Kicks OTP,Handballs BTP,Handballs OTP,Disposals BTP,Disposals OTP,Marks BTP,Marks OTP,Goals BTP,Goals OTP,Behinds BTP,Behinds OTP,Tackles BTP,Tackles OTP,Hitouts BTP,Hitouts OTP,Goal Assists BTP,Goal Assists OTP,Inside 50s BTP,Inside 50s OTP,Clearances BTP,Clearances OTP,Clangers BTP,Clangers OTP,Rebound 50s BTP,Rebound 50s OTP,Frees For BTP,Frees For OTP,Frees Agains BTP,Frees Agains OTP,Contested Possessions BTP,Contested Possessions OTP,Uncontested Possessions BTP,Uncontested Possessions OTP,Effective Disposals BTP,Effective Disposals OTP,Contested Marks BTP,Contested Marks OTP,Marks Inside 50 BTP,Marks Inside 50 OTP,One Percenters BTP,One Percenters OTP,Bounces BTP,Bounces OTP,Centre Clearances BTP,Centre Clearances OTP,Stoppage Clearances BTP,Stoppage Clearances OTP,Score Involvements BTP,Score Involvements OTP,Metres Gained BTP,Metres Gained OTP,Turnovers BTP,Turnovers OTP,Intercepts BTP,Intercepts OTP,Tackles Inside 50 BTP,Tackles Inside 50 OTP,Time On Ground % BTP,Time On Ground % OTP,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTP,Uncontested Marks OTP,Marks Outside 50 BTP,Marks Outside 50 OTP,Tackles Outside 50 BTP,Tackles Outside 50 OTP,Behind Assists BTP,Behind Assists OTP,Ineffective Disposals BTP,Ineffective Disposals OTP
Zachary Merrett,0.04935622317596566,0.08984375,0.041666666666666664,0.08139534883720931,0.046134663341645885,0.08644859813084112,0.03225806451612903,0.05185185185185185,0.0,0.0,0.038461538461538464,0.08333333333333333,0.02654867256637168,0.046153846153846156,0.0,0.0,0.0,0.0,0.06086956521739131,0.125,0.06756756756756757,0.1388888888888889,0.030303030303030304,0.058823529411764705,0.02564102564102564,0.044444444444444446,0.027777777777777776,0.05,0.027777777777777776,0.0625,0.04195804195804196,0.08333333333333333,0.04854368932038835,0.08680555555555555,0.047619047619047616,0.08841463414634146,0.0,0.0,0.0,0.0,0.009345794392523364,0.02127659574468085,0.0,0.0,0.03225806451612903,0.07142857142857142,0.09302325581395349,0.18181818181818182,0.034722222222222224,0.06535947712418301,0.06152833758328535,0.11762855794936311,0.022556390977443608,0.045454545454545456,0.045112781954887216,0.08955223880597014,0.0,0.0,0.02220988339811216,0.044444444444444446,1,Home,1,0.03431372549019608,0.0546875,0.036458333333333336,0.058823529411764705,0.034482758620689655,0.05172413793103448,0.03690036900369004,0.07042253521126761,0.04145077720207254,0.08
Dyson Heppell,0.03862660944206009,0.0703125,0.047619047619047616,0.09302325581395349,0.04239401496259352,0.0794392523364486,0.03686635944700461,0.05925925925925926,0.10344827586206896,0.17647058823529413,0.0,0.0,0.061946902654867256,0.1076923076923077,0.0,0.0,0.0,0.0,0.034782608695652174,0.07142857142857142,0.013513513513513514,0.027777777777777776,0.030303030303030304,0.058823529411764705,0.05128205128205128,0.08888888888888889,0.08333333333333333,0.15,0.027777777777777776,0.0625,0.055944055944055944,0.1111111111111111,0.03495145631067961,0.0625,0.04597701149425287,0.08536585365853659,0.07692307692307693,0.14285714285714285,0.08,0.125,0.018691588785046728,0.0425531914893617,0.0,0.0,0.03225806451612903,0.07142857142857142,0.0,0.0,0.03819444444444445,0.0718954248366013,0.036357654026486795,0.06950778424280547,0.03759398496240601,0.07575757575757576,0.045112781954887216,0.08955223880597014,0.0,0.0,0.022487506940588563,0.045,1,Home,3,0.03431372549019608,0.0546875,0.03125,0.05042016806722689,0.08045977011494253,0.1206896551724138,0.04059040590405904,0.07746478873239436,0.031088082901554404,0.06
Brendon Goddard,0.03648068669527897,0.06640625,0.03571428571428571,0.06976744186046512,0.03615960099750624,0.06775700934579439,0.04608294930875576,0.07407407407407407,0.0,0.0,0.038461538461538464,0.08333333333333333,0.04424778761061947,0.07692307692307693,0.0,0.0,0.0,0.0,0.05217391304347826,0.10714285714285714,0.0945945945945946,0.19444444444444445,0.010101010101010102,0.0196078431372549,0.02564102564102564,0.044444444444444446,0.027777777777777776,0.05,0.0,0.0,0.03496503496503497,0.06944444444444445,0.038834951456310676,0.06944444444444445,0.03776683087027915,0.0701219512195122,0.0,0.0,0.04,0.0625,0.04672897196261682,0.10638297872340426,0.0,0.0,0.16129032258064516,0.35714285714285715,0.046511627906976744,0.09090909090909091,0.03819444444444445,0.0718954248366013,0.034959282717775764,0.0668344079257745,0.007518796992481203,0.015151515151515152,0.007518796992481203,0.014925373134328358,0.0,0.0,0.020266518600777345,0.04055555555555555,1,Home,0,0.049019607843137254,0.078125,0.046875,0.07563025210084033,0.05747126436781609,0.08620689655172414,0.04059040590405904,0.07746478873239436,0.031088082901554404,0.06
Jobe Watson,0.027896995708154508,0.05078125,0.041666666666666664,0.08139534883720931,0.03366583541147132,0.0630841121495327,0.03225806451612903,0.05185185185185185,0.0,0.0,0.038461538461538464,0.08333333333333333,0.07079646017699115,0.12307692307692308,0.0,0.0,0.0,0.0,0.017391304347826087,0.03571428571428571,0.05405405405405406,0.1111111111111111,0.020202020202020204,0.0392156862745098,0.01282051282051282,0.022222222222222223,0.027777777777777776,0.05,0.0,0.0,0.02097902097902098,0.041666666666666664,0.038834951456310676,0.06944444444444445,0.029556650246305417,0.054878048780487805,0.0,0.0,0.08,0.125,0.0,0.0,0.0,0.0,0.06451612903225806,0.14285714285714285,0.046511627906976744,0.09090909090909091,0.024305555555555556,0.0457516339869281,0.025252940692605082,0.048278031136971225,0.03007518796992481,0.06060606060606061,0.015037593984962405,0.029850746268656716,0.038461538461538464,0.14285714285714285,0.021654636313159357,0.043333333333333335,1,Home,0,0.03431372549019608,0.0546875,0.026041666666666668,0.04201680672268908,0.08045977011494253,0.1206896551724138,0.025830258302583026,0.04929577464788732,0.046632124352331605,0.09
Darcy Parish,0.03648068669527897,0.06640625,0.023809523809523808,0.046511627906976744,0.03117206982543641,0.05841121495327103,0.03225806451612903,0.05185185185185185,0.0,0.0,0.038461538461538464,0.08333333333333333,0.05309734513274336,0.09230769230769231,0.0,0.0,0.058823529411764705,0.09090909090909091,0.06086956521739131,0.125,0.013513513513513514,0.027777777777777776,0.06060606060606061,0.11764705882352941,0.038461538461538464,0.06666666666666667,0.027777777777777776,0.05,0.0,0.0,0.027972027972027972,0.05555555555555555,0.03300970873786408,0.059027777777777776,0.022988505747126436,0.042682926829268296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.07142857142857142,0.0,0.0,0.020833333333333332,0.0392156862745098,0.03981245373036111,0.07611259632017613,0.06015037593984962,0.12121212121212122,0.022556390977443608,0.04477611940298507,0.07692307692307693,0.2857142857142857,0.023042754025541366,0.04611111111111111,1,Home,0,0.03431372549019608,0.0546875,0.036458333333333336,0.058823529411764705,0.04597701149425287,0.06896551724137931,0.01845018450184502,0.035211267605633804,0.05699481865284974,0.11
Andrew McGrath,0.02575107296137339,0.046875,0.02976190476190476,0.05813953488372093,0.02743142144638404,0.0514018691588785,0.027649769585253458,0.044444444444444446,0.0,0.0,0.0,0.0,0.04424778761061947,0.07692307692307693,0.0,0.0,0.0,0.0,0.008695652173913044,0.017857142857142856,0.013513513513513514,0.027777777777777776,0.010101010101010102,0.0196078431372549,0.0641025641025641,0.1111111111111111,0.05555555555555555,0.1,0.0,0.0,0.024475524475524476,0.04861111111111111,0.02912621359223301,0.052083333333333336,0.029556650246305417,0.054878048780487805,0.07692307692307693,0.14285714285714285,0.0,0.0,0.009345794392523364,0.02127659574468085,0.0,0.0,0.0,0.0,0.023255813953488372,0.045454545454545456,0.013888888888888888,0.026143790849673203,0.019001398371308712,0.036326466425538606,0.03007518796992481,0.06060606060606061,0.05263157894736842,0.1044776119402985,0.0,0.0,0.022487506940588563,0.045,1,Home,0,0.024509803921568627,0.0390625,0.03125,0.05042016806722689,0.05747126436781609,0.08620689655172414,0.014760147601476014,0.028169014084507043,0.02072538860103627,0.04
James Kelly,0.023605150214592276,0.04296875,0.02976190476190476,0.05813953488372093,0.026184538653366583,0.04906542056074766,0.03686635944700461,0.05925925925925926,0.0,0.0,0.0,0.0,0.008849557522123894,0.015384615384615385,0.0,0.0,0.058823529411764705,0.09090909090909091,0.017391304347826087,0.03571428571428571,0.013513513513513514,0.027777777777777776,0.0,0.0,0.038461538461538464,0.06666666666666667,0.0,0.0,0.0,0.0,0.01048951048951049,0.020833333333333332,0.03495145631067961,0.0625,0.031198686371100164,0.057926829268292686,0.0,0.0,0.0,0.0,0.018691588785046728,0.0425531914893617,0.0,0.0,0.0,0.0,0.023255813953488372,0.045454545454545456,0.03125,0.058823529411764705,0.014559513037756025,0.027834565183204905,0.007518796992481203,0.015151515151515152,0.015037593984962405,0.029850746268656716,0.0,0.0,0.02387562465297057,0.04777777777777778,1,Home,0,0.0392156862745098,0.0625,0.041666666666666664,0.06722689075630252,0.011494252873563218,0.017241379310344827,0.02952029520295203,0.056338028169014086,0.010362694300518135,0.02
Michael Hurley,0.03648068669527897,0.06640625,0.011904761904761904,0.023255813953488372,0.026184538653366583,0.04906542056074766,0.03225806451612903,0.05185185185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008695652173913044,0.017857142857142856,0.013513513513513514,0.027777777777777776,0.04040404040404041,0.0784313725490196,0.07692307692307693,0.13333333333333333,0.0,0.0,0.027777777777777776,0.0625,0.01048951048951049,0.020833333333333332,0.027184466019417475,0.04861111111111111,0.029556650246305417,0.054878048780487805,0.0,0.0,0.0,0.0,0.028037383177570093,0.06382978723404255,0.07692307692307693,0.125,0.0,0.0,0.023255813953488372,0.045454545454545456,0.013888888888888888,0.026143790849673203,0.04524142469359217,0.08649158672747287,0.03007518796992481,0.06060606060606061,0.015037593984962405,0.029850746268656716,0.0,0.0,0.024153248195446973,0.04833333333333333,1,Home,0,0.03431372549019608,0.0546875,0.036458333333333336,0.058823529411764705,0.0,0.0,0.014760147601476014,0.028169014084507043,0.015544041450777202,0.03
Brent Stanton,0.032188841201716736,0.05859375,0.011904761904761904,0.023255813953488372,0.02369077306733167,0.04439252336448598,0.04608294930875576,0.07407407407407407,0.06896551724137931,0.11764705882352941,0.0,0.0,0.008849557522123894,0.015384615384615385,0.0,0.0,0.0,0.0,0.017391304347826087,0.03571428571428571,0.0,0.0,0.010101010101010102,0.0196078431372549,0.038461538461538464,0.06666666666666667,0.0,0.0,0.0,0.0,0.0034965034965034965,0.006944444444444444,0.03495145631067961,0.0625,0.026272577996715927,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0392156862745098,0.027885169038414082,0.05331026891020601,0.015037593984962405,0.030303030303030304,0.007518796992481203,0.014925373134328358,0.0,0.0,0.021654636313159357,0.043333333333333335,1,Home,0,0.049019607843137254,0.078125,0.052083333333333336,0.08403361344537816,0.011494252873563218,0.017241379310344827,0.02214022140221402,0.04225352112676056,0.015544041450777202,0.03
David Zaharakis,0.023605150214592276,0.04296875,0.020833333333333332,0.040697674418604654,0.022443890274314215,0.04205607476635514,0.02304147465437788,0.037037037037037035,0.034482758620689655,0.058823529411764705,0.0,0.0,0.04424778761061947,0.07692307692307693,0.0,0.0,0.058823529411764705,0.09090909090909091,0.017391304347826087,0.03571428571428571,0.013513513513513514,0.027777777777777776,0.030303030303030304,0.058823529411764705,0.05128205128205128,0.08888888888888889,0.0,0.0,0.0,0.0,0.024475524475524476,0.04861111111111111,0.02524271844660194,0.04513888888888889,0.024630541871921183,0.04573170731707317,0.0,0.0,0.04,0.0625,0.009345794392523364,0.02127659574468085,0.07692307692307693,0.125,0.0,0.0,0.023255813953488372,0.045454545454545456,0.03125,0.058823529411764705,0.02640454059389652,0.05047963516276144,0.03759398496240601,0.07575757575757576,0.03007518796992481,0.05970149253731343,0.0,0.0,0.023320377568017768,0.04666666666666667,1,Home,0,0.024509803921568627,0.0390625,0.020833333333333332,0.03361344537815126,0.05747126436781609,0.08620689655172414,0.02952029520295203,0.056338028169014086,0.015544041450777202,0.03
