Player,Kicks BTP,Kicks OTP,Handballs BTP,Handballs OTP,Disposals BTP,Disposals OTP,Marks BTP,Marks OTP,Goals BTP,Goals OTP,Behinds BTP,Behinds OTP,Tackles BTP,Tackles OTP,Hitouts BTP,Hitouts OTP,Goal Assists BTP,Goal Assists OTP,Inside 50s BTP,Inside 50s OTP,Clearances BTP,Clearances OTP,Clangers BTP,Clangers OTP,Rebound 50s BTP,Rebound 50s OTP,Frees For BTP,Frees For OTP,Frees Agains BTP,Frees Agains OTP,Contested Possessions BTP,Contested Possessions OTP,Uncontested Possessions BTP,Uncontested Possessions OTP,Effective Disposals BTP,Effective Disposals OTP,Contested Marks BTP,Contested Marks OTP,Marks Inside 50 BTP,Marks Inside 50 OTP,One Percenters BTP,One Percenters OTP,Bounces BTP,Bounces OTP,Centre Clearances BTP,Centre Clearances OTP,Stoppage Clearances BTP,Stoppage Clearances OTP,Score Involvements BTP,Score Involvements OTP,Metres Gained BTP,Metres Gained OTP,Turnovers BTP,Turnovers OTP,Intercepts BTP,Intercepts OTP,Tackles Inside 50 BTP,Tackles Inside 50 OTP,Time On Ground % BTP,Time On Ground % OTP,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTP,Uncontested Marks OTP,Marks Outside 50 BTP,Marks Outside 50 OTP,Tackles Outside 50 BTP,Tackles Outside 50 OTP,Behind Assists BTP,Behind Assists OTP,Ineffective Disposals BTP,Ineffective Disposals OTP
Michael Hibberd,0.058394160583941604,0.1085972850678733,0.03389830508474576,0.06,0.047058823529411764,0.0855106888361045,0.03184713375796178,0.05813953488372093,0.0,0.0,0.0,0.0,0.02197802197802198,0.045454545454545456,0.0,0.0,0.07142857142857142,0.16666666666666666,0.037383177570093455,0.06451612903225806,0.02631578947368421,0.045454545454545456,0.023809523809523808,0.047619047619047616,0.11392405063291139,0.2647058823529412,0.045454545454545456,0.07692307692307693,0.0,0.0,0.036923076923076927,0.06779661016949153,0.04824561403508772,0.09053497942386832,0.04725897920604915,0.08389261744966443,0.0,0.0,0.0,0.0,0.035398230088495575,0.08333333333333333,0.05263157894736842,0.1111111111111111,0.045454545454545456,0.07692307692307693,0.018518518518518517,0.03225806451612903,0.045454545454545456,0.08791208791208792,0.07149733088299641,0.13063639270866645,0.02531645569620253,0.04878048780487805,0.0759493670886076,0.15789473684210525,0.0,0.0,0.025277777777777777,0.05058365758754864,1,Home,3,0.03571428571428571,0.0641025641025641,0.034722222222222224,0.0625,0.025974025974025976,0.0547945205479452,0.043209876543209874,0.08235294117647059,0.046610169491525424,0.08943089430894309
Clayton Oliver,0.0170316301703163,0.03167420814479638,0.06497175141242938,0.115,0.0392156862745098,0.07125890736342043,0.006369426751592357,0.011627906976744186,0.0,0.0,0.0,0.0,0.054945054945054944,0.11363636363636363,0.0,0.0,0.0,0.0,0.028037383177570093,0.04838709677419355,0.06578947368421052,0.11363636363636363,0.06349206349206349,0.12698412698412698,0.0,0.0,0.022727272727272728,0.038461538461538464,0.11363636363636363,0.2777777777777778,0.06153846153846154,0.11299435028248588,0.02412280701754386,0.04526748971193416,0.03780718336483932,0.06711409395973154,0.0,0.0,0.0,0.0,0.008849557522123894,0.020833333333333332,0.0,0.0,0.045454545454545456,0.07692307692307693,0.07407407407407407,0.12903225806451613,0.028409090909090908,0.054945054945054944,0.0172398704821913,0.0314998401023345,0.04430379746835443,0.08536585365853659,0.0189873417721519,0.039473684210526314,0.03571428571428571,0.06666666666666667,0.022222222222222223,0.04446914952751529,1,Home,1,0.007142857142857143,0.01282051282051282,0.006944444444444444,0.0125,0.05844155844155844,0.1232876712328767,0.030864197530864196,0.058823529411764705,0.0423728813559322,0.08130081300813008
Dom Tyson,0.0267639902676399,0.049773755656108594,0.05084745762711865,0.09,0.03790849673202614,0.0688836104513064,0.03184713375796178,0.05813953488372093,0.0,0.0,0.07142857142857142,0.2,0.03296703296703297,0.06818181818181818,0.0,0.0,0.0,0.0,0.037383177570093455,0.06451612903225806,0.039473684210526314,0.06818181818181818,0.047619047619047616,0.09523809523809523,0.012658227848101266,0.029411764705882353,0.045454545454545456,0.07692307692307693,0.0,0.0,0.036923076923076927,0.06779661016949153,0.03728070175438596,0.06995884773662552,0.03213610586011342,0.05704697986577181,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.1111111111111111,0.0,0.0,0.05555555555555555,0.0967741935483871,0.03409090909090909,0.06593406593406594,0.037192613984422855,0.06795650783498561,0.04430379746835443,0.08536585365853659,0.04430379746835443,0.09210526315789473,0.0,0.0,0.021944444444444444,0.04391328515842134,1,Home,0,0.03571428571428571,0.0641025641025641,0.034722222222222224,0.0625,0.03896103896103896,0.0821917808219178,0.037037037037037035,0.07058823529411765,0.05084745762711865,0.0975609756097561
Jayden Hunt,0.04866180048661801,0.09049773755656108,0.01694915254237288,0.03,0.03398692810457516,0.06175771971496437,0.03821656050955414,0.06976744186046512,0.0,0.0,0.07142857142857142,0.2,0.027472527472527472,0.056818181818181816,0.0,0.0,0.0,0.0,0.028037383177570093,0.04838709677419355,0.0,0.0,0.03968253968253968,0.07936507936507936,0.0379746835443038,0.08823529411764706,0.0,0.0,0.0,0.0,0.024615384615384615,0.04519774011299435,0.03508771929824561,0.06584362139917696,0.024574669187145556,0.0436241610738255,0.0,0.0,0.0,0.0,0.035398230088495575,0.08333333333333333,0.05263157894736842,0.1111111111111111,0.0,0.0,0.0,0.0,0.017045454545454544,0.03296703296703297,0.05845803798022228,0.10681164055004796,0.05063291139240506,0.0975609756097561,0.05063291139240506,0.10526315789473684,0.0,0.0,0.024444444444444446,0.048916064480266815,1,Home,0,0.04285714285714286,0.07692307692307693,0.041666666666666664,0.075,0.032467532467532464,0.0684931506849315,0.018518518518518517,0.03529411764705882,0.05508474576271186,0.10569105691056911
Jack Viney,0.0267639902676399,0.049773755656108594,0.03954802259887006,0.07,0.032679738562091505,0.05938242280285035,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.07954545454545454,0.0,0.0,0.0,0.0,0.056074766355140186,0.0967741935483871,0.13157894736842105,0.22727272727272727,0.047619047619047616,0.09523809523809523,0.0,0.0,0.09090909090909091,0.15384615384615385,0.022727272727272728,0.05555555555555555,0.043076923076923075,0.07909604519774012,0.021929824561403508,0.0411522633744856,0.02835538752362949,0.050335570469798654,0.0,0.0,0.0,0.0,0.008849557522123894,0.020833333333333332,0.0,0.0,0.13636363636363635,0.23076923076923078,0.12962962962962962,0.22580645161290322,0.028409090909090908,0.054945054945054944,0.026866194101688983,0.049088583306683725,0.056962025316455694,0.10975609756097561,0.0189873417721519,0.039473684210526314,0.0,0.0,0.021388888888888888,0.042801556420233464,1,Home,0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0958904109589041,0.030864197530864196,0.058823529411764705,0.0423728813559322,0.08130081300813008
Tom McDonald,0.021897810218978103,0.04072398190045249,0.0423728813559322,0.075,0.03137254901960784,0.057007125890736345,0.03184713375796178,0.05813953488372093,0.045454545454545456,0.07692307692307693,0.0,0.0,0.005494505494505495,0.011363636363636364,0.011904761904761904,0.029411764705882353,0.14285714285714285,0.3333333333333333,0.037383177570093455,0.06451612903225806,0.02631578947368421,0.045454545454545456,0.05555555555555555,0.1111111111111111,0.0,0.0,0.022727272727272728,0.038461538461538464,0.022727272727272728,0.05555555555555555,0.033846153846153845,0.062146892655367235,0.02631578947368421,0.04938271604938271,0.03213610586011342,0.05704697986577181,0.058823529411764705,0.125,0.0,0.0,0.017699115044247787,0.041666666666666664,0.05263157894736842,0.1111111111111111,0.045454545454545456,0.07692307692307693,0.018518518518518517,0.03225806451612903,0.017045454545454544,0.03296703296703297,0.024765905311980398,0.04525103933482571,0.04430379746835443,0.08536585365853659,0.006329113924050633,0.013157894736842105,0.03571428571428571,0.06666666666666667,0.025277777777777777,0.05058365758754864,1,Home,0,0.02857142857142857,0.05128205128205128,0.034722222222222224,0.0625,0.0,0.0,0.006172839506172839,0.011764705882352941,0.029661016949152543,0.056910569105691054
Jesse Hogan,0.0267639902676399,0.049773755656108594,0.03389830508474576,0.06,0.030065359477124184,0.05463182897862233,0.03184713375796178,0.05813953488372093,0.13636363636363635,0.23076923076923078,0.0,0.0,0.01098901098901099,0.022727272727272728,0.0,0.0,0.0,0.0,0.018691588785046728,0.03225806451612903,0.0,0.0,0.023809523809523808,0.047619047619047616,0.0,0.0,0.022727272727272728,0.038461538461538464,0.022727272727272728,0.05555555555555555,0.03076923076923077,0.05649717514124294,0.03070175438596491,0.05761316872427984,0.030245746691871456,0.053691275167785234,0.0,0.0,0.0,0.0,0.008849557522123894,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.03409090909090909,0.06593406593406594,0.025378489542312067,0.0463703229932843,0.04430379746835443,0.08536585365853659,0.0,0.0,0.07142857142857142,0.13333333333333333,0.026111111111111113,0.05225125069483046,1,Home,0,0.03571428571428571,0.0641025641025641,0.034722222222222224,0.0625,0.0,0.0,0.037037037037037035,0.07058823529411765,0.029661016949152543,0.056910569105691054
Oscar McDonald,0.0364963503649635,0.06787330316742081,0.022598870056497175,0.04,0.030065359477124184,0.05463182897862233,0.05732484076433121,0.10465116279069768,0.0,0.0,0.0,0.0,0.01098901098901099,0.022727272727272728,0.0,0.0,0.0,0.0,0.018691588785046728,0.03225806451612903,0.02631578947368421,0.045454545454545456,0.03968253968253968,0.07936507936507936,0.02531645569620253,0.058823529411764705,0.0,0.0,0.045454545454545456,0.1111111111111111,0.012307692307692308,0.022598870056497175,0.041666666666666664,0.07818930041152264,0.034026465028355386,0.06040268456375839,0.0,0.0,0.0,0.0,0.05309734513274336,0.125,0.0,0.0,0.045454545454545456,0.07692307692307693,0.018518518518518517,0.03225806451612903,0.017045454545454544,0.03296703296703297,0.028528922726874944,0.052126638951071315,0.03164556962025317,0.06097560975609756,0.04430379746835443,0.09210526315789473,0.0,0.0,0.025277777777777777,0.05058365758754864,1,Home,0,0.06428571428571428,0.11538461538461539,0.0625,0.1125,0.012987012987012988,0.0273972602739726,0.018518518518518517,0.03529411764705882,0.0211864406779661,0.04065040650406504
Christian Petracca,0.019464720194647202,0.03619909502262444,0.031073446327683617,0.055,0.02483660130718954,0.04513064133016627,0.025477707006369428,0.046511627906976744,0.09090909090909091,0.15384615384615385,0.0,0.0,0.027472527472527472,0.056818181818181816,0.0,0.0,0.0,0.0,0.0,0.0,0.039473684210526314,0.06818181818181818,0.023809523809523808,0.047619047619047616,0.012658227848101266,0.029411764705882353,0.022727272727272728,0.038461538461538464,0.0,0.0,0.036923076923076927,0.06779661016949153,0.017543859649122806,0.03292181069958848,0.022684310018903593,0.040268456375838924,0.058823529411764705,0.125,0.15384615384615385,0.3333333333333333,0.0,0.0,0.0,0.0,0.045454545454545456,0.07692307692307693,0.037037037037037035,0.06451612903225806,0.017045454545454544,0.03296703296703297,0.02222805635774919,0.04061400703549728,0.012658227848101266,0.024390243902439025,0.02531645569620253,0.05263157894736842,0.07142857142857142,0.13333333333333333,0.021944444444444444,0.04391328515842134,1,Home,0,0.02142857142857143,0.038461538461538464,0.013888888888888888,0.025,0.01948051948051948,0.0410958904109589,0.018518518518518517,0.03529411764705882,0.029661016949152543,0.056910569105691054
Alex N-Bullen,0.0267639902676399,0.049773755656108594,0.022598870056497175,0.04,0.02483660130718954,0.04513064133016627,0.012738853503184714,0.023255813953488372,0.0,0.0,0.0,0.0,0.02197802197802198,0.045454545454545456,0.0,0.0,0.14285714285714285,0.3333333333333333,0.037383177570093455,0.06451612903225806,0.05263157894736842,0.09090909090909091,0.007936507936507936,0.015873015873015872,0.012658227848101266,0.029411764705882353,0.022727272727272728,0.038461538461538464,0.022727272727272728,0.05555555555555555,0.036923076923076927,0.06779661016949153,0.017543859649122806,0.03292181069958848,0.024574669187145556,0.0436241610738255,0.0,0.0,0.0,0.0,0.017699115044247787,0.041666666666666664,0.0,0.0,0.09090909090909091,0.15384615384615385,0.037037037037037035,0.06451612903225806,0.028409090909090908,0.054945054945054944,0.01680231031766868,0.030700351774864087,0.02531645569620253,0.04878048780487805,0.012658227848101266,0.02631578947368421,0.03571428571428571,0.06666666666666667,0.021666666666666667,0.0433574207893274,1,Home,0,0.014285714285714285,0.02564102564102564,0.013888888888888888,0.025,0.01948051948051948,0.0410958904109589,0.018518518518518517,0.03529411764705882,0.025423728813559324,0.04878048780487805
