Player,Kicks BTP,Kicks OTP,Handballs BTP,Handballs OTP,Disposals BTP,Disposals OTP,Marks BTP,Marks OTP,Goals BTP,Goals OTP,Behinds BTP,Behinds OTP,Tackles BTP,Tackles OTP,Hitouts BTP,Hitouts OTP,Goal Assists BTP,Goal Assists OTP,Inside 50s BTP,Inside 50s OTP,Clearances BTP,Clearances OTP,Clangers BTP,Clangers OTP,Rebound 50s BTP,Rebound 50s OTP,Frees For BTP,Frees For OTP,Frees Agains BTP,Frees Agains OTP,Contested Possessions BTP,Contested Possessions OTP,Uncontested Possessions BTP,Uncontested Possessions OTP,Effective Disposals BTP,Effective Disposals OTP,Contested Marks BTP,Contested Marks OTP,Marks Inside 50 BTP,Marks Inside 50 OTP,One Percenters BTP,One Percenters OTP,Bounces BTP,Bounces OTP,Centre Clearances BTP,Centre Clearances OTP,Stoppage Clearances BTP,Stoppage Clearances OTP,Score Involvements BTP,Score Involvements OTP,Metres Gained BTP,Metres Gained OTP,Turnovers BTP,Turnovers OTP,Intercepts BTP,Intercepts OTP,Tackles Inside 50 BTP,Tackles Inside 50 OTP,Time On Ground % BTP,Time On Ground % OTP,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTP,Uncontested Marks OTP,Marks Outside 50 BTP,Marks Outside 50 OTP,Tackles Outside 50 BTP,Tackles Outside 50 OTP,Behind Assists BTP,Behind Assists OTP,Ineffective Disposals BTP,Ineffective Disposals OTP
Ben Cunnington,0.03389830508474576,0.06422018348623854,0.04120879120879121,0.08823529411764706,0.03732303732303732,0.07474226804123711,0.00684931506849315,0.012987012987012988,0.05714285714285714,0.09090909090909091,0.0,0.0,0.04285714285714286,0.06666666666666667,0.0,0.0,0.05,0.07142857142857142,0.02962962962962963,0.05063291139240506,0.16049382716049382,0.2765957446808511,0.023255813953488372,0.05084745762711865,0.046511627906976744,0.10810810810810811,0.02564102564102564,0.043478260869565216,0.0,0.0,0.0547112462006079,0.11180124223602485,0.024229074889867842,0.04824561403508772,0.040740740740740744,0.07829181494661921,0.0,0.0,0.0,0.0,0.009615384615384616,0.0196078431372549,0.0,0.0,0.11764705882352941,0.17391304347826086,0.19148936170212766,0.375,0.034482758620689655,0.06086956521739131,0.027547770700636943,0.05083002791244307,0.011695906432748537,0.023529411764705882,0.011494252873563218,0.022727272727272728,0.0,0.0,0.021672686857460405,0.043333333333333335,1,Home,2,0.008403361344537815,0.015151515151515152,0.008,0.015384615384615385,0.05454545454545454,0.09090909090909091,0.03278688524590164,0.0594059405940594,0.029535864978902954,0.06542056074766354
Scott Thompson,0.03389830508474576,0.06422018348623854,0.027472527472527472,0.058823529411764705,0.03088803088803089,0.061855670103092786,0.0684931506849315,0.12987012987012986,0.0,0.0,0.058823529411764705,0.08333333333333333,0.02142857142857143,0.03333333333333333,0.0,0.0,0.0,0.0,0.037037037037037035,0.06329113924050633,0.012345679012345678,0.02127659574468085,0.015503875968992248,0.03389830508474576,0.05813953488372093,0.13513513513513514,0.0,0.0,0.02564102564102564,0.0625,0.0243161094224924,0.049689440993788817,0.03524229074889868,0.07017543859649122,0.037037037037037035,0.0711743772241993,0.1111111111111111,0.2727272727272727,0.0,0.0,0.057692307692307696,0.11764705882352941,0.18181818181818182,0.3333333333333333,0.029411764705882353,0.043478260869565216,0.0,0.0,0.024630541871921183,0.043478260869565216,0.050238853503184716,0.09269869252240341,0.023391812865497075,0.047058823529411764,0.06896551724137931,0.13636363636363635,0.0,0.0,0.026118366212836898,0.052222222222222225,1,Home,0,0.058823529411764705,0.10606060606060606,0.08,0.15384615384615385,0.02727272727272727,0.045454545454545456,0.0273224043715847,0.04950495049504951,0.016877637130801686,0.037383177570093455
Mason Wood,0.03389830508474576,0.06422018348623854,0.027472527472527472,0.058823529411764705,0.03088803088803089,0.061855670103092786,0.0684931506849315,0.12987012987012986,0.05714285714285714,0.09090909090909091,0.17647058823529413,0.25,0.03571428571428571,0.05555555555555555,0.0,0.0,0.05,0.07142857142857142,0.037037037037037035,0.06329113924050633,0.0,0.0,0.031007751937984496,0.06779661016949153,0.0,0.0,0.0,0.0,0.0,0.0,0.0243161094224924,0.049689440993788817,0.037444933920704845,0.07456140350877193,0.025925925925925925,0.0498220640569395,0.1111111111111111,0.2727272727272727,0.23809523809523808,0.4166666666666667,0.009615384615384616,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.059113300492610835,0.10434782608695652,0.029936305732484077,0.05523725576612311,0.023391812865497075,0.047058823529411764,0.005747126436781609,0.011363636363636364,0.1,0.125,0.025284801333703807,0.050555555555555555,1,Home,1,0.058823529411764705,0.10606060606060606,0.04,0.07692307692307693,0.01818181818181818,0.030303030303030304,0.060109289617486336,0.10891089108910891,0.04219409282700422,0.09345794392523364
Luke McDonald,0.03389830508474576,0.06422018348623854,0.027472527472527472,0.058823529411764705,0.03088803088803089,0.061855670103092786,0.0,0.0,0.02857142857142857,0.045454545454545456,0.0,0.0,0.014285714285714285,0.022222222222222223,0.0,0.0,0.05,0.07142857142857142,0.02962962962962963,0.05063291139240506,0.012345679012345678,0.02127659574468085,0.007751937984496124,0.01694915254237288,0.023255813953488372,0.05405405405405406,0.0,0.0,0.0,0.0,0.0243161094224924,0.049689440993788817,0.037444933920704845,0.07456140350877193,0.040740740740740744,0.07829181494661921,0.0,0.0,0.0,0.0,0.028846153846153848,0.058823529411764705,0.0,0.0,0.0,0.0,0.02127659574468085,0.041666666666666664,0.029556650246305417,0.05217391304347826,0.0446656050955414,0.08241516086381666,0.04093567251461988,0.08235294117647059,0.022988505747126436,0.045454545454545456,0.0,0.0,0.021950541817171435,0.04388888888888889,1,Home,0,0.0,0.0,0.0,0.0,0.01818181818181818,0.030303030303030304,0.0273224043715847,0.04950495049504951,0.008438818565400843,0.018691588785046728
Jarrad Waite,0.04116222760290557,0.0779816513761468,0.013736263736263736,0.029411764705882353,0.028314028314028315,0.05670103092783505,0.0547945205479452,0.1038961038961039,0.17142857142857143,0.2727272727272727,0.11764705882352941,0.16666666666666666,0.04285714285714286,0.06666666666666667,0.012048192771084338,0.022222222222222223,0.05,0.07142857142857142,0.014814814814814815,0.02531645569620253,0.012345679012345678,0.02127659574468085,0.0,0.0,0.011627906976744186,0.02702702702702703,0.05128205128205128,0.08695652173913043,0.0,0.0,0.03343465045592705,0.06832298136645963,0.02643171806167401,0.05263157894736842,0.03333333333333333,0.06405693950177936,0.037037037037037035,0.09090909090909091,0.19047619047619047,0.3333333333333333,0.028846153846153848,0.058823529411764705,0.09090909090909091,0.16666666666666666,0.0,0.0,0.02127659574468085,0.041666666666666664,0.06403940886699508,0.11304347826086956,0.031210191082802548,0.05758777728808579,0.011695906432748537,0.023529411764705882,0.005747126436781609,0.011363636363636364,0.16666666666666666,0.20833333333333334,0.026118366212836898,0.052222222222222225,1,Home,3,0.058823529411764705,0.10606060606060606,0.032,0.06153846153846154,0.00909090909090909,0.015151515151515152,0.06557377049180328,0.1188118811881188,0.016877637130801686,0.037383177570093455
Sam Gibson,0.021791767554479417,0.04128440366972477,0.03021978021978022,0.06470588235294118,0.02574002574002574,0.05154639175257732,0.0136986301369863,0.025974025974025976,0.0,0.0,0.0,0.0,0.04285714285714286,0.06666666666666667,0.0,0.0,0.0,0.0,0.02962962962962963,0.05063291139240506,0.04938271604938271,0.0851063829787234,0.015503875968992248,0.03389830508474576,0.011627906976744186,0.02702702702702703,0.02564102564102564,0.043478260869565216,0.02564102564102564,0.0625,0.0425531914893617,0.08695652173913043,0.015418502202643172,0.03070175438596491,0.024074074074074074,0.046263345195729534,0.0,0.0,0.0,0.0,0.028846153846153848,0.058823529411764705,0.0,0.0,0.08823529411764706,0.13043478260869565,0.02127659574468085,0.041666666666666664,0.019704433497536946,0.034782608695652174,0.014012738853503185,0.02585573674158954,0.011695906432748537,0.023529411764705882,0.034482758620689655,0.06818181818181818,0.06666666666666667,0.08333333333333333,0.025562656293414837,0.051111111111111114,1,Home,0,0.01680672268907563,0.030303030303030304,0.016,0.03076923076923077,0.03636363636363636,0.06060606060606061,0.02185792349726776,0.039603960396039604,0.029535864978902954,0.06542056074766354
Jamie MacMillan,0.029055690072639227,0.05504587155963303,0.02197802197802198,0.047058823529411764,0.02574002574002574,0.05154639175257732,0.02054794520547945,0.03896103896103896,0.0,0.0,0.0,0.0,0.02142857142857143,0.03333333333333333,0.0,0.0,0.05,0.07142857142857142,0.037037037037037035,0.06329113924050633,0.012345679012345678,0.02127659574468085,0.023255813953488372,0.05084745762711865,0.023255813953488372,0.05405405405405406,0.05128205128205128,0.08695652173913043,0.02564102564102564,0.0625,0.0182370820668693,0.037267080745341616,0.02643171806167401,0.05263157894736842,0.027777777777777776,0.05338078291814947,0.037037037037037035,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.16666666666666666,0.029411764705882353,0.043478260869565216,0.0,0.0,0.019704433497536946,0.034782608695652174,0.04490445859872611,0.08285588364918467,0.029239766081871343,0.058823529411764705,0.028735632183908046,0.056818181818181816,0.0,0.0,0.025284801333703807,0.050555555555555555,1,Home,0,0.01680672268907563,0.030303030303030304,0.024,0.046153846153846156,0.02727272727272727,0.045454545454545456,0.01639344262295082,0.0297029702970297,0.02109704641350211,0.04672897196261682
Shaun Higgins,0.031476997578692496,0.05963302752293578,0.016483516483516484,0.03529411764705882,0.02445302445302445,0.04896907216494845,0.02054794520547945,0.03896103896103896,0.05714285714285714,0.09090909090909091,0.058823529411764705,0.08333333333333333,0.02857142857142857,0.044444444444444446,0.0,0.0,0.0,0.0,0.05185185185185185,0.08860759493670886,0.024691358024691357,0.0425531914893617,0.031007751937984496,0.06779661016949153,0.0,0.0,0.02564102564102564,0.043478260869565216,0.0,0.0,0.02127659574468085,0.043478260869565216,0.02643171806167401,0.05263157894736842,0.016666666666666666,0.03202846975088968,0.0,0.0,0.047619047619047616,0.08333333333333333,0.028846153846153848,0.058823529411764705,0.0,0.0,0.0,0.0,0.0425531914893617,0.08333333333333333,0.019704433497536946,0.034782608695652174,0.03463375796178344,0.0639048038783605,0.029239766081871343,0.058823529411764705,0.017241379310344827,0.03409090909090909,0.06666666666666667,0.08333333333333333,0.02333981661572659,0.04666666666666667,1,Home,0,0.025210084033613446,0.045454545454545456,0.016,0.03076923076923077,0.01818181818181818,0.030303030303030304,0.02185792349726776,0.039603960396039604,0.04219409282700422,0.09345794392523364
Jack Ziebell,0.0387409200968523,0.07339449541284404,0.008241758241758242,0.01764705882352941,0.02445302445302445,0.04896907216494845,0.0136986301369863,0.025974025974025976,0.02857142857142857,0.045454545454545456,0.0,0.0,0.03571428571428571,0.05555555555555555,0.0,0.0,0.05,0.07142857142857142,0.02962962962962963,0.05063291139240506,0.08641975308641975,0.14893617021276595,0.031007751937984496,0.06779661016949153,0.046511627906976744,0.10810810810810811,0.05128205128205128,0.08695652173913043,0.0,0.0,0.03343465045592705,0.06832298136645963,0.013215859030837005,0.02631578947368421,0.022222222222222223,0.042704626334519574,0.0,0.0,0.0,0.0,0.028846153846153848,0.058823529411764705,0.0,0.0,0.08823529411764706,0.13043478260869565,0.0851063829787234,0.16666666666666666,0.03940886699507389,0.06956521739130435,0.04187898089171974,0.07727339503452328,0.023391812865497075,0.047058823529411764,0.028735632183908046,0.056818181818181816,0.06666666666666667,0.08333333333333333,0.024173381494859682,0.04833333333333333,1,Home,0,0.01680672268907563,0.030303030303030304,0.016,0.03076923076923077,0.02727272727272727,0.045454545454545456,0.03825136612021858,0.06930693069306931,0.029535864978902954,0.06542056074766354
Nathan Hrovat,0.029055690072639227,0.05504587155963303,0.019230769230769232,0.041176470588235294,0.02445302445302445,0.04896907216494845,0.02054794520547945,0.03896103896103896,0.02857142857142857,0.045454545454545456,0.058823529411764705,0.08333333333333333,0.04285714285714286,0.06666666666666667,0.0,0.0,0.0,0.0,0.02962962962962963,0.05063291139240506,0.012345679012345678,0.02127659574468085,0.023255813953488372,0.05084745762711865,0.011627906976744186,0.02702702702702703,0.0,0.0,0.0,0.0,0.0121580547112462,0.024844720496894408,0.03303964757709251,0.06578947368421052,0.022222222222222223,0.042704626334519574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.043478260869565216,0.0,0.0,0.034482758620689655,0.06086956521739131,0.022452229299363056,0.041427941824592335,0.04093567251461988,0.08235294117647059,0.011494252873563218,0.022727272727272728,0.03333333333333333,0.041666666666666664,0.0225062517365935,0.045,1,Home,0,0.025210084033613446,0.045454545454545456,0.024,0.046153846153846156,0.045454545454545456,0.07575757575757576,0.03825136612021858,0.06930693069306931,0.029535864978902954,0.06542056074766354
