Player,Kicks BTP,Kicks OTP,Handballs BTP,Handballs OTP,Disposals BTP,Disposals OTP,Marks BTP,Marks OTP,Goals BTP,Goals OTP,Behinds BTP,Behinds OTP,Tackles BTP,Tackles OTP,Hitouts BTP,Hitouts OTP,Goal Assists BTP,Goal Assists OTP,Inside 50s BTP,Inside 50s OTP,Clearances BTP,Clearances OTP,Clangers BTP,Clangers OTP,Rebound 50s BTP,Rebound 50s OTP,Frees For BTP,Frees For OTP,Frees Agains BTP,Frees Agains OTP,Contested Possessions BTP,Contested Possessions OTP,Uncontested Possessions BTP,Uncontested Possessions OTP,Effective Disposals BTP,Effective Disposals OTP,Contested Marks BTP,Contested Marks OTP,Marks Inside 50 BTP,Marks Inside 50 OTP,One Percenters BTP,One Percenters OTP,Bounces BTP,Bounces OTP,Centre Clearances BTP,Centre Clearances OTP,Stoppage Clearances BTP,Stoppage Clearances OTP,Score Involvements BTP,Score Involvements OTP,Metres Gained BTP,Metres Gained OTP,Turnovers BTP,Turnovers OTP,Intercepts BTP,Intercepts OTP,Tackles Inside 50 BTP,Tackles Inside 50 OTP,Time On Ground % BTP,Time On Ground % OTP,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTP,Uncontested Marks OTP,Marks Outside 50 BTP,Marks Outside 50 OTP,Tackles Outside 50 BTP,Tackles Outside 50 OTP,Behind Assists BTP,Behind Assists OTP,Ineffective Disposals BTP,Ineffective Disposals OTP
Josh P. Kennedy,0.040380047505938245,0.08374384236453201,0.046822742474916385,0.0958904109589041,0.043055555555555555,0.08882521489971347,0.010810810810810811,0.023809523809523808,0.0,0.0,0.0,0.0,0.08411214953271028,0.15254237288135594,0.0,0.0,0.08333333333333333,0.125,0.09433962264150944,0.1724137931034483,0.125,0.21951219512195122,0.009615384615384616,0.0196078431372549,0.013333333333333334,0.027777777777777776,0.02564102564102564,0.0625,0.0,0.0,0.06741573033707865,0.140625,0.02927927927927928,0.06190476190476191,0.03861003861003861,0.08163265306122448,0.0,0.0,0.0,0.0,0.025974025974025976,0.05,0.0,0.0,0.25,0.38461538461538464,0.07692307692307693,0.14285714285714285,0.036585365853658534,0.08571428571428572,0.04074766355140187,0.08022079116835326,0.04195804195804196,0.08,0.027777777777777776,0.058823529411764705,0.0,0.0,0.02249375173562899,0.04495005549389567,0,Home,0,0.012048192771084338,0.025974025974025976,0.012269938650306749,0.0273972602739726,0.09574468085106383,0.1836734693877551,0.03289473684210526,0.08064516129032258,0.054455445544554455,0.10576923076923077
Kieren Jack,0.040380047505938245,0.08374384236453201,0.023411371237458192,0.04794520547945205,0.03333333333333333,0.06876790830945559,0.010810810810810811,0.023809523809523808,0.0,0.0,0.125,0.25,0.009345794392523364,0.01694915254237288,0.0,0.0,0.08333333333333333,0.125,0.03773584905660377,0.06896551724137931,0.041666666666666664,0.07317073170731707,0.028846153846153848,0.058823529411764705,0.013333333333333334,0.027777777777777776,0.05128205128205128,0.125,0.02564102564102564,0.043478260869565216,0.033707865168539325,0.0703125,0.036036036036036036,0.0761904761904762,0.023166023166023165,0.04897959183673469,0.0,0.0,0.045454545454545456,0.09090909090909091,0.012987012987012988,0.025,0.0,0.0,0.05,0.07692307692307693,0.038461538461538464,0.07142857142857142,0.04878048780487805,0.11428571428571428,0.03457943925233645,0.06807727690892364,0.03496503496503497,0.06666666666666667,0.020833333333333332,0.04411764705882353,0.0,0.0,0.021105248542071648,0.042175360710321866,0,Home,0,0.012048192771084338,0.025974025974025976,0.006134969325153374,0.0136986301369863,0.010638297872340425,0.02040816326530612,0.046052631578947366,0.11290322580645161,0.0594059405940594,0.11538461538461539
Heath Grundy,0.030878859857482184,0.06403940886699508,0.030100334448160536,0.06164383561643835,0.030555555555555555,0.06303724928366762,0.05945945945945946,0.13095238095238096,0.0,0.0,0.0,0.0,0.009345794392523364,0.01694915254237288,0.0,0.0,0.0,0.0,0.018867924528301886,0.034482758620689655,0.0,0.0,0.0,0.0,0.05333333333333334,0.1111111111111111,0.0,0.0,0.0,0.0,0.00749063670411985,0.015625,0.04054054054054054,0.08571428571428572,0.03861003861003861,0.08163265306122448,0.05263157894736842,0.14285714285714285,0.0,0.0,0.03896103896103896,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.012195121951219513,0.02857142857142857,0.03747663551401869,0.07378104875804968,0.006993006993006993,0.013333333333333334,0.0763888888888889,0.16176470588235295,0.0,0.0,0.02360455429047487,0.04716981132075472,0,Home,0,0.060240963855421686,0.12987012987012986,0.06748466257668712,0.1506849315068493,0.010638297872340425,0.02040816326530612,0.013157894736842105,0.03225806451612903,0.009900990099009901,0.019230769230769232
Jarrad McVeigh,0.019002375296912115,0.03940886699507389,0.043478260869565216,0.08904109589041095,0.029166666666666667,0.06017191977077364,0.032432432432432434,0.07142857142857142,0.0,0.0,0.0,0.0,0.028037383177570093,0.05084745762711865,0.0,0.0,0.0,0.0,0.018867924528301886,0.034482758620689655,0.05555555555555555,0.0975609756097561,0.019230769230769232,0.0392156862745098,0.05333333333333334,0.1111111111111111,0.02564102564102564,0.0625,0.0,0.0,0.026217228464419477,0.0546875,0.02702702702702703,0.05714285714285714,0.03667953667953668,0.07755102040816327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.14285714285714285,0.018292682926829267,0.04285714285714286,0.024018691588785047,0.04728610855565778,0.013986013986013986,0.02666666666666667,0.020833333333333332,0.04411764705882353,0.07692307692307693,0.1,0.02304915301305193,0.04605993340732519,0,Home,0,0.03614457831325301,0.07792207792207792,0.03680981595092025,0.0821917808219178,0.02127659574468085,0.04081632653061224,0.019736842105263157,0.04838709677419355,0.009900990099009901,0.019230769230769232
Luke Parker,0.019002375296912115,0.03940886699507389,0.043478260869565216,0.08904109589041095,0.029166666666666667,0.06017191977077364,0.016216216216216217,0.03571428571428571,0.05555555555555555,0.1111111111111111,0.0,0.0,0.018691588785046728,0.03389830508474576,0.0,0.0,0.08333333333333333,0.125,0.03773584905660377,0.06896551724137931,0.09722222222222222,0.17073170731707318,0.009615384615384616,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.04868913857677903,0.1015625,0.013513513513513514,0.02857142857142857,0.02895752895752896,0.061224489795918366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.23076923076923078,0.07692307692307693,0.14285714285714285,0.024390243902439025,0.05714285714285714,0.012616822429906542,0.02483900643974241,0.006993006993006993,0.013333333333333334,0.013888888888888888,0.029411764705882353,0.0,0.0,0.024715356845320745,0.049389567147613764,0,Home,0,0.018072289156626505,0.03896103896103896,0.018404907975460124,0.0410958904109589,0.02127659574468085,0.04081632653061224,0.019736842105263157,0.04838709677419355,0.0297029702970297,0.057692307692307696
Callum Sinclair,0.028503562945368172,0.059113300492610835,0.026755852842809364,0.0547945205479452,0.027777777777777776,0.05730659025787966,0.03783783783783784,0.08333333333333333,0.05555555555555555,0.1111111111111111,0.0,0.0,0.018691588785046728,0.03389830508474576,0.36,1.0,0.0,0.0,0.03773584905660377,0.06896551724137931,0.041666666666666664,0.07317073170731707,0.028846153846153848,0.058823529411764705,0.013333333333333334,0.027777777777777776,0.10256410256410256,0.25,0.05128205128205128,0.08695652173913043,0.033707865168539325,0.0703125,0.02702702702702703,0.05714285714285714,0.023166023166023165,0.04897959183673469,0.0,0.0,0.045454545454545456,0.09090909090909091,0.05194805194805195,0.1,0.0,0.0,0.0,0.0,0.057692307692307696,0.10714285714285714,0.006097560975609756,0.014285714285714285,0.023457943925233645,0.04618215271389144,0.027972027972027972,0.05333333333333334,0.027777777777777776,0.058823529411764705,0.0,0.0,0.024715356845320745,0.049389567147613764,0,Home,0,0.04216867469879518,0.09090909090909091,0.03680981595092025,0.0821917808219178,0.02127659574468085,0.04081632653061224,0.006578947368421052,0.016129032258064516,0.039603960396039604,0.07692307692307693
Callum Mills,0.026128266033254157,0.054187192118226604,0.030100334448160536,0.06164383561643835,0.027777777777777776,0.05730659025787966,0.03783783783783784,0.08333333333333333,0.0,0.0,0.0,0.0,0.028037383177570093,0.05084745762711865,0.0,0.0,0.08333333333333333,0.125,0.018867924528301886,0.034482758620689655,0.013888888888888888,0.024390243902439025,0.028846153846153848,0.058823529411764705,0.04,0.08333333333333333,0.02564102564102564,0.0625,0.02564102564102564,0.043478260869565216,0.0149812734082397,0.03125,0.038288288288288286,0.08095238095238096,0.02895752895752896,0.061224489795918366,0.10526315789473684,0.2857142857142857,0.0,0.0,0.012987012987012988,0.025,0.0,0.0,0.0,0.0,0.019230769230769232,0.03571428571428571,0.018292682926829267,0.04285714285714286,0.02158878504672897,0.04250229990800368,0.027972027972027972,0.05333333333333334,0.034722222222222224,0.07352941176470588,0.0,0.0,0.02249375173562899,0.04495005549389567,0,Home,0,0.030120481927710843,0.06493506493506493,0.04294478527607362,0.0958904109589041,0.031914893617021274,0.061224489795918366,0.013157894736842105,0.03225806451612903,0.024752475247524754,0.04807692307692308
Zak Jones,0.026128266033254157,0.054187192118226604,0.023411371237458192,0.04794520547945205,0.025,0.05157593123209169,0.021621621621621623,0.047619047619047616,0.05555555555555555,0.1111111111111111,0.0,0.0,0.018691588785046728,0.03389830508474576,0.0,0.0,0.0,0.0,0.03773584905660377,0.06896551724137931,0.013888888888888888,0.024390243902439025,0.009615384615384616,0.0196078431372549,0.04,0.08333333333333333,0.0,0.0,0.0,0.0,0.026217228464419477,0.0546875,0.02252252252252252,0.047619047619047616,0.032818532818532815,0.06938775510204082,0.0,0.0,0.045454545454545456,0.09090909090909091,0.025974025974025976,0.05,0.0,0.0,0.0,0.0,0.019230769230769232,0.03571428571428571,0.012195121951219513,0.02857142857142857,0.03747663551401869,0.07378104875804968,0.02097902097902098,0.04,0.027777777777777776,0.058823529411764705,0.07692307692307693,0.1,0.024437656206609277,0.048834628190899,0,Home,0,0.024096385542168676,0.05194805194805195,0.018404907975460124,0.0410958904109589,0.010638297872340425,0.02040816326530612,0.013157894736842105,0.03225806451612903,0.0049504950495049506,0.009615384615384616
George Hewett,0.026128266033254157,0.054187192118226604,0.023411371237458192,0.04794520547945205,0.025,0.05157593123209169,0.016216216216216217,0.03571428571428571,0.0,0.0,0.0,0.0,0.018691588785046728,0.03389830508474576,0.0,0.0,0.08333333333333333,0.125,0.02830188679245283,0.05172413793103448,0.041666666666666664,0.07317073170731707,0.019230769230769232,0.0392156862745098,0.0,0.0,0.05128205128205128,0.125,0.0,0.0,0.03745318352059925,0.078125,0.015765765765765764,0.03333333333333333,0.025096525096525095,0.053061224489795916,0.0,0.0,0.0,0.0,0.03896103896103896,0.075,0.0,0.0,0.1,0.15384615384615385,0.019230769230769232,0.03571428571428571,0.012195121951219513,0.02857142857142857,0.02925233644859813,0.057589696412143516,0.03496503496503497,0.06666666666666667,0.020833333333333332,0.04411764705882353,0.07692307692307693,0.1,0.022216051096917523,0.04439511653718091,0,Home,0,0.018072289156626505,0.03896103896103896,0.018404907975460124,0.0410958904109589,0.010638297872340425,0.02040816326530612,0.006578947368421052,0.016129032258064516,0.024752475247524754,0.04807692307692308
Isaac Heeney,0.026128266033254157,0.054187192118226604,0.023411371237458192,0.04794520547945205,0.025,0.05157593123209169,0.032432432432432434,0.07142857142857142,0.0,0.0,0.041666666666666664,0.08333333333333333,0.028037383177570093,0.05084745762711865,0.0,0.0,0.16666666666666666,0.25,0.03773584905660377,0.06896551724137931,0.041666666666666664,0.07317073170731707,0.028846153846153848,0.058823529411764705,0.0,0.0,0.0,0.0,0.02564102564102564,0.043478260869565216,0.026217228464419477,0.0546875,0.024774774774774775,0.05238095238095238,0.023166023166023165,0.04897959183673469,0.0,0.0,0.045454545454545456,0.09090909090909091,0.025974025974025976,0.05,0.16666666666666666,0.5,0.05,0.07692307692307693,0.038461538461538464,0.07142857142857142,0.036585365853658534,0.08571428571428572,0.027757009345794392,0.054645814167433304,0.027972027972027972,0.05333333333333334,0.013888888888888888,0.029411764705882353,0.07692307692307693,0.1,0.024715356845320745,0.049389567147613764,0,Home,0,0.03614457831325301,0.07792207792207792,0.03067484662576687,0.0684931506849315,0.02127659574468085,0.04081632653061224,0.02631578947368421,0.06451612903225806,0.0297029702970297,0.057692307692307696
