Player,Kicks BTP,Kicks OTP,Handballs BTP,Handballs OTP,Disposals BTP,Disposals OTP,Marks BTP,Marks OTP,Goals BTP,Goals OTP,Behinds BTP,Behinds OTP,Tackles BTP,Tackles OTP,Hitouts BTP,Hitouts OTP,Goal Assists BTP,Goal Assists OTP,Inside 50s BTP,Inside 50s OTP,Clearances BTP,Clearances OTP,Clangers BTP,Clangers OTP,Rebound 50s BTP,Rebound 50s OTP,Frees For BTP,Frees For OTP,Frees Agains BTP,Frees Agains OTP,Contested Possessions BTP,Contested Possessions OTP,Uncontested Possessions BTP,Uncontested Possessions OTP,Effective Disposals BTP,Effective Disposals OTP,Contested Marks BTP,Contested Marks OTP,Marks Inside 50 BTP,Marks Inside 50 OTP,One Percenters BTP,One Percenters OTP,Bounces BTP,Bounces OTP,Centre Clearances BTP,Centre Clearances OTP,Stoppage Clearances BTP,Stoppage Clearances OTP,Score Involvements BTP,Score Involvements OTP,Metres Gained BTP,Metres Gained OTP,Turnovers BTP,Turnovers OTP,Intercepts BTP,Intercepts OTP,Tackles Inside 50 BTP,Tackles Inside 50 OTP,Time On Ground % BTP,Time On Ground % OTP,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTP,Uncontested Marks OTP,Marks Outside 50 BTP,Marks Outside 50 OTP,Tackles Outside 50 BTP,Tackles Outside 50 OTP,Behind Assists BTP,Behind Assists OTP,Ineffective Disposals BTP,Ineffective Disposals OTP
Stephen Coniglio,0.04086021505376344,0.084070796460177,0.05555555555555555,0.09259259259259259,0.04625850340136054,0.08762886597938144,0.03208556149732621,0.06451612903225806,0.0,0.0,0.0,0.0,0.06875,0.1375,0.0,0.0,0.08333333333333333,0.14285714285714285,0.04716981132075472,0.08620689655172414,0.09183673469387756,0.16363636363636364,0.04672897196261682,0.09803921568627451,0.0379746835443038,0.08571428571428572,0.0,0.0,0.030303030303030304,0.058823529411764705,0.06779661016949153,0.125,0.0380952380952381,0.07079646017699115,0.04259634888438134,0.08203125,0.0,0.0,0.0,0.0,0.036585365853658534,0.08823529411764706,0.1,0.2,0.11538461538461539,0.2,0.08333333333333333,0.15,0.029940119760479042,0.058823529411764705,0.030261465923703386,0.06028005464480874,0.044444444444444446,0.08108108108108109,0.029197080291970802,0.06349206349206349,0.02631578947368421,0.05,0.024180100055586438,0.04838709677419355,0,Home,1,0.03592814371257485,0.07228915662650602,0.03571428571428571,0.07228915662650602,0.08196721311475409,0.16666666666666666,0.025806451612903226,0.05128205128205128,0.05371900826446281,0.09848484848484848
Zachary Williams,0.04516129032258064,0.09292035398230089,0.025925925925925925,0.043209876543209874,0.0380952380952381,0.07216494845360824,0.0374331550802139,0.07526881720430108,0.04,0.09090909090909091,0.0,0.0,0.025,0.05,0.0,0.0,0.0,0.0,0.07547169811320754,0.13793103448275862,0.030612244897959183,0.05454545454545454,0.018691588785046728,0.0392156862745098,0.012658227848101266,0.02857142857142857,0.0,0.0,0.0,0.0,0.020338983050847456,0.0375,0.04285714285714286,0.07964601769911504,0.04056795131845842,0.078125,0.0,0.0,0.0,0.0,0.012195121951219513,0.029411764705882353,0.1,0.2,0.07692307692307693,0.13333333333333333,0.013888888888888888,0.025,0.029940119760479042,0.058823529411764705,0.05889412773253322,0.1173155737704918,0.037037037037037035,0.06756756756756757,0.029197080291970802,0.06349206349206349,0.0,0.0,0.02195664257921067,0.0439377085650723,0,Home,0,0.041916167664670656,0.08433734939759036,0.041666666666666664,0.08433734939759036,0.03278688524590164,0.06666666666666667,0.03225806451612903,0.0641025641025641,0.03305785123966942,0.06060606060606061
Jacob Hopper,0.034408602150537634,0.07079646017699115,0.044444444444444446,0.07407407407407407,0.0380952380952381,0.07216494845360824,0.0213903743315508,0.043010752688172046,0.0,0.0,0.0,0.0,0.04375,0.0875,0.0,0.0,0.0,0.0,0.02830188679245283,0.05172413793103448,0.09183673469387756,0.16363636363636364,0.056074766355140186,0.11764705882352941,0.012658227848101266,0.02857142857142857,0.09090909090909091,0.1875,0.09090909090909091,0.17647058823529413,0.0576271186440678,0.10625,0.02619047619047619,0.048672566371681415,0.030425963488843813,0.05859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.2,0.08333333333333333,0.15,0.03592814371257485,0.07058823529411765,0.03506215173596228,0.06984289617486339,0.044444444444444446,0.08108108108108109,0.021897810218978103,0.047619047619047616,0.0,0.0,0.02195664257921067,0.0439377085650723,0,Home,0,0.023952095808383235,0.04819277108433735,0.023809523809523808,0.04819277108433735,0.05737704918032787,0.11666666666666667,0.03870967741935484,0.07692307692307693,0.05371900826446281,0.09848484848484848
Brett Deledio,0.03225806451612903,0.06637168141592921,0.040740740740740744,0.06790123456790123,0.03537414965986395,0.06701030927835051,0.0427807486631016,0.08602150537634409,0.0,0.0,0.07142857142857142,0.16666666666666666,0.01875,0.0375,0.0,0.0,0.16666666666666666,0.2857142857142857,0.05660377358490566,0.10344827586206896,0.030612244897959183,0.05454545454545454,0.028037383177570093,0.058823529411764705,0.0379746835443038,0.08571428571428572,0.0,0.0,0.030303030303030304,0.058823529411764705,0.02711864406779661,0.05,0.04523809523809524,0.084070796460177,0.030425963488843813,0.05859375,0.0,0.0,0.05263157894736842,0.1,0.012195121951219513,0.029411764705882353,0.0,0.0,0.0,0.0,0.041666666666666664,0.075,0.03592814371257485,0.07058823529411765,0.035147878268324044,0.07001366120218579,0.02962962962962963,0.05405405405405406,0.021897810218978103,0.047619047619047616,0.02631578947368421,0.05,0.024458032240133407,0.048943270300333706,0,Home,0,0.04790419161676647,0.0963855421686747,0.041666666666666664,0.08433734939759036,0.01639344262295082,0.03333333333333333,0.025806451612903226,0.05128205128205128,0.045454545454545456,0.08333333333333333
Joshua Kelly,0.025806451612903226,0.05309734513274336,0.05185185185185185,0.08641975308641975,0.03537414965986395,0.06701030927835051,0.0053475935828877,0.010752688172043012,0.0,0.0,0.07142857142857142,0.16666666666666666,0.03125,0.0625,0.0,0.0,0.0,0.0,0.03773584905660377,0.06896551724137931,0.061224489795918366,0.10909090909090909,0.009345794392523364,0.0196078431372549,0.0379746835443038,0.08571428571428572,0.030303030303030304,0.0625,0.0,0.0,0.04406779661016949,0.08125,0.03333333333333333,0.061946902654867256,0.036511156186612576,0.0703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.13333333333333333,0.05555555555555555,0.1,0.017964071856287425,0.03529411764705882,0.03077582511787398,0.06130464480874317,0.022222222222222223,0.04054054054054054,0.014598540145985401,0.031746031746031744,0.02631578947368421,0.05,0.018621456364647026,0.03726362625139043,0,Home,0,0.005988023952095809,0.012048192771084338,0.005952380952380952,0.012048192771084338,0.03278688524590164,0.06666666666666667,0.01935483870967742,0.038461538461538464,0.03305785123966942,0.06060606060606061
Adam Kennedy,0.021505376344086023,0.04424778761061947,0.044444444444444446,0.07407407407407407,0.029931972789115645,0.05670103092783505,0.03208556149732621,0.06451612903225806,0.0,0.0,0.0,0.0,0.0125,0.025,0.0,0.0,0.0,0.0,0.018867924528301886,0.034482758620689655,0.01020408163265306,0.01818181818181818,0.009345794392523364,0.0196078431372549,0.02531645569620253,0.05714285714285714,0.030303030303030304,0.0625,0.0,0.0,0.010169491525423728,0.01875,0.04523809523809524,0.084070796460177,0.038539553752535496,0.07421875,0.0,0.0,0.0,0.0,0.012195121951219513,0.029411764705882353,0.0,0.0,0.038461538461538464,0.06666666666666667,0.0,0.0,0.011976047904191617,0.023529411764705882,0.025975139305615087,0.051741803278688527,0.007407407407407408,0.013513513513513514,0.014598540145985401,0.031746031746031744,0.0,0.0,0.022790439132851583,0.04560622914349277,0,Home,0,0.03592814371257485,0.07228915662650602,0.03571428571428571,0.07228915662650602,0.01639344262295082,0.03333333333333333,0.012903225806451613,0.02564102564102564,0.012396694214876033,0.022727272727272728
Tim Taranto,0.03655913978494624,0.0752212389380531,0.018518518518518517,0.030864197530864196,0.029931972789115645,0.05670103092783505,0.0106951871657754,0.021505376344086023,0.0,0.0,0.0,0.0,0.04375,0.0875,0.0,0.0,0.0,0.0,0.04716981132075472,0.08620689655172414,0.09183673469387756,0.16363636363636364,0.028037383177570093,0.058823529411764705,0.0379746835443038,0.08571428571428572,0.030303030303030304,0.0625,0.030303030303030304,0.058823529411764705,0.03728813559322034,0.06875,0.02619047619047619,0.048672566371681415,0.016227180527383367,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.06666666666666667,0.1111111111111111,0.2,0.029940119760479042,0.058823529411764705,0.037891127303900554,0.07547814207650273,0.044444444444444446,0.08108108108108109,0.0,0.0,0.02631578947368421,0.05,0.02084491384102279,0.04171301446051168,0,Home,0,0.011976047904191617,0.024096385542168676,0.011904761904761904,0.024096385542168676,0.04918032786885246,0.1,0.03225806451612903,0.0641025641025641,0.05785123966942149,0.10606060606060606
Harry Perryman,0.023655913978494623,0.048672566371681415,0.03333333333333333,0.05555555555555555,0.027210884353741496,0.05154639175257732,0.016042780748663103,0.03225806451612903,0.0,0.0,0.0,0.0,0.03125,0.0625,0.0,0.0,0.0,0.0,0.009433962264150943,0.017241379310344827,0.01020408163265306,0.01818181818181818,0.028037383177570093,0.058823529411764705,0.02531645569620253,0.05714285714285714,0.0,0.0,0.030303030303030304,0.058823529411764705,0.023728813559322035,0.04375,0.03333333333333333,0.061946902654867256,0.02231237322515213,0.04296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.025,0.005988023952095809,0.011764705882352941,0.023317616802400343,0.04644808743169399,0.022222222222222223,0.04054054054054054,0.021897810218978103,0.047619047619047616,0.02631578947368421,0.05,0.023346303501945526,0.04671857619577308,0,Home,0,0.017964071856287425,0.03614457831325301,0.017857142857142856,0.03614457831325301,0.03278688524590164,0.06666666666666667,0.0064516129032258064,0.01282051282051282,0.0371900826446281,0.06818181818181818
Phil Davis,0.02795698924731183,0.05752212389380531,0.022222222222222223,0.037037037037037035,0.02585034013605442,0.04896907216494845,0.053475935828877004,0.10752688172043011,0.0,0.0,0.0,0.0,0.00625,0.0125,0.0,0.0,0.0,0.0,0.009433962264150943,0.017241379310344827,0.0,0.0,0.018691588785046728,0.0392156862745098,0.012658227848101266,0.02857142857142857,0.09090909090909091,0.1875,0.0,0.0,0.023728813559322035,0.04375,0.030952380952380953,0.05752212389380531,0.028397565922920892,0.0546875,0.05,0.1,0.0,0.0,0.0975609756097561,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.023952095808383235,0.047058823529411764,0.009601371624517789,0.01912568306010929,0.014814814814814815,0.02702702702702703,0.08759124087591241,0.19047619047619047,0.0,0.0,0.02529182879377432,0.05061179087875417,0,Home,0,0.05389221556886228,0.10843373493975904,0.05952380952380952,0.12048192771084337,0.00819672131147541,0.016666666666666666,0.025806451612903226,0.05128205128205128,0.02066115702479339,0.03787878787878788
Adam Tomlinson,0.01935483870967742,0.03982300884955752,0.025925925925925925,0.043209876543209874,0.021768707482993196,0.041237113402061855,0.0374331550802139,0.07526881720430108,0.0,0.0,0.0,0.0,0.00625,0.0125,0.009523809523809525,0.020833333333333332,0.0,0.0,0.009433962264150943,0.017241379310344827,0.02040816326530612,0.03636363636363636,0.009345794392523364,0.0196078431372549,0.012658227848101266,0.02857142857142857,0.0,0.0,0.0,0.0,0.020338983050847456,0.0375,0.023809523809523808,0.04424778761061947,0.02028397565922921,0.0390625,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.05,0.005988023952095809,0.011764705882352941,0.018174024860694384,0.036202185792349725,0.037037037037037035,0.06756756756756757,0.029197080291970802,0.06349206349206349,0.0,0.0,0.024458032240133407,0.048943270300333706,0,Home,0,0.03592814371257485,0.07228915662650602,0.041666666666666664,0.08433734939759036,0.00819672131147541,0.016666666666666666,0.0064516129032258064,0.01282051282051282,0.024793388429752067,0.045454545454545456
