Player,Kicks BTP,Kicks OTP,Handballs BTP,Handballs OTP,Disposals BTP,Disposals OTP,Marks BTP,Marks OTP,Goals BTP,Goals OTP,Behinds BTP,Behinds OTP,Tackles BTP,Tackles OTP,Hitouts BTP,Hitouts OTP,Goal Assists BTP,Goal Assists OTP,Inside 50s BTP,Inside 50s OTP,Clearances BTP,Clearances OTP,Clangers BTP,Clangers OTP,Rebound 50s BTP,Rebound 50s OTP,Frees For BTP,Frees For OTP,Frees Agains BTP,Frees Agains OTP,Contested Possessions BTP,Contested Possessions OTP,Uncontested Possessions BTP,Uncontested Possessions OTP,Effective Disposals BTP,Effective Disposals OTP,Contested Marks BTP,Contested Marks OTP,Marks Inside 50 BTP,Marks Inside 50 OTP,One Percenters BTP,One Percenters OTP,Bounces BTP,Bounces OTP,Centre Clearances BTP,Centre Clearances OTP,Stoppage Clearances BTP,Stoppage Clearances OTP,Score Involvements BTP,Score Involvements OTP,Metres Gained BTP,Metres Gained OTP,Turnovers BTP,Turnovers OTP,Intercepts BTP,Intercepts OTP,Tackles Inside 50 BTP,Tackles Inside 50 OTP,Time On Ground % BTP,Time On Ground % OTP,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTP,Uncontested Marks OTP,Marks Outside 50 BTP,Marks Outside 50 OTP,Tackles Outside 50 BTP,Tackles Outside 50 OTP,Behind Assists BTP,Behind Assists OTP,Ineffective Disposals BTP,Ineffective Disposals OTP
Luke Parker,0.036855036855036855,0.078125,0.046357615894039736,0.09210526315789473,0.04090267983074753,0.08430232558139535,0.023391812865497075,0.0547945205479452,0.03571428571428571,0.08333333333333333,0.05555555555555555,0.125,0.023622047244094488,0.04285714285714286,0.0,0.0,0.0,0.0,0.050505050505050504,0.10416666666666667,0.08108108108108109,0.21428571428571427,0.07272727272727272,0.14285714285714285,0.0,0.0,0.02564102564102564,0.0625,0.02631578947368421,0.045454545454545456,0.05102040816326531,0.11363636363636363,0.02877697841726619,0.057692307692307696,0.033663366336633666,0.06967213114754098,0.0,0.0,0.03225806451612903,0.07142857142857142,0.023255813953488372,0.05714285714285714,0.0,0.0,0.1111111111111111,0.25,0.06382978723404255,0.1875,0.03592814371257485,0.07407407407407407,0.029247391952309985,0.0588455772113943,0.043795620437956206,0.09375,0.03597122302158273,0.0684931506849315,0.045454545454545456,0.06666666666666667,0.024430871737923375,0.04886174347584675,0,Home,0,0.02702702702702703,0.0625,0.02142857142857143,0.05084745762711865,0.01904761904761905,0.03636363636363636,0.040268456375838924,0.08108108108108109,0.058823529411764705,0.12
Josh P. Kennedy,0.029484029484029485,0.0625,0.052980132450331126,0.10526315789473684,0.039492242595204514,0.08139534883720931,0.005847953216374269,0.0136986301369863,0.03571428571428571,0.08333333333333333,0.0,0.0,0.05511811023622047,0.1,0.0,0.0,0.05555555555555555,0.14285714285714285,0.06060606060606061,0.125,0.08108108108108109,0.21428571428571427,0.02727272727272727,0.05357142857142857,0.014285714285714285,0.029411764705882353,0.02564102564102564,0.0625,0.02631578947368421,0.045454545454545456,0.04081632653061224,0.09090909090909091,0.03836930455635491,0.07692307692307693,0.03564356435643564,0.07377049180327869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18518518518518517,0.4166666666666667,0.02127659574468085,0.0625,0.041916167664670656,0.08641975308641975,0.0363263785394933,0.07308845577211394,0.0364963503649635,0.078125,0.014388489208633094,0.0273972602739726,0.0,0.0,0.021654636313159357,0.043309272626318715,0,Home,0,0.006756756756756757,0.015625,0.007142857142857143,0.01694915254237288,0.06666666666666667,0.12727272727272726,0.040268456375838924,0.08108108108108109,0.049019607843137254,0.1
George Hewett,0.02457002457002457,0.052083333333333336,0.056291390728476824,0.1118421052631579,0.0380818053596615,0.07848837209302326,0.011695906432748537,0.0273972602739726,0.0,0.0,0.0,0.0,0.015748031496062992,0.02857142857142857,0.0,0.0,0.0,0.0,0.030303030303030304,0.0625,0.0945945945945946,0.25,0.01818181818181818,0.03571428571428571,0.014285714285714285,0.029411764705882353,0.02564102564102564,0.0625,0.0,0.0,0.04421768707482993,0.09848484848484848,0.03597122302158273,0.07211538461538461,0.03762376237623762,0.0778688524590164,0.0,0.0,0.0,0.0,0.011627906976744186,0.02857142857142857,0.0,0.0,0.07407407407407407,0.16666666666666666,0.10638297872340426,0.3125,0.017964071856287425,0.037037037037037035,0.021236959761549927,0.04272863568215892,0.029197080291970802,0.0625,0.02877697841726619,0.0547945205479452,0.0,0.0,0.023320377568017768,0.046640755136035536,0,Home,0,0.013513513513513514,0.03125,0.014285714285714285,0.03389830508474576,0.01904761904761905,0.03636363636363636,0.020134228187919462,0.04054054054054054,0.0392156862745098,0.08
Callum Mills,0.04668304668304668,0.09895833333333333,0.023178807947019868,0.046052631578947366,0.036671368124118475,0.0755813953488372,0.03508771929824561,0.0821917808219178,0.0,0.0,0.0,0.0,0.031496062992125984,0.05714285714285714,0.0,0.0,0.05555555555555555,0.14285714285714285,0.030303030303030304,0.0625,0.0,0.0,0.045454545454545456,0.08928571428571429,0.12857142857142856,0.2647058823529412,0.0,0.0,0.02631578947368421,0.045454545454545456,0.013605442176870748,0.030303030303030304,0.03357314148681055,0.0673076923076923,0.031683168316831684,0.06557377049180328,0.043478260869565216,0.1111111111111111,0.03225806451612903,0.07142857142857142,0.011627906976744186,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.017964071856287425,0.037037037037037035,0.05281296572280179,0.10625937031484257,0.072992700729927,0.15625,0.03597122302158273,0.0684931506849315,0.045454545454545456,0.06666666666666667,0.024430871737923375,0.04886174347584675,0,Home,0,0.033783783783783786,0.078125,0.03571428571428571,0.0847457627118644,0.02857142857142857,0.05454545454545454,0.013422818791946308,0.02702702702702703,0.049019607843137254,0.1
Jake Lloyd,0.036855036855036855,0.078125,0.033112582781456956,0.06578947368421052,0.03526093088857546,0.07267441860465117,0.029239766081871343,0.0684931506849315,0.0,0.0,0.0,0.0,0.015748031496062992,0.02857142857142857,0.0,0.0,0.0,0.0,0.020202020202020204,0.041666666666666664,0.013513513513513514,0.03571428571428571,0.01818181818181818,0.03571428571428571,0.02857142857142857,0.058823529411764705,0.02564102564102564,0.0625,0.0,0.0,0.02040816326530612,0.045454545454545456,0.0407673860911271,0.08173076923076923,0.03762376237623762,0.0778688524590164,0.0,0.0,0.03225806451612903,0.07142857142857142,0.046511627906976744,0.11428571428571428,0.16666666666666666,0.3333333333333333,0.0,0.0,0.02127659574468085,0.0625,0.017964071856287425,0.037037037037037035,0.034370342771982115,0.06915292353823088,0.029197080291970802,0.0625,0.04316546762589928,0.0821917808219178,0.0,0.0,0.024708495280399777,0.049416990560799554,0,Home,0,0.033783783783783786,0.078125,0.02857142857142857,0.06779661016949153,0.01904761904761905,0.03636363636363636,0.020134228187919462,0.04054054054054054,0.029411764705882353,0.06
Dane Rampe,0.03931203931203931,0.08333333333333333,0.029801324503311258,0.05921052631578947,0.03526093088857546,0.07267441860465117,0.04678362573099415,0.1095890410958904,0.0,0.0,0.0,0.0,0.023622047244094488,0.04285714285714286,0.0,0.0,0.0,0.0,0.020202020202020204,0.041666666666666664,0.0,0.0,0.01818181818181818,0.03571428571428571,0.1,0.20588235294117646,0.0,0.0,0.02631578947368421,0.045454545454545456,0.017006802721088437,0.03787878787878788,0.0407673860911271,0.08173076923076923,0.04554455445544554,0.0942622950819672,0.0,0.0,0.0,0.0,0.023255813953488372,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.023952095808383235,0.04938271604938271,0.04852831594634873,0.09763868065967017,0.021897810218978103,0.046875,0.06474820143884892,0.1232876712328767,0.0,0.0,0.0277623542476402,0.0555247084952804,0,Home,0,0.05405405405405406,0.125,0.05714285714285714,0.13559322033898305,0.02857142857142857,0.05454545454545454,0.026845637583892617,0.05405405405405406,0.00980392156862745,0.02
Zak Jones,0.0343980343980344,0.07291666666666667,0.016556291390728478,0.03289473684210526,0.02679830747531735,0.055232558139534885,0.017543859649122806,0.0410958904109589,0.0,0.0,0.0,0.0,0.007874015748031496,0.014285714285714285,0.0,0.0,0.0,0.0,0.04040404040404041,0.08333333333333333,0.0,0.0,0.02727272727272727,0.05357142857142857,0.05714285714285714,0.11764705882352941,0.07692307692307693,0.1875,0.05263157894736842,0.09090909090909091,0.02040816326530612,0.045454545454545456,0.03597122302158273,0.07211538461538461,0.03564356435643564,0.07377049180327869,0.0,0.0,0.0,0.0,0.011627906976744186,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.023952095808383235,0.04938271604938271,0.038375558867362144,0.07721139430284858,0.021897810218978103,0.046875,0.02158273381294964,0.0410958904109589,0.0,0.0,0.024708495280399777,0.049416990560799554,0,Home,0,0.02027027027027027,0.046875,0.02142857142857143,0.05084745762711865,0.009523809523809525,0.01818181818181818,0.026845637583892617,0.05405405405405406,0.004901960784313725,0.01
Colin O'Riordan,0.0171990171990172,0.036458333333333336,0.03642384105960265,0.07236842105263158,0.02538787023977433,0.05232558139534884,0.03508771929824561,0.0821917808219178,0.0,0.0,0.0,0.0,0.015748031496062992,0.02857142857142857,0.0,0.0,0.05555555555555555,0.14285714285714285,0.020202020202020204,0.041666666666666664,0.0,0.0,0.00909090909090909,0.017857142857142856,0.014285714285714285,0.029411764705882353,0.02564102564102564,0.0625,0.02631578947368421,0.045454545454545456,0.017006802721088437,0.03787878787878788,0.03597122302158273,0.07211538461538461,0.0297029702970297,0.06147540983606557,0.043478260869565216,0.1111111111111111,0.0,0.0,0.046511627906976744,0.11428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.023952095808383235,0.04938271604938271,0.025801043219076007,0.051911544227886054,0.021897810218978103,0.046875,0.03597122302158273,0.0684931506849315,0.0,0.0,0.022487506940588563,0.044975013881177126,0,Home,0,0.033783783783783786,0.078125,0.04285714285714286,0.1016949152542373,0.01904761904761905,0.03636363636363636,0.020134228187919462,0.04054054054054054,0.014705882352941176,0.03
Jordan Dawson,0.02457002457002457,0.052083333333333336,0.023178807947019868,0.046052631578947366,0.023977433004231313,0.04941860465116279,0.03508771929824561,0.0821917808219178,0.10714285714285714,0.25,0.0,0.0,0.023622047244094488,0.04285714285714286,0.0,0.0,0.0,0.0,0.020202020202020204,0.041666666666666664,0.0,0.0,0.02727272727272727,0.05357142857142857,0.014285714285714285,0.029411764705882353,0.0,0.0,0.0,0.0,0.02040816326530612,0.045454545454545456,0.026378896882494004,0.052884615384615384,0.0297029702970297,0.06147540983606557,0.08695652173913043,0.2222222222222222,0.03225806451612903,0.07142857142857142,0.011627906976744186,0.02857142857142857,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.03592814371257485,0.07407407407407407,0.025614754098360656,0.05153673163418291,0.0072992700729927005,0.015625,0.007194244604316547,0.0136986301369863,0.045454545454545456,0.06666666666666667,0.02387562465297057,0.04775124930594114,0,Home,0,0.02702702702702703,0.0625,0.03571428571428571,0.0847457627118644,0.01904761904761905,0.03636363636363636,0.040268456375838924,0.08108108108108109,0.00980392156862745,0.02
Isaac Heeney,0.0343980343980344,0.07291666666666667,0.0033112582781456954,0.006578947368421052,0.021156558533145273,0.0436046511627907,0.03508771929824561,0.0821917808219178,0.10714285714285714,0.25,0.05555555555555555,0.125,0.047244094488188976,0.08571428571428572,0.0,0.0,0.0,0.0,0.020202020202020204,0.041666666666666664,0.0,0.0,0.03636363636363636,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.022727272727272728,0.02877697841726619,0.057692307692307696,0.019801980198019802,0.040983606557377046,0.0,0.0,0.06451612903225806,0.14285714285714285,0.011627906976744186,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.04790419161676647,0.09876543209876543,0.03455663189269747,0.06952773613193404,0.021897810218978103,0.046875,0.014388489208633094,0.0273972602739726,0.22727272727272727,0.3333333333333333,0.023042754025541366,0.04608550805108273,0,Home,0,0.04054054054054054,0.09375,0.02857142857142857,0.06779661016949153,0.009523809523809525,0.01818181818181818,0.053691275167785234,0.10810810810810811,0.024509803921568627,0.05
