Player,Kicks BTP,Kicks OTP,Handballs BTP,Handballs OTP,Disposals BTP,Disposals OTP,Marks BTP,Marks OTP,Goals BTP,Goals OTP,Behinds BTP,Behinds OTP,Tackles BTP,Tackles OTP,Hitouts BTP,Hitouts OTP,Goal Assists BTP,Goal Assists OTP,Inside 50s BTP,Inside 50s OTP,Clearances BTP,Clearances OTP,Clangers BTP,Clangers OTP,Rebound 50s BTP,Rebound 50s OTP,Frees For BTP,Frees For OTP,Frees Agains BTP,Frees Agains OTP,Contested Possessions BTP,Contested Possessions OTP,Uncontested Possessions BTP,Uncontested Possessions OTP,Effective Disposals BTP,Effective Disposals OTP,Contested Marks BTP,Contested Marks OTP,Marks Inside 50 BTP,Marks Inside 50 OTP,One Percenters BTP,One Percenters OTP,Bounces BTP,Bounces OTP,Centre Clearances BTP,Centre Clearances OTP,Stoppage Clearances BTP,Stoppage Clearances OTP,Score Involvements BTP,Score Involvements OTP,Metres Gained BTP,Metres Gained OTP,Turnovers BTP,Turnovers OTP,Intercepts BTP,Intercepts OTP,Tackles Inside 50 BTP,Tackles Inside 50 OTP,Time On Ground % BTP,Time On Ground % OTP,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTP,Uncontested Marks OTP,Marks Outside 50 BTP,Marks Outside 50 OTP,Tackles Outside 50 BTP,Tackles Outside 50 OTP,Behind Assists BTP,Behind Assists OTP,Ineffective Disposals BTP,Ineffective Disposals OTP
Tom Phillips,0.04337899543378995,0.0867579908675799,0.028089887640449437,0.05649717514124294,0.036523929471032744,0.07323232323232323,0.03755868544600939,0.08080808080808081,0.1,0.18181818181818182,0.05,0.08333333333333333,0.040983606557377046,0.078125,0.0,0.0,0.0,0.0,0.038461538461538464,0.07692307692307693,0.03389830508474576,0.06060606060606061,0.029411764705882353,0.05357142857142857,0.060240963855421686,0.11627906976744186,0.025,0.05263157894736842,0.025,0.047619047619047616,0.02877697841726619,0.0547945205479452,0.04247104247104247,0.08835341365461848,0.03231017770597738,0.06802721088435375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.08695652173913043,0.017964071856287425,0.03529411764705882,0.0484903934126258,0.09558160504959423,0.05442176870748299,0.1095890410958904,0.02040816326530612,0.04054054054054054,0.041666666666666664,0.08333333333333333,0.02585487906588824,0.05172413793103448,1,Home,0,0.042105263157894736,0.09411764705882353,0.042105263157894736,0.09302325581395349,0.04081632653061224,0.07692307692307693,0.01948051948051948,0.038461538461538464,0.05142857142857143,0.08823529411764706
Taylor Adams,0.0410958904109589,0.0821917808219178,0.028089887640449437,0.05649717514124294,0.03526448362720403,0.0707070707070707,0.018779342723004695,0.04040404040404041,0.0,0.0,0.05,0.08333333333333333,0.06557377049180328,0.125,0.0,0.0,0.0,0.0,0.04807692307692308,0.09615384615384616,0.1016949152542373,0.18181818181818182,0.058823529411764705,0.10714285714285714,0.03614457831325301,0.06976744186046512,0.0,0.0,0.025,0.047619047619047616,0.039568345323741004,0.07534246575342465,0.032818532818532815,0.06827309236947791,0.0210016155088853,0.04421768707482993,0.0,0.0,0.0,0.0,0.05714285714285714,0.11764705882352941,0.1111111111111111,0.2,0.11764705882352941,0.2,0.09523809523809523,0.17391304347826086,0.017964071856287425,0.03529411764705882,0.03778591033851784,0.0744815148782687,0.06802721088435375,0.136986301369863,0.02040816326530612,0.04054054054054054,0.0,0.0,0.02279677509035307,0.04560622914349277,1,Home,0,0.021052631578947368,0.047058823529411764,0.021052631578947368,0.046511627906976744,0.08163265306122448,0.15384615384615385,0.01948051948051948,0.038461538461538464,0.08571428571428572,0.14705882352941177
Scott Pendlebury,0.02511415525114155,0.0502283105022831,0.0449438202247191,0.0903954802259887,0.03400503778337532,0.06818181818181818,0.009389671361502348,0.020202020202020204,0.0,0.0,0.0,0.0,0.02459016393442623,0.046875,0.0,0.0,0.0,0.0,0.019230769230769232,0.038461538461538464,0.0847457627118644,0.15151515151515152,0.0392156862745098,0.07142857142857142,0.012048192771084338,0.023255813953488372,0.025,0.05263157894736842,0.025,0.047619047619047616,0.03237410071942446,0.06164383561643835,0.03088803088803089,0.0642570281124498,0.030694668820678513,0.06462585034013606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.3,0.047619047619047616,0.08695652173913043,0.03592814371257485,0.07058823529411765,0.018664226898444648,0.03678990081154193,0.013605442176870748,0.0273972602739726,0.034013605442176874,0.06756756756756757,0.0,0.0,0.021406727828746176,0.04282536151279199,1,Home,0,0.010526315789473684,0.023529411764705882,0.010526315789473684,0.023255813953488372,0.030612244897959183,0.057692307692307696,0.03896103896103896,0.07692307692307693,0.045714285714285714,0.0784313725490196
Adam Treloar,0.02054794520547945,0.0410958904109589,0.047752808988764044,0.096045197740113,0.0327455919395466,0.06565656565656566,0.009389671361502348,0.020202020202020204,0.0,0.0,0.0,0.0,0.040983606557377046,0.078125,0.0,0.0,0.07692307692307693,0.14285714285714285,0.019230769230769232,0.038461538461538464,0.05084745762711865,0.09090909090909091,0.029411764705882353,0.05357142857142857,0.012048192771084338,0.023255813953488372,0.025,0.05263157894736842,0.05,0.09523809523809523,0.01079136690647482,0.02054794520547945,0.04054054054054054,0.08433734939759036,0.03877221324717286,0.08163265306122448,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.2,0.11764705882352941,0.2,0.023809523809523808,0.043478260869565216,0.04790419161676647,0.09411764705882353,0.019945105215004574,0.039314697926059516,0.02040816326530612,0.0410958904109589,0.006802721088435374,0.013513513513513514,0.0,0.0,0.022518765638031693,0.04505005561735261,1,Home,0,0.010526315789473684,0.023529411764705882,0.010526315789473684,0.023255813953488372,0.05102040816326531,0.09615384615384616,0.045454545454545456,0.08974358974358974,0.011428571428571429,0.0196078431372549
Steele Sidebottom,0.03881278538812785,0.0776255707762557,0.02247191011235955,0.04519774011299435,0.031486146095717885,0.06313131313131314,0.03286384976525822,0.0707070707070707,0.0,0.0,0.0,0.0,0.01639344262295082,0.03125,0.0,0.0,0.07692307692307693,0.14285714285714285,0.04807692307692308,0.09615384615384616,0.03389830508474576,0.06060606060606061,0.0196078431372549,0.03571428571428571,0.03614457831325301,0.06976744186046512,0.0,0.0,0.05,0.09523809523809523,0.03597122302158273,0.0684931506849315,0.03667953667953668,0.07630522088353414,0.03231017770597738,0.06802721088435375,0.0,0.0,0.0,0.0,0.02857142857142857,0.058823529411764705,0.0,0.0,0.0,0.0,0.047619047619047616,0.08695652173913043,0.029940119760479042,0.058823529411764705,0.044281793229643186,0.08728584310189359,0.013605442176870748,0.0273972602739726,0.027210884353741496,0.05405405405405406,0.041666666666666664,0.08333333333333333,0.02585487906588824,0.05172413793103448,1,Home,0,0.03684210526315789,0.08235294117647059,0.03684210526315789,0.08139534883720931,0.01020408163265306,0.019230769230769232,0.025974025974025976,0.05128205128205128,0.02857142857142857,0.049019607843137254
Brodie Grundy,0.02054794520547945,0.0410958904109589,0.03932584269662921,0.07909604519774012,0.028967254408060455,0.05808080808080808,0.018779342723004695,0.04040404040404041,0.0,0.0,0.05,0.08333333333333333,0.06557377049180328,0.125,0.8787878787878788,0.9666666666666667,0.0,0.0,0.0,0.0,0.1016949152542373,0.18181818181818182,0.0392156862745098,0.07142857142857142,0.012048192771084338,0.023255813953488372,0.1,0.21052631578947367,0.075,0.14285714285714285,0.06474820143884892,0.1232876712328767,0.015444015444015444,0.0321285140562249,0.027463651050080775,0.05782312925170068,0.08695652173913043,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.1,0.11904761904761904,0.21739130434782608,0.04790419161676647,0.09411764705882353,0.013449222323879231,0.026510369702434627,0.013605442176870748,0.0273972602739726,0.027210884353741496,0.05405405405405406,0.041666666666666664,0.08333333333333333,0.02585487906588824,0.05172413793103448,1,Home,3,0.010526315789473684,0.023529411764705882,0.021052631578947368,0.046511627906976744,0.07142857142857142,0.1346153846153846,0.05194805194805195,0.10256410256410256,0.03428571428571429,0.058823529411764705
Travis Varcoe,0.02511415525114155,0.0502283105022831,0.025280898876404494,0.05084745762711865,0.02518891687657431,0.050505050505050504,0.028169014084507043,0.06060606060606061,0.05,0.09090909090909091,0.0,0.0,0.03278688524590164,0.0625,0.0,0.0,0.07692307692307693,0.14285714285714285,0.057692307692307696,0.11538461538461539,0.0,0.0,0.029411764705882353,0.05357142857142857,0.0,0.0,0.025,0.05263157894736842,0.025,0.047619047619047616,0.02158273381294964,0.0410958904109589,0.02702702702702703,0.05622489959839357,0.024232633279483037,0.05102040816326531,0.0,0.0,0.043478260869565216,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04790419161676647,0.09411764705882353,0.027630375114364135,0.05446348061316501,0.02040816326530612,0.0410958904109589,0.006802721088435374,0.013513513513513514,0.041666666666666664,0.08333333333333333,0.02418682235195997,0.04838709677419355,1,Home,0,0.031578947368421054,0.07058823529411765,0.02631578947368421,0.05813953488372093,0.030612244897959183,0.057692307692307696,0.045454545454545456,0.08974358974358974,0.02857142857142857,0.049019607843137254
Tom Langdon,0.00684931506849315,0.0136986301369863,0.047752808988764044,0.096045197740113,0.02518891687657431,0.050505050505050504,0.018779342723004695,0.04040404040404041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024096385542168676,0.046511627906976744,0.0,0.0,0.0,0.0,0.03237410071942446,0.06164383561643835,0.021235521235521235,0.04417670682730924,0.029079159935379646,0.061224489795918366,0.043478260869565216,0.07142857142857142,0.0,0.0,0.01904761904761905,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.005988023952095809,0.011764705882352941,0.0002744739249771272,0.0005410279531109107,0.013605442176870748,0.0273972602739726,0.06802721088435375,0.13513513513513514,0.0,0.0,0.02279677509035307,0.04560622914349277,1,Home,0,0.015789473684210527,0.03529411764705882,0.021052631578947368,0.046511627906976744,0.0,0.0,0.006493506493506494,0.01282051282051282,0.011428571428571429,0.0196078431372549
Darcy Moore,0.0228310502283105,0.045662100456621,0.028089887640449437,0.05649717514124294,0.02518891687657431,0.050505050505050504,0.023474178403755867,0.050505050505050504,0.0,0.0,0.0,0.0,0.00819672131147541,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,0.07142857142857142,0.0963855421686747,0.18604651162790697,0.0,0.0,0.0,0.0,0.02158273381294964,0.0410958904109589,0.017374517374517374,0.03614457831325301,0.024232633279483037,0.05102040816326531,0.043478260869565216,0.07142857142857142,0.0,0.0,0.047619047619047616,0.09803921568627451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0202195791399817,0.039855725879170426,0.05442176870748299,0.1095890410958904,0.061224489795918366,0.12162162162162163,0.0,0.0,0.024742841256602723,0.04949944382647386,1,Home,0,0.021052631578947368,0.047058823529411764,0.02631578947368421,0.05813953488372093,0.01020408163265306,0.019230769230769232,0.0,0.0,0.02857142857142857,0.049019607843137254
Jordan De Goey,0.0319634703196347,0.0639269406392694,0.014044943820224719,0.02824858757062147,0.02392947103274559,0.047979797979797977,0.03286384976525822,0.0707070707070707,0.05,0.09090909090909091,0.15,0.25,0.03278688524590164,0.0625,0.0,0.0,0.0,0.0,0.038461538461538464,0.07692307692307693,0.05084745762711865,0.09090909090909091,0.029411764705882353,0.05357142857142857,0.0,0.0,0.1,0.21052631578947367,0.025,0.047619047619047616,0.02877697841726619,0.0547945205479452,0.017374517374517374,0.03614457831325301,0.01938610662358643,0.04081632653061224,0.0,0.0,0.13043478260869565,0.23076923076923078,0.0,0.0,0.0,0.0,0.058823529411764705,0.1,0.047619047619047616,0.08695652173913043,0.05389221556886228,0.10588235294117647,0.03000914913083257,0.05915238954012624,0.027210884353741496,0.0547945205479452,0.013605442176870748,0.02702702702702703,0.08333333333333333,0.16666666666666666,0.024464831804281346,0.048943270300333706,1,Home,1,0.03684210526315789,0.08235294117647059,0.021052631578947368,0.046511627906976744,0.02040816326530612,0.038461538461538464,0.05844155844155844,0.11538461538461539,0.04,0.06862745098039216
