Player,Kicks BTP,Kicks OTP,Handballs BTP,Handballs OTP,Disposals BTP,Disposals OTP,Marks BTP,Marks OTP,Goals BTP,Goals OTP,Behinds BTP,Behinds OTP,Tackles BTP,Tackles OTP,Hitouts BTP,Hitouts OTP,Goal Assists BTP,Goal Assists OTP,Inside 50s BTP,Inside 50s OTP,Clearances BTP,Clearances OTP,Clangers BTP,Clangers OTP,Rebound 50s BTP,Rebound 50s OTP,Frees For BTP,Frees For OTP,Frees Agains BTP,Frees Agains OTP,Contested Possessions BTP,Contested Possessions OTP,Uncontested Possessions BTP,Uncontested Possessions OTP,Effective Disposals BTP,Effective Disposals OTP,Contested Marks BTP,Contested Marks OTP,Marks Inside 50 BTP,Marks Inside 50 OTP,One Percenters BTP,One Percenters OTP,Bounces BTP,Bounces OTP,Centre Clearances BTP,Centre Clearances OTP,Stoppage Clearances BTP,Stoppage Clearances OTP,Score Involvements BTP,Score Involvements OTP,Metres Gained BTP,Metres Gained OTP,Turnovers BTP,Turnovers OTP,Intercepts BTP,Intercepts OTP,Tackles Inside 50 BTP,Tackles Inside 50 OTP,Time On Ground % BTP,Time On Ground % OTP,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTP,Uncontested Marks OTP,Marks Outside 50 BTP,Marks Outside 50 OTP,Tackles Outside 50 BTP,Tackles Outside 50 OTP,Behind Assists BTP,Behind Assists OTP,Ineffective Disposals BTP,Ineffective Disposals OTP
Nathan Fyfe,0.03579952267303103,0.08287292817679558,0.054878048780487805,0.10975609756097561,0.04417670682730924,0.09565217391304348,0.022598870056497175,0.06666666666666667,0.10344827586206896,0.25,0.0,0.0,0.00847457627118644,0.019230769230769232,0.0,0.0,0.0625,0.16666666666666666,0.08490566037735849,0.16363636363636364,0.09333333333333334,0.16666666666666666,0.03260869565217391,0.058823529411764705,0.0,0.0,0.06451612903225806,0.125,0.06451612903225806,0.13333333333333333,0.06885245901639345,0.13043478260869565,0.02517162471395881,0.059782608695652176,0.047080979284369114,0.10683760683760683,0.05714285714285714,0.10526315789473684,0.041666666666666664,0.08333333333333333,0.011235955056179775,0.024390243902439025,0.0,0.0,0.10344827586206896,0.2,0.08695652173913043,0.14814814814814814,0.04568527918781726,0.10588235294117647,0.05183917878528657,0.10684062059238364,0.02857142857142857,0.056338028169014086,0.06428571428571428,0.13043478260869565,0.0,0.0,0.023333333333333334,0.04671857619577308,0,Home,3,0.014084507042253521,0.04878048780487805,0.0196078431372549,0.0625,0.010101010101010102,0.02040816326530612,0.04419889502762431,0.10126582278481013,0.037037037037037035,0.07207207207207207
David Mundy,0.031026252983293555,0.0718232044198895,0.042682926829268296,0.08536585365853659,0.03614457831325301,0.0782608695652174,0.0,0.0,0.034482758620689655,0.08333333333333333,0.0,0.0,0.0423728813559322,0.09615384615384616,0.0,0.0,0.0,0.0,0.05660377358490566,0.10909090909090909,0.12,0.21428571428571427,0.03260869565217391,0.058823529411764705,0.04,0.09375,0.03225806451612903,0.0625,0.03225806451612903,0.06666666666666667,0.05901639344262295,0.11180124223602485,0.02288329519450801,0.05434782608695652,0.03766478342749529,0.08547008547008547,0.0,0.0,0.0,0.0,0.02247191011235955,0.04878048780487805,0.0,0.0,0.10344827586206896,0.2,0.13043478260869565,0.2222222222222222,0.02030456852791878,0.047058823529411764,0.025064157399486742,0.05165726375176305,0.04285714285714286,0.08450704225352113,0.03571428571428571,0.07246376811594203,0.0,0.0,0.01972222222222222,0.039488320355951054,0,Home,0,0.0,0.0,0.0,0.0,0.050505050505050504,0.10204081632653061,0.022099447513812154,0.05063291139240506,0.032407407407407406,0.06306306306306306
Michael Walters,0.028639618138424822,0.06629834254143646,0.04573170731707317,0.09146341463414634,0.03614457831325301,0.0782608695652174,0.022598870056497175,0.06666666666666667,0.0,0.0,0.05,0.07692307692307693,0.0423728813559322,0.09615384615384616,0.0,0.0,0.0,0.0,0.07547169811320754,0.14545454545454545,0.05333333333333334,0.09523809523809523,0.05434782608695652,0.09803921568627451,0.0,0.0,0.06451612903225806,0.125,0.06451612903225806,0.13333333333333333,0.03278688524590164,0.062111801242236024,0.043478260869565216,0.10326086956521739,0.030131826741996232,0.06837606837606838,0.02857142857142857,0.05263157894736842,0.0,0.0,0.011235955056179775,0.024390243902439025,0.07692307692307693,0.3333333333333333,0.0,0.0,0.08695652173913043,0.14814814814814814,0.030456852791878174,0.07058823529411765,0.03934987168520103,0.08110014104372355,0.07142857142857142,0.14084507042253522,0.0,0.0,0.0,0.0,0.02388888888888889,0.047830923248053395,0,Home,0,0.02112676056338028,0.07317073170731707,0.026143790849673203,0.08333333333333333,0.050505050505050504,0.10204081632653061,0.03314917127071823,0.0759493670886076,0.05092592592592592,0.0990990990990991
Darcy Tucker,0.014319809069212411,0.03314917127071823,0.04878048780487805,0.0975609756097561,0.029451137884872823,0.06376811594202898,0.011299435028248588,0.03333333333333333,0.0,0.0,0.0,0.0,0.01694915254237288,0.038461538461538464,0.0,0.0,0.0625,0.16666666666666666,0.018867924528301886,0.03636363636363636,0.04,0.07142857142857142,0.021739130434782608,0.0392156862745098,0.02666666666666667,0.0625,0.0,0.0,0.0,0.0,0.029508196721311476,0.055900621118012424,0.029748283752860413,0.07065217391304347,0.032015065913371,0.07264957264957266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.13333333333333333,0.021739130434782608,0.037037037037037035,0.025380710659898477,0.058823529411764705,0.021214713430282292,0.04372355430183357,0.02142857142857143,0.04225352112676056,0.014285714285714285,0.028985507246376812,0.0,0.0,0.021388888888888888,0.04282536151279199,0,Home,0,0.014084507042253521,0.04878048780487805,0.013071895424836602,0.041666666666666664,0.020202020202020204,0.04081632653061224,0.022099447513812154,0.05063291139240506,0.023148148148148147,0.04504504504504504
Reece Conca,0.028639618138424822,0.06629834254143646,0.027439024390243903,0.054878048780487805,0.028112449799196786,0.06086956521739131,0.011299435028248588,0.03333333333333333,0.0,0.0,0.05,0.07692307692307693,0.025423728813559324,0.057692307692307696,0.0,0.0,0.125,0.3333333333333333,0.02830188679245283,0.05454545454545454,0.04,0.07142857142857142,0.03260869565217391,0.058823529411764705,0.05333333333333334,0.125,0.03225806451612903,0.0625,0.03225806451612903,0.06666666666666667,0.01639344262295082,0.031055900621118012,0.029748283752860413,0.07065217391304347,0.026365348399246705,0.05982905982905983,0.0,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0,0.07692307692307693,0.3333333333333333,0.06896551724137931,0.13333333333333333,0.021739130434782608,0.037037037037037035,0.030456852791878174,0.07058823529411765,0.030025662959794697,0.06188293370944993,0.02142857142857143,0.04225352112676056,0.007142857142857143,0.014492753623188406,0.0,0.0,0.020555555555555556,0.041156840934371525,0,Home,0,0.014084507042253521,0.04878048780487805,0.006535947712418301,0.020833333333333332,0.030303030303030304,0.061224489795918366,0.022099447513812154,0.05063291139240506,0.032407407407407406,0.06306306306306306
Luke Ryan,0.03818615751789976,0.08839779005524862,0.01524390243902439,0.03048780487804878,0.028112449799196786,0.06086956521739131,0.005649717514124294,0.016666666666666666,0.0,0.0,0.0,0.0,0.025423728813559324,0.057692307692307696,0.0,0.0,0.0,0.0,0.02830188679245283,0.05454545454545454,0.02666666666666667,0.047619047619047616,0.05434782608695652,0.09803921568627451,0.08,0.1875,0.06451612903225806,0.125,0.06451612903225806,0.13333333333333333,0.03278688524590164,0.062111801242236024,0.018306636155606407,0.043478260869565216,0.02448210922787194,0.05555555555555555,0.02857142857142857,0.05263157894736842,0.0,0.0,0.011235955056179775,0.024390243902439025,0.0,0.0,0.0,0.0,0.043478260869565216,0.07407407407407407,0.02030456852791878,0.047058823529411764,0.044225834046193326,0.09114950634696756,0.06428571428571428,0.1267605633802817,0.06428571428571428,0.13043478260869565,0.0,0.0,0.025555555555555557,0.05116796440489433,0,Home,0,0.0,0.0,0.006535947712418301,0.020833333333333332,0.030303030303030304,0.061224489795918366,0.022099447513812154,0.05063291139240506,0.037037037037037035,0.07207207207207207
Rory Lobb,0.026252983293556086,0.06077348066298342,0.024390243902439025,0.04878048780487805,0.025435073627844713,0.05507246376811594,0.03389830508474576,0.1,0.034482758620689655,0.08333333333333333,0.1,0.15384615384615385,0.01694915254237288,0.038461538461538464,0.6338028169014085,0.9375,0.0,0.0,0.018867924528301886,0.03636363636363636,0.06666666666666667,0.11904761904761904,0.043478260869565216,0.0784313725490196,0.0,0.0,0.0,0.0,0.03225806451612903,0.06666666666666667,0.036065573770491806,0.06832298136645963,0.018306636155606407,0.043478260869565216,0.01694915254237288,0.038461538461538464,0.11428571428571428,0.21052631578947367,0.125,0.25,0.056179775280898875,0.12195121951219512,0.0,0.0,0.13793103448275862,0.26666666666666666,0.021739130434782608,0.037037037037037035,0.025380710659898477,0.058823529411764705,0.023781009409751926,0.04901269393511989,0.02857142857142857,0.056338028169014086,0.02142857142857143,0.043478260869565216,0.0,0.0,0.025833333333333333,0.05172413793103448,0,Home,0,0.014084507042253521,0.04878048780487805,0.0196078431372549,0.0625,0.020202020202020204,0.04081632653061224,0.027624309392265192,0.06329113924050633,0.046296296296296294,0.09009009009009009
Matthew Taberner,0.01909307875894988,0.04419889502762431,0.03048780487804878,0.06097560975609756,0.024096385542168676,0.05217391304347826,0.04519774011299435,0.13333333333333333,0.034482758620689655,0.08333333333333333,0.05,0.07692307692307693,0.00847457627118644,0.019230769230769232,0.04225352112676056,0.0625,0.0,0.0,0.009433962264150943,0.01818181818181818,0.013333333333333334,0.023809523809523808,0.03260869565217391,0.058823529411764705,0.0,0.0,0.0,0.0,0.03225806451612903,0.06666666666666667,0.02622950819672131,0.049689440993788817,0.02288329519450801,0.05434782608695652,0.02448210922787194,0.05555555555555555,0.08571428571428572,0.15789473684210525,0.041666666666666664,0.08333333333333333,0.011235955056179775,0.024390243902439025,0.0,0.0,0.0,0.0,0.021739130434782608,0.037037037037037035,0.030456852791878174,0.07058823529411765,0.01727972626176219,0.03561354019746121,0.014285714285714285,0.028169014084507043,0.007142857142857143,0.014492753623188406,0.0,0.0,0.025277777777777777,0.05061179087875417,0,Home,0,0.035211267605633804,0.12195121951219512,0.0457516339869281,0.14583333333333334,0.010101010101010102,0.02040816326530612,0.03314917127071823,0.0759493670886076,0.023148148148148147,0.04504504504504504
Ed Langdon,0.02386634844868735,0.055248618784530384,0.018292682926829267,0.036585365853658534,0.0214190093708166,0.0463768115942029,0.01694915254237288,0.05,0.0,0.0,0.05,0.07692307692307693,0.00847457627118644,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.0625,0.03225806451612903,0.0625,0.0,0.0,0.01639344262295082,0.031055900621118012,0.02517162471395881,0.059782608695652176,0.02071563088512241,0.04700854700854701,0.0,0.0,0.041666666666666664,0.08333333333333333,0.011235955056179775,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.01015228426395939,0.023529411764705882,0.029426860564585114,0.06064880112834979,0.014285714285714285,0.028169014084507043,0.03571428571428571,0.07246376811594203,0.0,0.0,0.021944444444444444,0.0439377085650723,0,Home,0,0.02112676056338028,0.07317073170731707,0.013071895424836602,0.041666666666666664,0.010101010101010102,0.02040816326530612,0.011049723756906077,0.02531645569620253,0.023148148148148147,0.04504504504504504
Bradley Hill,0.026252983293556086,0.06077348066298342,0.012195121951219513,0.024390243902439025,0.020080321285140562,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.03389830508474576,0.07692307692307693,0.0,0.0,0.0,0.0,0.03773584905660377,0.07272727272727272,0.013333333333333334,0.023809523809523808,0.010869565217391304,0.0196078431372549,0.013333333333333334,0.03125,0.0,0.0,0.03225806451612903,0.06666666666666667,0.022950819672131147,0.043478260869565216,0.020594965675057208,0.04891304347826087,0.01694915254237288,0.038461538461538464,0.0,0.0,0.0,0.0,0.011235955056179775,0.024390243902439025,0.07692307692307693,0.3333333333333333,0.0,0.0,0.021739130434782608,0.037037037037037035,0.02030456852791878,0.047058823529411764,0.017964071856287425,0.03702397743300423,0.014285714285714285,0.028169014084507043,0.007142857142857143,0.014492753623188406,0.0,0.0,0.0225,0.04505005561735261,0,Home,0,0.0,0.0,0.0,0.0,0.04040404040404041,0.08163265306122448,0.022099447513812154,0.05063291139240506,0.027777777777777776,0.05405405405405406
