Player,Kicks BTP,Kicks OTP,Handballs BTP,Handballs OTP,Disposals BTP,Disposals OTP,Marks BTP,Marks OTP,Goals BTP,Goals OTP,Behinds BTP,Behinds OTP,Tackles BTP,Tackles OTP,Hitouts BTP,Hitouts OTP,Goal Assists BTP,Goal Assists OTP,Inside 50s BTP,Inside 50s OTP,Clearances BTP,Clearances OTP,Clangers BTP,Clangers OTP,Rebound 50s BTP,Rebound 50s OTP,Frees For BTP,Frees For OTP,Frees Agains BTP,Frees Agains OTP,Contested Possessions BTP,Contested Possessions OTP,Uncontested Possessions BTP,Uncontested Possessions OTP,Effective Disposals BTP,Effective Disposals OTP,Contested Marks BTP,Contested Marks OTP,Marks Inside 50 BTP,Marks Inside 50 OTP,One Percenters BTP,One Percenters OTP,Bounces BTP,Bounces OTP,Centre Clearances BTP,Centre Clearances OTP,Stoppage Clearances BTP,Stoppage Clearances OTP,Score Involvements BTP,Score Involvements OTP,Metres Gained BTP,Metres Gained OTP,Turnovers BTP,Turnovers OTP,Intercepts BTP,Intercepts OTP,Tackles Inside 50 BTP,Tackles Inside 50 OTP,Time On Ground % BTP,Time On Ground % OTP,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTP,Uncontested Marks OTP,Marks Outside 50 BTP,Marks Outside 50 OTP,Tackles Outside 50 BTP,Tackles Outside 50 OTP,Behind Assists BTP,Behind Assists OTP,Ineffective Disposals BTP,Ineffective Disposals OTP
Bailey Smith,0.07784431137724551,0.12935323383084577,0.037800687285223365,0.06395348837209303,0.0592,0.09919571045576407,0.03125,0.05128205128205128,0.0,0.0,0.0,0.0,0.031914893617021274,0.05555555555555555,0.0,0.0,0.11764705882352941,0.18181818181818182,0.10752688172043011,0.16393442622950818,0.09523809523809523,0.13636363636363635,0.0379746835443038,0.075,0.014925373134328358,0.041666666666666664,0.02857142857142857,0.05555555555555555,0.0,0.0,0.05485232067510549,0.09420289855072464,0.06544502617801047,0.1059322033898305,0.05,0.08214285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.16666666666666666,0.12,0.15789473684210525,0.07894736842105263,0.12,0.0670391061452514,0.10344827586206896,0.0800669686822927,0.14448196196907767,0.08247422680412371,0.16326530612244897,0.020618556701030927,0.041666666666666664,0.0,0.0,0.021950541817171435,0.04386451971127152,0.5,Home,0,0.035398230088495575,0.058823529411764705,0.037037037037037035,0.06557377049180328,0.03896103896103896,0.07317073170731707,0.06172839506172839,0.09523809523809523,0.08484848484848485,0.15053763440860216
Marcus Bontempelli,0.05389221556886228,0.08955223880597014,0.05154639175257732,0.0872093023255814,0.0528,0.08847184986595175,0.046875,0.07692307692307693,0.08333333333333333,0.125,0.0,0.0,0.09574468085106383,0.16666666666666666,0.0,0.0,0.058823529411764705,0.09090909090909091,0.06451612903225806,0.09836065573770492,0.19047619047619047,0.2727272727272727,0.05063291139240506,0.1,0.029850746268656716,0.08333333333333333,0.02857142857142857,0.05555555555555555,0.05714285714285714,0.11764705882352941,0.046413502109704644,0.07971014492753623,0.060209424083769635,0.09745762711864407,0.058695652173913045,0.09642857142857143,0.0,0.0,0.1,0.11764705882352941,0.08823529411764706,0.16666666666666666,0.0,0.0,0.28,0.3684210526315789,0.13157894736842105,0.2,0.061452513966480445,0.09482758620689655,0.054461296040969075,0.09827616847343167,0.020618556701030927,0.04081632653061224,0.0,0.0,0.058823529411764705,0.07692307692307693,0.02361767157543762,0.04719600222098834,0.5,Home,2,0.05309734513274336,0.08823529411764706,0.037037037037037035,0.06557377049180328,0.1038961038961039,0.1951219512195122,0.06172839506172839,0.09523809523809523,0.03636363636363636,0.06451612903225806
Lachlan Hunter,0.03293413173652695,0.05472636815920398,0.061855670103092786,0.10465116279069768,0.0464,0.0777479892761394,0.046875,0.07692307692307693,0.041666666666666664,0.0625,0.05,0.07142857142857142,0.010638297872340425,0.018518518518518517,0.0,0.0,0.0,0.0,0.043010752688172046,0.06557377049180328,0.06349206349206349,0.09090909090909091,0.02531645569620253,0.05,0.0,0.0,0.02857142857142857,0.05555555555555555,0.0,0.0,0.04219409282700422,0.07246376811594203,0.049738219895287955,0.08050847457627118,0.05434782608695652,0.08928571428571429,0.06666666666666667,0.1,0.0,0.0,0.0,0.0,0.1,0.1111111111111111,0.0,0.0,0.10526315789473684,0.16,0.05027932960893855,0.07758620689655173,0.037423675398857596,0.06753154433979029,0.030927835051546393,0.061224489795918366,0.020618556701030927,0.041666666666666664,0.0,0.0,0.02333981661572659,0.046640755136035536,0.5,Home,0,0.04424778761061947,0.07352941176470588,0.05555555555555555,0.09836065573770492,0.012987012987012988,0.024390243902439025,0.05555555555555555,0.08571428571428572,0.024242424242424242,0.043010752688172046
Jackson Macrae,0.041916167664670656,0.06965174129353234,0.044673539518900345,0.0755813953488372,0.0432,0.07238605898123325,0.0078125,0.01282051282051282,0.0,0.0,0.05,0.07142857142857142,0.0,0.0,0.015384615384615385,0.05,0.058823529411764705,0.09090909090909091,0.10752688172043011,0.16393442622950818,0.1111111111111111,0.1590909090909091,0.012658227848101266,0.025,0.014925373134328358,0.041666666666666664,0.08571428571428572,0.16666666666666666,0.0,0.0,0.046413502109704644,0.07971014492753623,0.04450261780104712,0.07203389830508475,0.043478260869565216,0.07142857142857142,0.0,0.0,0.0,0.0,0.029411764705882353,0.05555555555555555,0.0,0.0,0.2,0.2631578947368421,0.05263157894736842,0.08,0.0670391061452514,0.10344827586206896,0.04254480992712232,0.07677270303891949,0.010309278350515464,0.02040816326530612,0.020618556701030927,0.041666666666666664,0.0,0.0,0.02333981661572659,0.046640755136035536,0.5,Home,0,0.008849557522123894,0.014705882352941176,0.009259259259259259,0.01639344262295082,0.0,0.0,0.06790123456790123,0.10476190476190476,0.04242424242424243,0.07526881720430108
Thomas Liberatore,0.03592814371257485,0.05970149253731343,0.044673539518900345,0.0755813953488372,0.04,0.06702412868632708,0.015625,0.02564102564102564,0.0,0.0,0.05,0.07142857142857142,0.0425531914893617,0.07407407407407407,0.0,0.0,0.058823529411764705,0.09090909090909091,0.053763440860215055,0.08196721311475409,0.09523809523809523,0.13636363636363635,0.012658227848101266,0.025,0.029850746268656716,0.08333333333333333,0.02857142857142857,0.05555555555555555,0.0,0.0,0.06329113924050633,0.10869565217391304,0.02356020942408377,0.038135593220338986,0.03695652173913044,0.060714285714285714,0.06666666666666667,0.1,0.05,0.058823529411764705,0.014705882352941176,0.027777777777777776,0.0,0.0,0.04,0.05263157894736842,0.13157894736842105,0.2,0.0335195530726257,0.05172413793103448,0.03594642505416584,0.06486582548427226,0.030927835051546393,0.061224489795918366,0.010309278350515464,0.020833333333333332,0.058823529411764705,0.07692307692307693,0.019171992220061128,0.038312048861743477,0.5,Home,0,0.008849557522123894,0.014705882352941176,0.009259259259259259,0.01639344262295082,0.03896103896103896,0.07317073170731707,0.030864197530864196,0.047619047619047616,0.048484848484848485,0.08602150537634409
Caleb Daniel,0.05089820359281437,0.0845771144278607,0.027491408934707903,0.046511627906976744,0.04,0.06702412868632708,0.015625,0.02564102564102564,0.0,0.0,0.0,0.0,0.010638297872340425,0.018518518518518517,0.0,0.0,0.0,0.0,0.021505376344086023,0.03278688524590164,0.031746031746031744,0.045454545454545456,0.0379746835443038,0.075,0.05970149253731343,0.16666666666666666,0.02857142857142857,0.05555555555555555,0.02857142857142857,0.058823529411764705,0.02531645569620253,0.043478260869565216,0.03664921465968586,0.059322033898305086,0.04782608695652174,0.07857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1111111111111111,0.04,0.05263157894736842,0.02631578947368421,0.04,0.027932960893854747,0.04310344827586207,0.04490841047862911,0.08103785320774835,0.041237113402061855,0.08163265306122448,0.05154639175257732,0.10416666666666667,0.0,0.0,0.02278410669630453,0.04553026096612993,0.5,Home,0,0.017699115044247787,0.029411764705882353,0.018518518518518517,0.03278688524590164,0.012987012987012988,0.024390243902439025,0.030864197530864196,0.047619047619047616,0.01818181818181818,0.03225806451612903
Bailey Williams,0.05089820359281437,0.0845771144278607,0.010309278350515464,0.01744186046511628,0.032,0.05361930294906166,0.0703125,0.11538461538461539,0.0,0.0,0.05,0.07142857142857142,0.02127659574468085,0.037037037037037035,0.0,0.0,0.058823529411764705,0.09090909090909091,0.053763440860215055,0.08196721311475409,0.0,0.0,0.02531645569620253,0.05,0.08955223880597014,0.25,0.0,0.0,0.02857142857142857,0.058823529411764705,0.012658227848101266,0.021739130434782608,0.041884816753926704,0.06779661016949153,0.034782608695652174,0.05714285714285714,0.0,0.0,0.0,0.0,0.029411764705882353,0.05555555555555555,0.2,0.2222222222222222,0.0,0.0,0.0,0.0,0.027932960893854747,0.04310344827586207,0.060764230844987194,0.1096499022569753,0.020618556701030927,0.04081632653061224,0.041237113402061855,0.08333333333333333,0.0,0.0,0.02333981661572659,0.046640755136035536,0.5,Home,1,0.07964601769911504,0.1323529411764706,0.08333333333333333,0.14754098360655737,0.025974025974025976,0.04878048780487805,0.024691358024691357,0.0380952380952381,0.024242424242424242,0.043010752688172046
Josh Dunkley,0.011976047904191617,0.01990049751243781,0.044673539518900345,0.0755813953488372,0.0272,0.045576407506702415,0.0078125,0.01282051282051282,0.041666666666666664,0.0625,0.0,0.0,0.05319148936170213,0.09259259259259259,0.046153846153846156,0.15,0.0,0.0,0.010752688172043012,0.01639344262295082,0.0,0.0,0.0379746835443038,0.075,0.0,0.0,0.05714285714285714,0.1111111111111111,0.02857142857142857,0.058823529411764705,0.0379746835443038,0.06521739130434782,0.02356020942408377,0.038135593220338986,0.02608695652173913,0.04285714285714286,0.0,0.0,0.0,0.0,0.029411764705882353,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.027932960893854747,0.04310344827586207,0.00029545006893834944,0.0005331437711036076,0.0,0.0,0.041237113402061855,0.08333333333333333,0.11764705882352941,0.15384615384615385,0.02278410669630453,0.04553026096612993,0.5,Home,0,0.008849557522123894,0.014705882352941176,0.009259259259259259,0.01639344262295082,0.03896103896103896,0.07317073170731707,0.030864197530864196,0.047619047619047616,0.030303030303030304,0.053763440860215055
Patrick Lipinski,0.017964071856287425,0.029850746268656716,0.03436426116838488,0.05813953488372093,0.0256,0.04289544235924933,0.03125,0.05128205128205128,0.0,0.0,0.0,0.0,0.010638297872340425,0.018518518518518517,0.0,0.0,0.0,0.0,0.010752688172043012,0.01639344262295082,0.031746031746031744,0.045454545454545456,0.02531645569620253,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.016877637130801686,0.028985507246376812,0.031413612565445025,0.05084745762711865,0.02826086956521739,0.04642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.08,0.0223463687150838,0.034482758620689655,0.015461886941106952,0.027901190687755463,0.020618556701030927,0.04081632653061224,0.010309278350515464,0.020833333333333332,0.0,0.0,0.02389552653514865,0.04775124930594114,0.5,Home,0,0.035398230088495575,0.058823529411764705,0.037037037037037035,0.06557377049180328,0.012987012987012988,0.024390243902439025,0.024691358024691357,0.0380952380952381,0.01818181818181818,0.03225806451612903
Ben Cavarra,0.023952095808383235,0.03980099502487562,0.024054982817869417,0.040697674418604654,0.024,0.040214477211796246,0.0234375,0.038461538461538464,0.08333333333333333,0.125,0.1,0.14285714285714285,0.02127659574468085,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.022727272727272728,0.02531645569620253,0.05,0.0,0.0,0.0,0.0,0.02857142857142857,0.058823529411764705,0.016877637130801686,0.028985507246376812,0.02617801047120419,0.0423728813559322,0.01956521739130435,0.03214285714285714,0.06666666666666667,0.1,0.05,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.04,0.03910614525139665,0.0603448275862069,0.012605869608036242,0.02274746756708726,0.030927835051546393,0.061224489795918366,0.010309278350515464,0.020833333333333332,0.11764705882352941,0.15384615384615385,0.020561267018616283,0.041088284286507494,0.5,Home,0,0.017699115044247787,0.029411764705882353,0.018518518518518517,0.03278688524590164,0.0,0.0,0.043209876543209874,0.06666666666666667,0.03636363636363636,0.06451612903225806
