Player,Kicks BTP,Kicks OTP,Handballs BTP,Handballs OTP,Disposals BTP,Disposals OTP,Marks BTP,Marks OTP,Goals BTP,Goals OTP,Behinds BTP,Behinds OTP,Tackles BTP,Tackles OTP,Hitouts BTP,Hitouts OTP,Goal Assists BTP,Goal Assists OTP,Inside 50s BTP,Inside 50s OTP,Clearances BTP,Clearances OTP,Clangers BTP,Clangers OTP,Rebound 50s BTP,Rebound 50s OTP,Frees For BTP,Frees For OTP,Frees Agains BTP,Frees Agains OTP,Contested Possessions BTP,Contested Possessions OTP,Uncontested Possessions BTP,Uncontested Possessions OTP,Effective Disposals BTP,Effective Disposals OTP,Contested Marks BTP,Contested Marks OTP,Marks Inside 50 BTP,Marks Inside 50 OTP,One Percenters BTP,One Percenters OTP,Bounces BTP,Bounces OTP,Centre Clearances BTP,Centre Clearances OTP,Stoppage Clearances BTP,Stoppage Clearances OTP,Score Involvements BTP,Score Involvements OTP,Metres Gained BTP,Metres Gained OTP,Turnovers BTP,Turnovers OTP,Intercepts BTP,Intercepts OTP,Tackles Inside 50 BTP,Tackles Inside 50 OTP,Time On Ground % BTP,Time On Ground % OTP,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTP,Uncontested Marks OTP,Marks Outside 50 BTP,Marks Outside 50 OTP,Tackles Outside 50 BTP,Tackles Outside 50 OTP,Behind Assists BTP,Behind Assists OTP,Ineffective Disposals BTP,Ineffective Disposals OTP
Matt Crouch,0.02857142857142857,0.057803468208092484,0.07246376811594203,0.12738853503184713,0.04792332268370607,0.09090909090909091,0.034722222222222224,0.07462686567164178,0.0,0.0,0.0,0.0,0.0297029702970297,0.075,0.0,0.0,0.0,0.0,0.02197802197802198,0.058823529411764705,0.05263157894736842,0.1,0.07058823529411765,0.16666666666666666,0.02702702702702703,0.044444444444444446,0.12,0.17647058823529413,0.12,0.375,0.04417670682730924,0.08661417322834646,0.05263157894736842,0.1,0.0472972972972973,0.08823529411764706,0.0,0.0,0.0,0.0,0.010526315789473684,0.024390243902439025,0.0,0.0,0.0,0.0,0.07692307692307693,0.13043478260869565,0.05309734513274336,0.11320754716981132,0.02230520791279774,0.04790808584435292,0.0425531914893617,0.08823529411764706,0.014184397163120567,0.0273972602739726,0.0,0.0,0.021666666666666667,0.0433574207893274,0,Home,0,0.042735042735042736,0.09615384615384616,0.04,0.08064516129032258,0.033707865168539325,0.07894736842105263,0.058823529411764705,0.11538461538461539,0.04945054945054945,0.09782608695652174
Rory Laird,0.04,0.08092485549132948,0.050724637681159424,0.08917197452229299,0.04472843450479233,0.08484848484848485,0.006944444444444444,0.014925373134328358,0.0,0.0,0.0,0.0,0.019801980198019802,0.05,0.0,0.0,0.0,0.0,0.03296703296703297,0.08823529411764706,0.05263157894736842,0.1,0.03529411764705882,0.08333333333333333,0.04054054054054054,0.06666666666666667,0.08,0.11764705882352941,0.04,0.125,0.04417670682730924,0.08661417322834646,0.04986149584487535,0.09473684210526316,0.04504504504504504,0.08403361344537816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.14285714285714285,0.05128205128205128,0.08695652173913043,0.008849557522123894,0.018867924528301886,0.04097698829228906,0.08801213960546282,0.06382978723404255,0.1323529411764706,0.0425531914893617,0.0821917808219178,0.0,0.0,0.02277777777777778,0.045580878265703166,0,Home,0,0.008547008547008548,0.019230769230769232,0.008,0.016129032258064516,0.02247191011235955,0.05263157894736842,0.00980392156862745,0.019230769230769232,0.04395604395604396,0.08695652173913043
Brad Crouch,0.03142857142857143,0.06358381502890173,0.05434782608695652,0.09554140127388536,0.04153354632587859,0.07878787878787878,0.006944444444444444,0.014925373134328358,0.0,0.0,0.09090909090909091,0.125,0.039603960396039604,0.1,0.0,0.0,0.0,0.0,0.054945054945054944,0.14705882352941177,0.14035087719298245,0.26666666666666666,0.07058823529411765,0.16666666666666666,0.05405405405405406,0.08888888888888889,0.04,0.058823529411764705,0.04,0.125,0.04417670682730924,0.08661417322834646,0.04155124653739612,0.07894736842105263,0.033783783783783786,0.06302521008403361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.2857142857142857,0.15384615384615385,0.2608695652173913,0.035398230088495575,0.07547169811320754,0.029067420266451354,0.06243225666594407,0.0425531914893617,0.08823529411764706,0.014184397163120567,0.0273972602739726,0.0,0.0,0.020555555555555556,0.04113396331295164,0,Home,0,0.008547008547008548,0.019230769230769232,0.008,0.016129032258064516,0.0449438202247191,0.10526315789473684,0.0392156862745098,0.07692307692307693,0.06043956043956044,0.11956521739130435
Tom Lynch,0.03428571428571429,0.06936416184971098,0.04710144927536232,0.08280254777070063,0.039936102236421724,0.07575757575757576,0.034722222222222224,0.07462686567164178,0.0,0.0,0.09090909090909091,0.125,0.019801980198019802,0.05,0.0,0.0,0.0,0.0,0.02197802197802198,0.058823529411764705,0.0,0.0,0.011764705882352941,0.027777777777777776,0.04054054054054054,0.06666666666666667,0.04,0.058823529411764705,0.0,0.0,0.01606425702811245,0.031496062992125984,0.05263157894736842,0.1,0.04279279279279279,0.07983193277310924,0.0,0.0,0.05263157894736842,0.2,0.021052631578947368,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.04424778761061947,0.09433962264150944,0.02048849414614453,0.04400606980273141,0.028368794326241134,0.058823529411764705,0.028368794326241134,0.0547945205479452,0.0,0.0,0.02277777777777778,0.045580878265703166,0,Home,0,0.042735042735042736,0.09615384615384616,0.032,0.06451612903225806,0.02247191011235955,0.05263157894736842,0.049019607843137254,0.09615384615384616,0.03296703296703297,0.06521739130434782
Reilly O'Brien,0.022857142857142857,0.046242774566473986,0.03985507246376811,0.07006369426751592,0.03035143769968051,0.05757575757575758,0.04861111111111111,0.1044776119402985,0.0,0.0,0.0,0.0,0.039603960396039604,0.1,0.48333333333333334,0.90625,0.0,0.0,0.02197802197802198,0.058823529411764705,0.03508771929824561,0.06666666666666667,0.023529411764705882,0.05555555555555555,0.02702702702702703,0.044444444444444446,0.0,0.0,0.0,0.0,0.024096385542168676,0.047244094488188976,0.027700831024930747,0.05263157894736842,0.03153153153153153,0.058823529411764705,0.14814814814814814,0.26666666666666666,0.0,0.0,0.031578947368421054,0.07317073170731707,0.0,0.0,0.05555555555555555,0.14285714285714285,0.02564102564102564,0.043478260869565216,0.035398230088495575,0.07547169811320754,0.01786435203875656,0.03836982440927813,0.02127659574468085,0.04411764705882353,0.014184397163120567,0.0273972602739726,0.0,0.0,0.02361111111111111,0.04724847137298499,0,Home,2,0.02564102564102564,0.057692307692307696,0.056,0.11290322580645161,0.0449438202247191,0.10526315789473684,0.0392156862745098,0.07692307692307693,0.027472527472527472,0.05434782608695652
Lachlan Sholl,0.03142857142857143,0.06358381502890173,0.028985507246376812,0.050955414012738856,0.03035143769968051,0.05757575757575758,0.041666666666666664,0.08955223880597014,0.0,0.0,0.0,0.0,0.009900990099009901,0.025,0.0,0.0,0.0,0.0,0.01098901098901099,0.029411764705882353,0.05263157894736842,0.1,0.023529411764705882,0.05555555555555555,0.06756756756756757,0.1111111111111111,0.04,0.058823529411764705,0.0,0.0,0.028112449799196786,0.05511811023622047,0.036011080332409975,0.06842105263157895,0.02927927927927928,0.0546218487394958,0.0,0.0,0.0,0.0,0.010526315789473684,0.024390243902439025,0.0,0.0,0.0,0.0,0.07692307692307693,0.13043478260869565,0.017699115044247787,0.03773584905660377,0.029672991522002423,0.0637329286798179,0.014184397163120567,0.029411764705882353,0.028368794326241134,0.0547945205479452,0.0,0.0,0.023055555555555555,0.04613674263479711,0,Home,0,0.05128205128205128,0.11538461538461539,0.048,0.0967741935483871,0.011235955056179775,0.02631578947368421,0.0196078431372549,0.038461538461538464,0.03296703296703297,0.06521739130434782
David MacKay,0.022857142857142857,0.046242774566473986,0.03260869565217391,0.05732484076433121,0.027156549520766772,0.051515151515151514,0.006944444444444444,0.014925373134328358,0.0,0.0,0.0,0.0,0.009900990099009901,0.025,0.0,0.0,0.0,0.0,0.01098901098901099,0.029411764705882353,0.0,0.0,0.0,0.0,0.04054054054054054,0.06666666666666667,0.0,0.0,0.0,0.0,0.0321285140562249,0.06299212598425197,0.019390581717451522,0.03684210526315789,0.033783783783783786,0.06302521008403361,0.037037037037037035,0.06666666666666667,0.0,0.0,0.021052631578947368,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.035398230088495575,0.07547169811320754,0.03068227694792087,0.06590071536960763,0.014184397163120567,0.029411764705882353,0.03546099290780142,0.0684931506849315,0.0,0.0,0.02361111111111111,0.04724847137298499,0,Home,0,0.0,0.0,0.008,0.016129032258064516,0.011235955056179775,0.02631578947368421,0.0392156862745098,0.07692307692307693,0.01098901098901099,0.021739130434782608
Brodie Smith,0.03142857142857143,0.06358381502890173,0.021739130434782608,0.03821656050955414,0.027156549520766772,0.051515151515151514,0.020833333333333332,0.04477611940298507,0.0,0.0,0.09090909090909091,0.125,0.039603960396039604,0.1,0.0,0.0,0.0,0.0,0.02197802197802198,0.058823529411764705,0.0,0.0,0.011764705882352941,0.027777777777777776,0.04054054054054054,0.06666666666666667,0.04,0.058823529411764705,0.0,0.0,0.01606425702811245,0.031496062992125984,0.030470914127423823,0.05789473684210526,0.02702702702702703,0.05042016806722689,0.0,0.0,0.0,0.0,0.021052631578947368,0.04878048780487805,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.02654867256637168,0.05660377358490566,0.04057327412192168,0.08714502492954693,0.02127659574468085,0.04411764705882353,0.02127659574468085,0.0410958904109589,0.0,0.0,0.02388888888888889,0.04780433574207893,0,Home,0,0.02564102564102564,0.057692307692307696,0.024,0.04838709677419355,0.0449438202247191,0.10526315789473684,0.029411764705882353,0.057692307692307696,0.027472527472527472,0.05434782608695652
Ben Keays,0.025714285714285714,0.05202312138728324,0.025362318840579712,0.044585987261146494,0.025559105431309903,0.048484848484848485,0.013888888888888888,0.029850746268656716,0.0,0.0,0.09090909090909091,0.125,0.0297029702970297,0.075,0.0,0.0,0.0,0.0,0.01098901098901099,0.029411764705882353,0.017543859649122806,0.03333333333333333,0.0,0.0,0.05405405405405406,0.08888888888888889,0.0,0.0,0.0,0.0,0.028112449799196786,0.05511811023622047,0.0221606648199446,0.042105263157894736,0.02702702702702703,0.05042016806722689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.043478260869565216,0.017699115044247787,0.03773584905660377,0.019378280177634235,0.04162150444396272,0.03546099290780142,0.07352941176470588,0.04964539007092199,0.0958904109589041,0.0,0.0,0.023055555555555555,0.04613674263479711,0,Home,0,0.017094017094017096,0.038461538461538464,0.016,0.03225806451612903,0.033707865168539325,0.07894736842105263,0.0196078431372549,0.038461538461538464,0.02197802197802198,0.043478260869565216
Rory Sloane,0.02,0.04046242774566474,0.028985507246376812,0.050955414012738856,0.023961661341853034,0.045454545454545456,0.006944444444444444,0.014925373134328358,0.0,0.0,0.0,0.0,0.0594059405940594,0.15,0.0,0.0,0.09090909090909091,1.0,0.03296703296703297,0.08823529411764706,0.08771929824561403,0.16666666666666666,0.011764705882352941,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.028112449799196786,0.05511811023622047,0.01662049861495845,0.031578947368421054,0.02027027027027027,0.037815126050420166,0.037037037037037035,0.06666666666666667,0.0,0.0,0.010526315789473684,0.024390243902439025,0.0,0.0,0.16666666666666666,0.42857142857142855,0.05128205128205128,0.08695652173913043,0.017699115044247787,0.03773584905660377,0.02008477997577715,0.04313895512681552,0.02127659574468085,0.04411764705882353,0.0070921985815602835,0.0136986301369863,0.08333333333333333,0.5,0.021388888888888888,0.042801556420233464,0,Home,0,0.0,0.0,0.008,0.016129032258064516,0.056179775280898875,0.13157894736842105,0.00980392156862745,0.019230769230769232,0.03296703296703297,0.06521739130434782
