Player,Kicks BTP,Kicks OTP,Handballs BTP,Handballs OTP,Disposals BTP,Disposals OTP,Marks BTP,Marks OTP,Goals BTP,Goals OTP,Behinds BTP,Behinds OTP,Tackles BTP,Tackles OTP,Hitouts BTP,Hitouts OTP,Goal Assists BTP,Goal Assists OTP,Inside 50s BTP,Inside 50s OTP,Clearances BTP,Clearances OTP,Clangers BTP,Clangers OTP,Rebound 50s BTP,Rebound 50s OTP,Frees For BTP,Frees For OTP,Frees Agains BTP,Frees Agains OTP,Contested Possessions BTP,Contested Possessions OTP,Uncontested Possessions BTP,Uncontested Possessions OTP,Effective Disposals BTP,Effective Disposals OTP,Contested Marks BTP,Contested Marks OTP,Marks Inside 50 BTP,Marks Inside 50 OTP,One Percenters BTP,One Percenters OTP,Bounces BTP,Bounces OTP,Centre Clearances BTP,Centre Clearances OTP,Stoppage Clearances BTP,Stoppage Clearances OTP,Score Involvements BTP,Score Involvements OTP,Metres Gained BTP,Metres Gained OTP,Turnovers BTP,Turnovers OTP,Intercepts BTP,Intercepts OTP,Tackles Inside 50 BTP,Tackles Inside 50 OTP,Time On Ground % BTP,Time On Ground % OTP,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTP,Uncontested Marks OTP,Marks Outside 50 BTP,Marks Outside 50 OTP,Tackles Outside 50 BTP,Tackles Outside 50 OTP,Behind Assists BTP,Behind Assists OTP,Ineffective Disposals BTP,Ineffective Disposals OTP
Brandon Ellis,0.037900874635568516,0.07222222222222222,0.03349282296650718,0.0660377358490566,0.036231884057971016,0.06993006993006994,0.04294478527607362,0.08536585365853659,0.0,0.0,0.0,0.0,0.02040816326530612,0.0425531914893617,0.0,0.0,0.0,0.0,0.037037037037037035,0.06,0.03389830508474576,0.05405405405405406,0.0196078431372549,0.037037037037037035,0.016129032258064516,0.045454545454545456,0.029411764705882353,0.07142857142857142,0.0,0.0,0.021739130434782608,0.04201680672268908,0.044444444444444446,0.08433734939759036,0.041666666666666664,0.08290155440414508,0.038461538461538464,0.09090909090909091,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.0,0.05,0.08,0.020202020202020204,0.037037037037037035,0.026287230194139637,0.051318267419962336,0.01694915254237288,0.03125,0.05042016806722689,0.10909090909090909,0.0,0.0,0.02387562465297057,0.04772475027746948,1,Home,0,0.043795620437956206,0.08450704225352113,0.04794520547945205,0.0958904109589041,0.02631578947368421,0.06060606060606061,0.022727272727272728,0.043478260869565216,0.023809523809523808,0.043010752688172046
Touk Miller,0.03498542274052478,0.06666666666666667,0.03827751196172249,0.07547169811320754,0.036231884057971016,0.06993006993006994,0.012269938650306749,0.024390243902439025,0.0,0.0,0.0,0.0,0.061224489795918366,0.1276595744680851,0.0,0.0,0.09090909090909091,0.125,0.04938271604938271,0.08,0.11864406779661017,0.1891891891891892,0.0392156862745098,0.07407407407407407,0.03225806451612903,0.09090909090909091,0.14705882352941177,0.35714285714285715,0.058823529411764705,0.1,0.05652173913043478,0.1092436974789916,0.025396825396825397,0.04819277108433735,0.036458333333333336,0.07253886010362694,0.0,0.0,0.0,0.0,0.014705882352941176,0.02631578947368421,0.0,0.0,0.15789473684210525,0.25,0.1,0.16,0.04040404040404041,0.07407407407407407,0.033160496804533944,0.06473634651600753,0.01694915254237288,0.03125,0.025210084033613446,0.05454545454545454,0.13636363636363635,0.21428571428571427,0.02109938922820655,0.042175360710321866,1,Home,0,0.014598540145985401,0.028169014084507043,0.0136986301369863,0.0273972602739726,0.039473684210526314,0.09090909090909091,0.03409090909090909,0.06521739130434782,0.03571428571428571,0.06451612903225806
Matt Rowell,0.029154518950437316,0.05555555555555555,0.04784688995215311,0.09433962264150944,0.036231884057971016,0.06993006993006994,0.006134969325153374,0.012195121951219513,0.1111111111111111,0.2,0.0,0.0,0.05102040816326531,0.10638297872340426,0.0,0.0,0.0,0.0,0.037037037037037035,0.06,0.11864406779661017,0.1891891891891892,0.058823529411764705,0.1111111111111111,0.03225806451612903,0.09090909090909091,0.058823529411764705,0.14285714285714285,0.08823529411764706,0.15,0.05217391304347826,0.10084033613445378,0.025396825396825397,0.04819277108433735,0.036458333333333336,0.07253886010362694,0.0,0.0,0.0,0.0,0.014705882352941176,0.02631578947368421,0.0,0.0,0.15789473684210525,0.25,0.1,0.16,0.06060606060606061,0.1111111111111111,0.031351742433377544,0.06120527306967985,0.03389830508474576,0.0625,0.01680672268907563,0.03636363636363636,0.0,0.0,0.020544142143253747,0.041065482796892344,1,Home,3,0.0072992700729927005,0.014084507042253521,0.00684931506849315,0.0136986301369863,0.06578947368421052,0.15151515151515152,0.06818181818181818,0.13043478260869565,0.03571428571428571,0.06451612903225806
Jack Bowes,0.03498542274052478,0.06666666666666667,0.028708133971291867,0.05660377358490566,0.03260869565217391,0.06293706293706294,0.03067484662576687,0.06097560975609756,0.0,0.0,0.0,0.0,0.01020408163265306,0.02127659574468085,0.0,0.0,0.09090909090909091,0.125,0.06172839506172839,0.1,0.01694915254237288,0.02702702702702703,0.049019607843137254,0.09259259259259259,0.03225806451612903,0.09090909090909091,0.0,0.0,0.08823529411764706,0.15,0.034782608695652174,0.06722689075630252,0.031746031746031744,0.060240963855421686,0.0390625,0.07772020725388601,0.07692307692307693,0.18181818181818182,0.0,0.0,0.014705882352941176,0.02631578947368421,0.0,0.0,0.0,0.0,0.025,0.04,0.04040404040404041,0.07407407407407407,0.042686603159290966,0.08333333333333333,0.03389830508474576,0.0625,0.07563025210084033,0.16363636363636364,0.0,0.0,0.021377012770682952,0.04273029966703663,1,Home,0,0.021897810218978103,0.04225352112676056,0.03424657534246575,0.0684931506849315,0.013157894736842105,0.030303030303030304,0.03409090909090909,0.06521739130434782,0.017857142857142856,0.03225806451612903
Wil Powell,0.02040816326530612,0.03888888888888889,0.04784688995215311,0.09433962264150944,0.030797101449275364,0.05944055944055944,0.018404907975460124,0.036585365853658534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024691358024691357,0.04,0.01694915254237288,0.02702702702702703,0.029411764705882353,0.05555555555555555,0.016129032258064516,0.045454545454545456,0.0,0.0,0.0,0.0,0.017391304347826087,0.03361344537815126,0.04126984126984127,0.0783132530120482,0.03125,0.06217616580310881,0.0,0.0,0.0,0.0,0.014705882352941176,0.02631578947368421,0.0,0.0,0.0,0.0,0.025,0.04,0.010101010101010102,0.018518518518518517,0.021825636078620522,0.04260828625235405,0.03389830508474576,0.0625,0.008403361344537815,0.01818181818181818,0.0,0.0,0.018323153803442533,0.03662597114317425,1,Home,0,0.021897810218978103,0.04225352112676056,0.02054794520547945,0.0410958904109589,0.0,0.0,0.011363636363636364,0.021739130434782608,0.02976190476190476,0.053763440860215055
Jack Lukosius,0.04081632653061224,0.07777777777777778,0.009569377990430622,0.018867924528301886,0.028985507246376812,0.055944055944055944,0.03067484662576687,0.06097560975609756,0.05555555555555555,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.06,0.01694915254237288,0.02702702702702703,0.0196078431372549,0.037037037037037035,0.016129032258064516,0.045454545454545456,0.029411764705882353,0.07142857142857142,0.0,0.0,0.02608695652173913,0.05042016806722689,0.02857142857142857,0.05421686746987952,0.026041666666666668,0.05181347150259067,0.0,0.0,0.0,0.0,0.04411764705882353,0.07894736842105263,0.0,0.0,0.0,0.0,0.025,0.04,0.030303030303030304,0.05555555555555555,0.048233449897503916,0.09416195856873823,0.025423728813559324,0.046875,0.04201680672268908,0.09090909090909091,0.0,0.0,0.024430871737923375,0.048834628190899,1,Home,0,0.0364963503649635,0.07042253521126761,0.03424657534246575,0.0684931506849315,0.0,0.0,0.03409090909090909,0.06521739130434782,0.03571428571428571,0.06451612903225806
Lachlan Weller,0.023323615160349854,0.044444444444444446,0.03349282296650718,0.0660377358490566,0.02717391304347826,0.05244755244755245,0.012269938650306749,0.024390243902439025,0.0,0.0,0.0,0.0,0.04081632653061224,0.0851063829787234,0.0,0.0,0.0,0.0,0.037037037037037035,0.06,0.03389830508474576,0.05405405405405406,0.029411764705882353,0.05555555555555555,0.0,0.0,0.029411764705882353,0.07142857142857142,0.0,0.0,0.030434782608695653,0.058823529411764705,0.022222222222222223,0.04216867469879518,0.013020833333333334,0.025906735751295335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.08333333333333333,0.025,0.04,0.020202020202020204,0.037037037037037035,0.02327263957554564,0.0454331450094162,0.05084745762711865,0.09375,0.01680672268907563,0.03636363636363636,0.09090909090909091,0.14285714285714285,0.023320377568017768,0.04661487236403995,1,Home,0,0.014598540145985401,0.028169014084507043,0.0136986301369863,0.0273972602739726,0.02631578947368421,0.06060606060606061,0.022727272727272728,0.043478260869565216,0.05952380952380952,0.10752688172043011
Jarrod Harbrow,0.03498542274052478,0.06666666666666667,0.009569377990430622,0.018867924528301886,0.025362318840579712,0.04895104895104895,0.049079754601226995,0.0975609756097561,0.0,0.0,0.0,0.0,0.01020408163265306,0.02127659574468085,0.0,0.0,0.0,0.0,0.024691358024691357,0.04,0.0,0.0,0.0,0.0,0.04838709677419355,0.13636363636363635,0.0,0.0,0.0,0.0,0.017391304347826087,0.03361344537815126,0.031746031746031744,0.060240963855421686,0.033854166666666664,0.06735751295336788,0.038461538461538464,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010101010101010102,0.018518518518518517,0.02363439044977692,0.046139359698681735,0.00847457627118644,0.015625,0.05042016806722689,0.10909090909090909,0.0,0.0,0.02359800111049417,0.04716981132075472,1,Home,0,0.051094890510948905,0.09859154929577464,0.0547945205479452,0.1095890410958904,0.013157894736842105,0.030303030303030304,0.011363636363636364,0.021739130434782608,0.005952380952380952,0.010752688172043012
David Swallow,0.02040816326530612,0.03888888888888889,0.03349282296650718,0.0660377358490566,0.025362318840579712,0.04895104895104895,0.018404907975460124,0.036585365853658534,0.0,0.0,0.16666666666666666,0.3333333333333333,0.04081632653061224,0.0851063829787234,0.0,0.0,0.0,0.0,0.04938271604938271,0.08,0.03389830508474576,0.05405405405405406,0.029411764705882353,0.05555555555555555,0.0,0.0,0.0,0.0,0.08823529411764706,0.15,0.030434782608695653,0.058823529411764705,0.022222222222222223,0.04216867469879518,0.015625,0.031088082901554404,0.0,0.0,0.058823529411764705,0.1111111111111111,0.0,0.0,0.0,0.0,0.05263157894736842,0.08333333333333333,0.025,0.04,0.020202020202020204,0.037037037037037035,0.02387555769926444,0.046610169491525424,0.0423728813559322,0.078125,0.008403361344537815,0.01818181818181818,0.045454545454545456,0.07142857142857142,0.02387562465297057,0.04772475027746948,1,Home,0,0.021897810218978103,0.04225352112676056,0.0136986301369863,0.0273972602739726,0.039473684210526314,0.09090909090909091,0.022727272727272728,0.043478260869565216,0.047619047619047616,0.08602150537634409
Noah Anderson,0.03498542274052478,0.06666666666666667,0.009569377990430622,0.018867924528301886,0.025362318840579712,0.04895104895104895,0.03067484662576687,0.06097560975609756,0.0,0.0,0.0,0.0,0.01020408163265306,0.02127659574468085,0.0,0.0,0.18181818181818182,0.25,0.04938271604938271,0.08,0.05084745762711865,0.08108108108108109,0.029411764705882353,0.05555555555555555,0.0,0.0,0.0,0.0,0.029411764705882353,0.05,0.02608695652173913,0.05042016806722689,0.022222222222222223,0.04216867469879518,0.026041666666666668,0.05181347150259067,0.038461538461538464,0.09090909090909091,0.058823529411764705,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.12,0.020202020202020204,0.037037037037037035,0.03424574942722778,0.06685499058380415,0.059322033898305086,0.109375,0.01680672268907563,0.03636363636363636,0.0,0.0,0.018878400888395337,0.03773584905660377,1,Home,0,0.029197080291970802,0.056338028169014086,0.0273972602739726,0.0547945205479452,0.013157894736842105,0.030303030303030304,0.0,0.0,0.023809523809523808,0.043010752688172046
