Player,Kicks BTP,Kicks OTP,Handballs BTP,Handballs OTP,Disposals BTP,Disposals OTP,Marks BTP,Marks OTP,Goals BTP,Goals OTP,Behinds BTP,Behinds OTP,Tackles BTP,Tackles OTP,Hitouts BTP,Hitouts OTP,Goal Assists BTP,Goal Assists OTP,Inside 50s BTP,Inside 50s OTP,Clearances BTP,Clearances OTP,Clangers BTP,Clangers OTP,Rebound 50s BTP,Rebound 50s OTP,Frees For BTP,Frees For OTP,Frees Agains BTP,Frees Agains OTP,Contested Possessions BTP,Contested Possessions OTP,Uncontested Possessions BTP,Uncontested Possessions OTP,Effective Disposals BTP,Effective Disposals OTP,Contested Marks BTP,Contested Marks OTP,Marks Inside 50 BTP,Marks Inside 50 OTP,One Percenters BTP,One Percenters OTP,Bounces BTP,Bounces OTP,Centre Clearances BTP,Centre Clearances OTP,Stoppage Clearances BTP,Stoppage Clearances OTP,Score Involvements BTP,Score Involvements OTP,Metres Gained BTP,Metres Gained OTP,Turnovers BTP,Turnovers OTP,Intercepts BTP,Intercepts OTP,Tackles Inside 50 BTP,Tackles Inside 50 OTP,Time On Ground % BTP,Time On Ground % OTP,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTP,Uncontested Marks OTP,Marks Outside 50 BTP,Marks Outside 50 OTP,Tackles Outside 50 BTP,Tackles Outside 50 OTP,Behind Assists BTP,Behind Assists OTP,Ineffective Disposals BTP,Ineffective Disposals OTP
Jack Lukosius,0.03968253968253968,0.08875739644970414,0.016736401673640166,0.04,0.03079416531604538,0.07063197026022305,0.024390243902439025,0.056338028169014086,0.0,0.0,0.07142857142857142,0.125,0.023809523809523808,0.05263157894736842,0.0,0.0,0.0,0.0,0.03571428571428571,0.07692307692307693,0.0,0.0,0.03296703296703297,0.06666666666666667,0.07246376811594203,0.14285714285714285,0.0,0.0,0.0,0.0,0.012396694214876033,0.02702702702702703,0.0273224043715847,0.06666666666666667,0.030303030303030304,0.07514450867052024,0.05263157894736842,0.1111111111111111,0.0,0.0,0.011627906976744186,0.02857142857142857,0.1111111111111111,0.2,0.0,0.0,0.0,0.0,0.041666666666666664,0.09090909090909091,0.06085455330168321,0.12561247216035634,0.051470588235294115,0.10606060606060606,0.029411764705882353,0.05714285714285714,0.0,0.0,0.02333981661572659,0.04669260700389105,0,Home,0,0.020689655172413793,0.04838709677419355,0.027586206896551724,0.06451612903225806,0.029411764705882353,0.06060606060606061,0.045454545454545456,0.09433962264150944,0.031914893617021274,0.0625
Wil Powell,0.026455026455026454,0.05917159763313609,0.029288702928870293,0.07,0.027552674230145867,0.06319702602230483,0.03048780487804878,0.07042253521126761,0.0,0.0,0.0,0.0,0.011904761904761904,0.02631578947368421,0.0,0.0,0.0,0.0,0.011904761904761904,0.02564102564102564,0.0,0.0,0.06593406593406594,0.13333333333333333,0.08695652173913043,0.17142857142857143,0.037037037037037035,0.1,0.07407407407407407,0.11764705882352941,0.024793388429752067,0.05405405405405406,0.030054644808743168,0.07333333333333333,0.02097902097902098,0.05202312138728324,0.05263157894736842,0.1111111111111111,0.0,0.0,0.011627906976744186,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.01818181818181818,0.021148036253776436,0.04365256124721604,0.051470588235294115,0.10606060606060606,0.029411764705882353,0.05714285714285714,0.0,0.0,0.021116976938038344,0.042245692051139525,0,Home,0,0.027586206896551724,0.06451612903225806,0.034482758620689655,0.08064516129032258,0.014705882352941176,0.030303030303030304,0.00909090909090909,0.018867924528301886,0.0425531914893617,0.08333333333333333
Brandon Ellis,0.023809523809523808,0.05325443786982249,0.029288702928870293,0.07,0.02593192868719611,0.05947955390334572,0.03048780487804878,0.07042253521126761,0.0,0.0,0.0,0.0,0.03571428571428571,0.07894736842105263,0.0,0.0,0.0,0.0,0.03571428571428571,0.07692307692307693,0.0,0.0,0.01098901098901099,0.022222222222222223,0.043478260869565216,0.08571428571428572,0.037037037037037035,0.1,0.037037037037037035,0.058823529411764705,0.02066115702479339,0.04504504504504504,0.030054644808743168,0.07333333333333333,0.030303030303030304,0.07514450867052024,0.0,0.0,0.0,0.0,0.011627906976744186,0.02857142857142857,0.2222222222222222,0.4,0.0,0.0,0.0,0.0,0.041666666666666664,0.09090909090909091,0.0256797583081571,0.053006681514476614,0.014705882352941176,0.030303030303030304,0.04411764705882353,0.08571428571428572,0.0,0.0,0.02361767157543762,0.04724847137298499,0,Home,0,0.034482758620689655,0.08064516129032258,0.034482758620689655,0.08064516129032258,0.04411764705882353,0.09090909090909091,0.045454545454545456,0.09433962264150944,0.015957446808510637,0.03125
Touk Miller,0.0291005291005291,0.0650887573964497,0.016736401673640166,0.04,0.024311183144246355,0.055762081784386616,0.012195121951219513,0.028169014084507043,0.0,0.0,0.0,0.0,0.07142857142857142,0.15789473684210525,0.0,0.0,0.0,0.0,0.03571428571428571,0.07692307692307693,0.020833333333333332,0.05,0.01098901098901099,0.022222222222222223,0.0,0.0,0.037037037037037035,0.1,0.0,0.0,0.02066115702479339,0.04504504504504504,0.0273224043715847,0.06666666666666667,0.018648018648018648,0.046242774566473986,0.0,0.0,0.0,0.0,0.011627906976744186,0.02857142857142857,0.0,0.0,0.0,0.0,0.030303030303030304,0.07142857142857142,0.016666666666666666,0.03636363636363636,0.03679326715580492,0.07594654788418709,0.03676470588235294,0.07575757575757576,0.014705882352941176,0.02857142857142857,0.0625,0.2,0.02222839677688247,0.04446914952751529,0,Home,0,0.013793103448275862,0.03225806451612903,0.013793103448275862,0.03225806451612903,0.07352941176470588,0.15151515151515152,0.01818181818181818,0.03773584905660377,0.03723404255319149,0.07291666666666667
Noah Anderson,0.013227513227513227,0.029585798816568046,0.04184100418410042,0.1,0.024311183144246355,0.055762081784386616,0.012195121951219513,0.028169014084507043,0.0,0.0,0.0,0.0,0.023809523809523808,0.05263157894736842,0.0,0.0,0.0,0.0,0.023809523809523808,0.05128205128205128,0.0625,0.15,0.02197802197802198,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0371900826446281,0.08108108108108109,0.01639344262295082,0.04,0.02097902097902098,0.05202312138728324,0.05263157894736842,0.1111111111111111,0.05263157894736842,0.1111111111111111,0.046511627906976744,0.11428571428571428,0.0,0.0,0.0,0.0,0.09090909090909091,0.21428571428571427,0.025,0.05454545454545454,0.01855848079413034,0.03830734966592428,0.029411764705882353,0.06060606060606061,0.014705882352941176,0.02857142857142857,0.0,0.0,0.020561267018616283,0.04113396331295164,0,Home,0,0.006896551724137931,0.016129032258064516,0.006896551724137931,0.016129032258064516,0.029411764705882353,0.06060606060606061,0.02727272727272727,0.05660377358490566,0.031914893617021274,0.0625
David Swallow,0.023809523809523808,0.05325443786982249,0.02092050209205021,0.05,0.022690437601296597,0.05204460966542751,0.024390243902439025,0.056338028169014086,0.07692307692307693,0.25,0.07142857142857142,0.125,0.023809523809523808,0.05263157894736842,0.0,0.0,0.0,0.0,0.023809523809523808,0.05128205128205128,0.08333333333333333,0.2,0.04395604395604396,0.08888888888888889,0.028985507246376812,0.05714285714285714,0.037037037037037035,0.1,0.1111111111111111,0.17647058823529413,0.03305785123966942,0.07207207207207207,0.01639344262295082,0.04,0.023310023310023312,0.057803468208092484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.3333333333333333,0.06060606060606061,0.14285714285714285,0.03333333333333333,0.07272727272727272,0.024492878722485973,0.050556792873051225,0.014705882352941176,0.030303030303030304,0.007352941176470588,0.014285714285714285,0.0625,0.2,0.020839121978327314,0.04168982768204558,0,Home,0,0.027586206896551724,0.06451612903225806,0.027586206896551724,0.06451612903225806,0.014705882352941176,0.030303030303030304,0.03636363636363636,0.07547169811320754,0.02127659574468085,0.041666666666666664
Hugh Greenwood,0.023809523809523808,0.05325443786982249,0.02092050209205021,0.05,0.022690437601296597,0.05204460966542751,0.012195121951219513,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.02564102564102564,0.125,0.3,0.01098901098901099,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.04132231404958678,0.09009009009009009,0.01092896174863388,0.02666666666666667,0.018648018648018648,0.046242774566473986,0.0,0.0,0.0,0.0,0.011627906976744186,0.02857142857142857,0.0,0.0,0.2,0.5,0.09090909090909091,0.21428571428571427,0.025,0.05454545454545454,0.021687526974536037,0.04476614699331848,0.022058823529411766,0.045454545454545456,0.007352941176470588,0.014285714285714285,0.0,0.0,0.019171992220061128,0.03835464146748194,0,Home,0,0.013793103448275862,0.03225806451612903,0.013793103448275862,0.03225806451612903,0.0,0.0,0.02727272727272727,0.05660377358490566,0.031914893617021274,0.0625
Darcy Macpherson,0.026455026455026454,0.05917159763313609,0.016736401673640166,0.04,0.022690437601296597,0.05204460966542751,0.024390243902439025,0.056338028169014086,0.0,0.0,0.0,0.0,0.011904761904761904,0.02631578947368421,0.0,0.0,0.1,0.5,0.08333333333333333,0.1794871794871795,0.020833333333333332,0.05,0.01098901098901099,0.022222222222222223,0.0,0.0,0.037037037037037035,0.1,0.037037037037037035,0.058823529411764705,0.008264462809917356,0.018018018018018018,0.030054644808743168,0.07333333333333333,0.02564102564102564,0.06358381502890173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.07142857142857142,0.03333333333333333,0.07272727272727272,0.025248165731549418,0.05211581291759466,0.022058823529411766,0.045454545454545456,0.007352941176470588,0.014285714285714285,0.0625,0.2,0.020561267018616283,0.04113396331295164,0,Home,0,0.027586206896551724,0.06451612903225806,0.027586206896551724,0.06451612903225806,0.0,0.0,0.02727272727272727,0.05660377358490566,0.015957446808510637,0.03125
Ben Ainsworth,0.031746031746031744,0.07100591715976332,0.008368200836820083,0.02,0.022690437601296597,0.05204460966542751,0.054878048780487805,0.1267605633802817,0.07692307692307693,0.25,0.07142857142857142,0.125,0.011904761904761904,0.02631578947368421,0.0,0.0,0.0,0.0,0.08333333333333333,0.1794871794871795,0.0,0.0,0.01098901098901099,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.008264462809917356,0.018018018018018018,0.03278688524590164,0.08,0.016317016317016316,0.04046242774566474,0.05263157894736842,0.1111111111111111,0.15789473684210525,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.09090909090909091,0.04110919292188174,0.08485523385300668,0.014705882352941176,0.030303030303030304,0.0,0.0,0.0,0.0,0.02278410669630453,0.045580878265703166,0,Home,0,0.05517241379310345,0.12903225806451613,0.041379310344827586,0.0967741935483871,0.014705882352941176,0.030303030303030304,0.045454545454545456,0.09433962264150944,0.03723404255319149,0.07291666666666667
Jack Bowes,0.0291005291005291,0.0650887573964497,0.012552301255230125,0.03,0.022690437601296597,0.05204460966542751,0.018292682926829267,0.04225352112676056,0.0,0.0,0.0,0.0,0.03571428571428571,0.07894736842105263,0.0,0.0,0.0,0.0,0.011904761904761904,0.02564102564102564,0.0,0.0,0.02197802197802198,0.044444444444444446,0.07246376811594203,0.14285714285714285,0.0,0.0,0.037037037037037035,0.058823529411764705,0.04132231404958678,0.09009009009009009,0.01092896174863388,0.02666666666666667,0.018648018648018648,0.046242774566473986,0.05263157894736842,0.1111111111111111,0.0,0.0,0.03488372093023256,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.05454545454545454,0.030103582218385844,0.0621380846325167,0.03676470588235294,0.07575757575757576,0.08823529411764706,0.17142857142857143,0.0,0.0,0.02222839677688247,0.04446914952751529,0,Home,0,0.013793103448275862,0.03225806451612903,0.020689655172413793,0.04838709677419355,0.04411764705882353,0.09090909090909091,0.02727272727272727,0.05660377358490566,0.031914893617021274,0.0625
Lachlan Weller,0.018518518518518517,0.04142011834319527,0.02510460251046025,0.06,0.02106969205834684,0.048327137546468404,0.0,0.0,0.07692307692307693,0.25,0.0,0.0,0.011904761904761904,0.02631578947368421,0.0,0.0,0.0,0.0,0.023809523809523808,0.05128205128205128,0.020833333333333332,0.05,0.01098901098901099,0.022222222222222223,0.014492753623188406,0.02857142857142857,0.0,0.0,0.0,0.0,0.028925619834710745,0.06306306306306306,0.01639344262295082,0.04,0.02097902097902098,0.05202312138728324,0.0,0.0,0.0,0.0,0.011627906976744186,0.02857142857142857,0.2222222222222222,0.4,0.06666666666666667,0.16666666666666666,0.0,0.0,0.03333333333333333,0.07272727272727272,0.02060854553301683,0.04253897550111359,0.007352941176470588,0.015151515151515152,0.0,0.0,0.0,0.0,0.02222839677688247,0.04446914952751529,0,Home,0,0.0,0.0,0.0,0.0,0.014705882352941176,0.030303030303030304,0.03636363636363636,0.07547169811320754,0.02127659574468085,0.041666666666666664
Connor Budarick,0.026455026455026454,0.05917159763313609,0.012552301255230125,0.03,0.02106969205834684,0.048327137546468404,0.012195121951219513,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.02564102564102564,0.041666666666666664,0.1,0.03296703296703297,0.06666666666666667,0.014492753623188406,0.02857142857142857,0.0,0.0,0.0,0.0,0.02066115702479339,0.04504504504504504,0.02185792349726776,0.05333333333333334,0.016317016317016316,0.04046242774566474,0.0,0.0,0.0,0.0,0.011627906976744186,0.02857142857142857,0.0,0.0,0.0,0.0,0.06060606060606061,0.14285714285714285,0.008333333333333333,0.01818181818181818,0.03312473025463962,0.06837416481069042,0.022058823529411766,0.045454545454545456,0.029411764705882353,0.05714285714285714,0.0,0.0,0.02333981661572659,0.04669260700389105,0,Home,0,0.013793103448275862,0.03225806451612903,0.013793103448275862,0.03225806451612903,0.0,0.0,0.00909090909090909,0.018867924528301886,0.031914893617021274,0.0625
Nicholas Holman,0.010582010582010581,0.023668639053254437,0.03347280334728033,0.08,0.019448946515397084,0.04460966542750929,0.018292682926829267,0.04225352112676056,0.0,0.0,0.0,0.0,0.023809523809523808,0.05263157894736842,0.0,0.0,0.0,0.0,0.011904761904761904,0.02564102564102564,0.0,0.0,0.02197802197802198,0.044444444444444446,0.028985507246376812,0.05714285714285714,0.0,0.0,0.07407407407407407,0.11764705882352941,0.024793388429752067,0.05405405405405406,0.01639344262295082,0.04,0.018648018648018648,0.046242774566473986,0.0,0.0,0.0,0.0,0.023255813953488372,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.01818181818181818,0.0076607682347863615,0.01581291759465479,0.014705882352941176,0.030303030303030304,0.014705882352941176,0.02857142857142857,0.0,0.0,0.025562656293414837,0.05113952195664258,0,Home,0,0.020689655172413793,0.04838709677419355,0.020689655172413793,0.04838709677419355,0.029411764705882353,0.06060606060606061,0.00909090909090909,0.018867924528301886,0.02127659574468085,0.041666666666666664
Pearce Hanley,0.018518518518518517,0.04142011834319527,0.016736401673640166,0.04,0.017828200972447326,0.040892193308550186,0.03048780487804878,0.07042253521126761,0.0,0.0,0.0,0.0,0.023809523809523808,0.05263157894736842,0.0,0.0,0.0,0.0,0.03571428571428571,0.07692307692307693,0.0,0.0,0.03296703296703297,0.06666666666666667,0.028985507246376812,0.05714285714285714,0.037037037037037035,0.1,0.07407407407407407,0.11764705882352941,0.01652892561983471,0.036036036036036036,0.01639344262295082,0.04,0.018648018648018648,0.046242774566473986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020716443677168753,0.042761692650334075,0.04411764705882353,0.09090909090909091,0.04411764705882353,0.08571428571428572,0.0,0.0,0.020283412058905253,0.0405780989438577,0,Home,0,0.034482758620689655,0.08064516129032258,0.034482758620689655,0.08064516129032258,0.029411764705882353,0.06060606060606061,0.0,0.0,0.015957446808510637,0.03125
Samuel Collins,0.015873015873015872,0.03550295857988166,0.02092050209205021,0.05,0.017828200972447326,0.040892193308550186,0.03048780487804878,0.07042253521126761,0.0,0.0,0.0,0.0,0.08333333333333333,0.18421052631578946,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.05,0.0,0.0,0.028985507246376812,0.05714285714285714,0.037037037037037035,0.1,0.0,0.0,0.01652892561983471,0.036036036036036036,0.01639344262295082,0.04,0.02564102564102564,0.06358381502890173,0.05263157894736842,0.1111111111111111,0.0,0.0,0.06976744186046512,0.17142857142857143,0.0,0.0,0.0,0.0,0.030303030303030304,0.07142857142857142,0.008333333333333333,0.01818181818181818,0.011976694000863186,0.024721603563474387,0.0,0.0,0.058823529411764705,0.11428571428571428,0.0,0.0,0.026674076132258962,0.05336297943301834,0,Home,0,0.027586206896551724,0.06451612903225806,0.034482758620689655,0.08064516129032258,0.10294117647058823,0.21212121212121213,0.00909090909090909,0.018867924528301886,0.0,0.0
Charlie Ballard,0.018518518518518517,0.04142011834319527,0.016736401673640166,0.04,0.017828200972447326,0.040892193308550186,0.024390243902439025,0.056338028169014086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03296703296703297,0.06666666666666667,0.028985507246376812,0.05714285714285714,0.0,0.0,0.0,0.0,0.004132231404958678,0.009009009009009009,0.0273224043715847,0.06666666666666667,0.011655011655011656,0.028901734104046242,0.0,0.0,0.0,0.0,0.05813953488372093,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016184721622788088,0.0334075723830735,0.029411764705882353,0.06060606060606061,0.03676470588235294,0.07142857142857142,0.0,0.0,0.027229786051681023,0.054474708171206226,0,Home,0,0.027586206896551724,0.06451612903225806,0.027586206896551724,0.06451612903225806,0.0,0.0,0.0,0.0,0.031914893617021274,0.0625
Jarrod Harbrow,0.010582010582010581,0.023668639053254437,0.02092050209205021,0.05,0.014586709886547812,0.03345724907063197,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.05,0.0,0.0,0.028985507246376812,0.05714285714285714,0.07407407407407407,0.2,0.0,0.0,0.024793388429752067,0.05405405405405406,0.00819672131147541,0.02,0.018648018648018648,0.046242774566473986,0.0,0.0,0.0,0.0,0.023255813953488372,0.05714285714285714,0.0,0.0,0.0,0.0,0.030303030303030304,0.07142857142857142,0.008333333333333333,0.01818181818181818,0.004208027621924903,0.00868596881959911,0.007352941176470588,0.015151515151515152,0.03676470588235294,0.07142857142857142,0.0,0.0,0.02278410669630453,0.045580878265703166,0,Home,0,0.0,0.0,0.0,0.0,0.014705882352941176,0.030303030303030304,0.00909090909090909,0.018867924528301886,0.005319148936170213,0.010416666666666666
Sam Day,0.015873015873015872,0.03550295857988166,0.012552301255230125,0.03,0.014586709886547812,0.03345724907063197,0.018292682926829267,0.04225352112676056,0.0,0.0,0.07142857142857142,0.125,0.0,0.0,0.0851063829787234,0.14814814814814814,0.0,0.0,0.023809523809523808,0.05128205128205128,0.0,0.0,0.04395604395604396,0.08888888888888889,0.0,0.0,0.0,0.0,0.1111111111111111,0.17647058823529413,0.02066115702479339,0.04504504504504504,0.01092896174863388,0.02666666666666667,0.009324009324009324,0.023121387283236993,0.05263157894736842,0.1111111111111111,0.05263157894736842,0.1111111111111111,0.023255813953488372,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.01818181818181818,0.021255934397928354,0.043875278396436526,0.029411764705882353,0.06060606060606061,0.022058823529411766,0.04285714285714286,0.0,0.0,0.021672686857460405,0.0433574207893274,0,Home,0,0.013793103448275862,0.03225806451612903,0.013793103448275862,0.03225806451612903,0.0,0.0,0.00909090909090909,0.018867924528301886,0.026595744680851064,0.052083333333333336
