Player,Kicks BTP,Kicks OTP,Handballs BTP,Handballs OTP,Disposals BTP,Disposals OTP,Marks BTP,Marks OTP,Goals BTP,Goals OTP,Behinds BTP,Behinds OTP,Tackles BTP,Tackles OTP,Hitouts BTP,Hitouts OTP,Goal Assists BTP,Goal Assists OTP,Inside 50s BTP,Inside 50s OTP,Clearances BTP,Clearances OTP,Clangers BTP,Clangers OTP,Rebound 50s BTP,Rebound 50s OTP,Frees For BTP,Frees For OTP,Frees Agains BTP,Frees Agains OTP,Contested Possessions BTP,Contested Possessions OTP,Uncontested Possessions BTP,Uncontested Possessions OTP,Effective Disposals BTP,Effective Disposals OTP,Contested Marks BTP,Contested Marks OTP,Marks Inside 50 BTP,Marks Inside 50 OTP,One Percenters BTP,One Percenters OTP,Bounces BTP,Bounces OTP,Centre Clearances BTP,Centre Clearances OTP,Stoppage Clearances BTP,Stoppage Clearances OTP,Score Involvements BTP,Score Involvements OTP,Metres Gained BTP,Metres Gained OTP,Turnovers BTP,Turnovers OTP,Intercepts BTP,Intercepts OTP,Tackles Inside 50 BTP,Tackles Inside 50 OTP,Time On Ground % BTP,Time On Ground % OTP,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTP,Uncontested Marks OTP,Marks Outside 50 BTP,Marks Outside 50 OTP,Tackles Outside 50 BTP,Tackles Outside 50 OTP,Behind Assists BTP,Behind Assists OTP,Ineffective Disposals BTP,Ineffective Disposals OTP
Tom Mitchell,0.026490066225165563,0.05194805194805195,0.08064516129032258,0.1497005988023952,0.04849279161205767,0.09296482412060302,0.02766798418972332,0.051094890510948905,0.0,0.0,0.0,0.0,0.02564102564102564,0.05555555555555555,0.0,0.0,0.0,0.0,0.02912621359223301,0.06666666666666667,0.08163265306122448,0.17391304347826086,0.047619047619047616,0.08955223880597014,0.011904761904761904,0.021739130434782608,0.0425531914893617,0.09090909090909091,0.0425531914893617,0.08,0.053061224489795916,0.1111111111111111,0.04961832061068702,0.09027777777777778,0.048986486486486486,0.09415584415584416,0.043478260869565216,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.1111111111111111,0.1,0.21428571428571427,0.022988505747126436,0.05,0.01445455318425304,0.030658250676284943,0.0392156862745098,0.075,0.0392156862745098,0.0821917808219178,0.0,0.0,0.02361767157543762,0.04724847137298499,0,Home,0,0.02608695652173913,0.047244094488188976,0.030973451327433628,0.05555555555555555,0.03125,0.06896551724137931,0.024844720496894408,0.05333333333333334,0.04678362573099415,0.08888888888888889
Blake Hardwick,0.059602649006622516,0.11688311688311688,0.012903225806451613,0.023952095808383235,0.04062909567496723,0.07788944723618091,0.05928853754940711,0.10948905109489052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019417475728155338,0.044444444444444446,0.0,0.0,0.015873015873015872,0.029850746268656716,0.09523809523809523,0.17391304347826086,0.02127659574468085,0.045454545454545456,0.0,0.0,0.012244897959183673,0.02564102564102564,0.04389312977099236,0.0798611111111111,0.04391891891891892,0.08441558441558442,0.043478260869565216,0.1,0.0,0.0,0.030612244897959183,0.05454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.022988505747126436,0.05,0.042513391718391295,0.09017132551848513,0.0196078431372549,0.0375,0.026143790849673203,0.0547945205479452,0.0,0.0,0.02361767157543762,0.04724847137298499,0,Home,0,0.06086956521739131,0.11023622047244094,0.06637168141592921,0.11904761904761904,0.0,0.0,0.024844720496894408,0.05333333333333334,0.029239766081871343,0.05555555555555555
Changkuoth Jiath,0.037527593818984545,0.0735930735930736,0.025806451612903226,0.04790419161676647,0.0327653997378768,0.06281407035175879,0.03162055335968379,0.058394160583941604,0.0,0.0,0.0,0.0,0.01282051282051282,0.027777777777777776,0.0,0.0,0.0,0.0,0.02912621359223301,0.06666666666666667,0.0,0.0,0.05555555555555555,0.1044776119402985,0.03571428571428571,0.06521739130434782,0.06382978723404255,0.13636363636363635,0.0851063829787234,0.16,0.04081632653061224,0.08547008547008547,0.03244274809160305,0.059027777777777776,0.03209459459459459,0.06168831168831169,0.043478260869565216,0.1,0.0,0.0,0.09183673469387756,0.16363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.005747126436781609,0.0125,0.02958932063600034,0.06275924256086564,0.0457516339869281,0.0875,0.0718954248366013,0.1506849315068493,0.0,0.0,0.02361767157543762,0.04724847137298499,0,Home,0,0.030434782608695653,0.05511811023622047,0.035398230088495575,0.06349206349206349,0.015625,0.034482758620689655,0.006211180124223602,0.013333333333333334,0.03508771929824561,0.06666666666666667
Tom Phillips,0.033112582781456956,0.06493506493506493,0.02903225806451613,0.05389221556886228,0.03145478374836173,0.06030150753768844,0.015810276679841896,0.029197080291970802,0.0,0.0,0.0,0.0,0.02564102564102564,0.05555555555555555,0.0,0.0,0.07692307692307693,0.2,0.04854368932038835,0.1111111111111111,0.061224489795918366,0.13043478260869565,0.047619047619047616,0.08955223880597014,0.023809523809523808,0.043478260869565216,0.02127659574468085,0.045454545454545456,0.0,0.0,0.02040816326530612,0.042735042735042736,0.03435114503816794,0.0625,0.018581081081081082,0.03571428571428571,0.0,0.0,0.0,0.0,0.02040816326530612,0.03636363636363636,0.043478260869565216,0.1111111111111111,0.05263157894736842,0.1111111111111111,0.06666666666666667,0.14285714285714285,0.022988505747126436,0.05,0.04081285604965564,0.08656447249774572,0.06535947712418301,0.125,0.006535947712418301,0.0136986301369863,0.0,0.0,0.02222839677688247,0.04446914952751529,0,Home,0,0.017391304347826087,0.031496062992125984,0.017699115044247787,0.031746031746031744,0.03125,0.06896551724137931,0.018633540372670808,0.04,0.07602339181286549,0.14444444444444443
Jarman Impey,0.02869757174392936,0.05627705627705628,0.02903225806451613,0.05389221556886228,0.028833551769331587,0.05527638190954774,0.019762845849802372,0.0364963503649635,0.0,0.0,0.0,0.0,0.038461538461538464,0.08333333333333333,0.0,0.0,0.0,0.0,0.019417475728155338,0.044444444444444446,0.0,0.0,0.007936507936507936,0.014925373134328358,0.011904761904761904,0.021739130434782608,0.0425531914893617,0.09090909090909091,0.0,0.0,0.024489795918367346,0.05128205128205128,0.03435114503816794,0.0625,0.03547297297297297,0.06818181818181818,0.043478260869565216,0.1,0.0,0.0,0.061224489795918366,0.10909090909090909,0.17391304347826086,0.4444444444444444,0.0,0.0,0.0,0.0,0.017241379310344827,0.0375,0.01445455318425304,0.030658250676284943,0.0196078431372549,0.0375,0.0392156862745098,0.0821917808219178,0.0,0.0,0.02000555709919422,0.040022234574763754,0,Home,0,0.017391304347826087,0.031496062992125984,0.022123893805309734,0.03968253968253968,0.046875,0.10344827586206896,0.018633540372670808,0.04,0.005847953216374269,0.011111111111111112
Liam Shiels,0.024282560706401765,0.047619047619047616,0.03225806451612903,0.059880239520958084,0.027522935779816515,0.052763819095477386,0.019762845849802372,0.0364963503649635,0.0,0.0,0.0,0.0,0.05128205128205128,0.1111111111111111,0.0,0.0,0.0,0.0,0.019417475728155338,0.044444444444444446,0.02040816326530612,0.043478260869565216,0.031746031746031744,0.05970149253731343,0.023809523809523808,0.043478260869565216,0.02127659574468085,0.045454545454545456,0.0425531914893617,0.08,0.02857142857142857,0.05982905982905983,0.030534351145038167,0.05555555555555555,0.02533783783783784,0.048701298701298704,0.0,0.0,0.0,0.0,0.02040816326530612,0.03636363636363636,0.0,0.0,0.05263157894736842,0.1111111111111111,0.0,0.0,0.022988505747126436,0.05,0.016920329903919736,0.03588818755635708,0.0457516339869281,0.0875,0.0196078431372549,0.0410958904109589,0.0,0.0,0.021950541817171435,0.04391328515842134,0,Home,0,0.021739130434782608,0.03937007874015748,0.022123893805309734,0.03968253968253968,0.0625,0.13793103448275862,0.024844720496894408,0.05333333333333334,0.03508771929824561,0.06666666666666667
Jaeger O'Meara,0.02207505518763797,0.04329004329004329,0.035483870967741936,0.0658682634730539,0.027522935779816515,0.052763819095477386,0.007905138339920948,0.014598540145985401,0.0,0.0,0.0,0.0,0.05128205128205128,0.1111111111111111,0.0,0.0,0.0,0.0,0.038834951456310676,0.08888888888888889,0.08163265306122448,0.17391304347826086,0.031746031746031744,0.05970149253731343,0.0,0.0,0.06382978723404255,0.13636363636363635,0.02127659574468085,0.04,0.0326530612244898,0.06837606837606838,0.02480916030534351,0.04513888888888889,0.02533783783783784,0.048701298701298704,0.0,0.0,0.0,0.0,0.030612244897959183,0.05454545454545454,0.0,0.0,0.05263157894736842,0.1111111111111111,0.1,0.21428571428571427,0.022988505747126436,0.05,0.02210696369356347,0.046889089269612265,0.026143790849673203,0.05,0.0196078431372549,0.0410958904109589,0.07142857142857142,0.14285714285714285,0.02389552653514865,0.04780433574207893,0,Home,0,0.008695652173913044,0.015748031496062992,0.008849557522123894,0.015873015873015872,0.046875,0.10344827586206896,0.024844720496894408,0.05333333333333334,0.03508771929824561,0.06666666666666667
Daniel Howe,0.033112582781456956,0.06493506493506493,0.01935483870967742,0.03592814371257485,0.027522935779816515,0.052763819095477386,0.043478260869565216,0.08029197080291971,0.0,0.0,0.058823529411764705,0.16666666666666666,0.01282051282051282,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.08695652173913043,0.023809523809523808,0.04477611940298507,0.05952380952380952,0.10869565217391304,0.0425531914893617,0.09090909090909091,0.0425531914893617,0.08,0.02857142857142857,0.05982905982905983,0.030534351145038167,0.05555555555555555,0.02702702702702703,0.05194805194805195,0.0,0.0,0.037037037037037035,0.09090909090909091,0.0,0.0,0.043478260869565216,0.1111111111111111,0.10526315789473684,0.2222222222222222,0.0,0.0,0.011494252873563218,0.025,0.026103222515092252,0.055365193868349864,0.013071895424836602,0.025,0.026143790849673203,0.0547945205479452,0.0,0.0,0.02222839677688247,0.04446914952751529,0,Home,0,0.04782608695652174,0.08661417322834646,0.04424778761061947,0.07936507936507936,0.015625,0.034482758620689655,0.012422360248447204,0.02666666666666667,0.029239766081871343,0.05555555555555555
Harry Morrison,0.02869757174392936,0.05627705627705628,0.02258064516129032,0.041916167664670656,0.02621231979030144,0.05025125628140704,0.043478260869565216,0.08029197080291971,0.05555555555555555,0.14285714285714285,0.058823529411764705,0.16666666666666666,0.01282051282051282,0.027777777777777776,0.0,0.0,0.0,0.0,0.019417475728155338,0.044444444444444446,0.0,0.0,0.015873015873015872,0.029850746268656716,0.011904761904761904,0.021739130434782608,0.0,0.0,0.02127659574468085,0.04,0.012244897959183673,0.02564102564102564,0.03244274809160305,0.059027777777777776,0.02702702702702703,0.05194805194805195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022988505747126436,0.05,0.03511606155939121,0.0744815148782687,0.0196078431372549,0.0375,0.013071895424836602,0.0273972602739726,0.0,0.0,0.02278410669630453,0.045580878265703166,0,Home,0,0.04782608695652174,0.08661417322834646,0.048672566371681415,0.0873015873015873,0.015625,0.034482758620689655,0.024844720496894408,0.05333333333333334,0.023391812865497075,0.044444444444444446
Jonathon Ceglar,0.013245033112582781,0.025974025974025976,0.03225806451612903,0.059880239520958084,0.020969855832241154,0.04020100502512563,0.02766798418972332,0.051094890510948905,0.0,0.0,0.0,0.0,0.0,0.0,0.22448979591836735,0.44,0.0,0.0,0.009708737864077669,0.022222222222222223,0.02040816326530612,0.043478260869565216,0.015873015873015872,0.029850746268656716,0.023809523809523808,0.043478260869565216,0.02127659574468085,0.045454545454545456,0.0425531914893617,0.08,0.024489795918367346,0.05128205128205128,0.019083969465648856,0.034722222222222224,0.02364864864864865,0.045454545454545456,0.043478260869565216,0.1,0.0,0.0,0.07142857142857142,0.12727272727272726,0.0,0.0,0.0,0.0,0.03333333333333333,0.07142857142857142,0.022988505747126436,0.05,0.014964713884873736,0.03174030658250676,0.006535947712418301,0.0125,0.0392156862745098,0.0821917808219178,0.0,0.0,0.020561267018616283,0.04113396331295164,0,Home,0,0.02608695652173913,0.047244094488188976,0.030973451327433628,0.05555555555555555,0.0,0.0,0.024844720496894408,0.05333333333333334,0.011695906432748537,0.022222222222222223
