Player,Kicks BTP,Kicks OTP,Handballs BTP,Handballs OTP,Disposals BTP,Disposals OTP,Marks BTP,Marks OTP,Goals BTP,Goals OTP,Behinds BTP,Behinds OTP,Tackles BTP,Tackles OTP,Hitouts BTP,Hitouts OTP,Goal Assists BTP,Goal Assists OTP,Inside 50s BTP,Inside 50s OTP,Clearances BTP,Clearances OTP,Clangers BTP,Clangers OTP,Rebound 50s BTP,Rebound 50s OTP,Frees For BTP,Frees For OTP,Frees Agains BTP,Frees Agains OTP,Contested Possessions BTP,Contested Possessions OTP,Uncontested Possessions BTP,Uncontested Possessions OTP,Effective Disposals BTP,Effective Disposals OTP,Contested Marks BTP,Contested Marks OTP,Marks Inside 50 BTP,Marks Inside 50 OTP,One Percenters BTP,One Percenters OTP,Bounces BTP,Bounces OTP,Centre Clearances BTP,Centre Clearances OTP,Stoppage Clearances BTP,Stoppage Clearances OTP,Score Involvements BTP,Score Involvements OTP,Metres Gained BTP,Metres Gained OTP,Turnovers BTP,Turnovers OTP,Intercepts BTP,Intercepts OTP,Tackles Inside 50 BTP,Tackles Inside 50 OTP,Time On Ground % BTP,Time On Ground % OTP,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTP,Uncontested Marks OTP,Marks Outside 50 BTP,Marks Outside 50 OTP,Tackles Outside 50 BTP,Tackles Outside 50 OTP,Behind Assists BTP,Behind Assists OTP,Ineffective Disposals BTP,Ineffective Disposals OTP
Tom Mitchell,0.02207505518763797,0.04830917874396135,0.09393939393939393,0.15979381443298968,0.05236270753512133,0.10224438902743142,0.022222222222222223,0.050505050505050504,0.0,0.0,0.0,0.0,0.03571428571428571,0.06349206349206349,0.0,0.0,0.06666666666666667,0.16666666666666666,0.04081632653061224,0.11428571428571428,0.09523809523809523,0.23076923076923078,0.019230769230769232,0.03636363636363636,0.02666666666666667,0.04081632653061224,0.038461538461538464,0.0625,0.0,0.0,0.06513409961685823,0.13934426229508196,0.044859813084112146,0.08480565371024736,0.056856187290969896,0.11074918566775244,0.0,0.0,0.0,0.0,0.017699115044247787,0.03508771929824561,0.0,0.0,0.09523809523809523,0.2857142857142857,0.09523809523809523,0.21052631578947367,0.043243243243243246,0.1,0.02487198244330651,0.05176022835394862,0.029197080291970802,0.056338028169014086,0.04316546762589928,0.08955223880597014,0.0,0.0,0.02277777777777778,0.045580878265703166,0,Home,0,0.025252525252525252,0.05434782608695652,0.024630541871921183,0.056179775280898875,0.044444444444444446,0.07017543859649122,0.041176470588235294,0.0945945945945946,0.03783783783783784,0.07446808510638298
Jarman Impey,0.03090507726269316,0.06763285024154589,0.05454545454545454,0.09278350515463918,0.04086845466155811,0.0798004987531172,0.017777777777777778,0.04040404040404041,0.045454545454545456,0.125,0.0,0.0,0.017857142857142856,0.031746031746031744,0.0,0.0,0.0,0.0,0.02040816326530612,0.05714285714285714,0.015873015873015872,0.038461538461538464,0.038461538461538464,0.07272727272727272,0.02666666666666667,0.04081632653061224,0.07692307692307693,0.125,0.038461538461538464,0.1,0.034482758620689655,0.07377049180327869,0.041121495327102804,0.07773851590106007,0.048494983277591976,0.09446254071661238,0.0,0.0,0.0,0.0,0.02654867256637168,0.05263157894736842,0.0,0.0,0.047619047619047616,0.14285714285714285,0.0,0.0,0.021621621621621623,0.05,0.02468910021945867,0.05137963843958135,0.029197080291970802,0.056338028169014086,0.07194244604316546,0.14925373134328357,0.0,0.0,0.0225,0.04502501389660923,0,Home,0,0.020202020202020204,0.043478260869565216,0.019704433497536946,0.0449438202247191,0.022222222222222223,0.03508771929824561,0.023529411764705882,0.05405405405405406,0.016216216216216217,0.031914893617021274
Jack Scrimshaw,0.033112582781456956,0.07246376811594203,0.03636363636363636,0.061855670103092786,0.034482758620689655,0.06733167082294264,0.02666666666666667,0.06060606060606061,0.0,0.0,0.07142857142857142,0.14285714285714285,0.03571428571428571,0.06349206349206349,0.0,0.0,0.0,0.0,0.02040816326530612,0.05714285714285714,0.0,0.0,0.028846153846153848,0.05454545454545454,0.06666666666666667,0.10204081632653061,0.0,0.0,0.0,0.0,0.01532567049808429,0.03278688524590164,0.041121495327102804,0.07773851590106007,0.03678929765886288,0.07166123778501629,0.0,0.0,0.0,0.0,0.008849557522123894,0.017543859649122806,0.08333333333333333,0.25,0.0,0.0,0.0,0.0,0.02702702702702703,0.0625,0.03602779809802487,0.07497621313035205,0.021897810218978103,0.04225352112676056,0.02877697841726619,0.05970149253731343,0.0,0.0,0.022222222222222223,0.04446914952751529,0,Home,0,0.030303030303030304,0.06521739130434782,0.029556650246305417,0.06741573033707865,0.044444444444444446,0.07017543859649122,0.029411764705882353,0.06756756756756757,0.02702702702702703,0.05319148936170213
James Worpel,0.02869757174392936,0.06280193236714976,0.04242424242424243,0.07216494845360824,0.034482758620689655,0.06733167082294264,0.022222222222222223,0.050505050505050504,0.09090909090909091,0.25,0.0,0.0,0.03571428571428571,0.06349206349206349,0.0,0.0,0.0,0.0,0.04081632653061224,0.11428571428571428,0.09523809523809523,0.23076923076923078,0.04807692307692308,0.09090909090909091,0.013333333333333334,0.02040816326530612,0.038461538461538464,0.0625,0.07692307692307693,0.2,0.038314176245210725,0.08196721311475409,0.029906542056074768,0.05653710247349823,0.03177257525083612,0.06188925081433225,0.0,0.0,0.045454545454545456,0.1,0.017699115044247787,0.03508771929824561,0.0,0.0,0.047619047619047616,0.14285714285714285,0.11904761904761904,0.2631578947368421,0.016216216216216217,0.0375,0.03319312362838332,0.06907706945765937,0.043795620437956206,0.08450704225352113,0.02877697841726619,0.05970149253731343,0.0,0.0,0.023333333333333334,0.04669260700389105,0,Home,0,0.025252525252525252,0.05434782608695652,0.019704433497536946,0.0449438202247191,0.044444444444444446,0.07017543859649122,0.01764705882352941,0.04054054054054054,0.043243243243243246,0.0851063829787234
Changkuoth Jiath,0.026490066225165563,0.057971014492753624,0.03939393939393939,0.06701030927835051,0.031928480204342274,0.06234413965087282,0.03111111111111111,0.0707070707070707,0.0,0.0,0.0,0.0,0.017857142857142856,0.031746031746031744,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.038461538461538464,0.038461538461538464,0.07272727272727272,0.05333333333333334,0.08163265306122448,0.038461538461538464,0.0625,0.0,0.0,0.02681992337164751,0.05737704918032787,0.03925233644859813,0.07420494699646643,0.03511705685618729,0.06840390879478828,0.0,0.0,0.0,0.0,0.04424778761061947,0.08771929824561403,0.16666666666666666,0.5,0.0,0.0,0.023809523809523808,0.05263157894736842,0.02702702702702703,0.0625,0.031364301389904904,0.06527117031398667,0.043795620437956206,0.08450704225352113,0.050359712230215826,0.1044776119402985,0.0,0.0,0.022222222222222223,0.04446914952751529,0,Home,0,0.03535353535353535,0.07608695652173914,0.034482758620689655,0.07865168539325842,0.022222222222222223,0.03508771929824561,0.029411764705882353,0.06756756756756757,0.021621621621621623,0.0425531914893617
Liam Shiels,0.03090507726269316,0.06763285024154589,0.02727272727272727,0.04639175257731959,0.02937420178799489,0.057356608478802994,0.022222222222222223,0.050505050505050504,0.0,0.0,0.0,0.0,0.017857142857142856,0.031746031746031744,0.0,0.0,0.0,0.0,0.02040816326530612,0.05714285714285714,0.015873015873015872,0.038461538461538464,0.057692307692307696,0.10909090909090909,0.013333333333333334,0.02040816326530612,0.038461538461538464,0.0625,0.038461538461538464,0.1,0.011494252873563218,0.02459016393442623,0.03925233644859813,0.07420494699646643,0.021739130434782608,0.04234527687296417,0.0,0.0,0.0,0.0,0.008849557522123894,0.017543859649122806,0.0,0.0,0.0,0.0,0.023809523809523808,0.05263157894736842,0.010810810810810811,0.025,0.03328456474030724,0.069267364414843,0.06569343065693431,0.1267605633802817,0.007194244604316547,0.014925373134328358,0.0,0.0,0.021666666666666667,0.0433574207893274,0,Home,0,0.025252525252525252,0.05434782608695652,0.024630541871921183,0.056179775280898875,0.022222222222222223,0.03508771929824561,0.011764705882352941,0.02702702702702703,0.05405405405405406,0.10638297872340426
Blake Hardwick,0.039735099337748346,0.08695652173913043,0.015151515151515152,0.02577319587628866,0.02937420178799489,0.057356608478802994,0.013333333333333334,0.030303030303030304,0.0,0.0,0.0,0.0,0.017857142857142856,0.031746031746031744,0.0,0.0,0.0,0.0,0.030612244897959183,0.08571428571428572,0.031746031746031744,0.07692307692307693,0.038461538461538464,0.07272727272727272,0.13333333333333333,0.20408163265306123,0.038461538461538464,0.0625,0.038461538461538464,0.1,0.011494252873563218,0.02459016393442623,0.03364485981308411,0.0636042402826855,0.03177257525083612,0.06188925081433225,0.0,0.0,0.0,0.0,0.017699115044247787,0.03508771929824561,0.0,0.0,0.0,0.0,0.047619047619047616,0.10526315789473684,0.005405405405405406,0.0125,0.04937820043891734,0.1027592768791627,0.051094890510948905,0.09859154929577464,0.014388489208633094,0.029850746268656716,0.0,0.0,0.021666666666666667,0.0433574207893274,0,Home,0,0.015151515151515152,0.03260869565217391,0.014778325123152709,0.033707865168539325,0.022222222222222223,0.03508771929824561,0.0058823529411764705,0.013513513513513514,0.021621621621621623,0.0425531914893617
Tom Phillips,0.033112582781456956,0.07246376811594203,0.021212121212121213,0.03608247422680412,0.0280970625798212,0.05486284289276808,0.02666666666666667,0.06060606060606061,0.0,0.0,0.0,0.0,0.008928571428571428,0.015873015873015872,0.0,0.0,0.0,0.0,0.01020408163265306,0.02857142857142857,0.0,0.0,0.04807692307692308,0.09090909090909091,0.04,0.061224489795918366,0.0,0.0,0.0,0.0,0.007662835249042145,0.01639344262295082,0.037383177570093455,0.0706713780918728,0.023411371237458192,0.04560260586319218,0.0,0.0,0.0,0.0,0.008849557522123894,0.017543859649122806,0.08333333333333333,0.25,0.0,0.0,0.0,0.0,0.010810810810810811,0.025,0.03922823701536211,0.08163653663177926,0.0364963503649635,0.07042253521126761,0.014388489208633094,0.029850746268656716,0.0,0.0,0.021666666666666667,0.0433574207893274,0,Home,0,0.030303030303030304,0.06521739130434782,0.029556650246305417,0.06741573033707865,0.011111111111111112,0.017543859649122806,0.011764705882352941,0.02702702702702703,0.043243243243243246,0.0851063829787234
Harry Morrison,0.019867549668874173,0.043478260869565216,0.03333333333333333,0.05670103092783505,0.02554278416347382,0.04987531172069826,0.02666666666666667,0.06060606060606061,0.0,0.0,0.0,0.0,0.026785714285714284,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.038461538461538464,0.028846153846153848,0.05454545454545454,0.04,0.061224489795918366,0.0,0.0,0.038461538461538464,0.1,0.019157088122605363,0.040983606557377046,0.026168224299065422,0.04946996466431095,0.028428093645484948,0.05537459283387622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.05263157894736842,0.016216216216216217,0.0375,0.012253108997805413,0.02549952426260704,0.014598540145985401,0.028169014084507043,0.02158273381294964,0.04477611940298507,0.0,0.0,0.023333333333333334,0.04669260700389105,0,Home,0,0.030303030303030304,0.06521739130434782,0.029556650246305417,0.06741573033707865,0.03333333333333333,0.05263157894736842,0.01764705882352941,0.04054054054054054,0.016216216216216217,0.031914893617021274
Chad Wingard,0.01545253863134658,0.033816425120772944,0.03636363636363636,0.061855670103092786,0.024265644955300127,0.04738154613466334,0.022222222222222223,0.050505050505050504,0.0,0.0,0.0,0.0,0.026785714285714284,0.047619047619047616,0.0,0.0,0.0,0.0,0.04081632653061224,0.11428571428571428,0.031746031746031744,0.07692307692307693,0.0,0.0,0.04,0.061224489795918366,0.038461538461538464,0.0625,0.0,0.0,0.019157088122605363,0.040983606557377046,0.028037383177570093,0.053003533568904596,0.026755852842809364,0.05211726384364821,0.0,0.0,0.0,0.0,0.017699115044247787,0.03508771929824561,0.0,0.0,0.0,0.0,0.047619047619047616,0.10526315789473684,0.021621621621621623,0.05,0.025420629114850036,0.05290199809705043,0.029197080291970802,0.056338028169014086,0.007194244604316547,0.014925373134328358,0.0,0.0,0.021111111111111112,0.042245692051139525,0,Home,0,0.025252525252525252,0.05434782608695652,0.024630541871921183,0.056179775280898875,0.03333333333333333,0.05263157894736842,0.023529411764705882,0.05405405405405406,0.016216216216216217,0.031914893617021274
