Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Steven Motlop,1.0,0.7916666666666666,0.5384615384615384,0.4117647058823529,1.0,0.6857142857142857,0.42857142857142855,0.375,1.0,0.5,1.0,1.0,0.38461538461538464,0.38461538461538464,0.0,0.0,0.5,0.3333333333333333,1.0,0.875,0.8333333333333334,0.45454545454545453,0.4,0.2857142857142857,0.6666666666666666,0.13333333333333333,0.0,0.0,0.2,0.2,0.8,0.5,1.0,0.7142857142857143,1.0,0.6296296296296297,0.45714285714285724,0.4,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.25,0.2,0.4,0.2222222222222222,0.7142857142857143,0.5555555555555556,1.0,0.54419595314164,1.0,0.5555555555555556,0.375,0.25,0.5,0.5,0.8235294117647058,0.8313253012048193,0,1
Mathew Stokes,0.6470588235294118,0.5416666666666666,0.6923076923076923,0.5294117647058824,0.8333333333333334,0.5714285714285714,0.42857142857142855,0.375,0.0,0.0,0.5,0.5,0.3076923076923077,0.3076923076923077,0.0,0.0,1.0,0.6666666666666666,0.2857142857142857,0.25,0.16666666666666666,0.09090909090909091,0.0,0.0,1.0,0.2,1.0,0.75,0.0,0.0,0.8,0.5,0.8666666666666667,0.6190476190476191,0.8823529411764706,0.5555555555555556,0.5795918367346939,0.46,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.1111111111111111,0.5714285714285714,0.4444444444444444,0.898238747553816,0.48881789137380194,0.4,0.2222222222222222,0.75,0.5,0.0,0.0,0.8235294117647058,0.8313253012048193,0,0
Mark Blicavs,0.4117647058823529,0.375,0.9230769230769231,0.7058823529411765,0.7916666666666666,0.5428571428571428,0.2857142857142857,0.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5681818181818182,0.5,0.3333333333333333,0.2857142857142857,0.25,1.0,0.5454545454545454,1.0,0.7142857142857143,0.0,0.0,0.6666666666666666,0.5,1.0,1.0,1.0,0.6111111111111112,0.5333333333333333,0.38095238095238093,0.8823529411764706,0.5555555555555556,0.742857142857143,0.54,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,1.0,0.8,0.4,0.2222222222222222,0.8571428571428571,0.6666666666666666,0.3933463796477495,0.21405750798722045,0.8,0.4444444444444444,0.375,0.25,0.0,0.0,0.9264705882352942,0.9156626506024096,0,0
Cameron Guthrie,0.29411764705882354,0.2916666666666667,1.0,0.7647058823529411,0.75,0.5142857142857142,0.5714285714285714,0.5,0.5,0.25,0.0,0.0,0.46153846153846156,0.46153846153846156,0.0,0.0,0.0,0.0,0.2857142857142857,0.25,0.8333333333333334,0.45454545454545453,0.2,0.14285714285714285,0.0,0.0,0.3333333333333333,0.25,0.2,0.2,0.9,0.5555555555555556,0.5333333333333333,0.38095238095238093,0.8823529411764706,0.5555555555555556,0.9061224489795919,0.62,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.4,0.8,0.4444444444444444,1.0,0.7777777777777778,0.34637964774951074,0.18849840255591055,0.0,0.0,0.25,0.16666666666666666,0.0,0.0,0.6470588235294118,0.6867469879518072,0,0
Josh Caddy,0.47058823529411764,0.4166666666666667,0.6153846153846154,0.47058823529411764,0.6666666666666666,0.45714285714285713,0.7142857142857143,0.625,0.0,0.0,0.5,0.5,0.5384615384615384,0.5384615384615384,0.12,0.06818181818181818,1.0,0.6666666666666666,0.8571428571428571,0.75,1.0,0.5454545454545454,0.6,0.42857142857142855,0.0,0.0,0.3333333333333333,0.25,0.4,0.4,0.8,0.5,0.4666666666666667,0.3333333333333333,0.7058823529411765,0.4444444444444444,0.5795918367346939,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.25,0.2,1.0,0.5555555555555556,0.42857142857142855,0.3333333333333333,0.7162426614481409,0.38977635782747605,1.0,0.5555555555555556,0.0,0.0,0.5,0.5,0.75,0.7710843373493976,0,0
Corey Enright,0.7058823529411765,0.5833333333333334,0.23076923076923078,0.17647058823529413,0.625,0.42857142857142855,0.5714285714285714,0.5,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.42857142857142855,0.375,0.3333333333333333,0.18181818181818182,0.4,0.2857142857142857,1.0,0.2,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.6666666666666666,0.47619047619047616,0.7647058823529411,0.48148148148148145,0.9877551020408164,0.66,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.2222222222222222,0.5714285714285714,0.4444444444444444,0.6790606653620352,0.369542066027689,0.4,0.2222222222222222,1.0,0.6666666666666666,0.0,0.0,0.9264705882352942,0.9156626506024096,0,0
Steve Johnson,0.47058823529411764,0.4166666666666667,0.46153846153846156,0.35294117647058826,0.5833333333333334,0.4,0.5714285714285714,0.5,1.0,0.5,0.5,0.5,0.23076923076923078,0.23076923076923078,0.0,0.0,0.5,0.3333333333333333,0.2857142857142857,0.25,0.16666666666666666,0.09090909090909091,0.6,0.42857142857142855,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.25,0.0,0.0,0.2,0.16666666666666666,0.8,0.5714285714285714,0.47058823529411764,0.2962962962962963,-0.03265306122448968,0.16,0.0,0.0,0.6666666666666666,0.6666666666666666,0.2,0.2,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2,0.1111111111111111,0.7142857142857143,0.5555555555555556,0.49510763209393344,0.26943556975505856,0.8,0.4444444444444444,0.0,0.0,0.0,0.0,0.8970588235294118,0.891566265060241,0,0
Joel Selwood,0.4117647058823529,0.375,0.5384615384615384,0.4117647058823529,0.5833333333333334,0.4,0.2857142857142857,0.25,0.5,0.25,0.0,0.0,0.46153846153846156,0.46153846153846156,0.0,0.0,0.5,0.3333333333333333,1.0,0.875,1.0,0.5454545454545454,0.8,0.5714285714285714,0.0,0.0,0.6666666666666666,0.5,0.4,0.4,0.6,0.3888888888888889,0.4666666666666667,0.3333333333333333,0.47058823529411764,0.2962962962962963,-0.03265306122448968,0.16,0.0,0.0,0.0,0.0,0.2,0.2,0.3333333333333333,0.3333333333333333,0.75,0.6,0.6,0.3333333333333333,0.7142857142857143,0.5555555555555556,0.7338551859099804,0.3993610223642173,0.4,0.2222222222222222,0.0,0.0,0.5,0.5,0.7058823529411765,0.7349397590361446,0,0
Andrew Mackie,0.4117647058823529,0.375,0.38461538461538464,0.29411764705882354,0.5,0.34285714285714286,0.5714285714285714,0.5,0.0,0.0,0.0,0.0,0.38461538461538464,0.38461538461538464,0.0,0.0,0.0,0.0,0.7142857142857143,0.625,0.0,0.0,0.6,0.42857142857142855,0.3333333333333333,0.06666666666666667,0.0,0.0,0.2,0.2,0.2,0.16666666666666666,0.6666666666666666,0.47619047619047616,0.4117647058823529,0.25925925925925924,0.04897959183673481,0.2,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.1111111111111111,0.5851272015655578,0.3184238551650692,0.8,0.4444444444444444,0.5,0.3333333333333333,0.0,0.0,0.9558823529411765,0.9397590361445783,0,0
Darcy Lang,0.47058823529411764,0.4166666666666667,0.3076923076923077,0.23529411764705882,0.5,0.34285714285714286,1.0,0.875,1.0,0.5,0.0,0.0,0.38461538461538464,0.38461538461538464,0.04,0.022727272727272728,0.5,0.3333333333333333,0.5714285714285714,0.5,0.3333333333333333,0.18181818181818182,0.6,0.42857142857142855,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.25,0.2,0.2,0.2,0.16666666666666666,0.6,0.42857142857142855,0.4117647058823529,0.25925925925925924,0.04897959183673481,0.2,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.2,0.2,0.1111111111111111,0.7142857142857143,0.5555555555555556,0.761252446183953,0.4142705005324814,0.8,0.4444444444444444,0.0,0.0,0.5,0.5,0.8235294117647058,0.8313253012048193,0,0
