Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Jackson Macrae,0.7647058823529411,0.75,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.4,0.5714285714285714,0.02564102564102564,0.06666666666666667,0.0,0.0,0.8333333333333334,0.8333333333333334,1.0,1.0,0.5,0.5,0.2,0.25,0.0,0.0,1.0,1.0,1.0,1.0,0.7619047619047619,0.7619047619047619,1.0,1.0,0.0,0.0,0.3333333333333333,0.5,0.2222222222222222,0.2857142857142857,0.0,0.0,1.0,1.0,0.6,1.0,0.8181818181818182,0.8,0.6263498920086393,0.6059907834101382,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.9012345679012346,0.9166666666666666,0.5,Home,3,0.5454545454545454,0.5454545454545454,0.4,0.4,0.5,0.5714285714285714,0.9,0.8888888888888888,0.7692307692307693,0.7692307692307693
Luke Dahlhaus,0.8235294117647058,0.8125,0.5,0.5,0.71875,0.71875,0.1,0.1,0.2,0.2,0.0,0.0,0.7,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.625,0.625,0.5,0.5,0.4,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5882352941176471,0.5625,0.7142857142857143,0.7142857142857143,0.4782608695652174,0.4782608695652174,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.4,0.4,0.6,1.0,0.8181818181818182,0.8,0.6954643628509719,0.6797235023041475,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.8395061728395061,0.8333333333333334,0.5,Home,0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.875,1.0,0.8,0.7777777777777778,1.0,1.0
Robert Murphy,1.0,1.0,0.25,0.25,0.65625,0.65625,0.5,0.5,0.0,0.0,0.0,0.0,0.2,0.2857142857142857,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.8,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.11764705882352941,0.0625,1.0,1.0,0.7391304347826086,0.7391304347826086,0.0,0.0,0.0,0.0,0.1111111111111111,0.14285714285714285,0.8,1.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.9,0.9956803455723542,1.0,0.6666666666666667,0.6666666666666667,0.4444444444444444,0.4444444444444444,0.0,0.0,0.8641975308641975,0.8666666666666667,0.5,Home,0,0.5454545454545454,0.5454545454545454,0.5,0.5,0.25,0.2857142857142857,0.9,0.8888888888888888,0.38461538461538464,0.38461538461538464
Mitchell Wallis,0.5294117647058824,0.5,0.6,0.6,0.625,0.625,0.2,0.2,0.6,0.6,0.0,0.0,0.5,0.7142857142857143,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.625,0.625,1.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8235294117647058,0.8125,0.38095238095238093,0.38095238095238093,0.6521739130434783,0.6521739130434783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,0.6666666666666666,1.0,1.0,0.7451403887688985,0.7327188940092166,0.8333333333333334,0.8333333333333334,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.5,0.8024691358024691,0.7833333333333333,0.5,Home,2,0.2727272727272727,0.2727272727272727,0.2,0.2,0.5,0.5714285714285714,0.9,0.8888888888888888,0.46153846153846156,0.46153846153846156
Jarrad Grant,0.4117647058823529,0.375,0.65,0.65,0.59375,0.59375,0.6,0.6,0.0,0.0,0.0,0.0,0.1,0.14285714285714285,0.05128205128205128,0.13333333333333333,0.5,0.5,0.8333333333333334,0.8333333333333334,0.125,0.125,0.8333333333333334,0.8333333333333334,0.4,0.5,0.0,0.0,1.0,1.0,0.29411764705882354,0.25,0.7619047619047619,0.7619047619047619,0.8260869565217391,0.8260869565217391,0.0,0.0,0.0,0.0,0.1111111111111111,0.14285714285714285,0.2,0.25,0.0,0.0,0.2,0.3333333333333333,0.7272727272727273,0.7,0.8660907127429806,0.8617511520737328,0.6666666666666667,0.6666666666666667,0.4444444444444444,0.4444444444444444,0.0,0.0,0.8395061728395061,0.8333333333333334,0.5,Home,0,0.6363636363636364,0.6363636363636364,0.6,0.6,0.125,0.14285714285714285,0.7,0.6666666666666666,0.07692307692307693,0.07692307692307693
Liam Picken,0.47058823529411764,0.4375,0.6,0.6,0.59375,0.59375,0.2,0.2,0.4,0.4,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.625,0.625,0.5,0.5,0.2,0.25,0.6666666666666666,0.6666666666666666,1.0,1.0,0.4117647058823529,0.375,0.6666666666666666,0.6666666666666666,0.6521739130434783,0.6521739130434783,0.0,0.0,0.0,0.0,0.1111111111111111,0.14285714285714285,0.0,0.0,0.4,0.4,0.6,1.0,0.45454545454545453,0.4,0.7321814254859611,0.7188940092165899,0.16666666666666663,0.16666666666666663,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.8641975308641975,0.8666666666666667,0.5,Home,0,0.2727272727272727,0.2727272727272727,0.2,0.2,0.625,0.7142857142857143,0.5,0.4444444444444444,0.38461538461538464,0.38461538461538464
Koby Stevens,0.47058823529411764,0.4375,0.6,0.6,0.59375,0.59375,0.1,0.1,0.2,0.2,0.0,0.0,0.5,0.7142857142857143,0.0,0.0,0.0,0.0,0.5,0.5,0.625,0.625,0.5,0.5,0.2,0.25,0.0,0.0,0.0,0.0,0.5294117647058824,0.5,0.6190476190476191,0.6190476190476191,0.7391304347826086,0.7391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25,0.8,0.8,0.2,0.3333333333333333,0.5454545454545454,0.5,0.34773218142548595,0.3087557603686636,0.5,0.5,0.1111111111111111,0.1111111111111111,0.0,0.0,0.8641975308641975,0.8666666666666667,0.5,Home,0,0.18181818181818182,0.18181818181818182,0.1,0.1,0.625,0.7142857142857143,0.6,0.5555555555555556,0.23076923076923078,0.23076923076923078
Matthew Boyd,0.8823529411764706,0.875,0.2,0.2,0.5625,0.5625,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2857142857142857,0.0,0.0,0.5,0.5,0.5,0.5,0.125,0.125,0.0,0.0,0.8,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.23529411764705882,0.1875,0.8095238095238095,0.8095238095238095,0.6521739130434783,0.6521739130434783,0.0,0.0,0.0,0.0,0.1111111111111111,0.14285714285714285,0.4,0.5,0.0,0.0,0.2,0.3333333333333333,0.36363636363636365,0.3,0.9632829373650108,0.9654377880184332,0.16666666666666663,0.16666666666666663,0.4444444444444444,0.4444444444444444,0.0,0.0,0.8765432098765432,0.8833333333333333,0.5,Home,0,1.0,1.0,1.0,1.0,0.25,0.2857142857142857,0.3,0.2222222222222222,0.3076923076923077,0.3076923076923077
Marcus Bontempelli,0.47058823529411764,0.4375,0.5,0.5,0.53125,0.53125,0.3,0.3,0.2,0.2,0.5,1.0,0.6,0.8571428571428571,0.07692307692307693,0.2,0.5,0.5,0.5,0.5,0.125,0.125,0.6666666666666667,0.6666666666666667,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.5294117647058824,0.5,0.5238095238095238,0.5238095238095238,0.5652173913043478,0.5652173913043478,0.25,0.25,0.0,0.0,0.1111111111111111,0.14285714285714285,0.4,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.7386609071274298,0.7258064516129032,1.0,1.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.8395061728395061,0.8333333333333334,0.5,Home,0,0.2727272727272727,0.2727272727272727,0.3,0.3,0.75,0.8571428571428571,1.0,1.0,0.38461538461538464,0.38461538461538464
Easton Wood,0.5882352941176471,0.5625,0.35,0.35,0.5,0.5,0.6,0.6,0.0,0.0,0.0,0.0,0.1,0.14285714285714285,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666667,0.6666666666666667,0.4,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5294117647058824,0.5,0.42857142857142855,0.42857142857142855,0.5652173913043478,0.5652173913043478,0.5,0.5,0.3333333333333333,0.5,0.2222222222222222,0.2857142857142857,0.2,0.25,0.0,0.0,0.0,0.0,0.5454545454545454,0.5,0.45788336933045354,0.42626728110599077,0.6666666666666667,0.6666666666666667,1.0,1.0,0.0,0.0,0.8518518518518519,0.85,0.5,Home,0,0.45454545454545453,0.45454545454545453,0.5,0.5,0.125,0.14285714285714285,0.6,0.5555555555555556,0.3076923076923077,0.3076923076923077
