Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Brent Stanton,1.0,0.8333333333333334,0.4,0.47058823529411764,1.0,0.8484848484848485,0.4444444444444444,0.4444444444444444,0.2,0.2,0.0,0.0,0.5,0.4444444444444444,0.0,0.0,0.0,0.0,0.6,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.8,0.5714285714285714,0.16666666666666666,0.16666666666666666,0.5,0.5,0.25,0.25,0.5384615384615384,0.5,1.0,1.0,0.8888888888888888,0.9047619047619048,0.460431654676259,0.460431654676259,0.3333333333333333,0.25,0.2,0.2,0.3333333333333333,0.15384615384615385,0.5,0.5,0.0,0.0,0.8,0.5,0.7142857142857143,0.7142857142857143,0.9159001314060446,0.8327485380116959,0.6666666666666666,0.46153846153846156,0.09090909090909091,0.09090909090909091,0.0,0.0,0.8461538461538461,0.8513513513513513,1,3
Brendon Goddard,0.5,0.4166666666666667,1.0,1.0,0.9583333333333334,0.8181818181818182,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.5,0.4444444444444444,0.05,0.017241379310344827,0.5,0.5,0.2,0.1111111111111111,1.0,1.0,0.4,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.9285714285714286,0.65,0.6818181818181818,1.0,1.0,0.6223021582733813,0.6223021582733813,0.0,0.0,0.0,0.0,0.16666666666666666,0.07692307692307693,1.0,1.0,1.0,1.0,1.0,0.625,0.7142857142857143,0.7142857142857143,0.38501971090670173,0.36023391812865496,0.4444444444444444,0.3076923076923077,0.18181818181818182,0.18181818181818182,1.0,0.3333333333333333,0.7846153846153846,0.7972972972972973,1,0
Michael Hurley,1.0,0.8333333333333334,0.0,0.11764705882352941,0.75,0.6666666666666666,1.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.25,0.2222222222222222,0.0,0.0,0.0,0.0,0.2,0.1111111111111111,0.0,0.0,0.8,0.5714285714285714,1.0,1.0,0.0,0.0,0.5,0.5,0.5384615384615384,0.5,0.4,0.45454545454545453,0.6666666666666666,0.7142857142857143,0.460431654676259,0.460431654676259,1.0,0.75,0.0,0.0,1.0,0.46153846153846156,0.5,0.5,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,1.0,0.9076023391812865,0.8888888888888888,0.6153846153846154,1.0,1.0,0.0,0.0,0.9230769230769231,0.918918918918919,1,0
James Gwilt,0.7,0.5833333333333334,0.3333333333333333,0.4117647058823529,0.7083333333333334,0.6363636363636364,0.5555555555555556,0.5555555555555556,0.0,0.0,0.3333333333333333,0.3333333333333333,0.125,0.1111111111111111,0.0,0.0,0.0,0.0,0.8,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.4,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.5384615384615384,0.5,0.55,0.5909090909090909,0.6666666666666666,0.7142857142857143,0.5143884892086331,0.5143884892086331,0.0,0.0,0.0,0.0,0.8333333333333334,0.38461538461538464,0.0,0.0,0.0,0.0,0.2,0.125,0.2857142857142857,0.2857142857142857,0.6675427069645203,0.6116959064327485,0.2222222222222222,0.15384615384615385,0.45454545454545453,0.45454545454545453,0.0,0.0,0.9692307692307692,0.9594594594594594,1,0
Zachary Merrett,0.45,0.375,0.5333333333333333,0.5882352941176471,0.625,0.5757575757575758,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.4,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.4,0.2857142857142857,0.08333333333333333,0.08333333333333333,0.0,0.0,0.25,0.25,0.8461538461538461,0.7857142857142857,0.35,0.4090909090909091,0.5555555555555556,0.6190476190476191,0.4784172661870504,0.4784172661870504,0.0,0.0,0.0,0.0,0.16666666666666666,0.07692307692307693,0.0,0.0,0.3333333333333333,0.3333333333333333,0.8,0.5,0.5714285714285714,0.5714285714285714,0.4743758212877792,0.439766081871345,0.6666666666666666,0.46153846153846156,0.45454545454545453,0.45454545454545453,1.0,0.3333333333333333,0.6923076923076923,0.7162162162162162,1,0
Dyson Heppell,0.45,0.375,0.4,0.47058823529411764,0.5416666666666666,0.5151515151515151,0.1111111111111111,0.1111111111111111,0.2,0.2,0.0,0.0,0.875,0.7777777777777778,0.25,0.08620689655172414,0.0,0.0,0.2,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.2,0.14285714285714285,0.16666666666666666,0.16666666666666666,1.0,1.0,0.0,0.0,1.0,0.9285714285714286,0.15,0.22727272727272727,0.2777777777777778,0.38095238095238093,0.1366906474820144,0.1366906474820144,0.0,0.0,0.2,0.2,0.6666666666666666,0.3076923076923077,0.0,0.0,0.0,0.0,0.6,0.375,0.42857142857142855,0.42857142857142855,0.1616294349540079,0.16140350877192983,0.2222222222222222,0.15384615384615385,0.2727272727272727,0.2727272727272727,0.0,0.0,0.9230769230769231,0.918918918918919,1,0
Jackson Merrett,0.55,0.4583333333333333,0.26666666666666666,0.35294117647058826,0.5416666666666666,0.5151515151515151,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.75,0.6666666666666666,0.0,0.0,1.0,1.0,0.6,0.3333333333333333,0.2222222222222222,0.2222222222222222,1.0,0.7142857142857143,0.0,0.0,0.25,0.25,0.25,0.25,0.5384615384615384,0.5,0.4,0.45454545454545453,0.4444444444444444,0.5238095238095238,0.4244604316546763,0.4244604316546763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.7142857142857143,0.7142857142857143,0.3324572930354796,0.3134502923976608,0.5555555555555556,0.38461538461538464,0.09090909090909091,0.09090909090909091,1.0,0.3333333333333333,0.7538461538461538,0.7702702702702703,1,0
Nicholas O'Brien,0.3,0.25,0.6,0.6470588235294118,0.5416666666666666,0.5151515151515151,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.625,0.5555555555555556,0.0,0.0,1.0,1.0,0.2,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.4,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.8571428571428571,0.2,0.2727272727272727,0.3333333333333333,0.42857142857142855,0.22661870503597123,0.22661870503597123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,0.7142857142857143,0.7142857142857143,0.2720105124835742,0.2596491228070175,0.1111111111111111,0.07692307692307693,0.36363636363636365,0.36363636363636365,1.0,0.3333333333333333,0.9230769230769231,0.918918918918919,1,0
Cale Hooker,0.6,0.5,0.13333333333333333,0.23529411764705882,0.5,0.48484848484848486,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,1.0,0.125,0.1111111111111111,0.05,0.017241379310344827,0.0,0.0,0.8,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.8,0.5714285714285714,0.08333333333333333,0.08333333333333333,0.25,0.25,1.0,1.0,0.7692307692307693,0.7142857142857143,0.4,0.45454545454545453,0.16666666666666666,0.2857142857142857,-0.007194244604316521,-0.007194244604316521,0.3333333333333333,0.25,0.2,0.2,0.6666666666666666,0.3076923076923077,0.5,0.5,0.0,0.0,0.2,0.125,0.42857142857142855,0.42857142857142855,0.4835742444152431,0.447953216374269,1.0,0.6923076923076923,0.36363636363636365,0.36363636363636365,1.0,0.3333333333333333,0.9230769230769231,0.918918918918919,1,0
Shaun McKernan,0.5,0.4166666666666667,0.26666666666666666,0.35294117647058826,0.5,0.48484848484848486,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3448275862068966,0.0,0.0,0.4,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.8,0.5714285714285714,0.16666666666666666,0.16666666666666666,0.0,0.0,0.75,0.75,0.5384615384615384,0.5,0.45,0.5,0.3333333333333333,0.42857142857142855,0.2985611510791367,0.2985611510791367,0.0,0.0,0.2,0.2,0.6666666666666666,0.3076923076923077,0.0,0.0,0.0,0.0,0.4,0.25,0.2857142857142857,0.2857142857142857,0.27726675427069647,0.26432748538011697,0.5555555555555556,0.38461538461538464,0.2727272727272727,0.2727272727272727,0.0,0.0,0.7846153846153846,0.7972972972972973,1,0
