Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Brandon Ellis,1.0,0.9473684210526315,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.375,0.375,0.8,0.8,0.75,0.42857142857142855,0.25,0.25,0.3333333333333333,0.25,0.6666666666666666,0.6428571428571429,1.0,1.0,1.0,1.0,0.5911949685534591,0.5911949685534591,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.25,0.25,0.4,0.4,0.9,0.9,1.0,0.9123102866779089,0.8333333333333334,0.7142857142857143,0.3076923076923077,0.3076923076923077,0.3333333333333333,0.3333333333333333,0.6785714285714286,0.7361111111111112,0,1
Trent Cotchin,0.6666666666666666,0.631578947368421,0.9166666666666666,0.6111111111111112,0.7407407407407407,0.7407407407407407,0.2,0.2,0.0,0.0,0.25,0.25,0.8333333333333334,0.5,0.0,0.0,0.0,0.0,0.25,0.25,0.875,0.875,1.0,1.0,0.25,0.14285714285714285,0.5,0.5,1.0,0.75,1.0,0.9285714285714286,0.4,0.42857142857142855,0.6842105263157895,0.6842105263157895,0.5283018867924528,0.5283018867924528,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.5,0.5,0.5,0.5,1.0,1.0,0.8,0.8,0.35489833641404805,0.32377740303541314,0.3333333333333333,0.2857142857142857,0.23076923076923078,0.23076923076923078,0.0,0.0,0.7321428571428571,0.7777777777777778,0,0
Troy Chaplin,0.7777777777777778,0.7368421052631579,0.6666666666666666,0.4444444444444444,0.7037037037037037,0.7037037037037037,0.8,0.8,0.0,0.0,0.0,0.0,0.6666666666666666,0.4,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.6,0.6,1.0,0.5714285714285714,0.5,0.5,0.6666666666666666,0.5,0.75,0.7142857142857143,0.55,0.5714285714285714,0.8421052631578947,0.8421052631578947,0.7955974842767296,0.7955974842767296,1.0,0.5,0.0,0.0,0.16666666666666666,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.6598890942698706,0.6020236087689713,0.5,0.42857142857142855,1.0,1.0,0.0,0.0,1.0,0.9861111111111112,0,0
Shaun Grigg,0.7222222222222222,0.6842105263157895,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.3,0.3,0.0,0.0,0.0,0.0,0.6666666666666666,0.4,0.0,0.0,1.0,0.5,1.0,1.0,0.375,0.375,0.2,0.2,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.6,0.6190476190476191,0.5263157894736842,0.5263157894736842,0.41823899371069184,0.41823899371069184,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.25,0.4,0.4,0.7,0.7,0.9759704251386322,0.8903878583473862,0.3333333333333333,0.2857142857142857,0.07692307692307693,0.07692307692307693,0.3333333333333333,0.3333333333333333,0.7678571428571429,0.8055555555555556,0,0
Dustin Martin,0.8888888888888888,0.8421052631578947,0.4166666666666667,0.2777777777777778,0.6666666666666666,0.6666666666666666,0.6,0.6,0.0,0.0,1.0,1.0,0.8333333333333334,0.5,0.0,0.0,1.0,0.5,0.75,0.75,0.25,0.25,0.4,0.4,0.0,0.0,0.25,0.25,0.3333333333333333,0.25,0.5,0.5,0.6,0.6190476190476191,0.47368421052631576,0.47368421052631576,0.35534591194968557,0.35534591194968557,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5,0.5,0.25,0.25,0.2,0.2,0.7,0.7,0.6247689463955638,0.5699831365935919,0.3333333333333333,0.2857142857142857,0.15384615384615385,0.15384615384615385,0.0,0.0,0.625,0.6944444444444444,0,0
Kane Lambert,0.7777777777777778,0.7368421052631579,0.5833333333333334,0.3888888888888889,0.6666666666666666,0.6666666666666666,0.4,0.4,0.0,0.0,0.25,0.25,1.0,0.6,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.8,0.8,0.25,0.14285714285714285,0.5,0.5,0.3333333333333333,0.25,1.0,0.9285714285714286,0.35,0.38095238095238093,0.47368421052631576,0.47368421052631576,0.35534591194968557,0.35534591194968557,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.0,0.0,1.0,1.0,0.8,0.8,1.0,1.0,0.6598890942698706,0.6020236087689713,0.6666666666666666,0.5714285714285714,0.15384615384615385,0.15384615384615385,0.6666666666666666,0.6666666666666666,0.8035714285714286,0.8333333333333334,0,0
Anthony Miles,0.5555555555555556,0.5263157894736842,0.8333333333333334,0.5555555555555556,0.6296296296296297,0.6296296296296297,0.6,0.6,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.125,0.125,0.625,0.625,0.4,0.4,0.25,0.14285714285714285,0.5,0.5,0.3333333333333333,0.25,0.8333333333333334,0.7857142857142857,0.4,0.42857142857142855,0.5789473684210527,0.5789473684210527,0.5440251572327044,0.5440251572327044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.6,0.6,0.6,0.6,0.3123844731977819,0.28499156829679595,0.6666666666666666,0.5714285714285714,0.07692307692307693,0.07692307692307693,0.3333333333333333,0.3333333333333333,0.6785714285714286,0.7361111111111112,0,0
Bachar Houli,0.7777777777777778,0.7368421052631579,0.4166666666666667,0.2777777777777778,0.5925925925925926,0.5925925925925926,1.0,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.5,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.4,0.4,0.75,0.42857142857142855,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.6,0.6190476190476191,0.6842105263157895,0.6842105263157895,0.7641509433962265,0.7641509433962265,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.6524953789279113,0.5952782462057336,1.0,0.8571428571428571,0.3076923076923077,0.3076923076923077,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.7638888888888888,0,0
Alex Rance,0.5555555555555556,0.5263157894736842,0.75,0.5,0.5925925925925926,0.5925925925925926,0.8,0.8,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.4,0.4,0.75,0.42857142857142855,0.5,0.5,0.6666666666666666,0.5,0.5833333333333334,0.5714285714285714,0.55,0.5714285714285714,0.5789473684210527,0.5789473684210527,0.6069182389937107,0.6069182389937107,1.0,0.5,0.0,0.0,0.6666666666666666,0.4,0.5,0.5,0.0,0.0,0.0,0.0,0.6,0.6,0.3789279112754159,0.3456998313659359,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.6153846153846154,0.0,0.0,0.9821428571428571,0.9722222222222222,0,0
Taylor Hunt,0.6666666666666666,0.631578947368421,0.4166666666666667,0.2777777777777778,0.5185185185185185,0.5185185185185185,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.25,0.25,0.0,0.0,0.8,0.8,1.0,0.5714285714285714,0.0,0.0,0.3333333333333333,0.25,0.16666666666666666,0.21428571428571427,0.6,0.6190476190476191,0.42105263157894735,0.42105263157894735,0.46540880503144655,0.46540880503144655,0.0,0.0,0.0,0.0,0.16666666666666666,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.66728280961183,0.6087689713322091,0.8333333333333334,0.7142857142857143,0.46153846153846156,0.46153846153846156,0.0,0.0,0.7142857142857143,0.7638888888888888,0,0
