Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Tom Rockliff,0.35,0.35,1.0,1.0,1.0,1.0,0.7272727272727273,0.7272727272727273,0.3333333333333333,0.2,0.0,0.0,0.6363636363636364,0.6363636363636364,0.0,0.0,0.3333333333333333,0.3333333333333333,0.125,0.125,0.7142857142857143,0.5,0.4,0.4,0.25,0.2,0.0,0.0,0.5,0.5,0.6666666666666666,0.5333333333333333,0.9230769230769231,0.9230769230769231,1.0,1.0,0.5164835164835165,0.56,0.0,0.0,0.25,0.2,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.3333333333333333,0.3076923076923077,0.22533136966126657,0.17525773195876287,0.4,0.2222222222222222,0.14285714285714285,0.14285714285714285,1.0,1.0,0.8048780487804879,0.8048780487804879,0,0
Pearce Hanley,1.0,1.0,0.36363636363636365,0.4166666666666667,0.9642857142857143,0.9655172413793104,0.5454545454545454,0.5454545454545454,0.3333333333333333,0.2,0.6666666666666666,0.6666666666666666,0.18181818181818182,0.18181818181818182,0.0,0.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.2,0.6,0.6,0.5,0.4,0.5,0.4,0.0,0.0,0.3333333333333333,0.26666666666666666,1.0,1.0,0.8095238095238095,0.8181818181818182,0.27472527472527475,0.34,0.0,0.0,0.25,0.2,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.75,0.6923076923076923,1.0,0.7777777777777778,1.0,0.5555555555555556,0.2857142857142857,0.2857142857142857,0.0,0.0,0.8414634146341463,0.8414634146341463,0,0
Allen Christensen,0.65,0.65,0.5909090909090909,0.625,0.8928571428571429,0.896551724137931,0.5454545454545454,0.5454545454545454,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182,0.0,0.0,0.3333333333333333,0.3333333333333333,0.75,0.75,0.42857142857142855,0.3,0.8,0.8,0.0,0.0,0.5,0.4,0.5,0.5,0.9166666666666666,0.7333333333333333,0.6153846153846154,0.6153846153846154,0.7619047619047619,0.7727272727272727,0.31868131868131866,0.38,0.0,0.0,0.25,0.2,0.0,0.0,0.6666666666666666,0.6666666666666666,0.25,0.25,0.6,0.6,1.0,0.9230769230769231,0.6539027982326951,0.5085910652920962,0.4,0.2222222222222222,0.2857142857142857,0.2857142857142857,1.0,1.0,0.7317073170731707,0.7317073170731707,0,0
Dayne Zorko,0.9,0.9,0.36363636363636365,0.4166666666666667,0.8928571428571429,0.896551724137931,0.5454545454545454,0.5454545454545454,0.3333333333333333,0.2,0.0,0.0,0.45454545454545453,0.45454545454545453,0.0,0.0,0.3333333333333333,0.3333333333333333,0.375,0.375,0.42857142857142855,0.3,0.4,0.4,0.75,0.6,0.5,0.4,0.25,0.25,0.6666666666666666,0.5333333333333333,0.6538461538461539,0.6538461538461539,0.8571428571428571,0.8636363636363636,0.45054945054945056,0.5,0.0,0.0,0.25,0.2,0.0,0.0,0.3333333333333333,0.3333333333333333,0.25,0.25,0.4,0.4,0.6666666666666666,0.6153846153846154,0.5537555228276878,0.4306987399770905,0.4,0.2222222222222222,0.2857142857142857,0.2857142857142857,0.5,0.5,0.8780487804878049,0.8780487804878049,0,1
Daniel Rich,0.8,0.8,0.3181818181818182,0.375,0.7857142857142857,0.7931034482758621,0.5454545454545454,0.5454545454545454,0.0,0.0,0.3333333333333333,0.3333333333333333,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.5,0.5,0.14285714285714285,0.1,0.6,0.6,1.0,0.8,0.25,0.2,0.25,0.25,0.5,0.4,0.7307692307692307,0.7307692307692307,0.8571428571428571,0.8636363636363636,0.6483516483516484,0.68,0.0,0.0,0.25,0.2,0.125,0.125,0.0,0.0,0.0,0.0,0.2,0.2,0.25,0.23076923076923078,0.7231222385861561,0.5624284077892325,0.6,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.0,0.0,0.8292682926829268,0.8292682926829268,0,0
Jack Redden,0.7,0.7,0.4090909090909091,0.4583333333333333,0.7857142857142857,0.7931034482758621,0.45454545454545453,0.45454545454545453,0.0,0.0,0.0,0.0,0.45454545454545453,0.45454545454545453,0.025,0.025,0.0,0.0,0.375,0.375,1.0,0.7,0.4,0.4,0.5,0.4,0.0,0.0,0.25,0.25,0.8333333333333334,0.6666666666666666,0.5769230769230769,0.5769230769230769,0.7142857142857143,0.7272727272727273,0.4065934065934066,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.16666666666666666,0.15384615384615385,0.25920471281296026,0.2016036655211913,0.8,0.4444444444444444,0.0,0.0,0.5,0.5,0.8902439024390244,0.8902439024390244,0,0
Stefan Martin,0.55,0.55,0.45454545454545453,0.5,0.7142857142857143,0.7241379310344828,1.0,1.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,1.0,1.0,0.3333333333333333,0.3333333333333333,0.125,0.125,0.8571428571428571,0.6,0.4,0.4,0.0,0.0,0.5,0.4,0.0,0.0,1.0,0.8,0.5,0.5,0.6190476190476191,0.6363636363636364,0.34065934065934067,0.4,0.5,0.5,0.25,0.2,0.25,0.25,0.0,0.0,1.0,1.0,0.2,0.2,0.5833333333333334,0.5384615384615384,0.18262150220913106,0.1420389461626575,0.6,0.3333333333333333,0.7142857142857143,0.7142857142857143,0.0,0.0,0.9878048780487805,0.9878048780487805,0,0
Mitch Robinson,0.7,0.7,0.3181818181818182,0.375,0.7142857142857143,0.7241379310344828,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.2,0.0,0.0,1.0,1.0,0.05,0.05,0.0,0.0,0.625,0.625,1.0,0.7,1.0,1.0,0.75,0.6,1.0,0.8,1.0,1.0,1.0,0.8,0.46153846153846156,0.46153846153846156,0.8095238095238095,0.8181818181818182,0.7142857142857143,0.74,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,1.0,1.0,0.6,0.6,0.75,0.6923076923076923,0.5360824742268041,0.41695303550973656,0.8,0.4444444444444444,0.5714285714285714,0.5714285714285714,0.5,0.5,0.8536585365853658,0.8536585365853658,0,0
Sam Mayes,0.65,0.65,0.2727272727272727,0.3333333333333333,0.6428571428571429,0.6551724137931034,0.36363636363636365,0.36363636363636365,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.4,0.4,0.25,0.2,0.5,0.4,0.25,0.25,0.4166666666666667,0.3333333333333333,0.6538461538461539,0.6538461538461539,0.38095238095238093,0.4090909090909091,-0.01098901098901099,0.08,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.23076923076923078,0.4742268041237113,0.36884306987399773,0.8,0.4444444444444444,0.7142857142857143,0.7142857142857143,0.5,0.5,0.7073170731707317,0.7073170731707317,0,0
Daniel McStay,0.5,0.5,0.36363636363636365,0.4166666666666667,0.6071428571428571,0.6206896551724138,0.45454545454545453,0.45454545454545453,0.6666666666666666,0.4,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.3333333333333333,0.3333333333333333,0.375,0.375,0.0,0.0,0.2,0.2,0.5,0.4,0.0,0.0,0.0,0.0,0.5,0.4,0.5384615384615384,0.5384615384615384,0.6190476190476191,0.6363636363636364,0.5824175824175825,0.62,1.0,1.0,0.25,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3076923076923077,0.3136966126656848,0.24398625429553264,0.4,0.2222222222222222,0.7142857142857143,0.7142857142857143,0.0,0.0,0.975609756097561,0.975609756097561,0,0
