Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Joel Selwood,1.0,1.0,0.9230769230769231,0.8235294117647058,1.0,1.0,0.4166666666666667,0.46153846153846156,0.0,0.0,0.5,0.5,0.3,0.36363636363636365,0.0,0.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.8888888888888888,1.0,1.0,0.8,0.8,1.0,0.75,0.3333333333333333,0.25,1.0,1.0,0.5833333333333334,0.5833333333333334,1.0,1.0,0.6285714285714286,0.6551724137931034,0.0,0.0,0.0,0.0,0.14285714285714285,0.1111111111111111,0.0,0.0,0.75,0.6,1.0,1.0,1.0,1.0,1.0,0.9738988580750407,0.5454545454545454,0.5454545454545454,1.0,0.75,0.5,0.5,0.8518518518518519,0.8313253012048193,1,3
Steven Motlop,1.0,1.0,0.6923076923076923,0.6470588235294118,0.9032258064516129,0.90625,0.4166666666666667,0.46153846153846156,0.25,0.25,0.0,0.0,0.1,0.18181818181818182,0.0,0.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.7142857142857143,0.125,0.1111111111111111,0.8333333333333334,0.8333333333333334,0.2,0.2,0.6666666666666666,0.5,1.0,0.75,0.2631578947368421,0.3,1.0,1.0,0.7916666666666666,0.8076923076923077,0.4448979591836734,0.52023988005997,0.0,0.0,0.2,0.2,0.14285714285714285,0.1111111111111111,1.0,0.5,0.0,0.0,0.2,0.2,0.5454545454545454,0.5454545454545454,0.7805695142378559,0.7601957585644372,1.0,1.0,0.1111111111111111,0.08333333333333333,0.5,0.5,0.8765432098765432,0.8554216867469879,1,0
James Kelly,0.7894736842105263,0.7894736842105263,0.46153846153846156,0.47058823529411764,0.6774193548387096,0.6875,0.5,0.5384615384615384,0.0,0.0,0.0,0.0,0.2,0.2727272727272727,0.0,0.0,0.0,0.0,0.6666666666666666,0.5714285714285714,0.0,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.3333333333333333,0.25,0.3333333333333333,0.25,0.15789473684210525,0.2,0.8333333333333334,0.8333333333333334,0.625,0.6538461538461539,0.5265306122448979,0.5802098950524738,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.36363636363636365,0.8542713567839196,0.831973898858075,0.6363636363636364,0.6363636363636364,0.3333333333333333,0.25,0.0,0.0,0.9382716049382716,0.9156626506024096,1,0
Jimmy Bartel,0.6842105263157895,0.6842105263157895,0.6153846153846154,0.5882352941176471,0.6774193548387096,0.6875,0.5,0.5384615384615384,0.0,0.0,0.0,0.0,0.2,0.2727272727272727,0.0,0.0,0.0,0.0,0.6666666666666666,0.5714285714285714,0.25,0.2222222222222222,0.0,0.0,0.8,0.8,0.3333333333333333,0.25,0.0,0.0,0.2631578947368421,0.3,0.7083333333333334,0.7083333333333334,0.75,0.7692307692307693,0.7714285714285714,0.7601199400299851,0.25,0.25,0.0,0.0,0.42857142857142855,0.3333333333333333,0.0,0.0,0.0,0.0,0.4,0.4,0.36363636363636365,0.36363636363636365,0.7772194304857621,0.7569331158238173,0.2727272727272727,0.2727272727272727,0.4444444444444444,0.3333333333333333,0.0,0.0,0.9753086419753086,0.9518072289156626,1,0
Corey Enright,0.8947368421052632,0.8947368421052632,0.23076923076923078,0.29411764705882354,0.6451612903225806,0.65625,0.5833333333333334,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.3333333333333333,0.2857142857142857,0.25,0.2222222222222222,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.3157894736842105,0.35,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.6923076923076923,0.6693877551020407,0.6851574212893553,0.0,0.0,0.0,0.0,0.2857142857142857,0.2222222222222222,0.0,0.0,0.0,0.0,0.4,0.4,0.2727272727272727,0.2727272727272727,0.8190954773869347,0.797716150081566,0.36363636363636365,0.36363636363636365,0.4444444444444444,0.3333333333333333,0.0,0.0,0.9135802469135802,0.891566265060241,1,0
Andrew Mackie,0.8947368421052632,0.8947368421052632,0.23076923076923078,0.29411764705882354,0.6451612903225806,0.65625,0.5833333333333334,0.6153846153846154,0.25,0.25,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.5,0.42857142857142855,0.0,0.0,0.16666666666666666,0.16666666666666666,0.6,0.6,0.0,0.0,0.0,0.0,0.15789473684210525,0.2,0.75,0.75,0.75,0.7692307692307693,0.8326530612244898,0.8050974512743628,0.25,0.25,0.0,0.0,0.42857142857142855,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.45454545454545453,0.8291457286432161,0.8075040783034257,0.18181818181818182,0.18181818181818182,0.6666666666666666,0.5,0.0,0.0,0.8765432098765432,0.8554216867469879,1,0
Cameron Guthrie,0.3157894736842105,0.3157894736842105,1.0,0.8823529411764706,0.6129032258064516,0.625,0.4166666666666667,0.46153846153846156,0.0,0.0,0.5,0.5,1.0,1.0,0.1,0.0625,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.625,0.5555555555555556,0.5,0.5,0.2,0.2,0.6666666666666666,0.5,0.3333333333333333,0.25,0.6842105263157895,0.7,0.375,0.375,0.5416666666666666,0.5769230769230769,0.4653061224489795,0.535232383808096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.6,0.6,0.5454545454545454,0.5454545454545454,0.4154103852596315,0.40456769983686786,0.09090909090909091,0.09090909090909091,0.3333333333333333,0.25,1.0,1.0,0.8518518518518519,0.8313253012048193,1,0
Mitchell Duncan,0.42105263157894735,0.42105263157894735,0.7692307692307693,0.7058823529411765,0.5806451612903226,0.59375,0.6666666666666666,0.6923076923076923,0.5,0.5,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.375,0.3333333333333333,0.0,0.0,0.4,0.4,0.6666666666666666,0.5,0.0,0.0,0.3157894736842105,0.35,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6153846153846154,0.6285714285714286,0.6551724137931034,0.0,0.0,0.4,0.4,0.14285714285714285,0.1111111111111111,1.0,0.5,0.5,0.4,0.2,0.2,0.6363636363636364,0.6363636363636364,0.4221105527638191,0.4110929853181077,0.09090909090909091,0.09090909090909091,0.2222222222222222,0.16666666666666666,0.5,0.5,0.8395061728395061,0.8192771084337349,1,0
Josh Caddy,0.8421052631578947,0.8421052631578947,0.15384615384615385,0.23529411764705882,0.5806451612903226,0.59375,0.5,0.5384615384615384,0.5,0.5,1.0,1.0,0.8,0.8181818181818182,0.1,0.0625,0.0,0.0,0.6666666666666666,0.5714285714285714,0.625,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.75,0.3333333333333333,0.25,0.47368421052631576,0.5,0.4583333333333333,0.4583333333333333,0.5,0.5384615384615384,0.4448979591836734,0.52023988005997,0.0,0.0,0.4,0.4,0.14285714285714285,0.1111111111111111,0.0,0.0,0.25,0.2,0.8,0.8,0.8181818181818182,0.8181818181818182,0.5678391959798995,0.5530179445350734,0.45454545454545453,0.45454545454545453,0.5555555555555556,0.4166666666666667,0.5,0.5,0.8518518518518519,0.8313253012048193,1,0
Mark Blicavs,0.631578947368421,0.631578947368421,0.46153846153846156,0.47058823529411764,0.5806451612903226,0.59375,0.3333333333333333,0.38461538461538464,0.0,0.0,0.0,0.0,0.1,0.18181818181818182,1.0,0.625,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.625,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.4,0.4,0.6666666666666666,0.5,0.3333333333333333,0.25,0.47368421052631576,0.5,0.5,0.5,0.5,0.5384615384615384,0.4448979591836734,0.52023988005997,0.0,0.0,0.0,0.0,1.0,0.7777777777777778,0.0,0.0,1.0,0.8,0.2,0.2,0.45454545454545453,0.45454545454545453,0.5494137353433836,0.5350734094616639,0.36363636363636365,0.36363636363636365,0.2222222222222222,0.16666666666666666,0.0,0.0,0.8888888888888888,0.8674698795180723,1,0
