Player,Kicks BTS,Kicks OTS,Handballs BTS,Handballs OTS,Disposals BTS,Disposals OTS,Marks BTS,Marks OTS,Goals BTS,Goals OTS,Behinds BTS,Behinds OTS,Tackles BTS,Tackles OTS,Hitouts BTS,Hitouts OTS,Goal Assists BTS,Goal Assists OTS,Inside 50s BTS,Inside 50s OTS,Clearances BTS,Clearances OTS,Clangers BTS,Clangers OTS,Rebound 50s BTS,Rebound 50s OTS,Frees For BTS,Frees For OTS,Frees Agains BTS,Frees Agains OTS,Contested Possessions BTS,Contested Possessions OTS,Uncontested Possessions BTS,Uncontested Possessions OTS,Effective Disposals BTS,Effective Disposals OTS,Contested Marks BTS,Contested Marks OTS,Marks Inside 50 BTS,Marks Inside 50 OTS,One Percenters BTS,One Percenters OTS,Bounces BTS,Bounces OTS,Centre Clearances BTS,Centre Clearances OTS,Stoppage Clearances BTS,Stoppage Clearances OTS,Score Involvements BTS,Score Involvements OTS,Metres Gained BTS,Metres Gained OTS,Turnovers BTS,Turnovers OTS,Intercepts BTS,Intercepts OTS,Tackles Inside 50 BTS,Tackles Inside 50 OTS,Time On Ground % BTS,Time On Ground % OTS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTS,Uncontested Marks OTS,Marks Outside 50 BTS,Marks Outside 50 OTS,Tackles Outside 50 BTS,Tackles Outside 50 OTS,Behind Assists BTS,Behind Assists OTS,Ineffective Disposals BTS,Ineffective Disposals OTS
Dom Tyson,0.46153846153846156,0.4166666666666667,0.9411764705882353,1.0,0.75,1.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.02,0.03571428571428571,1.0,1.0,0.5,1.0,0.7777777777777778,0.7777777777777778,0.5,0.5,0.4,0.5,0.0,0.0,1.0,1.0,0.5,0.6923076923076923,0.6666666666666666,1.0,0.64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.25,1.0,1.0,0.5833333333333334,0.7777777777777778,0.3783783783783784,0.5138888888888888,0.5,0.5,0.14285714285714285,0.14285714285714285,0.0,0.0,0.8026315789473685,0.7972972972972973,0,Home,0,0.14285714285714285,0.16666666666666666,0.125,0.16666666666666666,0.5,0.5,0.4166666666666667,0.5555555555555556,0.6666666666666666,0.625
Jack Viney,0.6153846153846154,0.5833333333333334,0.7647058823529411,0.8125,0.7142857142857143,0.95,0.1111111111111111,0.1111111111111111,0.2,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.125,0.25,1.0,1.0,1.0,1.0,0.6,0.75,0.25,0.25,1.0,1.0,0.7,1.0,0.3333333333333333,0.5,0.6,0.9333333333333333,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.5714285714285714,1.0,0.8333333333333334,0.8333333333333334,0.5,0.6666666666666666,0.4847972972972973,0.6888888888888889,0.33333333333333337,0.33333333333333337,0.2857142857142857,0.2857142857142857,0.5,1.0,0.7368421052631579,0.7297297297297297,0,Home,0,0.14285714285714285,0.16666666666666666,0.125,0.16666666666666666,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.625
Daniel Cross,0.3076923076923077,0.25,0.7647058823529411,0.8125,0.5714285714285714,0.75,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.14285714285714285,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,1.0,1.0,0.6,0.75,0.25,0.25,1.0,1.0,0.5,0.6923076923076923,0.42857142857142855,0.6428571428571429,0.48,0.7333333333333333,0.25,0.3333333333333333,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.15371621621621623,0.14444444444444443,0.0,0.0,1.0,1.0,0.0,0.0,0.9078947368421053,0.9054054054054054,0,Home,0,0.5714285714285714,0.6666666666666666,0.625,0.8333333333333334,0.0,0.0,0.0,0.0,0.5555555555555556,0.5
Chris Dawes,1.0,1.0,0.23529411764705882,0.25,0.5714285714285714,0.75,0.7777777777777778,0.7777777777777778,0.6,0.75,1.0,1.0,0.1111111111111111,0.1111111111111111,0.08,0.14285714285714285,0.0,0.0,0.5,1.0,0.1111111111111111,0.1111111111111111,0.75,0.75,0.2,0.25,1.0,1.0,0.75,0.6666666666666667,0.55,0.7692307692307693,0.3333333333333333,0.5,0.32,0.4666666666666667,0.5,0.6666666666666666,0.5,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.75,1.0,0.6081081081081081,0.8916666666666667,0.5,0.5,0.2857142857142857,0.2857142857142857,0.0,0.0,0.9342105263157895,0.9324324324324325,0,Home,0,0.7142857142857143,0.8333333333333334,0.625,0.8333333333333334,0.125,0.125,0.75,1.0,1.0,1.0
Lynden Dunn,0.5384615384615384,0.5,0.35294117647058826,0.375,0.42857142857142855,0.55,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.375,0.75,0.1111111111111111,0.1111111111111111,0.25,0.25,0.6,0.75,0.25,0.25,0.5,0.33333333333333337,0.3,0.38461538461538464,0.3333333333333333,0.5,0.44,0.6666666666666666,0.25,0.3333333333333333,0.0,0.0,0.875,0.875,0.25,0.6666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.4444444444444444,0.47128378378378377,0.6666666666666666,0.0,0.0,1.0,1.0,0.0,0.0,0.881578947368421,0.8783783783783784,0,Home,0,0.42857142857142855,0.5,0.5,0.6666666666666666,0.25,0.25,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.125
Tom McDonald,0.7692307692307693,0.75,0.17647058823529413,0.1875,0.42857142857142855,0.55,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.25,0.5,0.1111111111111111,0.1111111111111111,0.25,0.25,0.8,1.0,0.0,0.0,0.75,0.6666666666666667,0.3,0.38461538461538464,0.3333333333333333,0.5,0.44,0.6666666666666666,0.25,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.14285714285714285,0.25,0.0,0.0,0.08333333333333333,0.1111111111111111,0.6739864864864865,1.0,0.5,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0,Home,0,0.42857142857142855,0.5,0.5,0.6666666666666666,0.125,0.125,0.08333333333333333,0.1111111111111111,0.2222222222222222,0.125
Matt Jones,0.5384615384615384,0.5,0.35294117647058826,0.375,0.42857142857142855,0.55,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.25,0.5,0.2222222222222222,0.2222222222222222,0.75,0.75,0.6,0.75,0.25,0.25,1.0,1.0,0.2,0.23076923076923078,0.47619047619047616,0.7142857142857143,0.4,0.6,0.0,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.1111111111111111,0.46621621621621623,0.6583333333333333,0.5,0.5,0.2857142857142857,0.2857142857142857,0.0,0.0,0.7236842105263158,0.7162162162162162,0,Home,0,0.8571428571428571,1.0,0.625,0.8333333333333334,0.25,0.25,0.08333333333333333,0.1111111111111111,0.3333333333333333,0.25
Jesse Hogan,0.6923076923076923,0.6666666666666666,0.23529411764705882,0.25,0.42857142857142855,0.55,1.0,1.0,0.8,1.0,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.0,0.0,1.0,1.0,0.25,0.5,0.0,0.0,1.0,1.0,0.2,0.25,0.25,0.25,1.0,1.0,0.4,0.5384615384615384,0.23809523809523808,0.35714285714285715,0.36,0.5333333333333333,0.75,1.0,0.75,1.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.4239864864864865,0.5888888888888889,1.0,1.0,0.0,0.0,0.0,0.0,0.9210526315789473,0.918918918918919,0,Home,0,0.8571428571428571,1.0,0.75,1.0,0.25,0.25,0.5833333333333334,0.7777777777777778,0.4444444444444444,0.375
Bernie Vince,0.46153846153846156,0.4166666666666667,0.35294117647058826,0.375,0.39285714285714285,0.5,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.0,0.125,0.25,0.4444444444444444,0.4444444444444444,0.25,0.25,0.2,0.25,0.0,0.0,0.5,0.33333333333333337,0.3,0.38461538461538464,0.3333333333333333,0.5,0.28,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3333333333333333,0.2857142857142857,0.5,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.4444444444444444,0.28547297297297297,0.3611111111111111,0.6666666666666667,0.6666666666666667,0.2857142857142857,0.2857142857142857,0.5,1.0,0.8289473684210527,0.8243243243243243,0,Home,0,0.14285714285714285,0.16666666666666666,0.125,0.16666666666666666,0.75,0.75,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.5
Jack Grimes,0.5384615384615384,0.5,0.29411764705882354,0.3125,0.39285714285714285,0.5,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,1.0,1.0,0.4,0.5,0.25,0.25,1.0,1.0,0.1,0.07692307692307693,0.5238095238095238,0.7857142857142857,0.44,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.2222222222222222,0.40709459459459457,0.5611111111111111,0.6666666666666667,0.6666666666666667,0.14285714285714285,0.14285714285714285,0.0,0.0,0.7368421052631579,0.7297297297297297,0,Home,0,0.5714285714285714,0.6666666666666666,0.5,0.6666666666666666,0.125,0.125,0.08333333333333333,0.1111111111111111,0.1111111111111111,0.0
